poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,supermarket,"1,000 Sq. Ft. GFA",1,9.24,0.1,1,0
2,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
4,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
5,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
6,driving_school,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
8,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
9,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
11,train_station,"1,000 Sq. Ft. GFA",1,1.72,0.1,1,0
12,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
13,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
14,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,temple,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
16,sports_hall,"1,000 Sq. Ft. GFA",1,0.1,3.45,0,1
17,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
18,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,marketplace,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,dam,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
22,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
24,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
25,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,0,1
26,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,warehouse,"1,000 Sq. Ft. GFA",1,0.19,0.1,1,0
28,monastery,"1,000 Sq. Ft. GFA",1,4.22,0.1,1,0
29,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
30,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
31,research_institute,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
32,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
33,public_building,"1,000 Sq. Ft. GFA",1,0.11,0.1,1,0
34,conference_centre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
35,library,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
36,grave_yard,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
37,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
38,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
39,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
40,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
41,clinic,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
42,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
43,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
44,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
45,kindergarten,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,0
46,legislative,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
47,driver_training,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
48,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
49,food_court,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
