activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,102.60313500000001,25.114395,"POLYGON ((102.59277 25.104029999999998,102.59277 25.12476,102.6135 25.12476,102.6135 25.104029999999998,102.59277 25.104029999999998))",POINT (102.60313500000001 25.114395),0,0,0,0,0,0,0,0.0,0.0
2,A2,102.623865,25.114395,"POLYGON ((102.6135 25.104029999999998,102.6135 25.12476,102.63423 25.12476,102.63423 25.104029999999998,102.6135 25.104029999999998))",POINT (102.623865 25.114395),0,0,0,0,0,0,0,0.0,0.0
3,A3,102.65083754999999,25.109202775000004,"POLYGON ((102.63423 25.104029999999998,102.63423 25.12476,102.65496 25.12476,102.65496 25.104029999999998,102.63423 25.104029999999998))",POINT (102.65083754999999 25.109202775000004),0,0,0,0,0,0,0,20.0,20.0
4,A4,102.66858473636363,25.10770655454546,"POLYGON ((102.65496 25.104029999999998,102.65496 25.12476,102.67569 25.12476,102.67569 25.104029999999998,102.65496 25.104029999999998))",POINT (102.66858473636363 25.10770655454546),0,0,0,0,0,0,0,55.0,55.0
5,A5,102.68605500000001,25.114395,"POLYGON ((102.67569 25.104029999999998,102.67569 25.12476,102.69642 25.12476,102.69642 25.104029999999998,102.67569 25.104029999999998))",POINT (102.68605500000001 25.114395),0,0,0,0,0,0,0,0.0,0.0
6,A6,102.7120529,25.1123852,"POLYGON ((102.69642 25.104029999999998,102.69642 25.12476,102.71715 25.12476,102.71715 25.104029999999998,102.69642 25.104029999999998))",POINT (102.7120529 25.1123852),1,0,0,0,0,0,0,2154.668756687091,51.058501343296
7,A7,102.73190286987452,25.111280770292883,"POLYGON ((102.71715 25.104029999999998,102.71715 25.12476,102.73788 25.12476,102.73788 25.104029999999998,102.71715 25.104029999999998))",POINT (102.73190286987452 25.111280770292883),229,173,26,4,0,0,0,1629.5889970036487,1579.1545010740608
8,A8,102.74783312923081,25.1143061076923,"POLYGON ((102.73788 25.104029999999998,102.73788 25.12476,102.75861 25.12476,102.75861 25.104029999999998,102.73788 25.104029999999998))",POINT (102.74783312923081 25.1143061076923),56,17,12,1,9,0,0,1098.3893492406592,304.5510541158528
9,A9,102.7701281923077,25.110987107692306,"POLYGON ((102.75861 25.104029999999998,102.75861 25.12476,102.77934 25.12476,102.77934 25.104029999999998,102.75861 25.104029999999998))",POINT (102.7701281923077 25.110987107692306),9,0,0,0,0,0,0,954.4864050221314,871.1803260392962
10,A10,102.789705,25.114395,"POLYGON ((102.77934 25.104029999999998,102.77934 25.12476,102.80007 25.12476,102.80007 25.104029999999998,102.77934 25.104029999999998))",POINT (102.789705 25.114395),0,0,0,0,0,0,0,0.0,0.0
11,A11,102.81043500000001,25.114395,"POLYGON ((102.80007 25.104029999999998,102.80007 25.12476,102.8208 25.12476,102.8208 25.104029999999998,102.80007 25.104029999999998))",POINT (102.81043500000001 25.114395),0,0,0,0,0,0,0,0.0,0.0
12,A12,102.831165,25.114395,"POLYGON ((102.8208 25.104029999999998,102.8208 25.12476,102.84153 25.12476,102.84153 25.104029999999998,102.8208 25.104029999999998))",POINT (102.831165 25.114395),0,0,0,0,0,0,0,0.0,0.0
13,A13,102.8473456,25.111988,"POLYGON ((102.84153 25.104029999999998,102.84153 25.12476,102.86226 25.12476,102.86226 25.104029999999998,102.84153 25.104029999999998))",POINT (102.8473456 25.111988),1,0,0,0,0,1,0,46.3375794087808,10.776181257856
14,B1,102.60313500000001,25.093664999999998,"POLYGON ((102.59277 25.083299999999998,102.59277 25.104029999999998,102.6135 25.104029999999998,102.6135 25.083299999999998,102.59277 25.083299999999998))",POINT (102.60313500000001 25.093664999999998),0,0,0,0,0,0,0,0.0,0.0
15,B2,102.6334285,25.1001565,"POLYGON ((102.6135 25.083299999999998,102.6135 25.104029999999998,102.63423 25.104029999999998,102.63423 25.083299999999998,102.6135 25.083299999999998))",POINT (102.6334285 25.1001565),1,0,0,0,0,1,0,1.9763615885440002,0.45961897408
16,B3,102.64981603200002,25.093884056,"POLYGON ((102.63423 25.083299999999998,102.63423 25.104029999999998,102.65496 25.104029999999998,102.65496 25.083299999999998,102.63423 25.083299999999998))",POINT (102.64981603200002 25.093884056),0,0,0,0,0,0,0,125.0,125.0
17,B4,102.66670843636365,25.096730036363635,"POLYGON ((102.65496 25.083299999999998,102.65496 25.104029999999998,102.67569 25.104029999999998,102.67569 25.083299999999998,102.65496 25.083299999999998))",POINT (102.66670843636365 25.096730036363635),2,0,0,0,0,0,0,634.9981412331584,108.09599762182401
18,B5,102.68074180000002,25.09166043333333,"POLYGON ((102.67569 25.083299999999998,102.67569 25.104029999999998,102.69642 25.104029999999998,102.69642 25.083299999999998,102.67569 25.083299999999998))",POINT (102.68074180000002 25.09166043333333),5,0,0,0,2,0,0,481.06654352395526,66.331805670528
19,B6,102.70769305,25.089650250000002,"POLYGON ((102.69642 25.083299999999998,102.69642 25.104029999999998,102.71715 25.104029999999998,102.71715 25.083299999999998,102.69642 25.083299999999998))",POINT (102.70769305 25.089650250000002),1,0,0,0,0,0,0,30.1720589472,30.1720589472
20,B7,102.72880145490196,25.098193822745095,"POLYGON ((102.71715 25.083299999999998,102.71715 25.104029999999998,102.73788 25.104029999999998,102.73788 25.083299999999998,102.71715 25.083299999999998))",POINT (102.72880145490196 25.098193822745095),192,149,0,14,1,0,0,3049.818845600544,1615.71091120818
21,B8,102.74347507101449,25.091398191304343,"POLYGON ((102.73788 25.083299999999998,102.73788 25.104029999999998,102.75861 25.104029999999998,102.75861 25.083299999999998,102.73788 25.083299999999998))",POINT (102.74347507101449 25.091398191304343),30,29,0,0,0,0,0,331.74202674400004,385.82669385715195
22,B9,102.76650302307691,25.09361556153846,"POLYGON ((102.75861 25.083299999999998,102.75861 25.104029999999998,102.77934 25.104029999999998,102.77934 25.083299999999998,102.75861 25.083299999999998))",POINT (102.76650302307691 25.09361556153846),12,0,0,0,0,1,0,369.650473835776,334.772497883968
23,B10,102.791763,25.089316299999997,"POLYGON ((102.77934 25.083299999999998,102.77934 25.104029999999998,102.80007 25.104029999999998,102.80007 25.083299999999998,102.77934 25.083299999999998))",POINT (102.791763 25.089316299999997),2,0,0,0,0,1,0,8.1617049296128,7.478282730496
24,B11,102.8020295,25.1039627,"POLYGON ((102.80007 25.083299999999998,102.80007 25.104029999999998,102.8208 25.104029999999998,102.8208 25.083299999999998,102.80007 25.083299999999998))",POINT (102.8020295 25.1039627),0,0,0,0,0,0,0,5.0,5.0
25,B12,102.8375312,25.0907327,"POLYGON ((102.8208 25.083299999999998,102.8208 25.104029999999998,102.84153 25.104029999999998,102.84153 25.083299999999998,102.8208 25.083299999999998))",POINT (102.8375312 25.0907327),0,0,0,0,0,0,0,5.0,5.0
26,B13,102.85189500000001,25.093664999999998,"POLYGON ((102.84153 25.083299999999998,102.84153 25.104029999999998,102.86226 25.104029999999998,102.86226 25.083299999999998,102.84153 25.083299999999998))",POINT (102.85189500000001 25.093664999999998),0,0,0,0,0,0,0,0.0,0.0
