o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
1,A1,1,A1,0.0,"LINESTRING (108.9223989 34.2765561,108.9223989 34.2765561)"
1,A1,2,A2,0.5433795827927684,"LINESTRING (108.9223989 34.2765561,108.9280304 34.2765434)"
1,A1,3,A3,1.0056165615606332,"LINESTRING (108.9223989 34.2765561,108.9328207 34.2766173)"
1,A1,4,A4,1.4531354894230084,"LINESTRING (108.9223989 34.2765561,108.9374586 34.2766531)"
1,A1,5,A5,2.0227621384146803,"LINESTRING (108.9223989 34.2765561,108.9433621 34.276652)"
1,A1,6,A6,2.479484916433913,"LINESTRING (108.9223989 34.2765561,108.9480951 34.2767376)"
1,A1,7,A7,3.067583021619282,"LINESTRING (108.9223989 34.2765561,108.9541906 34.2765757)"
1,A1,8,A8,3.551958223444674,"LINESTRING (108.9223989 34.2765561,108.9592087 34.2769314)"
1,A1,9,A9,3.873486863633877,"LINESTRING (108.9223989 34.2765561,108.9625415 34.276879)"
1,A1,10,A10,4.50782315984311,"LINESTRING (108.9223989 34.2765561,108.96907 34.27865)"
1,A1,11,B1,0.2672365513774681,"LINESTRING (108.9223989 34.2765561,108.9229896 34.2738503)"
1,A1,12,B2,0.6085184737637511,"LINESTRING (108.9223989 34.2765561,108.9279061 34.2734831)"
1,A1,13,B3,1.0361912356768905,"LINESTRING (108.9223989 34.2765561,108.9327977 34.2738749)"
1,A1,14,B4,1.5221971424357517,"LINESTRING (108.9223989 34.2765561,108.9378721 34.2734817)"
1,A1,15,B5,1.9950410400362475,"LINESTRING (108.9223989 34.2765561,108.9429205 34.2740331)"
1,A1,16,B6,2.566624610716529,"LINESTRING (108.9223989 34.2765561,108.9489021 34.2742894)"
1,A1,17,B7,2.937212571187515,"LINESTRING (108.9223989 34.2765561,108.9527428 34.2741322)"
1,A1,18,B8,3.549619052342362,"LINESTRING (108.9223989 34.2765561,108.959038 34.2732563)"
1,A1,19,B9,3.982930431893965,"LINESTRING (108.9223989 34.2765561,108.9635432 34.273234)"
1,A1,20,B10,4.51312804854471,"LINESTRING (108.9223989 34.2765561,108.96907 34.27347)"
1,A1,21,C1,0.7929955340692623,"LINESTRING (108.9223989 34.2765561,108.923137 34.2683709)"
1,A1,22,C2,0.9850140167348108,"LINESTRING (108.9223989 34.2765561,108.9279905 34.2680153)"
1,A1,23,C3,1.3504101179741164,"LINESTRING (108.9223989 34.2765561,108.9333898 34.2678919)"
1,A1,24,C4,1.6935996378132125,"LINESTRING (108.9223989 34.2765561,108.9379649 34.268446)"
1,A1,25,C5,2.1439276643161302,"LINESTRING (108.9223989 34.2765561,108.9431846 34.2687047)"
1,A1,26,C6,2.557522160237149,"LINESTRING (108.9223989 34.2765561,108.9477952 34.2689683)"
1,A1,27,C7,3.0573309007633935,"LINESTRING (108.9223989 34.2765561,108.9530736 34.2686167)"
1,A1,28,C8,3.5585614670699326,"LINESTRING (108.9223989 34.2765561,108.9583888 34.2685021)"
1,A1,29,C9,4.061191612229772,"LINESTRING (108.9223989 34.2765561,108.9636152 34.2680284)"
1,A1,30,C10,4.3288714028759205,"LINESTRING (108.9223989 34.2765561,108.9668249 34.2703065)"
1,A1,31,D1,1.2543459283316047,"LINESTRING (108.9223989 34.2765561,108.923168 34.2635792)"
1,A1,32,D2,1.3623033690138144,"LINESTRING (108.9223989 34.2765561,108.9276332 34.2634437)"
1,A1,33,D3,1.5762284413269305,"LINESTRING (108.9223989 34.2765561,108.9327258 34.2638988)"
1,A1,34,D4,1.9559043017819024,"LINESTRING (108.9223989 34.2765561,108.9380288 34.2636487)"
1,A1,35,D5,2.4049586936365324,"LINESTRING (108.9223989 34.2765561,108.9434272 34.2631756)"
1,A1,36,D6,2.7722549593699695,"LINESTRING (108.9223989 34.2765561,108.9478011 34.2631323)"
1,A1,37,D7,3.3177531527373474,"LINESTRING (108.9223989 34.2765561,108.9538968 34.2627659)"
1,A1,38,D8,3.7903528300886657,"LINESTRING (108.9223989 34.2765561,108.9595282 34.2637298)"
1,A1,39,D9,4.1673930174058125,"LINESTRING (108.9223989 34.2765561,108.9635535 34.2634541)"
1,A1,40,D10,4.686463961790034,"LINESTRING (108.9223989 34.2765561,108.96907 34.26311)"
