name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
西安交通大学口腔医学院,12,246438228.0,,college,,,"POLYGON ((108.9434572 34.2712333, 108.9434634 34.2708057, 108.9427453 34.2707985, 108.9427608 34.2697401, 108.9440966 34.2697534, 108.9440984 34.269631, 108.9450449 34.2696405, 108.946482 34.2696549, 108.9464798 34.2706479, 108.9464757 34.2712838, 108.9434572 34.2712333))",POINT (108.9447385 34.2704362),56748.0,610830.1,25
西安市第八十九中学,185,291575965.0,,school,,,"POLYGON ((108.9445133 34.2745495, 108.9444961 34.2734363, 108.9451264 34.2734297, 108.9455667 34.2734251, 108.9455633 34.2732032, 108.947625 34.2731816, 108.9476449 34.2744756, 108.9465073 34.2744875, 108.9465115 34.2747657, 108.9455161 34.2747762, 108.9455138 34.2746298, 108.9452205 34.2746329, 108.9452191 34.2745421, 108.9451424 34.2745429, 108.9445133 34.2745495))",POINT (108.9461094 34.2739388),42462.2,457059.1,16
,4887,,6848524.0,yes,,,"MULTIPOLYGON (((108.9537857 34.2699881, 108.9536288 34.2698773, 108.953547 34.2697908, 108.9535095 34.2697931, 108.9534424 34.2696623, 108.9534464 34.2694273, 108.9533686 34.2694264, 108.9533758 34.2690084, 108.9534536 34.2690094, 108.9534584 34.2687282, 108.9534719 34.2686238, 108.9535095 34.2686105, 108.9536208 34.2684443, 108.9537603 34.268329, 108.953948 34.268247, 108.9541706 34.2682093, 108.9543866 34.2682259, 108.9545542 34.2682681, 108.9547138 34.2683523, 108.9548331 34.2684487, 108.9549083 34.2685595, 108.9549793 34.2685473, 108.955033 34.2687103, 108.9550544 34.2688832, 108.9550786 34.2696146, 108.9550477 34.2697277, 108.9550182 34.2697731, 108.9549498 34.2697443, 108.9548707 34.2698573, 108.9547487 34.2699538, 108.9545958 34.2700446, 108.9544456 34.2700868, 108.9543061 34.2701111, 108.9541304 34.2701012, 108.9539467 34.2700591, 108.9537857 34.2699881)))",POINT (108.9542389 34.2691653),26962.1,290217.9,27
万达百货民乐园店,4884,,6742517.0,retail,,,"MULTIPOLYGON (((108.9589199 34.2705288, 108.9589519 34.2690079, 108.958977 34.2689277, 108.9590362 34.2688712, 108.9591198 34.2688457, 108.9602445 34.2688501, 108.9603519 34.268931, 108.9603099 34.2705568, 108.9589199 34.2705288)))",POINT (108.959637 34.2696985),24017.5,258522.3,28
兴正元广场,4871,,3451140.0,commercial,,,"MULTIPOLYGON (((108.9459741 34.2608169, 108.9471936 34.2608229, 108.9471912 34.2607673, 108.9473089 34.2607673, 108.9473113 34.2605808, 108.9473593 34.2605808, 108.9472752 34.259551, 108.9466439 34.2595471, 108.9465526 34.2595748, 108.9464494 34.2595272, 108.9457556 34.2595272, 108.9457556 34.2605233, 108.9456836 34.2606026, 108.9457844 34.2606721, 108.9458325 34.2606324, 108.9459741 34.2606324, 108.9459741 34.2608169)))",POINT (108.946542 34.2601714),19961.9,214868.4,46
华东服饰城,277,378580206.0,,commercial,,,"POLYGON ((108.9586919 34.2724226, 108.9589816 34.2724093, 108.9589279 34.272724, 108.9586758 34.2727462, 108.9586704 34.2732826, 108.9598184 34.2732693, 108.9597966 34.2718269, 108.9588367 34.2718197, 108.9586812 34.2718818, 108.9587026 34.2721167, 108.9586919 34.2724226))",POINT (108.9592696 34.2725561),15741.7,169441.9,18
西安市第二十五中学,3679,474628555.0,,school,,,"POLYGON ((108.9311672 34.2658087, 108.9317589 34.2658118, 108.931755 34.2663263, 108.9323355 34.2663293, 108.9323452 34.2650566, 108.9319022 34.2650543, 108.9319039 34.2648334, 108.9311747 34.2648296, 108.9311716 34.2652312, 108.9311672 34.2658087))",POINT (108.9317946 34.2655153),13759.9,148110.4,33
西安市儿童医院,441,420536188.0,,hospital,,,"POLYGON ((108.9225173 34.2637664, 108.9225179 34.2635023, 108.9232652 34.2635034, 108.9232657 34.2632739, 108.9225695 34.2632729, 108.9225696 34.2632012, 108.9232659 34.2632022, 108.9232665 34.2628971, 108.9224896 34.262896, 108.9224892 34.2631041, 108.9219852 34.2631034, 108.9219851 34.2631498, 108.9211718 34.2631487, 108.9211705 34.2637645, 108.9225173 34.2637664))",POINT (108.9221891 34.2633651),12898.4,138837.1,31
百盛,4872,,3472940.0,commercial,,,"MULTIPOLYGON (((108.9338673 34.2622726, 108.9338658 34.2619199, 108.9336704 34.2619205, 108.9336676 34.2612732, 108.9341474 34.2612718, 108.9342323 34.2613449, 108.9342338 34.2614168, 108.9347009 34.2614104, 108.9346995 34.261342, 108.9347809 34.2612718, 108.9351884 34.2612714, 108.9351892 34.2617737, 108.9352114 34.2617737, 108.9352122 34.2620178, 108.9351393 34.262018, 108.9351398 34.2621373, 108.9342745 34.2621396, 108.934275 34.2622714, 108.9338673 34.2622726)))",POINT (108.9344341 34.2617359),12816.7,137957.6,33
民生大厦,32,258081752.0,,commercial,,,"POLYGON ((108.9586677 34.2685957, 108.9586141 34.2685847, 108.9585839 34.2685598, 108.9585471 34.2685266, 108.9585505 34.2682914, 108.9585873 34.2682499, 108.9585505 34.2681724, 108.9585304 34.2680949, 108.9585337 34.2680036, 108.9585605 34.2679316, 108.9586074 34.267868, 108.9586275 34.2678459, 108.9585839 34.2678182, 108.9585906 34.2676107, 108.9586241 34.2675581, 108.958661 34.2675443, 108.9587112 34.2675249, 108.9597458 34.2675498, 108.959709 34.2686123, 108.9586677 34.2685957))",POINT (108.9591478 34.2680712),12612.2,135756.2,28
广仁寺,219,293954907.0,,place_of_worship,,,"POLYGON ((108.9209194 34.2769501, 108.9209623 34.2769736, 108.9216329 34.2769729, 108.9216198 34.2757309, 108.9216378 34.2752944, 108.9215641 34.2752987, 108.9209149 34.2753237, 108.9209104 34.2769237, 108.9209194 34.2769501))",POINT (108.921271 34.2761425),12123.2,130492.6,1
,336,391307967.0,,commercial,,,"POLYGON ((108.9560414 34.2607586, 108.956023 34.2602086, 108.9581057 34.2601882, 108.9580996 34.2605142, 108.9578223 34.260779, 108.9560414 34.2607586))",POINT (108.9570499 34.2604771),11701.1,125949.3,48
