poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,construction,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
2,bus_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,theatre,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
5,fire_station,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,0
6,restaurant,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,garage,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
9,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,0
10,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,college,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,0
12,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
13,office,"1,000 Sq. Ft. GFA",1,1.15,0.1,1,0
14,fast_food,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,0
16,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,0
17,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
18,bank,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,0
21,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,0,1
22,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,0,1
23,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,0,1
24,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
26,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
27,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,0
