activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,108.9223989114286,34.27655614000001,"POLYGON ((108.91986 34.276059999999994,108.91986 34.28124,108.92504 34.28124,108.92504 34.276059999999994,108.91986 34.276059999999994))",POINT (108.9223989114286 34.27655614000001),33,14,0,0,0,0,0,132.71418875667197,151.00622739568638
2,A2,108.92803035714284,34.27654342142857,"POLYGON ((108.92504 34.276059999999994,108.92504 34.28124,108.93021999999999 34.28124,108.93021999999999 34.276059999999994,108.92504 34.276059999999994))",POINT (108.92803035714284 34.27654342142857),28,0,0,0,0,0,0,188.41471681472,188.41471681472
3,A3,108.93282070892856,34.27661730892858,"POLYGON ((108.93021999999999 34.276059999999994,108.93021999999999 34.28124,108.93539999999999 34.28124,108.93539999999999 34.276059999999994,108.93021999999999 34.276059999999994))",POINT (108.93282070892856 34.27661730892858),48,0,0,0,0,0,0,384.8699285574401,384.8699285574401
4,A4,108.93745855849053,34.276653143396224,"POLYGON ((108.93539999999999 34.276059999999994,108.93539999999999 34.28124,108.94057999999998 34.28124,108.94057999999998 34.276059999999994,108.93539999999999 34.276059999999994))",POINT (108.93745855849053 34.276653143396224),52,0,0,0,0,0,0,306.83776073024006,306.83776073024006
5,A5,108.94336213030303,34.27665200303031,"POLYGON ((108.94057999999998 34.276059999999994,108.94057999999998 34.28124,108.94575999999998 34.28124,108.94575999999998 34.276059999999994,108.94057999999998 34.276059999999994))",POINT (108.94336213030303 34.27665200303031),33,0,0,0,0,1,0,255.02494819566715,252.769015562304
6,A6,108.94809507777775,34.27673760555557,"POLYGON ((108.94575999999998 34.276059999999994,108.94575999999998 34.28124,108.95093999999997 34.28124,108.95093999999997 34.276059999999994,108.94575999999998 34.276059999999994))",POINT (108.94809507777775 34.27673760555557),36,6,0,0,0,0,0,74.553642047104,83.8363737926016
7,A7,108.954190625,34.276575675,"POLYGON ((108.95093999999997 34.276059999999994,108.95093999999997 34.28124,108.95611999999997 34.28124,108.95611999999997 34.276059999999994,108.95093999999997 34.276059999999994))",POINT (108.954190625 34.276575675),4,0,0,0,0,0,0,104.37918066496,104.37918066496
8,A8,108.95920867058823,34.2769314,"POLYGON ((108.95611999999997 34.276059999999994,108.95611999999997 34.28124,108.96129999999997 34.28124,108.96129999999997 34.276059999999994,108.95611999999997 34.276059999999994))",POINT (108.95920867058823 34.2769314),17,0,0,0,0,0,0,113.81565106572799,113.81565106572799
9,A9,108.96254153333334,34.276879,"POLYGON ((108.96129999999997 34.276059999999994,108.96129999999997 34.28124,108.96647999999996 34.28124,108.96647999999996 34.276059999999994,108.96129999999997 34.276059999999994))",POINT (108.96254153333334 34.276879),8,0,0,0,0,0,0,106.81847211328,106.81847211328
10,A10,108.96906999999996,34.27865,"POLYGON ((108.96647999999996 34.276059999999994,108.96647999999996 34.28124,108.97165999999996 34.28124,108.97165999999996 34.276059999999994,108.96647999999996 34.276059999999994))",POINT (108.96906999999996 34.27865),0,0,0,0,0,0,0,0.0,0.0
11,B1,108.92298964313723,34.27385029509807,"POLYGON ((108.91986 34.27087999999999,108.91986 34.276059999999994,108.92504 34.276059999999994,108.92504 34.27087999999999,108.91986 34.27087999999999))",POINT (108.92298964313723 34.27385029509807),94,5,0,0,0,0,0,861.8038365459843,877.7226482200066
12,B2,108.92790609035086,34.273483114912295,"POLYGON ((108.92504 34.27087999999999,108.92504 34.276059999999994,108.93021999999999 34.276059999999994,108.93021999999999 34.27087999999999,108.92504 34.27087999999999))",POINT (108.92790609035086 34.273483114912295),108,0,0,0,0,1,0,918.2421337867582,915.0285575729279
13,B3,108.93279765920002,34.273874935999984,"POLYGON ((108.93021999999999 34.27087999999999,108.93021999999999 34.276059999999994,108.93539999999999 34.276059999999994,108.93539999999999 34.27087999999999,108.93021999999999 34.27087999999999))",POINT (108.93279765920002 34.273874935999984),119,0,0,0,1,1,0,1096.0321067990399,969.1319538901759
14,B4,108.93787212366408,34.27348167022903,"POLYGON ((108.93539999999999 34.27087999999999,108.93539999999999 34.276059999999994,108.94057999999998 34.276059999999994,108.94057999999998 34.27087999999999,108.93539999999999 34.27087999999999))",POINT (108.93787212366408 34.27348167022903),131,0,0,0,1,0,0,1055.4218553858498,932.5174920595839
15,B5,108.94292053442621,34.274033070491804,"POLYGON ((108.94057999999998 34.27087999999999,108.94057999999998 34.276059999999994,108.94575999999998 34.276059999999994,108.94575999999998 34.27087999999999,108.94057999999998 34.27087999999999))",POINT (108.94292053442621 34.274033070491804),60,9,1,2,0,1,0,879.9648824836609,506.48121665167344
16,B6,108.9489020557252,34.27428938778626,"POLYGON ((108.94575999999998 34.27087999999999,108.94575999999998 34.276059999999994,108.95093999999997 34.276059999999994,108.95093999999997 34.27087999999999,108.94575999999998 34.27087999999999))",POINT (108.9489020557252 34.27428938778626),131,9,0,0,1,0,0,1256.8695902602622,641.7486436121598
17,B7,108.95274283761472,34.274132157798164,"POLYGON ((108.95093999999997 34.27087999999999,108.95093999999997 34.276059999999994,108.95611999999997 34.276059999999994,108.95611999999997 34.27087999999999,108.95093999999997 34.27087999999999))",POINT (108.95274283761472 34.274132157798164),102,0,0,0,0,0,0,560.74295888832,560.74295888832
18,B8,108.95903804225354,34.27325628450705,"POLYGON ((108.95611999999997 34.27087999999999,108.95611999999997 34.276059999999994,108.96129999999997 34.276059999999994,108.96129999999997 34.27087999999999,108.95611999999997 34.27087999999999))",POINT (108.95903804225354 34.27325628450705),65,1,0,2,0,0,0,1259.1618921803715,834.5109341626752
19,B9,108.96354317499998,34.27323398257576,"POLYGON ((108.96129999999997 34.27087999999999,108.96129999999997 34.276059999999994,108.96647999999996 34.276059999999994,108.96647999999996 34.27087999999999,108.96129999999997 34.27087999999999))",POINT (108.96354317499998 34.27323398257576),123,0,0,0,0,0,0,922.48162269952,922.48162269952
20,B10,108.96906999999996,34.27346999999999,"POLYGON ((108.96647999999996 34.27087999999999,108.96647999999996 34.276059999999994,108.97165999999996 34.276059999999994,108.97165999999996 34.27087999999999,108.96647999999996 34.27087999999999))",POINT (108.96906999999996 34.27346999999999),0,0,0,0,0,0,0,0.0,0.0
21,C1,108.92313695937501,34.268370925,"POLYGON ((108.91986 34.26569999999999,108.91986 34.27087999999999,108.92504 34.27087999999999,108.92504 34.26569999999999,108.91986 34.26569999999999))",POINT (108.92313695937501 34.268370925),125,0,0,0,0,0,0,817.91707021312,817.91707021312
22,C2,108.92799054086956,34.26801528086956,"POLYGON ((108.92504 34.26569999999999,108.92504 34.27087999999999,108.93021999999999 34.27087999999999,108.93021999999999 34.26569999999999,108.92504 34.26569999999999))",POINT (108.92799054086956 34.26801528086956),113,0,0,0,0,1,0,819.020868290733,797.4209615827842
23,C3,108.93338981576358,34.26789187463056,"POLYGON ((108.93021999999999 34.26569999999999,108.93021999999999 34.27087999999999,108.93539999999999 34.27087999999999,108.93539999999999 34.26569999999999,108.93021999999999 34.26569999999999))",POINT (108.93338981576358 34.26789187463056),396,0,0,0,0,0,0,1254.7160765448323,1254.7160765448323
24,C4,108.93796492334296,34.26844598703169,"POLYGON ((108.93539999999999 34.26569999999999,108.93539999999999 34.27087999999999,108.94057999999998 34.27087999999999,108.94057999999998 34.26569999999999,108.93539999999999 34.26569999999999))",POINT (108.93796492334296 34.26844598703169),346,2,0,0,1,0,0,981.9947836072965,956.6327718115333
25,C5,108.94318462555557,34.26870466999999,"POLYGON ((108.94057999999998 34.26569999999999,108.94057999999998 34.27087999999999,108.94575999999998 34.27087999999999,108.94575999999998 34.26569999999999,108.94057999999998 34.26569999999999))",POINT (108.94318462555557 34.26870466999999),86,3,0,2,2,0,0,1827.6036279109758,940.3205436110976
26,C6,108.94779515444446,34.26896826000001,"POLYGON ((108.94575999999998 34.26569999999999,108.94575999999998 34.27087999999999,108.95093999999997 34.27087999999999,108.95093999999997 34.26569999999999,108.94575999999998 34.26569999999999))",POINT (108.94779515444446 34.26896826000001),76,1,0,0,0,0,0,968.0252777602561,969.2966678010625
27,C7,108.95307357288135,34.26861673898304,"POLYGON ((108.95093999999997 34.26569999999999,108.95093999999997 34.27087999999999,108.95611999999997 34.27087999999999,108.95611999999997 34.26569999999999,108.95093999999997 34.26569999999999))",POINT (108.95307357288135 34.26861673898304),56,3,0,0,0,1,0,956.0067708309311,961.8632099652735
28,C8,108.95838884218752,34.26850212656248,"POLYGON ((108.95611999999997 34.26569999999999,108.95611999999997 34.27087999999999,108.96129999999997 34.27087999999999,108.96129999999997 34.26569999999999,108.95611999999997 34.26569999999999))",POINT (108.95838884218752 34.26850212656248),54,0,0,19,0,0,0,3082.664750090618,703.0087274588159
29,C9,108.96361519124996,34.26802835375001,"POLYGON ((108.96129999999997 34.26569999999999,108.96129999999997 34.27087999999999,108.96647999999996 34.27087999999999,108.96647999999996 34.26569999999999,108.96129999999997 34.26569999999999))",POINT (108.96361519124996 34.26802835375001),78,1,0,21,0,0,0,642.4520178576897,533.2998094449408
30,C10,108.9668249,34.2703065,"POLYGON ((108.96647999999996 34.26569999999999,108.96647999999996 34.27087999999999,108.97165999999996 34.27087999999999,108.97165999999996 34.26569999999999,108.96647999999996 34.26569999999999))",POINT (108.9668249 34.2703065),1,0,0,0,0,0,0,10.0427284032,10.0427284032
31,D1,108.92316799375,34.26357915937499,"POLYGON ((108.91986 34.260519999999985,108.91986 34.26569999999999,108.92504 34.26569999999999,108.92504 34.260519999999985,108.91986 34.260519999999985))",POINT (108.92316799375 34.26357915937499),58,0,0,0,0,0,0,841.8391120020989,721.050728946176
32,D2,108.92763324757287,34.263443684466026,"POLYGON ((108.92504 34.260519999999985,108.92504 34.26569999999999,108.93021999999999 34.26569999999999,108.93021999999999 34.260519999999985,108.92504 34.260519999999985))",POINT (108.92763324757287 34.263443684466026),97,0,0,0,0,1,0,765.6429079918657,759.5748719068802
33,D3,108.93272582941177,34.263898780147045,"POLYGON ((108.93021999999999 34.260519999999985,108.93021999999999 34.26569999999999,108.93539999999999 34.26569999999999,108.93539999999999 34.260519999999985,108.93021999999999 34.260519999999985))",POINT (108.93272582941177 34.263898780147045),129,1,0,1,1,0,0,947.6122577207932,688.0000215382272
34,D4,108.93802876540883,34.26364868427673,"POLYGON ((108.93539999999999 34.260519999999985,108.93539999999999 34.26569999999999,108.94057999999998 34.26569999999999,108.94057999999998 34.260519999999985,108.93539999999999 34.260519999999985))",POINT (108.93802876540883 34.26364868427673),152,17,0,2,1,1,0,979.5597375383807,777.0737481585147
35,D5,108.94342721333338,34.263175633333326,"POLYGON ((108.94057999999998 34.260519999999985,108.94057999999998 34.26569999999999,108.94575999999998 34.26569999999999,108.94575999999998 34.260519999999985,108.94057999999998 34.260519999999985))",POINT (108.94342721333338 34.263175633333326),69,0,0,3,0,1,0,1025.161790901267,977.1456765407999
36,D6,108.94780108761064,34.26313227079646,"POLYGON ((108.94575999999998 34.260519999999985,108.94575999999998 34.26569999999999,108.95093999999997 34.26569999999999,108.95093999999997 34.260519999999985,108.94575999999998 34.260519999999985))",POINT (108.94780108761064 34.26313227079646),105,0,0,0,0,0,0,1135.6344879488634,1140.8049323095033
37,D7,108.95389683200003,34.26276593800001,"POLYGON ((108.95093999999997 34.260519999999985,108.95093999999997 34.26569999999999,108.95611999999997 34.26569999999999,108.95611999999997 34.260519999999985,108.95093999999997 34.260519999999985))",POINT (108.95389683200003 34.26276593800001),149,0,0,0,0,1,0,1040.0609781217663,1036.309260207488
38,D8,108.95952822566369,34.263729755752216,"POLYGON ((108.95611999999997 34.260519999999985,108.95611999999997 34.26569999999999,108.96129999999997 34.26569999999999,108.96129999999997 34.260519999999985,108.95611999999997 34.260519999999985))",POINT (108.95952822566369 34.263729755752216),109,2,0,2,0,0,0,863.7841462126719,746.9888940534781
39,D9,108.9635535487395,34.26345412100841,"POLYGON ((108.96129999999997 34.260519999999985,108.96129999999997 34.26569999999999,108.96647999999996 34.26569999999999,108.96647999999996 34.260519999999985,108.96129999999997 34.260519999999985))",POINT (108.9635535487395 34.26345412100841),115,2,0,3,1,1,0,1138.5091171111355,937.7329426065792
40,D10,108.96906999999996,34.26310999999998,"POLYGON ((108.96647999999996 34.260519999999985,108.96647999999996 34.26569999999999,108.97165999999996 34.26569999999999,108.97165999999996 34.260519999999985,108.96647999999996 34.260519999999985))",POINT (108.96906999999996 34.26310999999998),0,0,0,0,0,0,0,0.0,0.0
41,E1,108.92289081052627,34.25796302105263,"POLYGON ((108.91986 34.25533999999998,108.91986 34.260519999999985,108.92504 34.260519999999985,108.92504 34.25533999999998,108.91986 34.25533999999998))",POINT (108.92289081052627 34.25796302105263),128,0,0,0,0,0,0,1110.6774746471044,1110.6774746471044
42,E2,108.92804899098368,34.25768186967214,"POLYGON ((108.92504 34.25533999999998,108.92504 34.260519999999985,108.93021999999999 34.260519999999985,108.93021999999999 34.25533999999998,108.92504 34.25533999999998))",POINT (108.92804899098368 34.25768186967214),118,0,0,0,0,0,0,1102.2065914374407,1102.2065914374407
43,E3,108.93246012074074,34.25804768666668,"POLYGON ((108.93021999999999 34.25533999999998,108.93021999999999 34.260519999999985,108.93539999999999 34.260519999999985,108.93539999999999 34.25533999999998,108.93021999999999 34.25533999999998))",POINT (108.93246012074074 34.25804768666668),132,0,0,0,1,1,0,1193.5026263567358,1086.0579185785596
44,E4,108.93811166959459,34.25775604324325,"POLYGON ((108.93539999999999 34.25533999999998,108.93539999999999 34.260519999999985,108.94057999999998 34.260519999999985,108.94057999999998 34.25533999999998,108.93539999999999 34.25533999999998))",POINT (108.93811166959459 34.25775604324325),142,0,0,0,0,1,0,1254.1566738443717,1247.6488889639045
45,E5,108.94303616071429,34.257924473214295,"POLYGON ((108.94057999999998 34.25533999999998,108.94057999999998 34.260519999999985,108.94575999999998 34.260519999999985,108.94575999999998 34.25533999999998,108.94057999999998 34.25533999999998))",POINT (108.94303616071429 34.257924473214295),52,0,0,6,0,1,0,1750.232704539238,831.6603320149119
46,E6,108.94938318717952,34.25739874358975,"POLYGON ((108.94575999999998 34.25533999999998,108.94575999999998 34.260519999999985,108.95093999999997 34.260519999999985,108.95093999999997 34.25533999999998,108.94575999999998 34.25533999999998))",POINT (108.94938318717952 34.25739874358975),72,0,0,5,0,0,0,783.5831820390083,588.8958502582401
47,E7,108.95363168705883,34.25792892529412,"POLYGON ((108.95093999999997 34.25533999999998,108.95093999999997 34.260519999999985,108.95611999999997 34.260519999999985,108.95611999999997 34.25533999999998,108.95093999999997 34.25533999999998))",POINT (108.95363168705883 34.25792892529412),153,0,0,0,0,0,0,1390.0140775647992,1390.0140775647992
48,E8,108.95847194057968,34.25755741956522,"POLYGON ((108.95611999999997 34.25533999999998,108.95611999999997 34.260519999999985,108.96129999999997 34.260519999999985,108.96129999999997 34.25533999999998,108.95611999999997 34.25533999999998))",POINT (108.95847194057968 34.25755741956522),106,0,0,2,0,0,0,1656.1922887931714,1582.9240406343038
49,E9,108.96377849295776,34.25660312112676,"POLYGON ((108.96129999999997 34.25533999999998,108.96129999999997 34.260519999999985,108.96647999999996 34.260519999999985,108.96647999999996 34.25533999999998,108.96129999999997 34.25533999999998))",POINT (108.96377849295776 34.25660312112676),61,0,0,3,0,0,0,662.0102951783743,571.6183016874879
50,E10,108.96906999999996,34.25792999999999,"POLYGON ((108.96647999999996 34.25533999999998,108.96647999999996 34.260519999999985,108.97165999999996 34.260519999999985,108.97165999999996 34.25533999999998,108.96647999999996 34.25533999999998))",POINT (108.96906999999996 34.25792999999999),0,0,0,0,0,0,0,0.0,0.0
51,F1,108.9235323347826,34.25453863043479,"POLYGON ((108.91986 34.25015999999998,108.91986 34.25533999999998,108.92504 34.25533999999998,108.92504 34.25015999999998,108.91986 34.25015999999998))",POINT (108.9235323347826 34.25453863043479),23,0,0,0,0,0,0,293.57381585856007,293.57381585856007
52,F2,108.92768399545452,34.2545809340909,"POLYGON ((108.92504 34.25015999999998,108.92504 34.25533999999998,108.93021999999999 34.25533999999998,108.93021999999999 34.25015999999998,108.92504 34.25015999999998))",POINT (108.92768399545452 34.2545809340909),44,0,0,0,0,0,0,309.94572357696006,309.94572357696006
