name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
翠湖公园,0,24044964,,,,park,,"POLYGON ((102.7001792 25.0511782, 102.7001862 25.051333, 102.7003917 25.0514489, 102.7003897 25.0516115, 102.7003186 25.0516851, 102.7001503 25.0516542, 102.6999992 25.0517427, 102.6999285 25.0518724, 102.7000156 25.0525375, 102.7001873 25.0532193, 102.7002678 25.0533432, 102.7005118 25.0533432, 102.7008685 25.05328, 102.7013486 25.0531391, 102.7017376 25.0530686, 102.7018196 25.0530865, 102.7018784 25.0531342, 102.7020139 25.0533323, 102.7022553 25.0536591, 102.7023974 25.053845, 102.7026147 25.054009, 102.7028829 25.0541828, 102.7031847 25.0544354, 102.7036755 25.0541354, 102.7038914 25.0540224, 102.7041489 25.0539738, 102.7043313 25.053924, 102.7045472 25.0537174, 102.7046303 25.0535425, 102.7047229 25.0533469, 102.704794 25.0532132, 102.7051386 25.0526179, 102.7052446 25.0523482, 102.7052808 25.0520858, 102.7052607 25.0518902, 102.7052164 25.0517371, 102.7051172 25.0515901, 102.7050582 25.0515111, 102.7050018 25.0515476, 102.7049661 25.0514932, 102.7049388 25.0514516, 102.7049643 25.0513629, 102.7048637 25.0511734, 102.7047054 25.0509632, 102.7045633 25.0507566, 102.7043568 25.0505792, 102.7040885 25.0504177, 102.7037345 25.0502743, 102.7035065 25.050171, 102.7032517 25.0500362, 102.7031189 25.049877, 102.7029674 25.0494408, 102.7028145 25.0492792, 102.7019951 25.0489075, 102.7019119 25.0489925, 102.7018588 25.0489752, 102.7017054 25.048854, 102.7014881 25.0486718, 102.7011555 25.0486062, 102.701008 25.0487422, 102.7008384 25.0489068, 102.7007743 25.0489867, 102.7007385 25.0490727, 102.7006307 25.0494098, 102.7006021 25.049422, 102.7001792 25.0511782))",POINT (102.7024899 25.0516287),217263.5,2338602.8
云南大学 东陆校区,1,24046824,,,university,,,"POLYGON ((102.7027814 25.0550577, 102.7024029 25.054963, 102.7023117 25.0549402, 102.7022356 25.0549284, 102.7018669 25.054871, 102.7015599 25.0550365, 102.7014177 25.0550722, 102.7009288 25.0551949, 102.7008953 25.0556066, 102.7006773 25.0559723, 102.7002626 25.0559267, 102.7002395 25.0560124, 102.6990664 25.0558013, 102.6989956 25.0560106, 102.6987576 25.0559773, 102.6987174 25.0560612, 102.6986262 25.056405, 102.6978859 25.0562956, 102.6974899 25.0571755, 102.6973263 25.0575472, 102.6992095 25.0582873, 102.699367 25.0583492, 102.700169 25.0586775, 102.7014275 25.0591176, 102.7020798 25.0584184, 102.7023941 25.0580118, 102.7026128 25.0577371, 102.7027861 25.0573848, 102.7028506 25.0572266, 102.7025128 25.0572004, 102.7025237 25.0568341, 102.7025756 25.0564585, 102.7029773 25.0564895, 102.7030115 25.0562581, 102.703546 25.0562908, 102.703557 25.0562273, 102.7035062 25.0561501, 102.7029903 25.0557173, 102.7029153 25.0555964, 102.7028479 25.0555723, 102.7026863 25.0555236, 102.7027632 25.0551438, 102.7027814 25.0550577))",POINT (102.7005923 25.0570029),158833.8,1709670.8
东风广场,2,35810519,,,,park,,"POLYGON ((102.7156958 25.0413914, 102.7180052 25.0413647, 102.717971 25.0434286, 102.7159472 25.0433463, 102.7158719 25.0425558, 102.7156985 25.0418677, 102.7156958 25.0413914))",POINT (102.7169093 25.042356),48757.9,524825.2
莲花池公园,3,35842536,,,,park,,"POLYGON ((102.7005202 25.065712, 102.7002397 25.0657847, 102.6999639 25.0658238, 102.6997307 25.0658492, 102.6992987 25.0658486, 102.699429 25.0654477, 102.6996269 25.0655328, 102.699753 25.0654275, 102.6999014 25.0650489, 102.6996615 25.0649907, 102.6997412 25.0647288, 102.6993091 25.0645795, 102.698799 25.0642741, 102.6988146 25.0640087, 102.6985943 25.0639474, 102.6986796 25.0635801, 102.698483 25.0634673, 102.6986895 25.0631589, 102.6990209 25.062837, 102.6993553 25.0625123, 102.7002702 25.0630289, 102.7009526 25.0632691, 102.7007789 25.0637121, 102.7007443 25.0638137, 102.7006405 25.0643574, 102.7006213 25.0647956, 102.7005854 25.0651214, 102.7005281 25.0656407, 102.7005202 25.065712))",POINT (102.6997973 25.0640575),51412.3,553397.4
茶花公园,4,35865194,,,,park,,"POLYGON ((102.7185515 25.0392895, 102.7191505 25.0393116, 102.7191585 25.0392529, 102.7191867 25.0392043, 102.719239 25.0391655, 102.7192609 25.0384705, 102.7185816 25.0384587, 102.7185515 25.0392895))",POINT (102.7189033 25.0388778),6276.6,67560.2
大观公园,5,35900102,,,,park,,"POLYGON ((102.6737071 25.0294017, 102.6709743 25.0291248, 102.6707749 25.0268648, 102.670806 25.026336, 102.6699351 25.0262132, 102.6689965 25.0261439, 102.6679177 25.0261439, 102.6671986 25.0258344, 102.6666771 25.0249711, 102.6662352 25.0240169, 102.6670547 25.0237494, 102.6674342 25.0235965, 102.6675401 25.0235539, 102.668093 25.0234705, 102.6681874 25.0234562, 102.668619 25.023391, 102.6689351 25.023391, 102.6691044 25.023391, 102.6696772 25.0236715, 102.6697696 25.0237168, 102.6700933 25.0240426, 102.6701383 25.0240713, 102.6704441 25.0242662, 102.6705585 25.0243392, 102.6713343 25.024507, 102.6717821 25.0248288, 102.6723254 25.0252337, 102.6721957 25.0253797, 102.6723704 25.0255705, 102.6724776 25.0254826, 102.6726518 25.0256088, 102.6726919 25.0255735, 102.6732211 25.0259855, 102.6732047 25.0260275, 102.6735001 25.0261492, 102.6735255 25.0261289, 102.6739956 25.026352, 102.6741971 25.0264291, 102.674403 25.0265102, 102.6748239 25.0266995, 102.6753641 25.026878, 102.6756775 25.0270836, 102.6758566 25.027258, 102.6759252 25.0274716, 102.6754099 25.0275253, 102.6753539 25.0277108, 102.6753807 25.0282005, 102.6751151 25.0281789, 102.6750047 25.0285683, 102.674639 25.0285495, 102.6746654 25.0291591, 102.6742193 25.0291159, 102.6737587 25.0291575, 102.6737071 25.0294017))",POINT (102.6711717 25.0263536),284050.4,3057489.9
金殿公园,6,35934429,,,,park,,"POLYGON ((102.765594 25.0908159, 102.765578 25.0901337, 102.7655615 25.0894234, 102.7685499 25.0894816, 102.769585 25.0887004, 102.7699947 25.0875284, 102.7693261 25.0862002, 102.7690243 25.0852041, 102.769434 25.0849892, 102.7703612 25.0856923, 102.771116 25.086669, 102.7717413 25.0856142, 102.7729489 25.0853213, 102.7730998 25.0858682, 102.7727764 25.087255, 102.7733802 25.0887394, 102.7736174 25.0893059, 102.7724961 25.0904191, 102.771655 25.0917083, 102.771519 25.0923572, 102.7711348 25.0925786, 102.7706795 25.0921873, 102.7704657 25.0927898, 102.7694454 25.0930813, 102.7688971 25.0926341, 102.7680629 25.0919536, 102.768026 25.0919888, 102.7665557 25.0915667, 102.7656248 25.091054, 102.765594 25.0908159))",POINT (102.7701086 25.0894395),357794.1,3851259.8
真庆观,7,37276060,,,place_of_worship,,,"POLYGON ((102.7242334 25.037899, 102.7242396 25.0366608, 102.7249266 25.0366636, 102.7249188 25.0381899, 102.724574 25.0381884, 102.7245755 25.0379004, 102.7242334 25.037899))",POINT (102.7245974 25.0373611),10610.6,114212
新西南商城,8,37276068,,retail,,,,"POLYGON ((102.7128999 25.0448425, 102.7130869 25.0449238, 102.7132785 25.0449458, 102.7135051 25.0449389, 102.7136891 25.0448838, 102.7136861 25.0449169, 102.7139081 25.0449348, 102.7139294 25.04487, 102.7139796 25.0448315, 102.7140541 25.0448163, 102.7140708 25.0444567, 102.7138122 25.0444317, 102.7137074 25.0444264, 102.7135743 25.0444391, 102.7135219 25.0443148, 102.7132223 25.0443052, 102.7129333 25.0440985, 102.7127142 25.0440877, 102.712687 25.0443162, 102.7126809 25.0445036, 102.7127676 25.0447185, 102.7128999 25.0448425))",POINT (102.7133161 25.0445809),8954.8,96388.3
文庙,9,37276126,,,,park,,"POLYGON ((102.7071096 25.0451699, 102.7070724 25.0458326, 102.7074396 25.0458431, 102.7074822 25.0450889, 102.7072302 25.045072, 102.7071096 25.0451699))",POINT (102.7072796 25.045465),3060.5,32942.9
