name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,28258941,0,1,1,369.97,2,,,primary,3,"LINESTRING (108.9426589 34.2543903, 108.9425750 34.2544478, 108.9425140 34.2545040, 108.9424154 34.2546449, 108.9424017 34.2546979, 108.9423974 34.2547436, 108.9424121 34.2576512)",auto,0,0,,
,1,28258941,1,2,1,211.81,2,,,primary,3,"LINESTRING (108.9424121 34.2576512, 108.9424143 34.2589303, 108.9424225 34.2595614)",auto,0,0,,
,2,28258941,2,3,1,105.61,2,,,primary,3,"LINESTRING (108.9424225 34.2595614, 108.9424222 34.2600097, 108.9424408 34.2601294, 108.9424715 34.2601979, 108.9425111 34.2602626, 108.9425563 34.2603130, 108.9426806 34.2604543)",auto,0,0,,
,3,28258942,4,5,1,182.06,2,,,primary,3,"LINESTRING (108.9419902 34.2604716, 108.9421151 34.2603562, 108.9421958 34.2602767, 108.9422385 34.2602038, 108.9422519 34.2601009, 108.9422550 34.2598897, 108.9422559 34.2595718, 108.9422577 34.2589027)",auto,0,0,,
,4,28258942,5,6,1,138.66,2,,,primary,3,"LINESTRING (108.9422577 34.2589027, 108.9422616 34.2576522)",auto,0,0,,
,5,28258942,6,7,1,65.62,2,,,primary,3,"LINESTRING (108.9422616 34.2576522, 108.9422578 34.2570604)",auto,0,0,,
,6,28258942,7,8,1,284.49,2,,,primary,3,"LINESTRING (108.9422578 34.2570604, 108.9422616 34.2558186, 108.9422438 34.2547558, 108.9422388 34.2547031, 108.9422189 34.2546587, 108.9421204 34.2545203)",auto,0,0,,
,7,28258942,8,9,1,20.51,2,,,primary,3,"LINESTRING (108.9421204 34.2545203, 108.9420825 34.2544794, 108.9420321 34.2544324, 108.9419669 34.2543873)",auto,0,0,,
,8,28258945,10,11,1,52.27,2,,,secondary,4,"LINESTRING (108.9430867 34.2608258, 108.9431876 34.2609110, 108.9432696 34.2609600, 108.9433615 34.2609948, 108.9434405 34.2610145, 108.9435766 34.2610394)",auto,0,0,,
尚勤路,9,28258956,12,13,1,129.5,2,,,tertiary,5,"LINESTRING (108.9622557 34.2610198, 108.9622813 34.2621875)",auto,1,0,,
尚勤路,10,28258956,13,12,1,129.5,2,,,tertiary,5,"LINESTRING (108.9622813 34.2621875, 108.9622557 34.2610198)",auto,1,0,,
尚勤路,11,28258956,13,14,1,91.25,2,,,tertiary,5,"LINESTRING (108.9622813 34.2621875, 108.9622803 34.2630104)",auto,1,0,,
尚勤路,12,28258956,14,13,1,91.25,2,,,tertiary,5,"LINESTRING (108.9622803 34.2630104, 108.9622813 34.2621875)",auto,1,0,,
尚勤路,13,28258956,14,15,1,37.37,2,,,tertiary,5,"LINESTRING (108.9622803 34.2630104, 108.9622810 34.2633474)",auto,1,0,,
尚勤路,14,28258956,15,14,1,37.37,2,,,tertiary,5,"LINESTRING (108.9622810 34.2633474, 108.9622803 34.2630104)",auto,1,0,,
尚勤路,15,28258956,15,16,1,270.44,2,,,tertiary,5,"LINESTRING (108.9622810 34.2633474, 108.9622842 34.2649645, 108.9622859 34.2657864)",auto,1,0,,
尚勤路,16,28258956,16,15,1,270.44,2,,,tertiary,5,"LINESTRING (108.9622859 34.2657864, 108.9622842 34.2649645, 108.9622810 34.2633474)",auto,1,0,,
西大街,17,28275325,17,18,1,30.22,2,,,secondary,4,"LINESTRING (108.9214816 34.2606409, 108.9217391 34.2608099)",auto,0,0,,
西大街,18,28275325,18,19,1,37.28,2,,,secondary,4,"LINESTRING (108.9217391 34.2608099, 108.9217629 34.2608272, 108.9221061 34.2609492)",auto,0,0,,
