name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,5505270643,,,,,primary,0,108.9426589,34.2543903,,,
,1,733110409,,,,,primary,0,108.9424121,34.2576512,,,
,2,2225530273,,,,,primary,0,108.9424225,34.2595614,,,
,3,286622555,,,,,primary,0,108.9426806,34.2604543,,,
,4,310347676,,,,,primary,0,108.9419902,34.2604716,,,
,5,3710305404,,,,,primary,0,108.9422577,34.2589027,,,
,6,743368127,,,,,primary,0,108.9422616,34.2576522,,,
,7,310348108,traffic_signals,,signal,,primary,0,108.9422578,34.2570604,,,
,8,2689348608,,,,,primary,0,108.9421204,34.2545203,,,
,9,4233399521,,,,,primary,0,108.9419669,34.2543873,,,
,10,311003940,,,,,primary,0,108.9430867,34.2608258,,,
,11,311003944,,,,,secondary,0,108.9435766,34.2610394,,,
,12,310347702,,,,,tertiary,0,108.9622557,34.2610198,,,
,13,2525089172,,,,,tertiary,0,108.9622813,34.2621875,,,
,14,3842086324,,,,,tertiary,0,108.9622803,34.2630104,,,
,15,733110401,,,,,tertiary,0,108.962281,34.2633474,,,
,16,311461962,,,,,tertiary,0,108.9622859,34.2657864,,,
,17,310348161,,,,,secondary,0,108.9214816,34.2606409,,,
,18,310740603,,,,,secondary,0,108.9217391,34.2608099,,,
,19,310740594,,,,,secondary,0,108.9221061,34.2609492,,,
,20,311004007,,,,,primary,0,108.9416327,34.2612337,,,
,21,2603032621,,,,,secondary,0,108.9388862,34.2610097,,,
,22,2695203091,,,,,secondary,0,108.9344891,34.2610713,,,
,23,310740607,,,,,secondary,0,108.9343689,34.2610723,,,
,24,4447994729,,,,,secondary,0,108.9343054,34.2610725,,,
,25,743368233,,,,,secondary,0,108.9316918,34.261082,,,
,26,310740606,,,,,secondary,0,108.9279026,34.2610724,,,
,27,743368209,,,,,secondary,0,108.9253599,34.2610548,,,
,28,1918761413,,,,,residential,0,108.9221112,34.2610682,,,
,29,310348221,,,,,secondary,0,108.9213442,34.2614786,,,
,30,311003978,,,,,primary,0,108.9427048,34.2615546,,,
,31,311461960,,,,,primary,0,108.9424365,34.2619455,,,
,32,732826020,,,,,tertiary,0,108.9662515,34.2716703,,,
,33,2636414907,,,,,primary,0,108.9658138,34.2716703,,,
,34,732825451,,,,,residential,0,108.9643118,34.2716701,,,
,35,491836241,,,,,tertiary,0,108.962293,34.27167,,,
,36,491836240,,,,,tertiary,0,108.9604672,34.2716698,,,
,37,733110462,crossing,,,,primary,0,108.9583229,34.2716696,,,
,38,431391143,crossing,,,,primary,0,108.9581464,34.2716696,,,
,39,699678565,traffic_signals,,signal,,secondary,0,108.9493582,34.2575557,,,
,40,1557695675,,,,,secondary,0,108.9493435,34.2555592,,,
