name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,28484445,,,,garden,,"POLYGON ((108.942201 34.2614839, 108.9420587 34.2614333, 108.9419379 34.2613531, 108.9418475 34.2612497, 108.9417938 34.261131, 108.9417797 34.261006, 108.9418051 34.2608836, 108.9418671 34.2607719, 108.9419604 34.2606778, 108.942078 34.260607, 108.9422121 34.260563, 108.9423542 34.2605479, 108.9425001 34.260563, 108.9426362 34.2606078, 108.9427543 34.2606797, 108.942847 34.2607741, 108.9429079 34.2608854, 108.9429327 34.2610068, 108.9429187 34.2611305, 108.9428658 34.2612482, 108.9427762 34.2613516, 108.9426553 34.2614324, 108.9425111 34.261484, 108.9423541 34.2615015, 108.942201 34.2614839))",POINT (108.9423562 34.2610245),8721.1,93873
古都新世界大酒店,1,64931391,,yes,,,,"POLYGON ((108.9278723 34.2707176, 108.9278767 34.2702949, 108.9278801 34.269972, 108.927528 34.2699694, 108.9275247 34.270281, 108.9275229 34.2704489, 108.9270795 34.2704457, 108.9270805 34.2703466, 108.9273549 34.2703486, 108.9273574 34.270115, 108.9266834 34.2701101, 108.9266771 34.270709, 108.9278723 34.2707176))",POINT (108.927299 34.2703974),6982.3,75156.4
,2,142320594,,,,pitch,,"POLYGON ((108.9610952 34.2588765, 108.9617202 34.2588819, 108.9617271 34.2583321, 108.9611021 34.2583267, 108.9610952 34.2588765))",POINT (108.9614111 34.2586043),3508.3,37763.3
,3,142323458,,,,pitch,,"POLYGON ((108.954166 34.2706962, 108.954153 34.2701833, 108.9533666 34.2701389, 108.953401 34.2707094, 108.954166 34.2706962))",POINT (108.9537648 34.2704307),4285.3,46126.2
,4,142323485,,,,pitch,,"POLYGON ((108.9544081 34.2706661, 108.9548051 34.2706596, 108.954797 34.2703216, 108.9544 34.2703281, 108.9544081 34.2706661))",POINT (108.9546026 34.2704939),1370.2,14748.7
,5,142323489,,,,swimming_pool,,"POLYGON ((108.9550769 34.2704849, 108.9552902 34.2704828, 108.9552965 34.2709261, 108.9550832 34.2709282, 108.9550769 34.2704849))",POINT (108.9551867 34.2707055),965.3,10390.2
,6,142324641,,,,pitch,,"POLYGON ((108.9384046 34.2736154, 108.9393348 34.2736331, 108.9393467 34.2732604, 108.9384073 34.2732475, 108.9384046 34.2736154))",POINT (108.9388744 34.2734388),3534.3,38043
,7,142324653,,,,pitch,,"POLYGON ((108.9381816 34.2760256, 108.9386027 34.2760282, 108.9386063 34.2756265, 108.9381852 34.2756239, 108.9381816 34.2760256))",POINT (108.9383939 34.275826),1726.6,18585
,8,164792879,,yes,,,,"POLYGON ((108.9442559 34.269849, 108.9442505 34.2697333, 108.9452312 34.2697023, 108.9452365 34.269818, 108.9442559 34.269849))",POINT (108.9447435 34.2697756),1159.8,12484.3
,9,164792880,,yes,,,,"POLYGON ((108.9446402 34.2712361, 108.9458315 34.271241, 108.9458328 34.2710204, 108.9453289 34.2710184, 108.9453295 34.2709109, 108.9452382 34.2709105, 108.9451667 34.2709105, 108.9448661 34.2709104, 108.9446421 34.2709095, 108.9446402 34.2712361))",POINT (108.945182 34.2710924),3430.2,36922.8
,10,164792881,,yes,,,,"POLYGON ((108.9444083 34.2704158, 108.9444091 34.2702632, 108.9445187 34.2702636, 108.9445191 34.2701769, 108.945275 34.2701795, 108.9452738 34.2704188, 108.9444083 34.2704158))",POINT (108.9448598 34.2703014),2017,21710.6
,11,164792886,,,,pitch,,"POLYGON ((108.9447011 34.2708299, 108.9446925 34.2706483, 108.9452318 34.2706309, 108.9452404 34.2708125, 108.9447011 34.2708299))",POINT (108.9449665 34.2707304),1001.2,10776.7
,12,164792887,,yes,,,,"POLYGON ((108.9453421 34.2708236, 108.9453496 34.2707304, 108.9454342 34.270735, 108.9454391 34.2706739, 108.9457385 34.2706904, 108.9457335 34.2707528, 108.9458418 34.2707587, 108.9458344 34.2708506, 108.9453421 34.2708236))",POINT (108.9455899 34.2707684),656.5,7066.5
,13,164792888,,yes,,,,"POLYGON ((108.945364 34.2700476, 108.9453604 34.2699413, 108.9463329 34.2699189, 108.9463365 34.2700253, 108.945364 34.2700476))",POINT (108.9458485 34.2699833),1056.5,11372.2
,14,164792889,,yes,,,,"POLYGON ((108.9447043 34.2700297, 108.9447032 34.2699387, 108.945241 34.2699343, 108.9452421 34.2700253, 108.9447043 34.2700297))",POINT (108.9449727 34.269982),499.6,5377.6
,15,164792891,,,university,,,"POLYGON ((108.9443989 34.2710181, 108.9444082 34.2705461, 108.9446001 34.2705487, 108.9445908 34.2710206, 108.9443989 34.2710181))",POINT (108.9444995 34.2707834),924.7,9953.2
,16,164792892,,yes,,,,"POLYGON ((108.9453773 34.2705464, 108.9453758 34.2704509, 108.9463605 34.2704402, 108.946362 34.2705357, 108.9453773 34.2705464))",POINT (108.9458689 34.2704933),960,10333.8
,17,164792894,,yes,,,,"POLYGON ((108.9455616 34.270314, 108.9455555 34.2701689, 108.9458017 34.2701617, 108.9458045 34.2702286, 108.9463169 34.2702137, 108.9463202 34.270292, 108.9455616 34.270314))",POINT (108.945883 34.2702497),775.1,8342.8
,18,164792896,,yes,,,,"POLYGON ((108.9453417 34.2698158, 108.9463466 34.2698019, 108.9463447 34.2697081, 108.9453398 34.269722, 108.9453417 34.2698158))",POINT (108.9458432 34.269762),962.4,10359.3
,19,233663695,,yes,,,,"POLYGON ((108.942924 34.2647182, 108.9433227 34.2647168, 108.9433264 34.2651305, 108.942924 34.2651261, 108.942924 34.2647182))",POINT (108.9431247 34.2649232),1679.6,18079.5
莲湖公园,20,245153371,,,,park,,"POLYGON ((108.9369283 34.2711825, 108.9369149 34.2710096, 108.9377225 34.2709235, 108.9378919 34.2699869, 108.9368497 34.2699762, 108.9366934 34.2697501, 108.9366543 34.2696424, 108.9361723 34.269524, 108.9344528 34.2696101, 108.9344007 34.269707, 108.9339881 34.2697137, 108.9338758 34.2697166, 108.9337961 34.2697176, 108.9336712 34.2697286, 108.9337493 34.269847, 108.9338145 34.2699331, 108.933787 34.2699398, 108.9335723 34.2700066, 108.9334237 34.2700515, 108.9334458 34.2703175, 108.9335539 34.2704068, 108.9334887 34.2711588, 108.9369283 34.2711825))",POINT (108.9355472 34.2704118),61912,666414.6
西安儿童公园,21,245153373,,,,park,,"POLYGON ((108.9240921 34.2625416, 108.9240928 34.2626435, 108.9240997 34.2636901, 108.9241001 34.2637721, 108.9243243 34.2637632, 108.9243579 34.2639403, 108.9247397 34.2640302, 108.9248012 34.2641701, 108.9249965 34.2641689, 108.9249989 34.2640579, 108.9251777 34.2640557, 108.9251511 34.2640095, 108.9251478 34.2639128, 108.9257615 34.2639086, 108.925795 34.2639084, 108.925788 34.2625648, 108.9240921 34.2625416))",POINT (108.9249472 34.26326),24300.4,261567
无极公园,22,245153374,,,,park,,"POLYGON ((108.9213042 34.2547128, 108.9213022 34.2541459, 108.9213143 34.2540789, 108.9213371 34.2540456, 108.9216561 34.2538108, 108.9229813 34.2538087, 108.9229765 34.254712, 108.9213042 34.2547128))",POINT (108.9221642 34.2542724),14963.6,161066.4
明秦王府城墙遗址,23,245283771,,,,park,,"POLYGON ((108.9491535 34.264845, 108.9491581 34.2649686, 108.9487201 34.2649797, 108.9483912 34.2652468, 108.9483769 34.2648649, 108.9491535 34.264845))",POINT (108.948683 34.2649652),1427,15360.6
革命公园,24,245283775,,,,park,,"POLYGON ((108.9515364 34.2732721, 108.9515364 34.2730695, 108.9516867 34.2730238, 108.9516828 34.2724607, 108.9526673 34.2724617, 108.9526673 34.2721284, 108.9529758 34.272135, 108.9529679 34.2718801, 108.9527148 34.2718866, 108.9527148 34.2716971, 108.9554432 34.2717102, 108.9554195 34.2718866, 108.955554 34.2718801, 108.955554 34.2740302, 108.9547394 34.2740368, 108.954597 34.2742459, 108.9536005 34.2742655, 108.9536005 34.2744942, 108.9527148 34.2745008, 108.952699 34.2741675, 108.9522482 34.2741609, 108.9520821 34.2744223, 108.9519081 34.2744158, 108.9517657 34.2739126, 108.9517816 34.2732787, 108.9515364 34.2732721))",POINT (108.9537091 34.2730655),91573.9,985692.1
西安交通大学口腔医学院,25,246438228,,,college,,,"POLYGON ((108.9434572 34.2712333, 108.9434634 34.2708057, 108.9427453 34.2707985, 108.9427608 34.2697401, 108.9440966 34.2697534, 108.9440984 34.269631, 108.9450449 34.2696405, 108.946482 34.2696549, 108.9464798 34.2706479, 108.9464757 34.2712838, 108.9434572 34.2712333))",POINT (108.9447385 34.2704362),56738.3,610724.9
陕西省中医医院,26,246438230,,yes,hospital,,,"POLYGON ((108.9402469 34.2657347, 108.9402418 34.2655667, 108.9411055 34.265549, 108.941089 34.264999, 108.941399 34.2649927, 108.9414205 34.2657107, 108.9402469 34.2657347))",POINT (108.9410264 34.2654681),3755.6,40424.6
,27,246573566,,,parking,,,"POLYGON ((108.9356392 34.25819, 108.9356393 34.2579344, 108.9358295 34.2579334, 108.9359683 34.2579488, 108.9364215 34.2579991, 108.9364215 34.2580794, 108.9363488 34.2581952, 108.9356392 34.25819))",POINT (108.9360025 34.2580727),1829.4,19691.3
环城公园,28,246573697,,,,park,,"POLYGON ((108.9192432 34.2605653, 108.9191048 34.2605384, 108.9190004 34.2604608, 108.9190109 34.2602538, 108.9190735 34.259814, 108.9190839 34.2585461, 108.9189691 34.2581407, 108.9190109 34.2567435, 108.9189796 34.2549494, 108.9190109 34.2529311, 108.919063 34.2527327, 108.9191361 34.252655, 108.9193448 34.2525774, 108.9201935 34.2525976, 108.9214868 34.2526016, 108.9225329 34.2525063, 108.9247575 34.2525963, 108.9269253 34.2526249, 108.9269022 34.2527097, 108.926915 34.2533216, 108.926449 34.2533226, 108.9264486 34.2532147, 108.9262108 34.2532152, 108.9262111 34.253306, 108.9251461 34.2533079, 108.9251459 34.2532093, 108.9248943 34.2532096, 108.9248945 34.2533117, 108.9236547 34.2533131, 108.9236545 34.2532081, 108.9234523 34.2532082, 108.9234524 34.2533042, 108.9222508 34.2533049, 108.9222507 34.253218, 108.9220244 34.2532181, 108.9220244 34.2533115, 108.9207973 34.2533251, 108.9207912 34.2532908, 108.9207731 34.2532464, 108.9207302 34.2532132, 108.9206786 34.253206, 108.9206209 34.2532187, 108.9205793 34.2532492, 108.9205686 34.2532919, 108.9205733 34.2533268, 108.9205981 34.2533584, 108.9206383 34.2533817, 108.9206839 34.25339, 108.9207087 34.25339, 108.9207155 34.2543041, 108.9205575 34.2543036, 108.9205564 34.2545351, 108.9207018 34.2545356, 108.9206977 34.2553686, 108.9205438 34.2553681, 108.9205427 34.2555855, 108.9206842 34.255586, 108.9206794 34.2564913, 108.9205292 34.2564907, 108.920528 34.2567044, 108.9206806 34.256705, 108.9206757 34.2575576, 108.9205359 34.257557, 108.9205346 34.2577783, 108.9207023 34.257779, 108.9206968 34.2586949, 108.9205427 34.2586943, 108.9205415 34.2588979, 108.9207019 34.2588986, 108.9206965 34.2598015, 108.9205311 34.2598008, 108.92053 34.2599835, 108.9206826 34.2599841, 108.9206814 34.2601981, 108.9200981 34.260207, 108.9197672 34.2602708, 108.9196458 34.2603164, 108.9194473 34.2605626, 108.9192432 34.2605653))",POINT (108.9208468 34.2555308),175977.7,1894206.4
,29,246573712,,,parking,,,"POLYGON ((108.9276977 34.2623653, 108.9277022 34.261881, 108.9277749 34.2617872, 108.9277658 34.2614005, 108.9279066 34.2614005, 108.9279066 34.2623578, 108.9276977 34.2623653))",POINT (108.9278159 34.2619288),1712.4,18432.3
钟楼,30,254488435,,yes,,,,"POLYGON ((108.9425629 34.261176, 108.9425679 34.2608476, 108.9421918 34.2608437, 108.9421867 34.2611721, 108.9425629 34.261176))",POINT (108.9423773 34.2610099),1261.2,13575.6
鼓楼,31,254488437,,yes,,,,"POLYGON ((108.9391881 34.26193, 108.9391881 34.2618898, 108.9392255 34.2618898, 108.9392255 34.2616482, 108.9391899 34.2616482, 108.9391899 34.2615957, 108.938634 34.2615957, 108.938634 34.2617441, 108.9384785 34.2617441, 108.9384785 34.2618203, 108.9386301 34.2618202, 108.9386301 34.26193, 108.9391881 34.26193))",POINT (108.9389032 34.2617644),2109.4,22705.2
麦当劳,32,256711580,,yes,fast_food,,,"POLYGON ((108.9390481 34.2612891, 108.9390478 34.2611665, 108.9392136 34.2611637, 108.939381 34.2611659, 108.9393813 34.2612885, 108.9390481 34.2612891))",POINT (108.9392145 34.2612269),421.3,4534.5
