name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
河北大学新校区,0,158579210,,,university,,,"POLYGON ((115.5552375 38.8763398, 115.5578353 38.8762572, 115.5617889 38.8759257, 115.5624724 38.8804083, 115.5642515 38.8802565, 115.5648618 38.880234, 115.5651683 38.8802879, 115.5654105 38.8804002, 115.566062 38.8810093, 115.5701512 38.880657, 115.5706583 38.8841713, 115.5557247 38.8855112, 115.5552375 38.8763398))",POINT (115.5613395 38.8813409),895872.5,9643082.1
河北保定外国语学校,1,202380739,,,school,,,"POLYGON ((115.5627163 38.8786553, 115.5623262 38.8758705, 115.5662047 38.8754738, 115.566649 38.8782629, 115.5627163 38.8786553))",POINT (115.5644756 38.8770686),106356.3,1144808.7
竞秀公园,2,208007798,,,,park,,"POLYGON ((115.4576799 38.8771301, 115.4599105 38.8771551, 115.462043 38.8771791, 115.4621492 38.8772724, 115.4620649 38.8800067, 115.4620428 38.880724, 115.4619168 38.8808749, 115.4616406 38.8809993, 115.4566139 38.8809499, 115.4565317 38.88094, 115.45613 38.8803374, 115.4561418 38.8802345, 115.4564289 38.8801223, 115.4565428 38.8799959, 115.4575944 38.879605, 115.4576799 38.8771301))",POINT (115.4596322 38.8791636),177913,1915037.4
Mingchangyuan Square,3,208007807,,,,park,,"POLYGON ((115.4562288 38.8881738, 115.457545 38.8881799, 115.4576451 38.8881202, 115.4576859 38.8868512, 115.4575945 38.8867737, 115.4562394 38.8867671, 115.4561463 38.8868403, 115.4561188 38.8881092, 115.4562288 38.8881738))",POINT (115.4568993 38.8874726),20624.3,221998
,4,208011846,,yes,,,,"POLYGON ((115.4629771 38.8704273, 115.4634204 38.8704348, 115.4640188 38.8709001, 115.4640106 38.8713339, 115.4631076 38.8713221, 115.463108 38.8711049, 115.4629569 38.8711033, 115.4629771 38.8704273))",POINT (115.4634515 38.8709198),7400.2,79655.2
万博广场,5,208011855,,yes,,,,"POLYGON ((115.462937 38.8767707, 115.4627638 38.8766123, 115.4628296 38.8733938, 115.4631031 38.8731853, 115.4639978 38.8731942, 115.463893 38.8767892, 115.462937 38.8767707))",POINT (115.4633768 38.8749813),39282.8,422836.6
中银大厦,6,208011856,,yes,,,,"POLYGON ((115.4609819 38.87223, 115.4611793 38.8723006, 115.4613143 38.8723131, 115.461548 38.8723053, 115.4617555 38.8722394, 115.4618744 38.8721045, 115.4619469 38.8719727, 115.4619751 38.8718347, 115.4619711 38.8717108, 115.4617918 38.8717155, 115.4616931 38.8716481, 115.461552 38.8716606, 115.4614876 38.8717359, 115.4614835 38.8718347, 115.4615843 38.8719037, 115.4614936 38.87199, 115.4610302 38.8719853, 115.4609516 38.8722159, 115.4609819 38.87223))",POINT (115.461526 38.8720287),3774.8,40631.4
人民广场,7,208011857,,,,common,,"POLYGON ((115.4578814 38.8725435, 115.4607619 38.8725792, 115.4607692 38.8724304, 115.4608005 38.8715956, 115.4599485 38.8715801, 115.4599547 38.8714086, 115.4598009 38.8714086, 115.4598065 38.8711401, 115.4588634 38.871129, 115.4588592 38.8713997, 115.4580457 38.8713941, 115.458033 38.8716847, 115.4579141 38.8716815, 115.4578865 38.8724097, 115.4578814 38.8725435))",POINT (115.4593143 38.8719554),32784.6,352890
燕赵国际商务中心,8,208011859,,yes,,,,"POLYGON ((115.4627904 38.8714525, 115.4639587 38.8714636, 115.4639302 38.8726195, 115.4638238 38.8726835, 115.4632596 38.8726713, 115.4627809 38.8722742, 115.4627904 38.8714525))",POINT (115.4633935 38.8720292),12643.7,136095.1
,9,208011863,,,,playground,,"POLYGON ((115.4589124 38.8710551, 115.4589296 38.8705814, 115.4597646 38.8705845, 115.4597384 38.8710551, 115.4589124 38.8710551))",POINT (115.4593358 38.8708186),3775,40634.1
龙潭公园,10,208025359,,,,park,,"POLYGON ((115.4486637 38.8541454, 115.4488452 38.8522586, 115.4514284 38.8523095, 115.451335 38.8549438, 115.4507754 38.8549713, 115.4504427 38.8548261, 115.450241 38.8545552, 115.4499184 38.8543275, 115.4495856 38.8541547, 115.4492882 38.8541194, 115.4492075 38.8541822, 115.4486637 38.8541454))",POINT (115.4501732 38.8534285),56630.1,609560.4
龙潭公园,11,208025360,,,,park,,"POLYGON ((115.4479442 38.8561317, 115.4479653 38.8548191, 115.4485 38.8546671, 115.448737 38.8546396, 115.4489941 38.8546985, 115.4490874 38.8547064, 115.4492966 38.8546593, 115.4495436 38.8547103, 115.4497813 38.8548532, 115.4499227 38.8550337, 115.4498873 38.8561652, 115.4479442 38.8561317))",POINT (115.4489259 38.855434),26759.4,288035.1
,12,208025365,,,,garden,,"POLYGON ((115.4612275 38.8574903, 115.4609631 38.8569023, 115.461485 38.8567668, 115.4616451 38.8568021, 115.4618538 38.8573196, 115.4612275 38.8574903))",POINT (115.4614118 38.8571137),3983,42872.8
时代商厦,13,208183942,,yes,,,,"POLYGON ((115.4617534 38.8715389, 115.4621545 38.8715405, 115.4621576 38.8707522, 115.4620909 38.8706545, 115.4619536 38.8706179, 115.4614829 38.8706148, 115.461479 38.8712744, 115.461755 38.8712744, 115.4617534 38.8715389))",POINT (115.4618409 38.8710406),5222.8,56217.4
通信大厦,14,208183943,,yes,,,,"POLYGON ((115.4568769 38.8722749, 115.4568824 38.8719791, 115.4576396 38.8719834, 115.4576396 38.8719014, 115.4577866 38.8719035, 115.4577794 38.8722818, 115.4568769 38.8722749))",POINT (115.4573476 38.8721221),2692.6,28983.1
,15,208188960,,,,park,,"POLYGON ((115.4543335 38.8672294, 115.4542851 38.8672028, 115.4542887 38.8669629, 115.4544105 38.8669824, 115.4544792 38.8669417, 115.4546208 38.8668572, 115.4549229 38.8667616, 115.4552019 38.8666794, 115.4554828 38.8665728, 115.4555701 38.8666702, 115.4553129 38.8667731, 115.455242 38.8668264, 115.4552388 38.8669523, 115.4552314 38.8672353, 115.4550954 38.867233, 115.4545904 38.8672309, 115.4544072 38.8672298, 115.4543335 38.8672294))",POINT (115.4548806 38.8669843),4107,44207.9
,16,208188961,,,,park,,"POLYGON ((115.4554803 38.8663754, 115.455792 38.8661717, 115.4566328 38.8654419, 115.456956 38.8652231, 115.4574589 38.8650743, 115.4581279 38.8649015, 115.4585717 38.8647435, 115.4588384 38.8646075, 115.4596673 38.8641467, 115.4610924 38.8633768, 115.4621861 38.8627866, 115.4622696 38.8626645, 115.4624098 38.8626073, 115.4624131 38.8624332, 115.4616755 38.8628282, 115.4610646 38.8631349, 115.4604004 38.8635378, 115.4596092 38.864, 115.4586813 38.8645171, 115.4584543 38.8646185, 115.4573634 38.8649917, 115.4570236 38.8650762, 115.456882 38.865124, 115.4567073 38.865249, 115.4557778 38.8660151, 115.4555277 38.8662556, 115.4554242 38.8663257, 115.4554803 38.8663754))",POINT (115.4593348 38.8641652),12000.3,129170.5
,17,208188962,,,,park,,"POLYGON ((115.4556136 38.8665147, 115.4558289 38.8663834, 115.4562795 38.8659949, 115.4567693 38.8655444, 115.4569944 38.8653705, 115.4573821 38.8652484, 115.4578631 38.8651249, 115.4583356 38.8649966, 115.4587452 38.8648314, 115.4595844 38.8643598, 115.4612015 38.8634933, 115.4619091 38.8630982, 115.4623971 38.8628388, 115.4623877 38.8630814, 115.4619337 38.8633091, 115.4608976 38.8638086, 115.4607126 38.8638773, 115.4605774 38.8639904, 115.4602548 38.8641909, 115.4600541 38.8643086, 115.4596954 38.8644225, 115.4594141 38.8645406, 115.4589482 38.8648742, 115.458699 38.8649972, 115.4583214 38.8650983, 115.4573586 38.8653615, 115.4571316 38.8654629, 115.4562337 38.8661449, 115.455825 38.8664835, 115.4556789 38.8665805, 115.4556136 38.8665147))",POINT (115.4593759 38.8644802),9615,103494.4
,18,208188963,,,,park,,"POLYGON ((115.4553475 38.8663716, 115.4550927 38.8664659, 115.4547245 38.8665854, 115.454505 38.8666497, 115.4544374 38.8666833, 115.4545725 38.8667093, 115.4551483 38.8665287, 115.4553953 38.8664223, 115.4553475 38.8663716))",POINT (115.4549329 38.8665533),655.7,7058.4
山外园,19,208191039,,yes,restaurant,,,"POLYGON ((115.4536577 38.8598352, 115.4536155 38.8597702, 115.4536194 38.8596991, 115.4536713 38.8596362, 115.4537736 38.8595985, 115.4538862 38.8596152, 115.4539628 38.8596777, 115.4539709 38.8597604, 115.4539336 38.8598351, 115.4538594 38.8598742, 115.4538492 38.8599266, 115.4539107 38.8599289, 115.4539297 38.8600268, 115.4538809 38.8600661, 115.4532425 38.8600452, 115.4532479 38.8599118, 115.4537307 38.8599243, 115.453736 38.85987, 115.4536577 38.8598352))",POINT (115.453684 38.8598752),1682.3,18107.6
保定学院,20,208526692,,,university,,,"POLYGON ((115.5664335 38.8754447, 115.5718948 38.8749399, 115.5722048 38.8749648, 115.5723537 38.8750173, 115.5724272 38.8751188, 115.5728231 38.8778561, 115.5743533 38.877714, 115.5746631 38.8803003, 115.5777784 38.8800355, 115.5789637 38.8834251, 115.5708908 38.8841404, 115.5703787 38.8804926, 115.5690369 38.8806078, 115.5686889 38.8780849, 115.5668721 38.8782517, 115.5664335 38.8754447))",POINT (115.5723933 38.8797709),567579.1,6109364.8
,21,208535964,,yes,,,,"POLYGON ((115.4768662 38.8534954, 115.4769005 38.8534324, 115.4764573 38.85328, 115.4764197 38.8533461, 115.4768662 38.8534954))",POINT (115.4766589 38.8533878),328.7,3538.2
,22,208535967,,yes,,,,"POLYGON ((115.4764159 38.8535056, 115.4764169 38.8534163, 115.4765962 38.8534216, 115.4765928 38.8535078, 115.4764159 38.8535056))",POINT (115.4765049 38.8534627),150.6,1620.6
,23,208535969,,yes,,,,"POLYGON ((115.4764115 38.8536191, 115.4764154 38.8535157, 115.4773257 38.8535259, 115.4773243 38.8536269, 115.4764115 38.8536191))",POINT (115.4768674 38.8535719),897.2,9657.8
,24,208535971,,yes,,,,"POLYGON ((115.4773261 38.8536049, 115.4776309 38.8536087, 115.4776358 38.853537, 115.4773272 38.8535345, 115.4773261 38.8536049))",POINT (115.4774805 38.8535712),209.9,2259.5
,25,208535973,,yes,,,,"POLYGON ((115.4763277 38.8530904, 115.4763692 38.8530192, 115.4771205 38.8532734, 115.4770773 38.853344, 115.4763277 38.8530904))",POINT (115.4767237 38.8531817),615.9,6629
,26,208677393,,yes,,,,"POLYGON ((115.4982523 38.8659588, 115.4982159 38.8658691, 115.498294 38.8658493, 115.4983295 38.8659413, 115.4982523 38.8659588))",POINT (115.498273 38.8659044),74.4,800.5
,27,208677394,,yes,,,,"POLYGON ((115.498773 38.8658372, 115.4987367 38.8657476, 115.4988148 38.8657277, 115.4988503 38.8658198, 115.498773 38.8658372))",POINT (115.4987938 38.8657829),74.4,800.9
,28,208677395,,yes,,,,"POLYGON ((115.4977765 38.8659882, 115.497748 38.8659202, 115.497826 38.8659003, 115.4978523 38.8659683, 115.4977765 38.8659882))",POINT (115.4978006 38.8659441),55.6,598.4
东风公园,29,208677438,,,,park,,"POLYGON ((115.5038114 38.8642027, 115.5035492 38.8639917, 115.5029168 38.8593777, 115.5028512 38.8592534, 115.5031445 38.8592354, 115.503162 38.8593903, 115.5038416 38.8593426, 115.5038128 38.8594902, 115.5039323 38.8610775, 115.5041062 38.862905, 115.5041846 38.8635513, 115.5042742 38.8637342, 115.5044164 38.8639315, 115.5044198 38.8642107, 115.5038114 38.8642027))",POINT (115.5036255 38.8616852),36421.6,392038
东风公园,30,208677439,,,,park,,"POLYGON ((115.504676 38.8642113, 115.5070632 38.864202, 115.5071184 38.8637107, 115.5070822 38.8633048, 115.506894 38.8623375, 115.5073762 38.8622768, 115.5070978 38.8609642, 115.5059211 38.8600025, 115.5057956 38.8599307, 115.5047598 38.8600873, 115.5047947 38.8606591, 115.5040851 38.8606856, 115.5043558 38.8635338, 115.5044208 38.8636907, 115.5045803 38.8639294, 115.504676 38.8642113))",POINT (115.5056807 38.8621943),106183.6,1142949.2
,31,208677443,,,,park,,"POLYGON ((115.4882913 38.8682995, 115.488282 38.8681708, 115.4883068 38.8681022, 115.4884041 38.8680661, 115.4921261 38.8671572, 115.4922451 38.8671488, 115.4923254 38.8671957, 115.4924058 38.8673702, 115.4905557 38.867749, 115.4903255 38.8678023, 115.4882913 38.8682995))",POINT (115.4904185 38.867688),8645.3,93057.4
,32,208677444,,,,park,,"POLYGON ((115.5001212 38.8663498, 115.4995618 38.8654546, 115.502864 38.8646821, 115.5032701 38.8648385, 115.5033227 38.8652283, 115.5032737 38.8652332, 115.5028314 38.8652778, 115.5017033 38.8656051, 115.5014195 38.8657775, 115.5012422 38.8658819, 115.5005994 38.8661923, 115.5001212 38.8663498))",POINT (115.5013225 38.8654357),25171.3,270941.1
,33,208677445,,,,garden,,"POLYGON ((115.4976179 38.8661788, 115.4975174 38.8659082, 115.4993184 38.8654963, 115.4993472 38.8655441, 115.4994627 38.8655854, 115.4995029 38.8657105, 115.4990702 38.8658068, 115.4991537 38.8660161, 115.4979947 38.8662808, 115.4979388 38.8661523, 115.497847 38.8661727, 115.4978273 38.8661251, 115.4976179 38.8661788))",POINT (115.4984945 38.8659004),7274.7,78303.9
,34,208677446,,,,garden,,"POLYGON ((115.4968913 38.86655, 115.4967405 38.8662174, 115.49677 38.8661204, 115.4968465 38.8660574, 115.4974189 38.8659303, 115.4974714 38.8660732, 115.4971632 38.8661421, 115.4970824 38.8661863, 115.497078 38.8662476, 115.4971458 38.8664041, 115.497325 38.8663616, 115.4972638 38.8662068, 115.4975249 38.8661464, 115.4975785 38.8662952, 115.4975348 38.8663905, 115.4974277 38.8664518, 115.4969491 38.8665675, 115.4968913 38.86655))",POINT (115.4971371 38.8662565),2906.9,31290.1
,35,208677447,,,,swimming_pool,,"POLYGON ((115.5064208 38.863059, 115.5063956 38.8629186, 115.5068578 38.8628701, 115.5068819 38.8630097, 115.5064208 38.863059))",POINT (115.5066388 38.8629644),633.8,6822.6
,36,208677448,,,,swimming_pool,,"POLYGON ((115.5065435 38.8628098, 115.506467 38.8623589, 115.5067533 38.8623266, 115.5068363 38.8627784, 115.5065435 38.8628098))",POINT (115.5066503 38.8625692),1282.7,13806.4
,37,208677449,,,,swimming_pool,,"POLYGON ((115.5061385 38.8628541, 115.506062 38.8624031, 115.5063483 38.8623708, 115.5064314 38.8628226, 115.5061385 38.8628541))",POINT (115.5062453 38.8626135),1283.1,13810.8
,38,208677451,,,,garden,,"POLYGON ((115.4969037 38.8666955, 115.4969331 38.8666329, 115.4974662 38.8665138, 115.4975095 38.8666317, 115.4970505 38.8666931, 115.4969037 38.8666955))",POINT (115.4972321 38.866618),539,5801.3
,39,208677452,,,,park,,"POLYGON ((115.4842146 38.8619472, 115.4845949 38.8618604, 115.4847085 38.8618835, 115.4848206 38.8619821, 115.4858842 38.8642477, 115.4857647 38.8642898, 115.4842146 38.8619472))",POINT (115.4850176 38.8628431),8450.7,90962.4
,40,208677453,,,,park,,"POLYGON ((115.5037525 38.8651823, 115.5037088 38.8647995, 115.5039601 38.864585, 115.5044111 38.8645863, 115.5044373 38.8646646, 115.5044308 38.865022, 115.5042428 38.8651462, 115.5037525 38.8651823))",POINT (115.5040838 38.8648777),3551.9,38232.8
,41,208677454,,,,park,,"POLYGON ((115.4859166 38.8645143, 115.4860229 38.8644734, 115.4876762 38.8678286, 115.4876669 38.8679008, 115.4874939 38.8679694, 115.4873216 38.8676252, 115.4863861 38.8655862, 115.4859166 38.8645143))",POINT (115.4868633 38.8663928),6670.9,71804.6
Binhe Park,42,208677456,,,,park,,"POLYGON ((115.4926488 38.8673046, 115.4925592 38.8671241, 115.4925623 38.8670808, 115.4926148 38.8670362, 115.4963197 38.8661749, 115.4964408 38.8662122, 115.4965237 38.8662865, 115.496692 38.8666949, 115.4950377 38.8669074, 115.4926488 38.8673046))",POINT (115.4948288 38.8667441),15856.1,170674
军校广场,43,208715735,,,,park,,"POLYGON ((115.5203602 38.8698412, 115.5214045 38.8699399, 115.5213383 38.8703902, 115.5242115 38.8703912, 115.5242927 38.8651695, 115.5241843 38.8650908, 115.5212246 38.8649849, 115.5211514 38.866019, 115.5203867 38.8660014, 115.5203602 38.8698412))",POINT (115.522408 38.867734),187403.7,2017194.7
