name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
台灣高速鐵路,0,13991375,22,5711,1,448.9653797,,130,,rail,30,"LINESTRING (121.5095358 25.0470455, 121.5098237 25.0474434, 121.5101845 25.0477745, 121.5103179 25.0478735, 121.5105184 25.0480078, 121.5109898 25.0482301, 121.5114143 25.0483692, 121.5117908 25.0484321, 121.5119104 25.0484466, 121.5119824 25.0484578, 121.5123066 25.0484554, 121.512811 25.0484009, 121.5134061 25.0483038)",,0,0
台灣高速鐵路,1,13991375,5711,5712,1,65.62304425,,130,,rail,30,"LINESTRING (121.5134061 25.0483038, 121.5140463 25.0481947)",,0,0
台灣高速鐵路,2,13991375,5712,5715,1,76.47547936,,130,,rail,30,"LINESTRING (121.5140463 25.0481947, 121.5147897 25.0480553)",,0,0
縱貫線西正線,3,19792761,15,3316,1,475.7568072,,130,,rail,30,"LINESTRING (121.6127025 25.0539374, 121.6135918 25.0540756, 121.6152317 25.0542449, 121.6163852 25.0543414, 121.6168883 25.0543423, 121.617396 25.0543707)",,0,0
南迴線,4,19820880,5896,8,1,573.7498619,,,,rail,30,"LINESTRING (121.121558 22.7878024, 121.1214943 22.7874927, 121.1213336 22.786944, 121.121127 22.7864274, 121.120829 22.7858113, 121.1204966 22.7852602, 121.1201422 22.7847797, 121.1196837 22.784277, 121.1188141 22.7834076)",,0,0
南迴線,5,19820881,8,9,1,27.68847983,,,,rail,30,"LINESTRING (121.1188141 22.7834076, 121.1186375 22.7832192)",,0,0
南迴線,6,19820882,9,991,1,915.5710612,,,,rail,30,"LINESTRING (121.1186375 22.7832192, 121.1182346 22.7828009, 121.1163858 22.7810183, 121.1157796 22.7805303, 121.1146874 22.7797069, 121.1119834 22.7777566)",,0,0
縱貫線西正線,7,23403470,14,7909,1,329.0448371,,130,,rail,30,"LINESTRING (121.571201 25.0494091, 121.5717063 25.0494256, 121.5721899 25.0494283, 121.5743944 25.0494045, 121.5744669 25.0494037)",,0,0
縱貫線西正線,8,23403470,7909,7910,1,44.04499891,,130,,rail,30,"LINESTRING (121.5744669 25.0494037, 121.5749041 25.049399)",,0,0
縱貫線西正線,9,23403470,7910,7914,1,125.8581289,,130,,rail,30,"LINESTRING (121.5749041 25.049399, 121.5753224 25.0493946, 121.5756391 25.0493922, 121.5760468 25.0493872, 121.5761534 25.0493862)",,0,0
縱貫線西正線,10,23403470,7914,1179,1,454.4441206,,130,,rail,30,"LINESTRING (121.5761534 25.0493862, 121.5764377 25.0493834, 121.5773866 25.0493734, 121.5775963 25.0493729, 121.5794754 25.0493486, 121.5797709 25.0493495, 121.5802193 25.0493464, 121.5806643 25.0493516)",,0,0
捷運淡水信義線,11,23416669,1694,437,1,759.8341519,,80,,subway,30,"LINESTRING (121.5178868 25.0333874, 121.5170336 25.0345415, 121.5168369 25.0348045, 121.5163105 25.0355008, 121.5161083 25.035831, 121.5160632 25.0359163, 121.5159117 25.0362055, 121.5157588 25.0365591, 121.5155858 25.0371059, 121.515508 25.0374789, 121.5154476 25.0379297, 121.5154342 25.0381472, 121.5154342 25.0385154, 121.515453 25.0388094, 121.5154946 25.0391278, 121.5155681 25.0394988, 121.5155976 25.0396259)",,0,0
捷運中和新蘆線,12,23416670,25,1689,1,476.101219,,80,,subway,30,"LINESTRING (121.5217593 25.0282774, 121.5218219 25.0281115, 121.5220499 25.0277764, 121.5222715 25.0274602, 121.5225058 25.0271291, 121.5231236 25.0262942, 121.523232 25.0261525, 121.5242935 25.02467)",,0,0
捷運中和新蘆線,13,23416670,1689,1686,1,33.73469299,,80,,subway,30,"LINESTRING (121.5242935 25.02467, 121.5244827 25.0244197)",,0,0
海岸線,14,23530336,33,2356,1,74.70999486,,,,rail,30,"LINESTRING (120.6238066 24.3392344, 120.6241915 24.3398075)",,0,0
海岸線,15,23530336,2356,2359,1,158.1107701,,,,rail,30,"LINESTRING (120.6241915 24.3398075, 120.6250062 24.3410203)",,0,0
海岸線,16,23530336,2359,2360,1,35.40547496,,,,rail,30,"LINESTRING (120.6250062 24.3410203, 120.6251886 24.3412919)",,0,0
海岸線,17,23530336,2360,66,1,655.1055624,,,,rail,30,"LINESTRING (120.6251886 24.3412919, 120.6255469 24.3418143, 120.6272509 24.3442734, 120.6286024 24.3462953)",,0,0
海岸線,18,23530336,66,2385,1,114.4522013,,,,rail,30,"LINESTRING (120.6286024 24.3462953, 120.6287743 24.346591, 120.6288652 24.3467334, 120.6291548 24.347193)",,0,0
台灣高速鐵路,19,23557264,65,5731,1,216.8395928,,300,,rail,30,"LINESTRING (121.2186465 25.0167854, 121.2172007 25.015341)",,0,0
台灣高速鐵路,20,23557264,5731,5734,1,40.32620879,,300,,rail,30,"LINESTRING (121.2172007 25.015341, 121.2169318 25.0150724)",,0,0
台灣高速鐵路,21,23638394,292,2845,1,233.8401026,,300,,rail,30,"LINESTRING (121.0438538 24.8227083, 121.0436524 24.8218465, 121.043373 24.8206511)",,0,0
台灣高速鐵路,22,23638395,4548,44,1,916.2545617,,300,,rail,30,"LINESTRING (120.6150095 24.1032754, 120.6151701 24.1047362, 120.615314 24.1066717, 120.6156353 24.1095902, 120.6157976 24.1114832)",,0,0
捷運紅線,23,23875226,123,7489,1,652.4709668,,80,,subway,30,"LINESTRING (120.3039612 22.6948516, 120.3038107 22.6950822, 120.3037255 22.6952332, 120.3036554 22.6953751, 120.3036009 22.6955202, 120.3035324 22.6957875, 120.3035035 22.6959633, 120.30346 22.6961857, 120.3033843 22.6966952, 120.3033471 22.6971727, 120.303291 22.697589, 120.3031807 22.6980355, 120.3030272 22.6983809, 120.3028265 22.6988464, 120.3027083 22.6991761, 120.3026602 22.6993123, 120.3026494 22.6994396, 120.3026319 22.699582, 120.3025853 22.7005152)",,0,0
捷運紅線,24,23875226,7489,7492,1,315.3621044,,80,,subway,30,"LINESTRING (120.3025853 22.7005152, 120.3025499 22.7012225, 120.3024967 22.70335)",,0,0
捷運紅線,25,23875226,7492,4573,1,2025.168434,,80,,subway,30,"LINESTRING (120.3024967 22.70335, 120.3024837 22.7038695, 120.3023654 22.7073125, 120.3023345 22.7081922, 120.3023073 22.7102709, 120.3023572 22.7107774, 120.302413 22.710944, 120.302737 22.7119356, 120.3036254 22.7146406, 120.3037808 22.715493, 120.3038804 22.7162362, 120.3039339 22.7164526, 120.3042079 22.7169856, 120.3042555 22.7170764, 120.3044178 22.7172848, 120.304853 22.7176694, 120.3050798 22.7178188, 120.3053762 22.7179971, 120.3062698 22.7183219, 120.3082182 22.7190429)",,0,0
捷運紅線,26,23875226,4573,4578,1,271.1370895,,80,,subway,30,"LINESTRING (120.3082182 22.7190429, 120.3085457 22.7191537, 120.3106683 22.7199579)",,0,0
捷運紅線,27,23875226,4578,4321,1,7395.728647,,80,,subway,30,"LINESTRING (120.3106683 22.7199579, 120.3108192 22.7200151, 120.3148403 22.7216979, 120.3173112 22.7227133, 120.3183021 22.7231357, 120.3191176 22.7235526, 120.3197308 22.7239622, 120.3202743 22.7244645, 120.3205658 22.7248214, 120.3207999 22.7251671, 120.3209232 22.725372, 120.3210796 22.7256981, 120.3212257 22.726105, 120.321327 22.7264536, 120.321395 22.7268947, 120.3214415 22.7271813, 120.3214353 22.7277513, 120.3213666 22.7282517, 120.3206222 22.7308331, 120.319785 22.7335677, 120.3194716 22.734712, 120.319095 22.736007, 120.3179671 22.7399868, 120.3179186 22.7401767, 120.3178624 22.7406723, 120.3178204 22.7409964, 120.3177979 22.7413484, 120.3178063 22.7420264, 120.3177996 22.7431171, 120.3177809 22.7465572, 120.3177257 22.7473771, 120.3176916 22.7475553, 120.3176414 22.7477632, 120.3174545 22.7482582, 120.3171944 22.7487317, 120.315109 22.7526707, 120.3140191 22.7546913, 120.3135538 22.7555744, 120.3127804 22.7569989, 120.3118533 22.758817, 120.3113946 22.7597891, 120.3104268 22.7615517, 120.3096983 22.7627408, 120.3086805 22.7644917, 120.3082453 22.7653406, 120.3080348 22.7658536, 120.3074678 22.7672396, 120.3071683 22.7679538, 120.306934 22.7684025, 120.3064327 22.7691673, 120.306346 22.7693153, 120.3062343 22.7695496, 120.3055586 22.7712602, 120.3054057 22.7715915, 120.3050915 22.7721903, 120.3048568 22.7726783, 120.3032389 22.7772467, 120.3031965 22.777367)",,0,0
