name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
成渝高速渝贵联络线-下行,0,31259089,6,7,1,713.8687488,,,,rail,30,"LINESTRING (106.4310837 29.5206758, 106.4307022 29.5224334, 106.4305395 29.5232586, 106.4304262 29.524219, 106.4304349 29.5252002, 106.430579 29.5263012, 106.430749 29.5270255)",,0
成渝高速渝贵联络线-下行,1,31259091,7,8,1,127.7374191,,,,rail,30,"LINESTRING (106.430749 29.5270255, 106.4309365 29.5276426, 106.4311233 29.5281265)",,0
成渝高速渝贵联络线-下行,2,31259095,14,15,1,66.96263776,,,,rail,30,"LINESTRING (106.4314016 29.5360429, 106.4312607 29.5366325)",,0
成渝高速渝贵联络线-下行,3,31259097,16,14,1,153.8858105,,,,rail,30,"LINESTRING (106.4317413 29.5346909, 106.4314016 29.5360429)",,0
成渝高速渝贵联络线-下行,4,31259137,15,17,1,150.8600618,,,,rail,30,"LINESTRING (106.4312607 29.5366325, 106.4309087 29.5379542)",,0
成渝高速渝贵联络线-下行,5,31259142,17,18,1,797.1521209,,,,rail,30,"LINESTRING (106.4309087 29.5379542, 106.4306427 29.5389922, 106.4302221 29.5403214, 106.4299904 29.5409113, 106.4296263 29.5415826, 106.4292143 29.542165, 106.4283853 29.5432336, 106.4274144 29.5443351)",,0
,6,38252846,1631,1632,1,717.9758854,,,,rail,30,"LINESTRING (106.5431625 29.5527025, 106.5392116 29.5504906, 106.5388817 29.5502829, 106.5382299 29.5498536, 106.5379322 29.5496436, 106.5376532 29.5494266, 106.5371382 29.5489622)",,0
,7,38252846,1632,49,1,59.50877664,,,,rail,30,"LINESTRING (106.5371382 29.5489622, 106.5370882 29.5489162, 106.5367157 29.5485732)",,0
,8,38252846,49,50,1,128.0051012,,,,rail,30,"LINESTRING (106.5367157 29.5485732, 106.5362299 29.5482238, 106.5356889 29.5478471)",,0
成渝铁路,9,38252847,26,27,1,301.5606091,,80,,rail,30,"LINESTRING (106.525998 29.5166652, 106.5260723 29.5163101, 106.5261054 29.5159332, 106.5260467 29.5155019, 106.5259141 29.5151337, 106.5257221 29.514626, 106.5255482 29.5140264)",,0
沙西线,10,42499241,29,30,1,73.14794685,,,,rail,30,"LINESTRING (106.4375826 29.5611824, 106.438323 29.5610483)",,0
沙西线,11,42499342,2279,2586,1,636.5753769,,,,rail,30,"LINESTRING (106.43317 29.5029235, 106.4333905 29.5050535, 106.4334339 29.5054664, 106.4334498 29.5057498, 106.4334475 29.5061467, 106.4334098 29.5065776, 106.4332634 29.5074104, 106.4331108 29.5078859, 106.4328912 29.5085828)",,0
沙西线,12,42499342,2586,2280,1,189.7923112,,,,rail,30,"LINESTRING (106.4328912 29.5085828, 106.432752 29.5090246, 106.4326571 29.5094478, 106.4325117 29.5102555)",,0
沙西线,13,42499342,2280,2574,1,98.82805932,,,,rail,30,"LINESTRING (106.4325117 29.5102555, 106.4324059 29.5111395)",,0
沙西线,14,42499342,2574,2582,1,187.7029698,,,,rail,30,"LINESTRING (106.4324059 29.5111395, 106.4323847 29.5113161, 106.4322354 29.5126219, 106.4322144 29.5128193)",,0
沙西线,15,42499342,2582,2625,1,491.5602036,,,,rail,30,"LINESTRING (106.4322144 29.5128193, 106.432209 29.5140421, 106.4322318 29.5144602, 106.4323 29.514796, 106.4324036 29.5151072, 106.4325752 29.5154545, 106.4328141 29.5157772, 106.4329971 29.5159715, 106.4331731 29.5161104, 106.4339107 29.5167333)",,0
沙西线,16,42499342,2625,32,1,2160.133895,,,,rail,30,"LINESTRING (106.4339107 29.5167333, 106.4349005 29.5175692, 106.4354541 29.5180269, 106.4358575 29.518475, 106.436228 29.5189355, 106.4364843 29.5193697, 106.4367238 29.5198921, 106.4369547 29.5204773, 106.4399597 29.5289442, 106.4400449 29.529351, 106.4400824 29.5297607, 106.4400325 29.5301637, 106.4399014 29.5306185, 106.439369 29.5319554, 106.4392295 29.5323918, 106.4391729 29.5325798, 106.4390767 29.5329449, 106.4390096 29.5334023, 106.4390096 29.533862, 106.4390935 29.5347022)",,0
,17,42500489,33,3,1,135.2374371,,,,rail,30,"LINESTRING (106.4302099 29.4882362, 106.4303598 29.4894454)",,0
,18,42500586,2,33,1,3027.569679,,,,rail,30,"LINESTRING (106.4267684 29.4612076, 106.4269716 29.4622208, 106.4271154 29.4627981, 106.4272604 29.4634051, 106.4275295 29.4646307, 106.4280542 29.4683692, 106.428262 29.470064, 106.4283567 29.4705396, 106.4283894 29.4708886, 106.428454 29.4723084, 106.4284797 29.4745426, 106.4284969 29.4754915, 106.42866 29.4771728, 106.4294239 29.4827841, 106.4300419 29.4870951, 106.4302099 29.4882362)",,0
,19,42500587,34,2,1,114.5104189,,,,rail,30,"LINESTRING (106.4266166 29.4601863, 106.4267684 29.4612076)",,0
,20,42500644,1919,2855,1,489.7288492,,,,rail,30,"LINESTRING (106.4183762 29.4356928, 106.4184663 29.4362199, 106.4186198 29.4374212, 106.418702 29.4376538, 106.4188047 29.4379043, 106.4189814 29.4381405, 106.4192854 29.4384339, 106.4195073 29.4385913, 106.4199059 29.4387595, 106.4204337 29.4388769, 106.4208314 29.4389976)",,0
,21,42500644,2855,2858,1,21.08708115,,,,rail,30,"LINESTRING (106.4208314 29.4389976, 106.4210382 29.439057)",,0
,22,42500644,2858,2857,1,64.22172714,,,,rail,30,"LINESTRING (106.4210382 29.439057, 106.4212518 29.4391236, 106.4215667 29.4392208, 106.4216551 29.4392655)",,0
,23,42500644,2857,2859,1,211.0897416,,,,rail,30,"LINESTRING (106.4216551 29.4392655, 106.4219945 29.4393718, 106.4221438 29.4394583, 106.4229124 29.439865, 106.4233306 29.4401028, 106.423522 29.4402304)",,0
,24,42500644,2859,2860,1,28.3718579,,,,rail,30,"LINESTRING (106.423522 29.4402304, 106.4236781 29.4403345, 106.423751 29.4403894)",,0
,25,42500644,2860,35,1,53.98095628,,,,rail,30,"LINESTRING (106.423751 29.4403894, 106.4241725 29.4407071)",,0
,26,42500644,35,36,1,60.60888189,,,,rail,30,"LINESTRING (106.4241725 29.4407071, 106.4247285 29.4409574)",,0
,27,42500644,36,2878,1,68.90730617,,,,rail,30,"LINESTRING (106.4247285 29.4409574, 106.4250298 29.4410333, 106.4253976 29.4411656)",,0
,28,42500644,2878,37,1,306.7440753,,,,rail,30,"LINESTRING (106.4253976 29.4411656, 106.4259694 29.4412945, 106.4263395 29.4413324, 106.4266571 29.4413446, 106.4269719 29.4413147, 106.4273367 29.4412286, 106.4275658 29.4411316, 106.427867 29.4409598, 106.4280904 29.4407648, 106.4282556 29.4405891)",,0
,29,42500695,1637,2177,1,3457.835089,,,,rail,30,"LINESTRING (106.4352702 29.3666023, 106.4352009 29.3660121, 106.4351231 29.365561, 106.4350292 29.365208, 106.434997 29.365021, 106.4349085 29.3645582, 106.4347771 29.3641351, 106.4345813 29.3637049, 106.4343399 29.3632982, 106.4339912 29.3628377, 106.4335969 29.3624216, 106.4320144 29.3608881, 106.4315209 29.3604439, 106.4309388 29.3599717, 106.43033 29.3595346, 106.4300886 29.3593686, 106.4291525 29.358707, 106.4268351 29.3574026, 106.4265212 29.3572459, 106.4262369 29.3571361, 106.4254644 29.356914, 106.4250165 29.3568321, 106.4245418 29.3568228, 106.4240724 29.3568953, 106.4234485 29.357119, 106.4230569 29.3573532, 106.4226428 29.3576552, 106.4223649 29.3580195, 106.4222104 29.3583412, 106.4221504 29.3586778, 106.422116 29.3591566, 106.4218156 29.3656571, 106.4216526 29.3691887, 106.4215579 29.3719715, 106.4215373 29.3723366)",,0
成渝铁路,30,42500714,276,43,1,1301.510611,,80,,rail,30,"LINESTRING (106.4030012 29.3461964, 106.4037246 29.3462818, 106.4047568 29.3465051, 106.4055631 29.3466825, 106.4062111 29.3468532, 106.4075146 29.3472703, 106.4094411 29.3479407, 106.4113529 29.3486681, 106.4119108 29.3489225, 106.4124257 29.3492292, 106.4128721 29.3495733, 106.4135244 29.3501718, 106.4140823 29.3507479, 106.4146976 29.3513394)",,0
,31,42500716,44,1641,1,2016.225807,,,,rail,30,"LINESTRING (106.4210009 29.3717425, 106.4198585 29.3706027, 106.4182794 29.369099, 106.4178996 29.3687212, 106.4174039 29.3681607, 106.4170718 29.3675526, 106.4169323 29.3668817, 106.4169753 29.3661617, 106.4171201 29.3656919, 106.4176351 29.3645909, 106.4178658 29.3641, 106.4181259 29.3634665, 106.418547 29.3623257, 106.4187402 29.3618185, 106.419525 29.3598963, 106.4196447 29.359459, 106.4196699 29.3590256, 106.4196012 29.358588, 106.4195062 29.3582888, 106.4192922 29.3577951, 106.4190605 29.3572714, 106.418716 29.3566638, 106.4184397 29.3562056, 106.4179999 29.3555931)",,0
成渝铁路,32,42500717,42,407,1,2500.660915,,80,,rail,30,"LINESTRING (106.4180256 29.3555378, 106.4184854 29.3561764, 106.4189102 29.3566921, 106.419342 29.3570409, 106.4197406 29.3572751, 106.4201419 29.357421, 106.420614 29.3575557, 106.4210946 29.3576006, 106.4215667 29.3575931, 106.4219739 29.3575234, 106.4224975 29.3573705, 106.4236176 29.3569427, 106.4240777 29.3567994, 106.4245337 29.3567129, 106.4250326 29.3566872, 106.4255422 29.3567597, 106.4260519 29.3569023, 106.4265212 29.357115, 106.4273044 29.3575592, 106.428718 29.3583564, 106.4290801 29.3585621, 106.4294797 29.3587491, 106.4298579 29.3589525, 106.4304882 29.3593218, 106.4311373 29.3597753, 106.4317462 29.3602616, 106.4322504 29.3607315, 106.4338383 29.3622673, 106.4342326 29.3627021, 106.4345893 29.3631603, 106.4348495 29.3635927, 106.4350614 29.3640392, 106.4351901 29.3644974, 106.4352706 29.3650093, 106.4353323 29.3655633, 106.4353618 29.3663862, 106.4353672 29.3666106, 106.4353399 29.3676481)",,0
