name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,347558691,,,0,,rail,0,106.4200855,29.389219,,,
,1,347558700,,,0,,rail,1,106.4174443,29.4018453,,,
,2,347563756,,,0,,rail,0,106.4267684,29.4612076,,,
,3,347563771,,,0,,rail,0,106.4303598,29.4894454,,,
,4,347563788,,,0,,rail,0,106.4317381,29.5173685,,,
,5,347563789,,,0,,rail,0,106.4317247,29.517924,,,
,6,347563794,,,0,,rail,0,106.4310837,29.5206758,,,
,7,347563796,,,0,,rail,0,106.430749,29.5270255,,,
,8,347563799,,,0,,rail,0,106.4311233,29.5281265,,,
,9,347563800,,,0,,rail,0,106.4314151,29.5289032,,,
,10,347563801,,,0,,rail,0,106.4316383,29.529538,,,
,11,347563802,,,0,,rail,0,106.4319301,29.5303147,,,
,12,347563805,,,0,,rail,0,106.4320889,29.5308841,,,
,13,347563806,,,0,,rail,0,106.4322052,29.5320771,,,
,14,347564242,,,0,,rail,0,106.4314016,29.5360429,,,
,15,347564243,,,0,,rail,0,106.4312607,29.5366325,,,
,16,347564268,,,0,,rail,0,106.4317413,29.5346909,,,
,17,347564464,,,0,,rail,0,106.4309087,29.5379542,,,
,18,347566423,,,0,,rail,0,106.4274144,29.5443351,,,
,19,347604091,,,0,,rail,0,106.4479368,29.5570045,,,
,20,451005828,,,0,,rail,0,106.5333724,29.5451051,,,
,21,451005832,,,0,,rail,1,106.5315149,29.5435669,,,
,22,451005835,,,0,,rail,0,106.5287805,29.5414883,,,
,23,451005850,,,0,,rail,0,106.5240227,29.5352364,,,
,24,451005852,,,0,,rail,0,106.5234594,29.5338969,,,
,25,451005862,,,0,,rail,0,106.5231537,29.5239269,,,
,26,451005870,,,0,,rail,0,106.525998,29.5166652,,,
,27,451005876,,,0,,rail,0,106.5255482,29.5140264,,,
,28,451005905,,,0,,rail,0,106.5300941,29.5025588,,,
,29,530721324,,,0,,rail,0,106.4375826,29.5611824,,,
,30,530721325,,,0,,rail,0,106.438323,29.5610483,,,
,31,530721331,,,0,,rail,1,106.4341202,29.5601029,,,
,32,530722101,,,0,,rail,0,106.4390935,29.5347022,,,
,33,530733464,,,0,,rail,0,106.4302099,29.4882362,,,
,34,530734316,,,0,,rail,1,106.4266166,29.4601863,,,
,35,530734991,,,0,,rail,0,106.4241725,29.4407071,,,
,36,530734993,,,0,,rail,0,106.4247285,29.4409574,,,
,37,530735009,,,0,,rail,0,106.4282556,29.4405891,,,
,38,530735013,,,0,,rail,0,106.4287792,29.4397249,,,
,39,530735014,,,0,,rail,0,106.4291691,29.4390699,,,
,40,530735015,,,0,,rail,0,106.4295377,29.4384892,,,
,41,530735488,,,0,,rail,0,106.4202878,29.3883046,,,
,42,530735964,,,0,,rail,0,106.4180256,29.3555378,,,
,43,530736296,,,0,,rail,0,106.4146976,29.3513394,,,
,44,530741098,,,0,,rail,0,106.4210009,29.3717425,,,
,45,530741160,,,0,,rail,0,106.4220483,29.3727523,,,
,46,530743223,,,0,,rail,1,106.4217153,29.357732,,,
,47,530774151,,,0,,rail,0,106.5426597,29.5522103,,,
,48,530774157,,,0,,rail,0,106.5371301,29.5488843,,,
,49,530774160,,,0,,rail,0,106.5367157,29.5485732,,,
,50,530774870,,,0,,rail,0,106.5356889,29.5478471,,,
,51,530774874,,,0,,rail,0,106.5337801,29.5457352,,,
,52,530779185,,,0,,rail,0,106.3752097,29.5973849,,,
,53,530779186,,,0,,rail,0,106.3752783,29.598064,,,
,54,530779604,,,0,,rail,0,106.3744887,29.5911679,,,
,55,530781378,,,0,,rail,0,106.3744286,29.5907201,,,
,56,530781850,,,0,,rail,1,106.3719824,29.573194,,,
,57,530787578,,,0,,rail,0,106.368532,29.5254147,,,
,58,530787579,,,0,,rail,1,106.3685835,29.526042,,,
,59,531752885,,,0,,rail,0,106.3734063,29.4878005,,,
,60,531753413,,,0,,rail,1,106.3723368,29.4930928,,,
,61,531753917,,,0,,rail,0,106.3718257,29.4783106,,,
,62,531757177,,,0,,rail,0,106.3706434,29.471242,,,
,63,632464777,,,0,,rail,0,106.4448212,29.6575059,,,
,64,632464779,,,0,,rail,0,106.438873,29.6594703,,,
,65,632464790,,,0,,rail,0,106.448911,29.6577146,,,
,66,632464794,,,0,,rail,0,106.4705899,29.6503733,,,
