name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,42503880,,yes,,,"POLYGON ((106.6209497 29.5939596, 106.6208038 29.5939074, 106.620675 29.5939074, 106.6205463 29.5939223, 106.6204347 29.5939969, 106.620366 29.5941014, 106.6203403 29.5942059, 106.6203403 29.594385, 106.6202974 29.594385, 106.6203145 29.5946462, 106.6202974 29.5946985, 106.6202459 29.5947433, 106.6200914 29.5947283, 106.6200914 29.5949746, 106.6203145 29.5949746, 106.6204261 29.5949672, 106.6204862 29.5949298, 106.6205635 29.5948552, 106.6205978 29.5947731, 106.620572 29.5943104, 106.6205892 29.5942059, 106.6206407 29.5941462, 106.620718 29.5941089, 106.6208038 29.5941163, 106.6208553 29.5941462, 106.6209497 29.5939596))",POINT (106.6204719 29.5944461),3970.4,42737.2
,1,49182730,,yes,,,"POLYGON ((106.5766886 29.5181434, 106.5761093 29.5181621, 106.5761307 29.5185356, 106.5767101 29.5185262, 106.5766886 29.5181434))",POINT (106.5764109 29.5183418),2355.8,25357.2
,2,49183587,,yes,,,"POLYGON ((106.5751115 29.5156413, 106.5747145 29.5155759, 106.5746716 29.515772, 106.5750686 29.5158374, 106.5751115 29.5156413))",POINT (106.5748916 29.5157066),864.7,9307.1
,3,49183688,,yes,,,"POLYGON ((106.5807656 29.5131484, 106.5805725 29.5127283, 106.5804223 29.512803, 106.5805296 29.5130644, 106.5803686 29.5131298, 106.5802399 29.512859, 106.5801004 29.512915, 106.5803043 29.5133072, 106.5807656 29.5131484))",POINT (106.5804523 29.5130446),1811.3,19496.5
,4,49185609,,yes,,,"POLYGON ((106.5923327 29.4756855, 106.5922076 29.4757592, 106.5921189 29.4758657, 106.5920774 29.4759922, 106.5920881 29.4761234, 106.5921724 29.4762702, 106.5922866 29.4763564, 106.5924278 29.4764033, 106.5925789 29.4764054, 106.5927216 29.4763624, 106.5928389 29.4762794, 106.5929192 29.4761602, 106.5929452 29.4760306, 106.5929186 29.4759011, 106.5928428 29.4757873, 106.5927268 29.475703, 106.5925847 29.4756583, 106.5924336 29.4756585, 106.5923327 29.4756855))",POINT (106.5925103 29.4760311),5445.2,58611.3
鑫隆工业园,5,49187645,,industrial,,,"POLYGON ((106.5585918 29.5122722, 106.5541822 29.5122909, 106.5541607 29.5134113, 106.5586347 29.5133553, 106.5585918 29.5122722))",POINT (106.55638 29.5128339),52546.4,565603.9
,6,49187718,,yes,,,"POLYGON ((106.5525365 29.5120973, 106.5523521 29.513371, 106.552902 29.5134313, 106.5530864 29.5121576, 106.5525365 29.5120973))",POINT (106.5527192 29.5127643),7640.6,82242.2
,7,49188270,,yes,,,"POLYGON ((106.6657092 29.5058374, 106.6652693 29.5058094, 106.6650225 29.5060055, 106.6649689 29.5065004, 106.6652157 29.5067431, 106.6656341 29.5067805, 106.6656448 29.5066404, 106.6652479 29.5066031, 106.6650869 29.5064443, 106.6651406 29.5060428, 106.66528 29.5059308, 106.6656985 29.5059495, 106.6657092 29.5058374))",POINT (106.6652774 29.5062978),2365.9,25466.8
,8,49483505,,yes,,,"POLYGON ((106.445244 29.5247258, 106.4452226 29.524147, 106.4444608 29.5241377, 106.4444608 29.5247258, 106.445244 29.5247258))",POINT (106.444846 29.5244354),4838,52075.6
,9,49483519,,yes,,,"POLYGON ((106.445244 29.5240163, 106.4452333 29.5234375, 106.4444501 29.5234375, 106.4444501 29.5240443, 106.445244 29.5240163))",POINT (106.4448413 29.5237346),5016.4,53996.4
