name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
京广铁路,0,29387208,8,70,1,478.8032442,,100,,rail,30,"LINESTRING (114.226746 30.5723386, 114.2267336 30.569557, 114.2267572 30.5691902, 114.2268029 30.568774, 114.226877 30.5684111, 114.2269786 30.5680511)",,0
京广铁路,1,29387209,7,8,1,330.5185178,,100,,rail,30,"LINESTRING (114.226732 30.575311, 114.2267453 30.5724931, 114.226746 30.5723386)",,0
京广铁路,2,33677939,509,511,1,617.0942983,,125,,rail,30,"LINESTRING (114.352795 30.6964608, 114.3528593 30.6972339, 114.3528659 30.6978705, 114.3528861 30.6985393, 114.3529116 30.6995403, 114.3529049 30.7003567, 114.3528703 30.7012196, 114.3528227 30.7020064)",,0
沪蓉线,3,33678453,2350,9,1,11289.79061,,160,,rail,30,"LINESTRING (114.342068 30.728069, 114.3414277 30.7270679, 114.3410026 30.7263463, 114.3405929 30.725517, 114.3401898 30.7246792, 114.3397892 30.7238229, 114.3392833 30.7225395, 114.3388535 30.721169, 114.3385161 30.7200815, 114.3382398 30.7188718, 114.3380253 30.7178564, 114.33791 30.7172061, 114.3378234 30.7166408, 114.3377061 30.7156496, 114.3376073 30.7146093, 114.337564 30.7140309, 114.3375532 30.7130808, 114.3375737 30.7120458, 114.3376525 30.7106549, 114.3377823 30.7092133, 114.3378966 30.708614, 114.3382533 30.7067714, 114.3383901 30.7062479, 114.338573 30.7055751, 114.3393213 30.7030789, 114.344364 30.6882886, 114.3448754 30.6865294, 114.3452334 30.6846382, 114.3454636 30.6828679, 114.3456298 30.6810206, 114.3456554 30.6791623, 114.3455786 30.6775129, 114.345438 30.6760064, 114.3451823 30.674258, 114.3448371 30.6725535, 114.3443406 30.6706124, 114.3435037 30.6680609, 114.3414625 30.6625883, 114.3409717 30.6613586, 114.3404111 30.6600781, 114.3395635 30.658343, 114.3392202 30.6576923, 114.3388662 30.6570486, 114.3384907 30.6563956, 114.3354356 30.6514116, 114.3338451 30.6488757, 114.3332738 30.6480358, 114.3329626 30.6476019, 114.3326783 30.6472189, 114.3322599 30.6466928, 114.3318334 30.646192, 114.3313694 30.645689, 114.3307471 30.6450544, 114.330098 30.6444567, 114.3296152 30.644039, 114.3290707 30.6435936, 114.3285316 30.6431829, 114.3272871 30.6423313, 114.3265092 30.641849, 114.3259406 30.641526, 114.3253317 30.6412052, 114.3245861 30.6408336, 114.3240765 30.6405936, 114.3233791 30.6403029, 114.322722 30.6400398, 114.3221303 30.6398179, 114.3166745 30.6380547)",,0
京广铁路,4,38802508,14,223,1,593.6705839,,120,,rail,30,"LINESTRING (114.2963835 30.4576557, 114.2964582 30.4548396, 114.2965026 30.4544839, 114.2965752 30.4541201, 114.2966761 30.4537487, 114.2967923 30.4533818, 114.2970839 30.4526521, 114.297202 30.452411)",,0
京广铁路,5,38802600,15,14,1,89.60484196,,120,,rail,30,"LINESTRING (114.2963747 30.4584615, 114.2963835 30.4576557)",,0
,6,38802641,92,815,1,235.047455,,,,rail,30,"LINESTRING (114.3065494 30.4588893, 114.3064695 30.4585158, 114.3063863 30.4581563, 114.3062169 30.4575683, 114.3061177 30.4573672, 114.3060017 30.4571321, 114.3058399 30.4568806)",,0
,7,38802644,808,17,1,665.188645,,,,rail,30,"LINESTRING (114.298599 30.4499749, 114.2981547 30.4508583, 114.2980277 30.4511623, 114.297973 30.451331, 114.2979485 30.4514949, 114.2979313 30.451863, 114.2979457 30.4521446, 114.2979697 30.4522799, 114.298028 30.4526706, 114.2982426 30.453085, 114.2985173 30.4534475, 114.2988263 30.4537435, 114.2991782 30.4540172, 114.2996383 30.4542532, 114.3001087 30.4544197, 114.3007668 30.4545463)",,0
京广铁路,8,38802647,783,789,1,173.9460445,,140,,rail,30,"LINESTRING (114.3012118 30.4192834, 114.3011804 30.4208475)",,0
京广铁路,9,38802647,789,791,1,55.53289212,,140,,rail,30,"LINESTRING (114.3011804 30.4208475, 114.301176 30.4210627, 114.3011679 30.4213468)",,0
