name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,267228239,,,0,,rail,0,114.2983205,30.8010201,,,
,1,267228246,,,0,,rail,0,114.2971347,30.8026896,,,
,2,267228267,,,0,,rail,0,114.2892527,30.8139867,,,
,3,267228426,,,0,,rail,0,114.2945756,30.8618061,,,
,4,267228433,,,0,,rail,0,114.2974274,30.8655047,,,
,5,317007343,,,0,,rail,0,114.226169,30.5801697,,,
,6,317749790,,,0,,rail,0,114.3025588,30.5468549,,,
,7,323227179,,,0,,rail,0,114.226732,30.575311,,,
,8,323227191,,,0,,rail,0,114.226746,30.5723386,,,
,9,385058225,,,0,,rail,0,114.3166745,30.6380547,,,
,10,385058229,,,0,,rail,1,114.3233062,30.6399602,,,
,11,460331737,,,0,,rail,0,114.2966453,30.3437336,,,
,12,460331760,,,0,,rail,0,114.3030273,30.3141186,,,
,13,460332377,,,0,,rail,0,114.301497,30.4048502,,,
,14,460333399,,,0,,rail,0,114.2963835,30.4576557,,,
,15,460333400,,,0,,rail,0,114.2963747,30.4584615,,,
,16,460335335,,,0,,rail,0,114.3005122,30.4545635,,,
,17,460336083,,,0,,rail,1,114.3007668,30.4545463,,,
,18,460336354,,,0,,rail,0,114.3004565,30.4563449,,,
,19,460338752,,,0,,rail,0,114.2953768,30.4762267,,,
,20,460353236,,,0,,rail,0,114.2192483,30.8810694,,,
,21,460353245,,,0,,rail,0,114.1897657,30.902874,,,
,22,579971438,,,0,,rail,0,114.3541955,30.7156033,,,
,23,579971442,,,0,,rail,0,114.366332,30.7073076,,,
,24,579971482,,,0,,rail,0,114.3369318,30.7854465,,,
,25,579984745,,,0,,rail,0,114.3003943,30.8473171,,,
,26,579984765,,,0,,rail,0,114.3036278,30.8518015,,,
,27,579984772,,,0,,rail,0,114.303252,30.8717843,,,
,28,579984777,,,0,,rail,0,114.3029019,30.8779208,,,
,29,579984789,,,0,,rail,0,114.315486,30.8909657,,,
,30,579984795,,,0,,rail,1,114.3308607,30.9038583,,,
,31,579989094,,,0,,rail,0,114.3754412,30.2806897,,,
,32,579989108,,,0,,rail,0,114.4433501,30.5535371,,,
,33,579989113,,,0,,rail,0,114.4543111,30.5248384,,,
,34,582337044,,,0,,rail,0,114.2272463,30.5674094,,,
,35,582350166,,,0,,rail,0,114.3027348,30.3557806,,,
,36,582350170,,,0,,rail,0,114.3013092,30.4144325,,,
,37,584577561,,,0,,rail,1,114.1970451,30.4595022,,,
,38,584577590,,,0,,rail,0,114.2097602,30.4720743,,,
,39,584577598,,,0,,rail,0,114.2122586,30.4755742,,,
,40,680085132,,,0,,rail,0,114.2241673,30.5877109,,,
,41,680093514,,,0,,rail,1,114.2128015,30.6165796,,,
,42,680096134,,,0,,rail,0,114.2276181,30.6176205,,,
,43,680096557,,,0,,rail,0,114.2265558,30.6169366,,,
,44,680098861,,,0,,rail,1,114.2273229,30.6183573,,,
,45,680113129,,,0,,rail,1,114.1832523,30.6201983,,,
,46,680114278,,,0,,rail,0,114.1588796,30.6131758,,,
,47,680114286,,,0,,rail,0,114.1602965,30.6140126,,,
,48,680114290,,,0,,rail,0,114.1607695,30.6142921,,,
,49,680114299,,,0,,rail,0,114.1678865,30.6183763,,,
,50,680115141,,,0,,rail,0,114.154695,30.6112814,,,
,51,680115214,,,0,,rail,0,114.1542514,30.6111698,,,
,52,680115495,,,0,,rail,0,114.1493675,30.6102969,,,
,53,680115829,,,0,,rail,0,114.1488487,30.6102086,,,
,54,680118422,,,0,,rail,1,114.1492904,30.6006901,,,
,55,680118460,,,0,,rail,0,114.1491106,30.6043678,,,
,56,680118491,,,0,,rail,0,114.1420484,30.6089087,,,
,57,680118950,,,0,,rail,1,114.1499555,30.6001453,,,
,58,680120814,,,0,,rail,0,114.140482,30.608604,,,
,59,680121029,,,0,,rail,0,114.1327828,30.6074312,,,
,60,680122519,,,0,,rail,1,114.1359222,30.6003392,,,
,61,680122576,,,0,,rail,0,114.1378534,30.6055198,,,
,62,680122610,,,0,,rail,0,114.1341605,30.6076709,,,
,63,680123134,,,0,,rail,1,114.1371668,30.6005516,,,
,64,680124495,,,0,,rail,1,114.1424239,30.6051412,,,
,65,680124543,,,0,,rail,0,114.138363,30.6082496,,,
,66,680124562,,,0,,rail,0,114.1345642,30.6077417,,,
,67,680129253,,,0,,rail,0,114.1158794,30.6044867,,,
,68,680139300,,,0,,rail,0,114.2263738,30.5793787,,,
,69,694064393,,,0,,rail,1,114.3155146,30.5350401,,,
,70,696977259,,,0,,rail,0,114.2269786,30.5680511,,,
,71,696981326,,,0,,rail,1,114.2552471,30.5364414,,,
,72,696981375,,,0,,rail,1,114.2478013,30.5562979,,,
,73,696982118,,,0,,rail,0,114.2486704,30.5531012,,,
,74,696982119,,,0,,rail,0,114.2486596,30.5533507,,,
,75,696982132,,,0,,rail,0,114.2470664,30.5566121,,,
,76,696982134,,,0,,rail,0,114.2467177,30.5567598,,,
,77,696982445,,,0,,rail,0,114.2439491,30.5575826,,,
,78,696982901,,,0,,rail,0,114.2430699,30.5260265,,,
,79,696984629,,,0,,rail,0,114.2395708,30.5214627,,,
,80,696984965,,,0,,rail,1,114.2402375,30.5156197,,,
,81,696984978,,,0,,rail,0,114.238533,30.5191037,,,
,82,696989236,,,0,,rail,0,114.212686,30.4759929,,,
,83,696989243,,,0,,rail,0,114.2130228,30.4763546,,,
,84,696990084,,,0,,rail,0,114.2064202,30.4752572,,,
,85,696990085,,,0,,rail,0,114.2074609,30.4749429,,,
,86,696992778,,,0,,rail,1,114.1596425,30.4885253,,,
,87,697010671,,,0,,subway,0,114.173279,30.4982832,,,
,88,837952624,,,0,,rail,0,114.3030126,30.4633438,,,
,89,837952641,,,0,,rail,0,114.316414,30.4686517,,,
,90,837952660,,,0,,rail,0,114.353184,30.4641539,,,
,91,837952662,,,0,,rail,0,114.3581192,30.4650562,,,
,92,837952684,,,0,,rail,0,114.3065494,30.4588893,,,
,93,837953220,,,0,,rail,0,114.3017645,30.4638569,,,
,94,837953227,,,0,,rail,0,114.3014641,30.4640604,,,
,95,837954708,,,0,,rail,0,114.3004059,30.4582218,,,
,96,837954717,,,0,,rail,0,114.3004135,30.4575895,,,
,97,838309703,,,0,,rail,0,114.3052393,30.5212354,,,
,98,838309713,,,0,,rail,0,114.305031,30.5216339,,,
,99,838309801,,,0,,rail,0,114.3086909,30.5262763,,,
,100,838309808,,,0,,rail,0,114.308972,30.5266396,,,
,101,838309854,,,0,,rail,0,114.3088081,30.5261742,,,
,102,838309855,,,0,,rail,0,114.3090887,30.5265508,,,
,103,838309939,,,0,,rail,1,114.32124,30.5186801,,,
,104,838309960,,,0,,rail,0,114.3082129,30.5235669,,,
,105,838311118,,,0,,rail,1,114.3183087,30.5183542,,,
,106,838311132,,,0,,rail,0,114.3209816,30.5188676,,,
,107,938470210,,,0,,rail,0,114.3028483,30.3144608,,,
,108,1080932286,,,0,,rail,0,114.4309273,30.4991649,,,
,109,1080932299,,,0,,rail,0,114.4650494,30.5307693,,,
,110,1080932301,,,0,,rail,0,114.4617254,30.519253,,,
,111,1080932324,,,0,,rail,0,114.4142493,30.4719959,,,
,112,1080932375,,,0,,rail,0,114.3879579,30.470844,,,
,113,1080932389,,,0,,rail,0,114.4237965,30.4792047,,,
,114,1080932393,,,0,,rail,0,114.4150881,30.4720316,,,
,115,1080932395,,,0,,rail,0,114.4264073,30.4940035,,,
,116,1080932397,,,0,,rail,1,114.461574,30.5315157,,,
,117,1080932409,,,0,,rail,0,114.4312495,30.4993137,,,
,118,1080932432,,,0,,rail,0,114.4581896,30.5376584,,,
,119,1080932434,,,0,,rail,0,114.4665961,30.5308161,,,
,120,1080932449,,,0,,rail,0,114.4263257,30.4934955,,,
,121,1080932468,,,0,,rail,0,114.4513207,30.5083924,,,
,122,1080932469,,,0,,rail,0,114.4238965,30.4798108,,,
,123,1080932474,,,0,,rail,0,114.4167478,30.4721747,,,
,124,1080932480,,,0,,rail,0,114.3864973,30.4707788,,,
,125,1080932484,,,0,,rail,0,114.4968011,30.5310149,,,
,126,1080957867,,,0,,rail,0,114.3679079,30.697615,,,
,127,1080957924,,,0,,rail,0,114.3509665,30.7108593,,,
,128,1080957963,,,0,,rail,0,114.4755611,30.7139585,,,
,129,1080958017,,,0,,rail,0,114.3656735,30.7196428,,,
,130,1080958054,,,0,,rail,0,114.3610768,30.6975464,,,
,131,1080958057,,,0,,rail,0,114.3900658,30.713826,,,
,132,1080958150,,,0,,rail,0,114.3574249,30.7177397,,,
,133,1080958156,,,0,,rail,1,114.3650996,30.7090433,,,
,134,1080958246,,,0,,rail,0,114.3663994,30.6976326,,,
,135,1080958251,,,0,,rail,0,114.3515984,30.7113864,,,
,136,1080958329,,,0,,rail,0,114.36127,30.712178,,,
,137,1080958365,,,0,,rail,1,114.3678193,30.7194306,,,
,138,1080958411,,,0,,rail,0,114.365195,30.6976694,,,
,139,1080958457,,,0,,rail,0,114.4221709,30.7104576,,,
,140,1080958544,,,0,,rail,1,114.3498854,30.6886327,,,
,141,1080958632,,,0,,rail,0,114.3517867,30.7112613,,,
,142,1080958642,,,0,,rail,0,114.4073164,30.7106829,,,
,143,1080958741,,,0,,rail,0,114.3637156,30.6976569,,,
,144,1080958772,,,0,,rail,0,114.35076,30.6891587,,,
,145,1080958789,,,0,,rail,0,114.3671863,30.7195182,,,
,146,1084441442,,,0,,rail,0,114.3778763,30.6950685,,,
,147,1084441459,,,0,,rail,0,114.3774809,30.6948048,,,
,148,1084441484,,,0,,rail,0,114.3722276,30.6987715,,,
,149,1137604760,,,0,,tram,0,114.0849406,30.4424329,,,
,150,1150821087,,,0,,rail,0,114.4080782,30.471686,,,
,151,1150821102,,,0,,rail,0,114.4084401,30.471702,,,
,152,1150841376,,,0,,rail,0,114.4539651,30.4872603,,,
,153,1150841469,,,0,,rail,0,114.453995,30.4878611,,,
,154,1155040436,,,0,,rail,0,114.530925,30.5191208,,,
,155,1155072748,,,0,,rail,0,114.4278748,30.6351708,,,
,156,1155072783,,,0,,rail,0,114.4700766,30.5304845,,,
,157,1155072799,,,0,,rail,0,114.4620521,30.5312289,,,
,158,1155072839,,,0,,rail,0,114.431195,30.6411593,,,
,159,1155072844,,,0,,rail,0,114.4546121,30.5150702,,,
,160,1155072854,,,0,,rail,0,114.4622395,30.531397,,,
,161,1155072876,,,0,,rail,0,114.46615,30.5271053,,,
,162,1155072945,,,0,,rail,0,114.4287114,30.6318034,,,
,163,1155072990,,,0,,rail,0,114.4692632,30.530143,,,
,164,1155073019,,,0,,rail,0,114.4422305,30.5714781,,,
,165,1155073054,,,0,,rail,0,114.4664994,30.5280388,,,
,166,1155073078,,,0,,rail,0,114.4546142,30.5179133,,,
