name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,594310116,,,,,primary,0,-77.1255015,38.8487522,,,
,1,287910,,,,,primary,0,-77.1265854,38.8491534,,,
,2,4630341535,,,,,primary,0,-77.128603,38.850207,,,
,3,63716927,motorway_junction,,,,motorway,0,-77.100488,38.835267,,,
,4,485358835,,,,,motorway,0,-77.1007207,38.8343279,,,
,5,485359216,motorway_junction,,,,motorway,0,-77.0920487,38.8365955,,,
,6,485359221,motorway_junction,,,,motorway,0,-77.0963665,38.8358043,,,
,7,1391829849,traffic_signals,,signal,,primary,0,-77.1082606,38.935738,,,
,8,281074,,8,,,residential,2,-77.1082541,38.9366631,,,
,9,649840226,,,,,secondary,0,-76.9386616,38.8891714,,,
,12,63362075,motorway_junction,,,,motorway,0,-77.1236158,38.8809234,,,
,13,63330779,,,,,motorway,0,-77.1151688,38.8878437,,,
,14,4243035464,,,,,motorway,0,-77.1109892,38.8888915,,,
,15,448753584,,,,,motorway,0,-77.0737399,38.8988065,,,
,16,643547612,,,,,motorway,0,-77.0848567,38.8975045,,,
,17,49129369,,17,,,residential,2,-77.0166139,38.9818917,,,
,18,49129375,,,,,residential,0,-77.017807,38.981784,,,
,19,49130352,,,,,residential,0,-77.1055045,38.996179,,,
,21,49131979,,21,,,residential,2,-77.0900454,39.0014261,,,
,22,49131983,,,,,residential,0,-77.0906516,39.0014845,,,
,23,49132279,,,,,residential,0,-77.047882,38.995582,,,
,24,49132286,,,,,residential,0,-77.049522,38.995338,,,
,25,,,25,,,residential,2,-77.0844715,39.0054,,,boundary node created by osm2gmns
,26,49132006,,,,,residential,0,-77.0837152,39.0018935,,,
,27,49133211,motorway_junction,,,,motorway,0,-77.1564594,38.9887503,,,
,28,292436716,,,,,primary,0,-77.1539167,38.9904171,,,
,29,49133378,,,,,residential,0,-77.133537,38.996677,,,
,30,49133382,,,,,residential,0,-77.133178,38.996974,,,
,31,4428817557,,,,,service,0,-77.1504487,38.9733912,,,
,32,1071816337,,32,,,service,2,-77.151103,38.973744,,,
,33,648735164,,,,,rail,0,-77.0268454,38.9897156,,,
,34,49135584,,,,,rail,0,-77.0311689,38.993874,,,
,35,49136627,,,,,residential,0,-77.081779,38.977962,,,
,36,49136629,,,,,residential,0,-77.081741,38.978351,,,
,37,49219296,,,,,tertiary,0,-77.0995795,38.9968253,,,
,38,49138049,,,,,tertiary,0,-77.1034966,38.9956731,,,
,39,293560735,,,,,motorway,0,-77.1782215,38.9745879,,,
,40,293560657,,,,,motorway,0,-77.1783995,38.97434,,,
,41,292440299,motorway_junction,,,,motorway,0,-77.1790593,38.9710929,,,
,42,293560667,,,,,motorway,0,-77.1787967,38.9720083,,,
,43,49252116,motorway_junction,,,,motorway,0,-77.1458239,38.9705243,,,
,44,1373598687,,,,,motorway,0,-77.14697,38.9710665,,,
,45,49137754,,,,,residential,0,-77.0935182,38.9805591,,,
,46,6417640039,,,,,residential,0,-77.0940361,38.9803712,,,
,47,49137933,,,,,residential,0,-77.130805,39.001651,,,
,48,5530697696,,,,,residential,0,-77.1303677,39.0015434,,,
,49,292424721,,,,,motorway,0,-77.1567641,38.9911532,,,
,50,49137122,,,,,motorway,0,-77.1776967,38.9732948,,,
,51,4964637513,,,,,motorway,0,-77.1717562,38.9729055,,,
,52,2507705382,,,,,motorway,0,-77.1578502,38.9912205,,,
,53,292423348,motorway_junction,,,,motorway,0,-77.1576517,38.9911624,,,
,54,292436693,motorway_junction,,,,primary,0,-77.1562352,38.9909343,,,
,55,292439929,traffic_signals,,signal,,motorway,0,-77.1555609,38.9909445,,,
,56,49141810,,,,,motorway,0,-77.1555046,38.9916231,,,
,57,49224156,,,,,motorway,0,-77.1578998,38.9950649,,,
,58,49133192,,,,,primary,0,-77.1538175,38.990513,,,
,59,49143667,,,,,primary,0,-77.0780003,39.0051728,,,
,60,2507234767,,,,,motorway,0,-77.078382,39.0052758,,,
,61,49143997,,,,,residential,0,-77.088462,38.997951,,,
,62,49144002,,,,,secondary,0,-77.0887804,38.9984871,,,
,63,49144316,,,,,residential,0,-77.0916846,38.9993211,,,
,64,599698427,,,,,residential,0,-77.0935627,38.9975234,,,
,65,292436686,,,,,primary,0,-77.1602145,38.9916304,,,
,66,49139402,,,,,motorway,0,-77.1577442,38.988645,,,
