geometry,TAZ,x_coord,y_coord,COUNT,FIRST_COUN
"MULTIPOLYGON (((-122.397464032293 37.7936567954638,-122.398664046334 37.7934568083509,-122.398764053673 37.7943567811575,-122.397564039564 37.7945567682962,-122.397464032293 37.7936567954638)))",100011,-122.398114,37.79400679,1,6075
"MULTIPOLYGON (((-122.398664046334 37.7934568083509,-122.399764059064 37.7932568206888,-122.399964065028 37.7937568063773,-122.399964068432 37.7942567909438,-122.398764053673 37.7943567811575,-122.398664046334 37.7934568083509)))",100012,-122.3993267,37.79383262,1,6075
"MULTIPOLYGON (((-122.399964065028 37.7937568063773,-122.40106407845 37.7936568156241,-122.401164082487 37.7940568038256,-122.399964068432 37.7942567909438,-122.399964065028 37.7937568063773)))",100013,-122.4005212,37.79393776,1,6075
"MULTIPOLYGON (((-122.400964073731 37.7931568305098,-122.40106407845 37.7936568156241,-122.399964065028 37.7937568063773,-122.399764059064 37.7932568206888,-122.400964073731 37.7931568305098)))",100014,-122.4004364,37.79345343,1,6075
"MULTIPOLYGON (((-122.400964073731 37.7931568305098,-122.402164087688 37.7929568434286,-122.402264092444 37.7934568285288,-122.40106407845 37.7936568156241,-122.400964073731 37.7931568305098)))",100015,-122.4016141,37.79330683,1,6075
"MULTIPOLYGON (((-122.402264092444 37.7934568285288,-122.402364096511 37.7938568167191,-122.401164082487 37.7940568038256,-122.40106407845 37.7936568156241,-122.402264092444 37.7934568285288)))",100016,-122.4017141,37.79375682,1,6075
"MULTIPOLYGON (((-122.402264092444 37.7934568285288,-122.40306410199 37.793356836107,-122.40326410736 37.7937568248495,-122.402364096511 37.7938568167191,-122.402264092444 37.7934568285288)))",100017,-122.4027425,37.79361035,1,6075
"MULTIPOLYGON (((-122.402964097209 37.7928568510164,-122.40306410199 37.793356836107,-122.402264092444 37.7934568285288,-122.402164087688 37.7929568434286,-122.402964097209 37.7928568510164)))",100018,-122.4026141,37.79315684,1,6075
"MULTIPOLYGON (((-122.402964097209 37.7928568510164,-122.403864107995 37.7927568591702,-122.403964116339 37.7937568287679,-122.40326410736 37.7937568248495,-122.40306410199 37.793356836107,-122.402964097209 37.7928568510164)))",100019,-122.4034999,37.79326226,1,6075
"MULTIPOLYGON (((-122.40476411877 37.7926568673284,-122.404964127741 37.7935568405633,-122.403964116339 37.7937568287679,-122.403864107995 37.7927568591702,-122.40476411877 37.7926568673284)))",10001A,-122.4043838,37.79319234,1,6075
"MULTIPOLYGON (((-122.40556413543 37.7935568439248,-122.404964127741 37.7935568405633,-122.40476411877 37.7926568673284,-122.405464126984 37.7925568743657,-122.40556413543 37.7935568439248)))",10001B,-122.4051921,37.79306752,1,6075
"MULTIPOLYGON (((-122.405264117998 37.7916569011369,-122.405464126984 37.7925568743657,-122.40476411877 37.7926568673284,-122.403864107995 37.7927568591702,-122.4036640991 37.7918568859073,-122.404864112921 37.7916568988774,-122.405264117998 37.7916569011369)))",10001C,-122.4045659,37.79219719,1,6075
"MULTIPOLYGON (((-122.402964097209 37.7928568510164,-122.402864089635 37.7919568782983,-122.403264094017 37.7918568836497,-122.4036640991 37.7918568859073,-122.403864107995 37.7927568591702,-122.402964097209 37.7928568510164)))",10001D,-122.4033395,37.79235354,1,6075
"MULTIPOLYGON (((-122.402964097209 37.7928568510164,-122.402164087688 37.7929568434286,-122.401964078888 37.7920568701294,-122.402664087093 37.79195687717,-122.402864089635 37.7919568782983,-122.402964097209 37.7928568510164)))",10001E,-122.4024869,37.79244252,1,6075
"MULTIPOLYGON (((-122.400964073731 37.7931568305098,-122.400764064312 37.7921568602738,-122.401964078888 37.7920568701294,-122.402164087688 37.7929568434286,-122.400964073731 37.7931568305098)))",10001F,-122.4014541,37.79258449,1,6075
"MULTIPOLYGON (((-122.399764059064 37.7932568206888,-122.3995640504 37.7923568473383,-122.400764064312 37.7921568602738,-122.400964073731 37.7931568305098,-122.399764059064 37.7932568206888)))",10001G,-122.400274,37.7927292,1,6075
"MULTIPOLYGON (((-122.398364035785 37.7924568374974,-122.3995640504 37.7923568473383,-122.399764059064 37.7932568206888,-122.398664046334 37.7934568083509,-122.398364035785 37.7924568374974)))",10001H,-122.3990767,37.79287836,1,6075
"MULTIPOLYGON (((-122.398364035785 37.7924568374974,-122.398664046334 37.7934568083509,-122.397464032293 37.7936567954638,-122.397164026458 37.7933568030234,-122.397564029583 37.7930568145088,-122.398364035785 37.7924568374974)))",10001I,-122.3979974,37.79317904,1,6075
"MULTIPOLYGON (((-122.3995640504 37.7923568473383,-122.398364035785 37.7924568374974,-122.398464035717 37.7922568442264,-122.399364043113 37.7916568678086,-122.3995640504 37.7923568473383)))",10001J,-122.3990525,37.79215277,1,6075
"MULTIPOLYGON (((-122.400764064312 37.7921568602738,-122.3995640504 37.7923568473383,-122.399364043113 37.7916568678086,-122.400164048491 37.790956893938,-122.400564055604 37.7912568869399,-122.400764064312 37.7921568602738)))",10001K,-122.4000755,37.79173499,1,6075
"MULTIPOLYGON (((-122.400764064312 37.7921568602738,-122.400564055604 37.7912568869399,-122.401764069419 37.7910568999124,-122.401964078888 37.7920568701294,-122.400764064312 37.7921568602738)))",10001L,-122.401274,37.79162924,1,6075
"MULTIPOLYGON (((-122.402264075746 37.7910569027442,-122.403464089523 37.7908569157308,-122.4036640991 37.7918568859073,-122.403264094017 37.7918568836497,-122.402864089635 37.7919568782983,-122.402664087093 37.79195687717,-122.401964078888 37.7920568701294,-122.401764069419 37.7910568999124,-122.402264075746 37.7910569027442)))",10001N,-122.4027156,37.791464,1,6075
"MULTIPOLYGON (((-122.403464089523 37.7908569157308,-122.403764093316 37.7908569174313,-122.404664103981 37.790756925631,-122.404864112921 37.7916568988774,-122.4036640991 37.7918568859073,-122.403464089523 37.7908569157308)))",10001O,-122.4041566,37.79129053,1,6075
"MULTIPOLYGON (((-122.405264117998 37.7916569011369,-122.404864112921 37.7916568988774,-122.404664103981 37.790756925631,-122.405008107599 37.7906549307428,-122.405264117998 37.7916569011369)))",10001P,-122.4049551,37.79118745,1,6075
"MULTIPOLYGON (((-122.405373111908 37.7906129341155,-122.405964118966 37.7905569392058,-122.406175121377 37.790521941489,-122.406564125816 37.790456945714,-122.406764135587 37.7914569158168,-122.406364130515 37.7914569135553,-122.405564121805 37.7916569028316,-122.405264117998 37.7916569011369,-122.405008107599 37.7906549307428,-122.405373111908 37.7906129341155)))",10001R,-122.405889,37.79105718,1,6075
"MULTIPOLYGON (((-122.406464139011 37.7924568830952,-122.405464126984 37.7925568743657,-122.405264117998 37.7916569011369,-122.405564121805 37.7916569028316,-122.406364130515 37.7914569135553,-122.406764135587 37.7914569158168,-122.406864139031 37.7917569070716,-122.406964145383 37.7924568859098,-122.406464139011 37.7924568830952)))",10001S,-122.4061422,37.79201489,1,6075
"MULTIPOLYGON (((-122.406764135587 37.7914569158168,-122.408364154404 37.7912569310772,-122.408398157334 37.7915969207048,-122.408464163028 37.7922569005687,-122.407764154116 37.7922568966248,-122.406964145383 37.7924568859098,-122.406864139031 37.7917569070716,-122.406764135587 37.7914569158168)))",10001U,-122.4076427,37.79182917,1,6075
"MULTIPOLYGON (((-122.408060143133 37.7902449607941,-122.408164147467 37.7906569485856,-122.408364154404 37.7912569310772,-122.406764135587 37.7914569158168,-122.406564125816 37.790456945714,-122.407364135179 37.7903569533612,-122.408060143133 37.7902449607941)))",10001V,-122.4074386,37.79086286,1,6075
"MULTIPOLYGON (((-122.408002139134 37.7897989743186,-122.407964136151 37.7894569847255,-122.408826146173 37.789348992998,-122.409564154746 37.7892570000697,-122.409644159979 37.7898259828287,-122.409664162691 37.7901569726473,-122.408864153353 37.7902569649905,-122.408464148313 37.7902569627173,-122.408060143133 37.7902449607941,-122.408002139134 37.7897989743186)))",100021,-122.4088345,37.78979165,1,6075
"MULTIPOLYGON (((-122.406564125816 37.790456945714,-122.406464122386 37.7901569544538,-122.406364117515 37.7896569693968,-122.407964136151 37.7894569847255,-122.408002139134 37.7897989743186,-122.408060143133 37.7902449607941,-122.407364135179 37.7903569533612,-122.406564125816 37.790456945714)))",100022,-122.4072271,37.78995464,1,6075
