name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,3967630060,,,,,rail,0,144.9516426,-37.8172428,,,
,1,579487458,,,,,rail,0,144.9509305,-37.8163473,,,
,2,7990395452,,,,,rail,0,144.9508601,-37.8162641,,,
,3,7990395466,,,,,rail,0,144.9490709,-37.8143633,,,
,4,29897640,,,,,rail,0,144.9933604,-37.8328027,,,
,5,307654505,,,,,rail,0,144.9938777,-37.8302679,,,
,6,514120769,,,,,secondary,0,145.0356089,-37.8212352,,,
,7,518305545,,,,,secondary,0,145.0356209,-37.8211708,,,
,8,1971162222,traffic_signals,,signal,,secondary,0,145.0357536,-37.8204625,,,
,9,304713796,,,,,secondary,0,145.0358611,-37.8198883,,,
,10,304714992,,,,,secondary,0,145.0358857,-37.819757,,,
,11,304713362,,,,,secondary,0,145.0360592,-37.8188304,,,
,12,304712994,,,,,secondary,0,145.0361655,-37.8182627,,,
,13,304716669,,,,,secondary,0,145.0361983,-37.8180879,,,
,14,598499563,,,,,secondary,0,145.0363085,-37.8174993,,,
,15,304712991,,,,,secondary,0,145.0363652,-37.8171964,,,
,16,304715900,,,,,secondary,0,145.0364109,-37.8169524,,,
,17,3500422088,traffic_signals,,signal,,secondary,0,145.0364305,-37.8168476,,,
,18,304715956,,,,,secondary,0,145.0365433,-37.8162456,,,
,19,304712583,,,,,secondary,0,145.0365634,-37.8161378,,,
,20,7404559333,,,,,secondary,0,145.0366531,-37.8156552,,,
,21,514120766,,,,,unclassified,0,145.0370052,-37.8206224,,,
,22,514121206,,,,,residential,0,145.0374853,-37.8206753,,,
,23,2250235146,,,,,primary,0,145.0237749,-37.8212553,,,
,24,2250235138,,,,,primary,0,145.0241772,-37.8213017,,,
,25,130175808,,,,,residential,0,144.9892554,-37.7838711,,,
,26,24489907,,,,,tertiary,0,144.9895605,-37.7817016,,,
,28,1327108837,,,,,primary,0,144.9802517,-37.7670435,,,
,29,1283661479,,,,,trunk,0,144.964809,-37.7929972,,,
,30,3373048100,,,,,trunk,0,144.9649973,-37.7930581,,,
,31,1283661453,traffic_signals,,signal,,trunk,0,144.9652396,-37.7932233,,,
,32,30287236,,,,,trunk,0,144.9652084,-37.7934348,,,
,33,1283661483,,,,,trunk,0,144.9651916,-37.7934751,,,
,34,30287234,traffic_signals,,signal,,trunk,0,144.9648979,-37.7935849,,,
,35,1283661471,,,,,trunk,0,144.9647304,-37.7935172,,,
,36,30287232,,,,,trunk,0,144.9646891,-37.7934866,,,
,37,573253946,traffic_signals,,signal,,trunk,0,144.9645788,-37.7930127,,,
,38,223007318,,,,,primary,0,144.9894549,-37.8094217,,,
,39,223007282,,,,,tertiary,0,144.9899047,-37.8069563,,,
,40,25635443,,,,,tertiary,0,144.9902454,-37.8047948,,,
,41,25635444,,,,,residential,0,144.990466,-37.8033896,,,
,42,250480014,,,,,tertiary,0,145.0049929,-37.8120271,,,
,43,30947984,,,,,tertiary,0,145.0039821,-37.811942,,,
,44,443302591,,,,,tertiary,0,145.0034273,-37.8118953,,,
,45,248746632,,,,,tertiary,0,145.0027823,-37.811841,,,
,46,2692003115,,,,,tertiary,0,145.0010092,-37.8117134,,,
,47,576877847,,,,,tertiary,0,144.9722723,-37.8159637,,,
,48,6775870290,,,,,tertiary,0,144.9720076,-37.8153944,,,
,49,26051948,traffic_signals,,signal,,tertiary,0,144.9718458,-37.8150464,,,
,50,6775862780,,,,,tertiary,0,144.9717451,-37.8148297,,,
,51,6775862775,,,,,tertiary,0,144.9716538,-37.814633,,,
,53,6731366474,,,,,motorway,0,144.9403959,-37.785589,,,
