name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
沪渝高速,0,9175932,2254,158,1,275.2223042,3,59,,motorway,1,"LINESTRING (121.3501015 31.1815671, 121.3511563 31.1826716, 121.3515526 31.183066, 121.3519765 31.1834508)",auto,0
沪渝高速,1,9175932,158,221,1,491.3665528,3,59,,motorway,1,"LINESTRING (121.3519765 31.1834508, 121.3523775 31.1837903, 121.3527413 31.1840814, 121.3531461 31.1843803, 121.353596 31.1846848, 121.3541034 31.1850061, 121.354676 31.1853342, 121.3553573 31.1856899, 121.3557369 31.1858712, 121.3561294 31.1860438)",auto,0
北翟支路,2,9930400,12,950,1,49.52569165,1,29,,tertiary,5,"LINESTRING (121.2985989 31.2108087, 121.2984368 31.2107002, 121.2981615 31.2105694)",auto,1
北翟支路,3,9930400,950,12,1,49.52569165,1,29,,tertiary,5,"LINESTRING (121.2981615 31.2105694, 121.2984368 31.2107002, 121.2985989 31.2108087)",auto,1
北翟支路,4,9930400,950,8,1,302.1516089,1,29,,tertiary,5,"LINESTRING (121.2981615 31.2105694, 121.2979544 31.210482, 121.29714 31.2101853, 121.2968624 31.210067, 121.2961009 31.2096774, 121.2953831 31.2092669)",auto,1
北翟支路,5,9930400,8,950,1,302.1516089,1,29,,tertiary,5,"LINESTRING (121.2953831 31.2092669, 121.2961009 31.2096774, 121.2968624 31.210067, 121.29714 31.2101853, 121.2979544 31.210482, 121.2981615 31.2105694)",auto,1
纪翟路,6,9930404,485,9,1,364.3272054,1,29,,tertiary,5,"LINESTRING (121.2962546 31.2051614, 121.2949129 31.2060253, 121.2932464 31.207189)",auto,1
纪翟路,7,9930404,9,485,1,364.3272054,1,29,,tertiary,5,"LINESTRING (121.2932464 31.207189, 121.2949129 31.2060253, 121.2962546 31.2051614)",auto,1
繁兴路,8,9930485,3474,315,1,232.3565301,1,29,,tertiary,5,"LINESTRING (121.2906 31.2122169, 121.2919595 31.2112941, 121.2924289 31.2108412)",auto,1
繁兴路,9,9930485,315,3474,1,232.3565301,1,29,,tertiary,5,"LINESTRING (121.2924289 31.2108412, 121.2919595 31.2112941, 121.2906 31.2122169)",auto,1
华翔路,10,9930491,3475,2676,1,222.094273,3,39,,primary,3,"LINESTRING (121.2979013 31.2284, 121.2978469 31.2264032)",auto,0
华翔路,11,9930491,2676,1916,1,156.4113051,3,39,,primary,3,"LINESTRING (121.2978469 31.2264032, 121.2978831 31.2249969)",auto,0
华翔路,12,9930491,1916,955,1,537.2275853,3,39,,primary,3,"LINESTRING (121.2978831 31.2249969, 121.2979352 31.2224883, 121.2980801 31.2201692)",auto,0
,13,9930505,14,2270,1,248.0764348,2,39,,primary,3,"LINESTRING (121.3109271 31.1827568, 121.31217 31.1807955)",auto,0
,14,9930505,2270,2271,1,16.25666053,2,39,,primary,3,"LINESTRING (121.31217 31.1807955, 121.3122475 31.1806652)",auto,0
北翟支路,15,10672191,8,9,1,307.9360073,1,29,,tertiary,5,"LINESTRING (121.2953831 31.2092669, 121.2942592 31.2082482, 121.2939058 31.2078913, 121.2935897 31.2075728, 121.2932464 31.207189)",auto,1
北翟支路,16,10672191,9,8,1,307.9360073,1,29,,tertiary,5,"LINESTRING (121.2932464 31.207189, 121.2935897 31.2075728, 121.2939058 31.2078913, 121.2942592 31.2082482, 121.2953831 31.2092669)",auto,1
华翔路,17,10672387,15,16,1,180.9646849,3,39,,secondary,4,"LINESTRING (121.3153784 31.1770497, 121.316797 31.1759655)",auto,0
