name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,101783413,0,1,1,1042.85,,,,rail,30,"LINESTRING (113.2753177 22.9707000, 113.2753757 22.9716562, 113.2754025 22.9720733, 113.2754132 22.9725454, 113.2754001 22.9730388, 113.2753725 22.9735226, 113.2753096 22.9741825, 113.2752278 22.9746623, 113.2750866 22.9753204, 113.2749409 22.9758836, 113.2747677 22.9765265, 113.2746260 22.9769401, 113.2744332 22.9774105, 113.2742285 22.9778606, 113.2740081 22.9783236, 113.2737621 22.9787696, 113.2734693 22.9792117, 113.2731419 22.9797098)",,0,0,,
,1,155878384,2,3,1,181.16,,,,rail,30,"LINESTRING (113.2761037 22.9722777, 113.2759532 22.9717532, 113.2756346 22.9707000)",,0,0,,
,2,155878386,4,5,1,1521.06,,,,rail,30,"LINESTRING (113.2750814 22.9716326, 113.2751003 22.9723158, 113.2750681 22.9735306, 113.2749608 22.9746557, 113.2747755 22.9755586, 113.2744347 22.9767304, 113.2737343 22.9784293, 113.2733576 22.9791478, 113.2731298 22.9795373, 113.2728294 22.9800386, 113.2718209 22.9814486, 113.2708024 22.9828173, 113.2698345 22.9841345)",,0,0,,
,3,156067406,6,7,1,904.82,,,,rail,30,"LINESTRING (113.2545735 23.0040573, 113.2537126 23.0052214, 113.2526809 23.0066474, 113.2522364 23.0072347, 113.2520967 23.0074276, 113.2518124 23.0078566, 113.2517024 23.0080612, 113.2516283 23.0082203, 113.2515408 23.0084290, 113.2514779 23.0086542, 113.2514151 23.0088938, 113.2513769 23.0091005, 113.2513567 23.0093711, 113.2513522 23.0096521, 113.2513590 23.0098794, 113.2513904 23.0100943, 113.2514353 23.0102844, 113.2514937 23.0104992, 113.2515722 23.0107183, 113.2516556 23.0109336, 113.2517551 23.0111323, 113.2518476 23.0113000)",,0,0,,
,4,223502542,8,2,1,110.9,,,,rail,30,"LINESTRING (113.2763287 22.9732571, 113.2762999 22.9731087, 113.2762343 22.9727704, 113.2761037 22.9722777)",,0,0,,
,5,223502544,9,10,1,245.62,,,,rail,30,"LINESTRING (113.2770715 22.9729046, 113.2770658 22.9723748, 113.2770452 22.9720303, 113.2770140 22.9716675, 113.2769263 22.9710956, 113.2768574 22.9707414, 113.2768468 22.9707000)",,0,0,,
,6,223502545,11,12,1,113.56,,,,rail,30,"LINESTRING (113.2710677 22.9827712, 113.2717012 22.9819296)",,0,0,,
,7,223502545,12,13,1,915.54,,,,rail,30,"LINESTRING (113.2717012 22.9819296, 113.2718836 22.9817027, 113.2723462 22.9811906, 113.2725921 22.9809140, 113.2728703 22.9806528, 113.2731814 22.9803750, 113.2735846 22.9800102, 113.2741151 22.9795265, 113.2745244 22.9791213, 113.2748862 22.9787267, 113.2751311 22.9784056, 113.2753387 22.9780839, 113.2755715 22.9776883, 113.2757944 22.9772463, 113.2759651 22.9768552, 113.2761278 22.9764180, 113.2762448 22.9760301, 113.2763454 22.9755767, 113.2764245 22.9751277)",,0,0,,
,8,223504991,14,4,1,103.96,,,,rail,30,"LINESTRING (113.2749623 22.9707000, 113.2750001 22.9709617, 113.2750814 22.9716326)",,0,0,,
南广铁路,9,241573614,15,16,1,141.24,,160,,rail,30,"LINESTRING (113.2522175 23.0082908, 113.2514340 23.0093405)",,0,0,,
南广铁路,10,241573614,16,17,1,263.07,,160,,rail,30,"LINESTRING (113.2514340 23.0093405, 113.2504285 23.0106876, 113.2500024 23.0112716, 113.2499816 23.0113000)",,0,0,,
,11,363476143,18,19,1,244.61,,,,rail,30,"LINESTRING (113.2605497 22.9943953, 113.2608381 22.9936330, 113.2610229 22.9932268, 113.2612374 22.9928434, 113.2613927 22.9925507, 113.2614989 22.9923727)",,0,0,,
,12,363476144,20,18,1,65.3,,,,rail,30,"LINESTRING (113.2603063 22.9949404, 113.2605497 22.9943953)",,0,0,,
,13,363476144,18,21,1,243.57,,,,rail,30,"LINESTRING (113.2605497 22.9943953, 113.2608972 22.9936284, 113.2610747 22.9932631, 113.2612694 22.9928910, 113.2615683 22.9924104)",,0,0,,
,14,363476145,22,23,1,310.64,,,,rail,30,"LINESTRING (113.2601027 22.9955620, 113.2607493 22.9946138, 113.2617236 22.9931908)",,0,0,,
,15,363476146,24,25,1,478.32,,,,rail,30,"LINESTRING (113.2650120 22.9890602, 113.2654641 22.9884225, 113.2657993 22.9879188, 113.2660261 22.9875376, 113.2663859 22.9868183, 113.2666846 22.9862835, 113.2673233 22.9853130)",,0,0,,
广珠城际铁路,16,363476147,26,27,1,317.54,,160,,rail,30,"LINESTRING (113.2615606 22.9930706, 113.2610390 22.9938946, 113.2600408 22.9955700)",,0,0,,
广珠城际铁路,17,363476147,27,28,1,80.68,,160,,rail,30,"LINESTRING (113.2600408 22.9955700, 113.2596599 22.9962078)",,0,0,,
广珠城际铁路,18,363476147,28,29,1,326.83,,160,,rail,30,"LINESTRING (113.2596599 22.9962078, 113.2592582 22.9968782, 113.2580912 22.9987783)",,0,0,,
