name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
广州南站,0,189677396,,train_station,,,,"POLYGON ((113.2610358 22.9921039, 113.2616995 22.9925022, 113.2613554 22.9929979, 113.2617536 22.9932355, 113.2621298 22.992758, 113.2627935 22.9931812, 113.2624494 22.9936858, 113.262823 22.9939121, 113.263209 22.993455, 113.2641752 22.9940615, 113.2653773 22.9928553, 113.2655817 22.9927836, 113.265759 22.9926523, 113.2658477 22.9925019, 113.2658807 22.9923339, 113.2658773 22.9921739, 113.2666409 22.9906827, 113.2656969 22.9900852, 113.2660091 22.9895692, 113.2656453 22.9893361, 113.2652544 22.9898204, 113.2645931 22.9893972, 113.2649225 22.9888948, 113.2645562 22.9886436, 113.2641653 22.9891347, 113.2635507 22.9887183, 113.2623805 22.9899472, 113.262206 22.9900337, 113.2620487 22.9901649, 113.2619479 22.9903301, 113.2619226 22.9903841, 113.2618791 22.9904772, 113.2618495 22.9906736, 113.2610358 22.9921039))",POINT (113.2638544 22.9913955),202586.8,2180623.9
,1,363477015,,,,,platform,"POLYGON ((113.2628821 22.9936374, 113.2659464 22.9894704, 113.2659875 22.989496, 113.2629232 22.993663, 113.2628821 22.9936374))",POINT (113.2644348 22.9915667),2833,30494.7
,2,363477016,,,,,platform,"POLYGON ((113.262935 22.9931644, 113.2653784 22.9898453, 113.2654391 22.9898832, 113.2629957 22.9932022, 113.262935 22.9931644))",POINT (113.2641872 22.9915235),3335,35897.2
,3,363477017,,,,,platform,"POLYGON ((113.2627385 22.9930316, 113.2652018 22.9897095, 113.2652515 22.9897408, 113.2627883 22.9930629, 113.2627385 22.9930316))",POINT (113.2639947 22.9913866),2749.8,29598.9
,4,363477019,,,,,platform,"POLYGON ((113.2625726 22.9929278, 113.265015 22.9895979, 113.2650837 22.9896406, 113.2626413 22.9929705, 113.2625726 22.9929278))",POINT (113.2638281 22.9912842),3778.6,40672.8
,5,363477020,,,,,platform,"POLYGON ((113.2624098 22.9928335, 113.2648419 22.9895049, 113.2648909 22.9895353, 113.2624588 22.9928638, 113.2624098 22.9928335))",POINT (113.2636506 22.9911841),2687.9,28932
,6,363477021,,,,,platform,"POLYGON ((113.2640709 22.9938437, 113.2665289 22.9905879, 113.2666032 22.9906354, 113.2650642 22.9926739, 113.2641451 22.9938912, 113.2640709 22.9938437))",POINT (113.2653372 22.9922393),4067.9,43786.4
,7,363477022,,,,,platform,"POLYGON ((113.2638479 22.9937172, 113.2662826 22.9903908, 113.2663415 22.9904274, 113.2639068 22.9937537, 113.2638479 22.9937172))",POINT (113.2650949 22.992072),3232.4,34793.2
,8,363477023,,,,,platform,"POLYGON ((113.2619565 22.9930324, 113.2649051 22.9890185, 113.2649498 22.9890464, 113.2620012 22.9930603, 113.2619565 22.9930324))",POINT (113.2634532 22.9910394),2968.9,31957.5
,9,363477024,,,,,platform,"POLYGON ((113.2617449 22.9929558, 113.2647322 22.9888838, 113.2647855 22.988917, 113.2617982 22.9929889, 113.2617449 22.9929558))",POINT (113.2632654 22.9909361),3585.9,38598
