name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
平南铁路,0,42690240,0,1,1,42.5,,70,,rail,30,"LINESTRING (114.0355763 22.6203768, 114.0359333 22.6205706)",,0,0,,
平南铁路,1,42690246,1,2,1,163.13,,70,,rail,30,"LINESTRING (114.0359333 22.6205706, 114.0373000 22.6213201)",,0,0,,
平南铁路,2,42690327,3,4,1,160.68,,70,,rail,30,"LINESTRING (114.0113000 22.6060351, 114.0113825 22.6061051, 114.0117565 22.6064159, 114.0125041 22.6069597)",,0,0,,
深圳地铁5号线,3,173465232,5,6,1,145.62,,,,subway,30,"LINESTRING (114.0373000 22.6210481, 114.0366751 22.6207165, 114.0360733 22.6203897)",,0,0,,
杭深线,4,191990162,7,8,1,344.76,,250,,rail,30,"LINESTRING (114.0359283 22.5999000, 114.0358047 22.6000146, 114.0352852 22.6005237, 114.0345950 22.6011908, 114.0336582 22.6021916)",,0,0,,
杭深线,5,191990162,8,9,1,121.76,,250,,rail,30,"LINESTRING (114.0336582 22.6021916, 114.0328806 22.6030215)",,0,0,,
杭深线,6,191990162,9,10,1,270.07,,250,,rail,30,"LINESTRING (114.0328806 22.6030215, 114.0321301 22.6037723, 114.0311116 22.6048255)",,0,0,,
杭深线,7,191990162,10,11,1,202.37,,250,,rail,30,"LINESTRING (114.0311116 22.6048255, 114.0297960 22.6061857)",,0,0,,
杭深线,8,191990162,11,12,1,80.95,,250,,rail,30,"LINESTRING (114.0297960 22.6061857, 114.0292587 22.6067204)",,0,0,,
平南铁路,9,221888668,13,0,1,561.15,,70,,rail,30,"LINESTRING (114.0309531 22.6176954, 114.0312180 22.6179029, 114.0314571 22.6180831, 114.0316566 22.6182187, 114.0318491 22.6183480, 114.0320416 22.6184643, 114.0322515 22.6185838, 114.0325035 22.6187227, 114.0345614 22.6198211, 114.0355763 22.6203768)",,0,0,,
平南铁路,10,221888669,14,13,1,2039.59,,70,,rail,30,"LINESTRING (114.0141724 22.6081735, 114.0185294 22.6099360, 114.0200497 22.6104558, 114.0205828 22.6106314, 114.0208480 22.6107314, 114.0210677 22.6108365, 114.0213624 22.6110124, 114.0217028 22.6112400, 114.0220428 22.6114877, 114.0223493 22.6117405, 114.0253148 22.6141800, 114.0255339 22.6143503, 114.0257591 22.6145364, 114.0259229 22.6146564, 114.0260714 22.6147551, 114.0262347 22.6148734, 114.0264501 22.6150096, 114.0267043 22.6151637, 114.0288902 22.6164094, 114.0291270 22.6165421, 114.0293272 22.6166635, 114.0298866 22.6170129, 114.0309531 22.6176954)",,0,0,,
,11,414560471,15,16,1,965.38,,,,rail,30,"LINESTRING (114.0205517 22.6149006, 114.0210384 22.6140246, 114.0212650 22.6136594, 114.0213606 22.6135200, 114.0214838 22.6133664, 114.0217808 22.6130268, 114.0248615 22.6099154, 114.0252527 22.6095491, 114.0255208 22.6093330, 114.0257736 22.6091551, 114.0261014 22.6089427, 114.0265100 22.6087026, 114.0268191 22.6085330)",,0,0,,
,12,414561573,17,18,1,139.91,,,,rail,30,"LINESTRING (114.0184909 22.6174286, 114.0193751 22.6164675)",,0,0,,
,13,414561573,18,15,1,211.99,,,,rail,30,"LINESTRING (114.0193751 22.6164675, 114.0196766 22.6161327, 114.0199149 22.6158421, 114.0201062 22.6156061, 114.0202439 22.6154049, 114.0203524 22.6152340, 114.0205517 22.6149006)",,0,0,,
,14,414561573,15,16,1,961.52,,,,rail,30,"LINESTRING (114.0205517 22.6149006, 114.0210701 22.6140870, 114.0213466 22.6136554, 114.0215254 22.6134302, 114.0218590 22.6130725, 114.0249329 22.6099623, 114.0250345 22.6098678, 114.0251496 22.6097633, 114.0252905 22.6096452, 114.0255801 22.6094051, 114.0258376 22.6091971, 114.0260603 22.6090287, 114.0263070 22.6088702, 114.0268191 22.6085330)",,0,0,,
,15,414561573,16,19,1,66.07,,,,rail,30,"LINESTRING (114.0268191 22.6085330, 114.0269248 22.6084588, 114.0271488 22.6083047, 114.0273321 22.6081733)",,0,0,,
,16,414561573,19,20,1,198.48,,,,rail,30,"LINESTRING (114.0273321 22.6081733, 114.0273765 22.6081415, 114.0280334 22.6076241, 114.0284670 22.6072554, 114.0287741 22.6069816)",,0,0,,
,17,414561574,21,17,1,72.56,,,,rail,30,"LINESTRING (114.0180173 22.6179147, 114.0183222 22.6176060, 114.0184909 22.6174286)",,0,0,,
,18,414561574,17,22,1,139.2,,,,rail,30,"LINESTRING (114.0184909 22.6174286, 114.0194003 22.6164967)",,0,0,,
,19,414561574,22,23,1,218.06,,,,rail,30,"LINESTRING (114.0194003 22.6164967, 114.0197155 22.6161377, 114.0199596 22.6158592, 114.0201285 22.6156512, 114.0202788 22.6154321, 114.0203912 22.6152575, 114.0206166 22.6148887)",,0,0,,
,20,414561574,23,24,1,929.79,,,,rail,30,"LINESTRING (114.0206166 22.6148887, 114.0210930 22.6141489, 114.0212656 22.6139043, 114.0214966 22.6136170, 114.0216692 22.6134321, 114.0219483 22.6131516, 114.0250290 22.6100403, 114.0254330 22.6096286, 114.0256418 22.6094424, 114.0258117 22.6092888, 114.0260042 22.6091340, 114.0261982 22.6089943, 114.0264248 22.6088410, 114.0266598 22.6086935)",,0,0,,
,21,414561575,23,24,1,927.3,,,,rail,30,"LINESTRING (114.0206166 22.6148887, 114.0213672 22.6138929, 114.0214510 22.6137882, 114.0215787 22.6136409, 114.0217577 22.6134534, 114.0220244 22.6131972, 114.0251014 22.6100972, 114.0252326 22.6099662, 114.0254300 22.6097496, 114.0256849 22.6094995, 114.0260121 22.6092049, 114.0263232 22.6089473, 114.0265700 22.6087592, 114.0266598 22.6086935)",,0,0,,
,22,414561575,24,19,1,89.96,,,,rail,30,"LINESTRING (114.0266598 22.6086935, 114.0267631 22.6086180, 114.0269252 22.6084961, 114.0273321 22.6081733)",,0,0,,
,23,414561578,25,26,1,102,,,,rail,30,"LINESTRING (114.0204670 22.6153635, 114.0208744 22.6148964, 114.0210981 22.6146524)",,0,0,,
,24,414561578,26,27,1,821.75,,,,rail,30,"LINESTRING (114.0210981 22.6146524, 114.0214015 22.6143245, 114.0215973 22.6140942, 114.0217985 22.6138788, 114.0220023 22.6136683, 114.0222740 22.6133957, 114.0253559 22.6103051, 114.0256265 22.6100302, 114.0258723 22.6097777, 114.0260716 22.6095829, 114.0262724 22.6093666, 114.0264714 22.6091568)",,0,0,,
,25,414561579,26,27,1,821.92,,,,rail,30,"LINESTRING (114.0210981 22.6146524, 114.0215291 22.6142463, 114.0219727 22.6137979, 114.0223265 22.6134398, 114.0254096 22.6103306, 114.0254991 22.6102447, 114.0257150 22.6100111, 114.0260183 22.6096815, 114.0262196 22.6094694, 114.0263363 22.6093150, 114.0264714 22.6091568)",,0,0,,
,26,414561579,27,28,1,96.84,,,,rail,30,"LINESTRING (114.0264714 22.6091568, 114.0265645 22.6090615, 114.0267369 22.6088769, 114.0269629 22.6086815, 114.0271306 22.6085330)",,0,0,,
广深港高速线,27,414561580,29,30,1,330.09,,300,,rail,30,"LINESTRING (114.0129699 22.6232000, 114.0132547 22.6229066, 114.0144287 22.6217186, 114.0148413 22.6212961, 114.0151350 22.6209973)",,0,0,,
广深港高速线,28,414561580,30,31,1,79.92,,300,,rail,30,"LINESTRING (114.0151350 22.6209973, 114.0156594 22.6204642)",,0,0,,
广深港高速线,29,414561580,31,32,1,204.84,,300,,rail,30,"LINESTRING (114.0156594 22.6204642, 114.0166160 22.6194996, 114.0169954 22.6190912)",,0,0,,
广深港高速线,30,414561580,32,33,1,89.36,,300,,rail,30,"LINESTRING (114.0169954 22.6190912, 114.0175840 22.6184970)",,0,0,,
广深港高速线,31,414561580,33,34,1,91.13,,300,,rail,30,"LINESTRING (114.0175840 22.6184970, 114.0178157 22.6182632, 114.0181705 22.6178797)",,0,0,,
广深港高速线,32,414561580,34,35,1,190.61,,300,,rail,30,"LINESTRING (114.0181705 22.6178797, 114.0187942 22.6172592, 114.0194322 22.6166175)",,0,0,,
广深港高速线,33,414561580,35,36,1,692.22,,300,,rail,30,"LINESTRING (114.0194322 22.6166175, 114.0208345 22.6152225, 114.0214476 22.6146097, 114.0221207 22.6139314, 114.0224663 22.6135808, 114.0240104 22.6120307)",,0,0,,
