name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,533891999,,,,,rail,0,114.0355763,22.6203768,,,
,1,533891731,,,,,rail,0,114.0359333,22.6205706,,,
,2,,,2,,,rail,-1,114.0373,22.6213201,,,boundary node created by osm2gmns
,3,,,3,,,rail,1,114.0113,22.6060351,,,boundary node created by osm2gmns
,4,8235736427,,,,,rail,0,114.0125041,22.6069597,,,
,5,,,5,,,subway,1,114.0373,22.6210481,,,boundary node created by osm2gmns
民治,6,7416449646,,6,,,subway,-1,114.0360733,22.6203897,,,
,7,,,7,,,rail,1,114.0359283,22.5999,,,boundary node created by osm2gmns
,8,8482881663,,,,,rail,0,114.0336582,22.6021916,,,
,9,8482881660,,,,,rail,0,114.0328806,22.6030215,,,
,10,8482881657,,,,,rail,0,114.0311116,22.6048255,,,
,11,8482881677,,,,,rail,0,114.029796,22.6061857,,,
,12,4157607676,,,,,rail,0,114.0292587,22.6067204,,,
,13,533892739,,,,,rail,0,114.0309531,22.6176954,,,
,14,533892712,,,,,rail,0,114.0141724,22.6081735,,,
,15,4157275800,,,,,rail,0,114.0205517,22.6149006,,,
,16,4156911100,,,,,rail,0,114.0268191,22.608533,,,
,17,4157291602,,,,,rail,0,114.0184909,22.6174286,,,
,18,6138463100,,,,,rail,0,114.0193751,22.6164675,,,
,19,4156913686,,,,,rail,0,114.0273321,22.6081733,,,
,20,4157097637,,,,,rail,0,114.0287741,22.6069816,,,
,21,6138463103,,,,,rail,0,114.0180173,22.6179147,,,
,22,8369883153,,,,,rail,0,114.0194003,22.6164967,,,
,23,4157275809,,,,,rail,0,114.0206166,22.6148887,,,
,24,4156913681,,,,,rail,0,114.0266598,22.6086935,,,
,25,4157291600,,,,,rail,0,114.020467,22.6153635,,,
,26,4157291596,,,,,rail,0,114.0210981,22.6146524,,,
,27,4156952216,,,,,rail,0,114.0264714,22.6091568,,,
,28,6138463099,,,,,rail,0,114.0271306,22.608533,,,
,29,,,29,,,rail,1,114.0129699,22.6232,,,boundary node created by osm2gmns
,30,8369883155,,,,,rail,0,114.015135,22.6209973,,,
,31,4157602419,,,,,rail,0,114.0156594,22.6204642,,,
,32,2164926738,,,,,rail,0,114.0169954,22.6190912,,,
,33,8369883146,,,,,rail,0,114.017584,22.618497,,,
,34,4157602406,,,,,rail,0,114.0181705,22.6178797,,,
,35,4157299358,,,,,rail,0,114.0194322,22.6166175,,,
,36,7750445758,,,,,rail,0,114.0240104,22.6120307,,,
,37,4157314483,,,,,rail,0,114.0213439,22.614859,,,
,38,4157097660,,,,,rail,0,114.0267617,22.6093292,,,
,39,4157097662,,,,,rail,0,114.0272543,22.6087789,,,
,40,6138463098,,,,,rail,0,114.0275261,22.6084697,,,
,41,4157103097,,,,,rail,0,114.0279466,22.6080443,,,
,42,4157607677,,,,,rail,0,114.0287319,22.6072517,,,
,43,4157316099,,,,,rail,0,114.020655,22.6154974,,,
,44,4157316095,,,,,rail,0,114.0212376,22.6150208,,,
,45,4157097677,,,,,rail,0,114.026934,22.6092003,,,
,46,4157602399,,,,,rail,0,114.0192144,22.6169197,,,
,47,4157432802,,,,,rail,0,114.020832,22.6156731,,,
,48,4157432798,,,,,rail,0,114.0214712,22.6151739,,,
,49,4157103103,,,,,rail,0,114.027065,22.6094722,,,
,50,4157103120,,,,,rail,0,114.0276575,22.6086991,,,
,51,4634708055,,,,,rail,0,114.0288995,22.6070828,,,
,52,4157432805,,,,,rail,0,114.0214963,22.6152346,,,
,53,4157107097,,,,,rail,0,114.0278798,22.6084746,,,
,54,4634708054,,,,,rail,0,114.0289261,22.6071219,,,
,55,4157589247,,,,,rail,0,114.0211518,22.6156032,,,
,56,4157107105,,,,,rail,0,114.0274202,22.6093964,,,
,57,,,57,,,subway,1,114.0113,22.6065952,,,boundary node created by osm2gmns
,58,,,58,,,rail,1,114.035755,22.5999,,,boundary node created by osm2gmns
