name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
深圳北站,0,222088288,,train_station,,,,"POLYGON ((114.0220948 22.6117525, 114.0223331 22.6119605, 114.0242795 22.6136069, 114.0249741 22.6141997, 114.0256503 22.6135218, 114.0263264 22.612844, 114.0256234 22.6122464, 114.0236678 22.610584, 114.0234473 22.6103966, 114.0227711 22.6110746, 114.0220948 22.6117525))",POINT (114.0242097 22.6122979),82092,883630.2
,1,262922059,,roof,,,,"POLYGON ((114.0240815 22.6138064, 114.0240375 22.6137692, 114.0234236 22.614388, 114.0215471 22.6128014, 114.0221572 22.6121865, 114.0221309 22.6121642, 114.0223331 22.6119605, 114.0242795 22.6136069, 114.0240815 22.6138064))",POINT (114.0228963 22.6131844),32426,349030.1
,2,262922064,,roof,,,,"POLYGON ((114.0236678 22.610584, 114.0238811 22.6103685, 114.0239155 22.6103975, 114.0245178 22.6097887, 114.0264039 22.6113789, 114.0258105 22.6119787, 114.0258529 22.6120145, 114.0256234 22.6122464, 114.0236678 22.610584))",POINT (114.0250508 22.6110035),32947.2,354640.5
中国石化金龙安加油站,3,292411204,,,fuel,,,"POLYGON ((114.0288877 22.6215157, 114.0289415 22.6213538, 114.0292089 22.6214296, 114.0292185 22.6214007, 114.0292776 22.6214174, 114.0292077 22.6216277, 114.0291492 22.6216111, 114.0291556 22.6215916, 114.0288877 22.6215157))",POINT (114.029085 22.6214819),693.3,7462.4
深圳市潜龙学校,4,334180803,,,school,,,"POLYGON ((114.0353037 22.6125207, 114.0356593 22.6120899, 114.0359269 22.6123243, 114.0359103 22.6129327, 114.0366048 22.6129592, 114.0367832 22.6128028, 114.0369673 22.6129629, 114.0366665 22.6134987, 114.0366134 22.6135771, 114.0369479 22.6138875, 114.0362212 22.6146089, 114.0359836 22.6143865, 114.036123 22.6142033, 114.0360082 22.6140509, 114.0358957 22.6139396, 114.0357817 22.6138288, 114.0355375 22.6136098, 114.0354242 22.6134203, 114.0352902 22.6130687, 114.0353037 22.6125207))",POINT (114.0360737 22.613356),23668.4,254764.7
玉龙学校,5,369687140,,,school,,,"POLYGON ((114.022946 22.6079767, 114.0233648 22.6075239, 114.0243243 22.6064671, 114.0243045 22.6063354, 114.0233808 22.6056218, 114.0232432 22.6056414, 114.0227333 22.6062123, 114.0224969 22.60659, 114.0224139 22.6068847, 114.0224106 22.6071702, 114.0224723 22.6075229, 114.0225524 22.6077391, 114.0227335 22.6080049, 114.022946 22.6079767))",POINT (114.0232272 22.6067614),29629.4,318927.7
卡瑞登酒店 Carriden,6,370228539,,yes,,,,"POLYGON ((114.0293259 22.6083016, 114.0297531 22.6078889, 114.0300302 22.6081334, 114.029603 22.6085461, 114.0293259 22.6083016))",POINT (114.0296781 22.6082175),2489.3,26794.7
七星商业广场,7,370228543,,yes,,,,"POLYGON ((114.0283459 22.6233785, 114.0284927 22.6229236, 114.0299165 22.6232881, 114.029767 22.6237364, 114.0283459 22.6233785))",POINT (114.0291291 22.6233312),7916,85207.1
深圳北站,8,370233869,,train_station,,,,"POLYGON ((114.0247839 22.6139447, 114.0244255 22.6136416, 114.0257091 22.6123482, 114.0260676 22.6126514, 114.0247839 22.6139447))",POINT (114.0252466 22.6131464),9700.9,104419.9
维也纳国际酒店,9,392480285,,yes,,,,"POLYGON ((114.0224219 22.6093165, 114.022742 22.6089858, 114.0228678 22.6090895, 114.0228881 22.609076, 114.0230245 22.6091882, 114.0230433 22.6091688, 114.0231645 22.6092685, 114.0231811 22.6092514, 114.0232981 22.6093478, 114.0233251 22.6093199, 114.0234819 22.6094492, 114.0230829 22.6098616, 114.0224219 22.6093165))",POINT (114.0229473 22.6094152),5000.1,53820.8
