name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
杭州动车A线,0,151682021,0,1,1,67.25,,,,rail,30,"LINESTRING (120.2006623 30.3023466, 120.2002265 30.3028213)",,0,0,,
杭深线,1,151682024,2,3,1,189.47,,200,,rail,30,"LINESTRING (120.2106879 30.2895281, 120.2112691 30.2888342, 120.2118466 30.2881452)",,0,0,,
杭深线,2,151682024,3,4,1,85.71,,200,,rail,30,"LINESTRING (120.2118466 30.2881452, 120.2121240 30.2877971, 120.2123667 30.2875173)",,0,0,,
杭深线,3,151682024,4,5,1,116.56,,200,,rail,30,"LINESTRING (120.2123667 30.2875173, 120.2130656 30.2866579)",,0,0,,
杭深线,4,151682024,5,6,1,335.63,,200,,rail,30,"LINESTRING (120.2130656 30.2866579, 120.2133802 30.2863065, 120.2138208 30.2857691, 120.2143164 30.2851936, 120.2145630 30.2849142, 120.2148059 30.2846269, 120.2149769 30.2844229, 120.2151451 30.2842259)",,0,0,,
沪昆高速铁路,5,151682025,7,8,1,272.79,,300,,rail,30,"LINESTRING (120.2001009 30.3027228, 120.1997701 30.3030734, 120.1994627 30.3034076, 120.1991136 30.3037832, 120.1987534 30.3042456, 120.1984210 30.3046936, 120.1984164 30.3047000)",,0,0,,
杭州动车A线,6,240629691,1,9,1,261.02,,,,rail,30,"LINESTRING (120.2002265 30.3028213, 120.1997164 30.3033578, 120.1993779 30.3037415, 120.1987739 30.3044548, 120.1985920 30.3047000)",,0,0,,
下行线（4号线一期）,7,306224497,10,11,1,68.34,,80,,subway,30,"LINESTRING (120.2198000 30.2966217, 120.2191037 30.2964978)",,0,0,,
,8,306671004,12,13,1,6.47,,,,subway,30,"LINESTRING (120.2197334 30.2967608, 120.2198000 30.2967689)",,0,0,,
宁杭高速线,9,387686915,14,15,1,298.95,,350,,rail,30,"LINESTRING (120.1998386 30.3024693, 120.1995567 30.3028041, 120.1990446 30.3034182, 120.1987525 30.3038096, 120.1982388 30.3044728, 120.1980936 30.3047000)",,0,0,,
杭州动车D线,10,387686917,16,17,1,60.33,,,,rail,30,"LINESTRING (120.1997600 30.3024086, 120.2001383 30.3019743)",,0,0,,
宁杭高速线,11,387686918,18,14,1,61.26,,350,,rail,30,"LINESTRING (120.2002231 30.3020285, 120.1998386 30.3024693)",,0,0,,
宁杭高速线,12,387686920,19,20,1,61.18,,350,,rail,30,"LINESTRING (120.1998010 30.3024409, 120.2001831 30.3019994)",,0,0,,
杭州动车B线,13,387686921,21,22,1,61.76,,,,rail,30,"LINESTRING (120.1998758 30.3025048, 120.2002596 30.3020579)",,0,0,,
沪昆高速铁路,14,387686922,23,7,1,64.52,,300,,rail,30,"LINESTRING (120.2005345 30.3022785, 120.2001009 30.3027228)",,0,0,,
沪昆高速铁路,15,387686923,24,25,1,63.61,,300,,rail,30,"LINESTRING (120.2001438 30.3027511, 120.2005689 30.3023113)",,0,0,,
沪昆线,16,387686924,26,27,1,236.2,,160,,rail,30,"LINESTRING (120.2003420 30.3029415, 120.1999653 30.3033956, 120.1991487 30.3044484, 120.1989543 30.3047000)",,0,0,,
沪昆线,17,387686925,28,26,1,63.75,,160,,rail,30,"LINESTRING (120.2007475 30.3024864, 120.2003420 30.3029415)",,0,0,,
沪昆线,18,387686926,29,30,1,38.13,,160,,rail,30,"LINESTRING (120.2037276 30.2998628, 120.2034453 30.3001044)",,0,0,,
沪昆线,19,387686927,30,28,1,370.18,,160,,rail,30,"LINESTRING (120.2034453 30.3001044, 120.2024248 30.3009901, 120.2019196 30.3014231, 120.2015132 30.3017713, 120.2011409 30.3021031, 120.2007475 30.3024864)",,0,0,,
,20,387686928,31,32,1,45.11,,,,rail,30,"LINESTRING (120.2030993 30.2998844, 120.2034071 30.2995772)",,0,0,,
沪昆高速铁路,21,387686929,33,34,1,45.71,,300,,rail,30,"LINESTRING (120.2030582 30.2998602, 120.2033697 30.2995486)",,0,0,,
沪昆高速铁路,22,387686930,35,36,1,46.15,,300,,rail,30,"LINESTRING (120.2033291 30.2995185, 120.2030120 30.2998311)",,0,0,,
,23,387686932,37,38,1,47.11,,,,rail,30,"LINESTRING (120.2032905 30.2994826, 120.2029728 30.2998062)",,0,0,,
沪昆高速铁路,24,387686933,39,23,1,247.57,,300,,rail,30,"LINESTRING (120.2022456 30.3006093, 120.2013366 30.3015097, 120.2007190 30.3020964, 120.2005345 30.3022785)",,0,0,,
沪昆高速铁路,25,387686934,40,41,1,106.02,,300,,rail,30,"LINESTRING (120.2017453 30.3011754, 120.2024670 30.3004521)",,0,0,,
沪昆线,26,387686935,42,43,1,39.47,,160,,rail,30,"LINESTRING (120.2036499 30.2998050, 120.2033561 30.3000538)",,0,0,,
沪昆线,27,387686936,44,45,1,63.1,,160,,rail,30,"LINESTRING (120.2006839 30.3024264, 120.2002767 30.3028729)",,0,0,,
沪昆高速铁路,28,387686937,46,24,1,269.3,,300,,rail,30,"LINESTRING (120.1984753 30.3047000, 120.1984785 30.3046955, 120.1987048 30.3043926, 120.1990087 30.3040066, 120.1991930 30.3037738, 120.1995363 30.3033964, 120.2001438 30.3027511)",,0,0,,
