name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
1号航站楼,0,16272804,0,1,1,115.9,,40,,trunk,2,"LINESTRING (121.7986589 31.1595008, 121.7987093 31.1592637, 121.7987548 31.1590445, 121.7987737 31.1589084, 121.7987850 31.1587648, 121.7987812 31.1586138, 121.7987625 31.1584646)",auto,0,1,,
,1,30037680,2,3,1,210.17,4,,,trunk,2,"LINESTRING (121.7994284 31.1597110, 121.7991045 31.1605185, 121.7987944 31.1612255, 121.7986681 31.1614907)",auto,0,0,,
,2,30037680,3,4,1,250.27,4,,,trunk,2,"LINESTRING (121.7986681 31.1614907, 121.7982561 31.1622294, 121.7977087 31.1631002, 121.7974381 31.1634842)",auto,0,0,,
,3,30037681,5,0,1,187.91,4,,,trunk,2,"LINESTRING (121.7980026 31.1610996, 121.7986589 31.1595008)",auto,0,0,,
,4,30923077,6,7,1,64.75,,,,runway,31,"LINESTRING (121.7859609 31.1612362, 121.7861685 31.1606799)",,0,0,,
,5,30923077,7,8,1,118.89,,,,runway,31,"LINESTRING (121.7861685 31.1606799, 121.7865328 31.1596539)",,0,0,,
,6,30923077,8,9,1,101.1,,,,runway,31,"LINESTRING (121.7865328 31.1596539, 121.7868609 31.1587864)",,0,0,,
,7,30923077,9,10,1,332.74,,,,runway,31,"LINESTRING (121.7868609 31.1587864, 121.7879251 31.1559270)",,0,0,,
,8,30923077,10,11,1,49.7,,,,runway,31,"LINESTRING (121.7879251 31.1559270, 121.7880975 31.1555038)",,0,0,,
,9,30923077,11,12,1,14.64,,,,runway,31,"LINESTRING (121.7880975 31.1555038, 121.7881450 31.1553782)",,0,0,,
,10,30923077,12,13,1,433.42,,,,runway,31,"LINESTRING (121.7881450 31.1553782, 121.7895542 31.1516600)",,0,0,,
,11,30923077,13,14,1,364.37,,,,runway,31,"LINESTRING (121.7895542 31.1516600, 121.7907362 31.1485334)",,0,0,,
,12,30923077,14,15,1,52.83,,,,runway,31,"LINESTRING (121.7907362 31.1485334, 121.7909052 31.1480794)",,0,0,,
,13,30923077,15,16,1,161.5,,,,runway,31,"LINESTRING (121.7909052 31.1480794, 121.7914309 31.1466941)",,0,0,,
,14,30923077,16,17,1,191.07,,,,runway,31,"LINESTRING (121.7914309 31.1466941, 121.7920515 31.1450548)",,0,0,,
,15,30923077,17,18,1,203,,,,runway,31,"LINESTRING (121.7920515 31.1450548, 121.7927173 31.1433149)",,0,0,,
,16,30923077,18,19,1,215,,,,runway,31,"LINESTRING (121.7927173 31.1433149, 121.7933594 31.1415884, 121.7934073 31.1414680)",,0,0,,
,17,30923077,19,20,1,208.19,,,,runway,31,"LINESTRING (121.7934073 31.1414680, 121.7940836 31.1396818)",,0,0,,
,18,30923077,20,21,1,354.77,,,,runway,31,"LINESTRING (121.7940836 31.1396818, 121.7946379 31.1382746, 121.7952240 31.1366350)",,0,0,,
,19,30923077,21,22,1,276.06,,,,runway,31,"LINESTRING (121.7952240 31.1366350, 121.7961295 31.1342690)",,0,0,,
,20,30923077,22,23,1,57.2,,,,runway,31,"LINESTRING (121.7961295 31.1342690, 121.7963118 31.1337773)",,0,0,,
