name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
1 号航站楼,0,1028950305,motorway_junction,,,,trunk,0,121.7986589,31.1595008,,,
,1,1037809323,,,,,trunk,0,121.7987625,31.1584646,,,
,2,370291607,,,,,trunk,0,121.7994284,31.159711,,,
,3,1037809230,motorway_junction,,,,trunk,0,121.7986681,31.1614907,,,
,4,4646473911,,,,,trunk,0,121.7974381,31.1634842,,,
,5,330786686,,,,,trunk,0,121.7980026,31.1610996,,,
,6,4993221796,,,,,runway,0,121.7859609,31.1612362,,,
,7,1036600117,,,,,runway,0,121.7861685,31.1606799,,,
,8,1036600127,,,,,runway,0,121.7865328,31.1596539,,,
,9,3325445428,,,,,runway,0,121.7868609,31.1587864,,,
,10,859891807,,,,,runway,0,121.7879251,31.155927,,,
,11,3325444899,,,,,runway,0,121.7880975,31.1555038,,,
,12,3325444984,,,,,runway,0,121.788145,31.1553782,,,
,13,1036600196,,,,,runway,0,121.7895542,31.15166,,,
,14,1036600280,,,,,runway,0,121.7907362,31.1485334,,,
,15,1036600208,,,,,runway,0,121.7909052,31.1480794,,,
,16,1036600303,,,,,runway,0,121.7914309,31.1466941,,,
,17,1036600298,,,,,runway,0,121.7920515,31.1450548,,,
,18,1036600360,,,,,runway,0,121.7927173,31.1433149,,,
,19,1036600346,,,,,runway,0,121.7934073,31.141468,,,
,20,3325436860,,,,,runway,0,121.7940836,31.1396818,,,
,21,1036600715,,,,,runway,0,121.795224,31.136635,,,
,22,3325440514,,,,,runway,0,121.7961295,31.134269,,,
,23,1036600706,,,,,runway,0,121.7963118,31.1337773,,,
,24,1036600943,,,,,runway,0,121.797939,31.1293859,,,
,25,3325439520,,,,,runway,0,121.7983436,31.1284105,,,
,26,3325439188,,,,,runway,0,121.7986837,31.1275115,,,
,27,1036600770,,,,,runway,0,121.7988552,31.1270468,,,
,28,4993221794,,28,,,runway,-1,121.7989034,31.1269241,,,
,29,1037809347,,,,,trunk,0,121.8023879,31.1469317,,,
,30,1037809371,,,,,trunk,0,121.802889,31.1458573,,,
祝桥,31,408670171,,,,,motorway,0,121.7905009,31.1018124,,,
浦东上海绕城高速立交桥,32,1165227590,motorway_junction,,,,motorway,0,121.7890067,31.1015234,,,
,33,1919071928,,,,,motorway,0,121.7861696,31.100994,,,
,34,1037809654,,,,,trunk,0,121.8031948,31.1475285,,,
,35,9976395502,,,,,trunk,0,121.8044155,31.1442613,,,
,36,165846270,,,,,trunk,0,121.7982822,31.1572869,,,
,37,165846530,,,,,trunk,0,121.7983117,31.1555091,,,
,38,165846643,,,,,trunk,0,121.7985268,31.1548882,,,
,39,370291896,,,,,trunk,0,121.8013611,31.1580205,,,
,40,370291895,,,,,trunk,0,121.800384,31.158585,,,
,41,1037809316,,,,,trunk,0,121.8034588,31.149077,,,
,42,1037809589,,,,,trunk,0,121.8033102,31.1494771,,,
,43,4646437483,,,,,trunk,0,121.8032196,31.1497212,,,
,44,8050056150,,,,,trunk,0,121.8026686,31.1511927,,,
,45,,,45,,,motorway,1,121.7816713,31.0979,,,boundary node created by osm2gmns
,46,658983411,,,,,motorway,0,121.78495,31.1005218,,,
,47,4993221798,,,,,runway,0,121.8117255,31.158963,,,
,48,4979066718,,,,,runway,0,121.8117628,31.1588551,,,
,49,1036601353,,,,,runway,0,121.8119354,31.1583791,,,
,50,1036601368,,,,,runway,0,121.8122958,31.1574321,,,
,51,3326231429,,,,,runway,0,121.8131354,31.1551954,,,
,52,3669550631,,,,,runway,0,121.8133384,31.1546672,,,
,53,1036601369,,,,,runway,0,121.813527,31.1541591,,,
,54,3669550629,,,,,runway,0,121.8153933,31.1492331,,,
,55,1036601395,,,,,runway,0,121.8166113,31.146009,,,
,56,775944892,,,,,runway,0,121.8173045,31.1441508,,,
,57,1036601420,,,,,runway,0,121.8184461,31.1411452,,,
,58,1036601428,,,,,runway,0,121.8192628,31.1389796,,,
,59,3669550626,,,,,runway,0,121.8203602,31.1360667,,,
,60,1036601454,,,,,runway,0,121.8219494,31.1318475,,,
,61,3669550623,,,,,runway,0,121.822127,31.1313806,,,
