name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
2号航站楼,0,39023151,,yes,,,,"POLYGON ((121.8043304 31.1512586, 121.8044058 31.1512787, 121.8045427 31.1513148, 121.8047051 31.1513494, 121.804862 31.1514079, 121.8049807 31.1514464, 121.8051061 31.1514859, 121.8051856 31.15151, 121.8052928 31.1515389, 121.8054244 31.1515749, 121.8056962 31.1516312, 121.8057391 31.1516432, 121.806002 31.1517299, 121.8060851 31.1517517, 121.8062293 31.1517918, 121.8062145 31.1518332, 121.8062541 31.1518423, 121.8063634 31.1515554, 121.8064268 31.1515875, 121.8064921 31.1514848, 121.8065236 31.151502, 121.8066477 31.1513081, 121.806702 31.1513362, 121.8067811 31.1514091, 121.8068951 31.1511187, 121.807221 31.1502625, 121.8076918 31.1490206, 121.8077575 31.1488427, 121.807787 31.1486105, 121.8078232 31.1483251, 121.8079592 31.1479595, 121.8081638 31.1474092, 121.8082148 31.1474207, 121.8082336 31.1473776, 121.8082504 31.147383, 121.8084441 31.1474453, 121.8086687 31.1475033, 121.8088444 31.1475538, 121.8089329 31.1475733, 121.8090121 31.1475882, 121.8089926 31.1476387, 121.8090237 31.1476418, 121.8090516 31.1476445, 121.8086866 31.1485944, 121.8086842 31.1486006, 121.8086372 31.1486709, 121.8083999 31.1490252, 121.8080096 31.1500616, 121.8073873 31.1517075, 121.806749 31.1533762, 121.8062983 31.1545882, 121.8058652 31.1557577, 121.8052724 31.1573185, 121.8048795 31.1583411, 121.8048258 31.158854, 121.8045589 31.1595484, 121.8044744 31.1597819, 121.8044114 31.1597658, 121.8043973 31.1598135, 121.8042491 31.1597888, 121.8041861 31.1597733, 121.8040654 31.1597366, 121.8040124 31.1597159, 121.8039293 31.1597016, 121.8038522 31.1596821, 121.8037757 31.1596557, 121.8036718 31.1596161, 121.8036339 31.1596039, 121.8036181 31.1595989, 121.8036361 31.1595464, 121.8035799 31.159534, 121.8037932 31.1589763, 121.8039326 31.1585998, 121.8040944 31.1583698, 121.8042297 31.1581775, 121.8044523 31.1575928, 121.8047829 31.1567062, 121.8050732 31.1559407, 121.8053763 31.1551334, 121.8054481 31.1549342, 121.8051483 31.154843, 121.8050712 31.155053, 121.8049655 31.1553421, 121.8048976 31.1553239, 121.8048835 31.1553663, 121.8046837 31.155313, 121.804394 31.1552212, 121.8041123 31.1551638, 121.8040004 31.1551362, 121.8039011 31.1551098, 121.80383 31.1550903, 121.8037529 31.1550679, 121.8036265 31.1550274, 121.803472 31.1549687, 121.8033541 31.154933, 121.8032755 31.1549113, 121.8031843 31.1548912, 121.8030328 31.1548545, 121.8029442 31.1548298, 121.8028497 31.1548005, 121.8028688 31.1547495, 121.8028044 31.1547314, 121.8029657 31.1543116, 121.8030303 31.1541457, 121.8030562 31.1540792, 121.803445 31.1530462, 121.8034918 31.152924, 121.8035311 31.1528216, 121.8039146 31.1518028, 121.8039635 31.1516752, 121.8040053 31.151566, 121.8041209 31.1512544, 121.8041841 31.1512716, 121.8042012 31.1512283, 121.8043304 31.1512586))",POINT (121.805497 31.1534475),201356.7,2167382.9
1号航站楼,1,41128791,,yes,,,,"POLYGON ((121.7948363 31.1571379, 121.7950995 31.1572118, 121.7954475 31.1572927, 121.796643 31.1541381, 121.7968054 31.1537061, 121.7970595 31.1530256, 121.7972895 31.1530882, 121.7972499 31.1532116, 121.797433 31.1532615, 121.7976496 31.1533131, 121.7977146 31.1533257, 121.7977656 31.1533289, 121.7977796 31.1532859, 121.7978708 31.1533157, 121.7978521 31.1533596, 121.7978729 31.1533688, 121.7982316 31.1534956, 121.798481 31.1535719, 121.7987419 31.1536434, 121.7987519 31.1536138, 121.7988582 31.1536502, 121.7989709 31.1536924, 121.799132 31.1537359, 121.7992012 31.1537561, 121.7993709 31.1533057, 121.7994341 31.1531404, 121.7994674 31.1530532, 121.7995895 31.1527255, 121.7998376 31.1520696, 121.7998855 31.1519434, 121.7999348 31.1518136, 121.8000837 31.1514223, 121.8003117 31.1508272, 121.8003677 31.1506735, 121.8004075 31.1505643, 121.8004402 31.150478, 121.800539 31.1502177, 121.8004758 31.1502003, 121.800364 31.1501695, 121.8002929 31.1501477, 121.800177 31.1501092, 121.8001454 31.1500984, 121.7999878 31.1500427, 121.799977 31.1500823, 121.7998818 31.1500519, 121.7996961 31.1499997, 121.7993823 31.1498964, 121.7991851 31.1498183, 121.799171 31.149855, 121.7990859 31.1498321, 121.7990986 31.1497965, 121.7988304 31.1497397, 121.7985863 31.149676, 121.7985823 31.1496875, 121.7984569 31.1496519, 121.7983469 31.1496186, 121.7983778 31.1495394, 121.7987908 31.1484502, 121.7992052 31.1473461, 121.7999335 31.1454178, 121.7996934 31.1453684, 121.7995848 31.1453386, 121.7993211 31.1452587, 121.7988951 31.146396, 121.7976885 31.1495934, 121.7964935 31.1527565, 121.7953543 31.1557669, 121.7948363 31.1571379))",POINT (121.7981074 31.1514869),173933.1,1872198.6
,2,108731267,,,,,platform,"POLYGON ((121.7921567 31.1711487, 121.7922377 31.1711909, 121.7931322 31.1699402, 121.7930466 31.1698955, 121.7921567 31.1711487))",POINT (121.7926475 31.170538),1510.9,16262.7
海天三路,3,108731268,,transportation,,,,"POLYGON ((121.792271 31.1712083, 121.793163 31.1699562, 121.7931322 31.1699402, 121.7930466 31.1698955, 121.7929703 31.1698557, 121.7920783 31.1711078, 121.7921567 31.1711487, 121.7922377 31.1711909, 121.792271 31.1712083))",POINT (121.7926206 31.170532),3495,37619.8
浦东国际机场,4,230069192,,train_station,,,,"POLYGON ((121.8026531 31.1508198, 121.8021552 31.1506816, 121.8020292 31.1510135, 121.8019895 31.1511229, 121.8019369 31.1512632, 121.8015563 31.1522561, 121.8015107 31.1523818, 121.8014641 31.1525103, 121.8010869 31.1534944, 121.8010506 31.1535912, 121.8009895 31.1537539, 121.8008807 31.1540439, 121.8013786 31.1541821, 121.8014882 31.1538948, 121.8015486 31.1537335, 121.8020064 31.1525259, 121.802485 31.1512632, 121.8025273 31.1511528, 121.8026531 31.1508198))",POINT (121.8017665 31.1524329),19549.4,210428.2
,5,326267123,,yes,,,,"POLYGON ((121.7995693 31.1495362, 121.799729 31.1491068, 121.7994033 31.1490181, 121.7992436 31.1494474, 121.7995693 31.1495362))",POINT (121.7994863 31.1492771),1627,17512.4
,6,326267124,,yes,,,,"POLYGON ((121.8008391 31.1723992, 121.8013055 31.1711684, 121.8002522 31.1708762, 121.7997858 31.172107, 121.8008391 31.1723992))",POINT (121.8005456 31.1716377),15131,162868.9
,7,326267125,,yes,,,,"POLYGON ((121.8037008 31.1648264, 121.804032 31.1639624, 121.8035129 31.1638167, 121.8031816 31.1646807, 121.8037008 31.1648264))",POINT (121.8036068 31.1643216),5247.4,56482
,8,326267126,,yes,,,,"POLYGON ((121.8023122 31.165671, 121.8032736 31.1659408, 121.8034307 31.1655309, 121.8024693 31.165261, 121.8023122 31.165671))",POINT (121.8028714 31.1656009),4610.5,49627.1
,9,326267127,,yes,,,,"POLYGON ((121.8029986 31.1666581, 121.8020372 31.1663882, 121.8018384 31.1669069, 121.8027998 31.1671768, 121.8029986 31.1666581))",POINT (121.8024185 31.1667825),5833.7,62793.1
