name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,35449797,0,1,1,126.75,,,,runway,31,"LINESTRING (113.3146023 23.4099197, 113.3142848 23.4088129)",,0,0,,
,1,35449797,1,2,1,56.49,,,,runway,31,"LINESTRING (113.3142848 23.4088129, 113.3141689 23.4083140)",,0,0,,
,2,35449797,2,3,1,106.25,,,,runway,31,"LINESTRING (113.3141689 23.4083140, 113.3139175 23.4073827)",,0,0,,
,3,35449797,3,4,1,125.59,,,,runway,31,"LINESTRING (113.3139175 23.4073827, 113.3136204 23.4062819)",,0,0,,
,4,35449797,4,5,1,309.36,,,,runway,31,"LINESTRING (113.3136204 23.4062819, 113.3128661 23.4035756)",,0,0,,
,5,35449797,5,6,1,558.97,,,,runway,31,"LINESTRING (113.3128661 23.4035756, 113.3115662 23.3986710)",,0,0,,
,6,35449797,6,7,1,104.13,,,,runway,31,"LINESTRING (113.3115662 23.3986710, 113.3112961 23.3977640)",,0,0,,
,7,35449797,7,8,1,316.95,,,,runway,31,"LINESTRING (113.3112961 23.3977640, 113.3105702 23.3949805)",,0,0,,
,8,35449797,8,9,1,397.45,,,,runway,31,"LINESTRING (113.3105702 23.3949805, 113.3096300 23.3914968)",,0,0,,
,9,35449797,9,10,1,6.79,,,,runway,31,"LINESTRING (113.3096300 23.3914968, 113.3096139 23.3914373)",,0,0,,
,10,35449797,10,11,1,7.18,,,,runway,31,"LINESTRING (113.3096139 23.3914373, 113.3095969 23.3913744)",,0,0,,
,11,35449797,11,12,1,408.9,,,,runway,31,"LINESTRING (113.3095969 23.3913744, 113.3086297 23.3877903)",,0,0,,
,12,35449797,12,13,1,400.3,,,,runway,31,"LINESTRING (113.3086297 23.3877903, 113.3076828 23.3842816)",,0,0,,
,13,35449797,13,14,1,446.01,,,,runway,31,"LINESTRING (113.3076828 23.3842816, 113.3065847 23.3803824)",,0,0,,
,14,35449797,14,15,1,249.67,,,,runway,31,"LINESTRING (113.3065847 23.3803824, 113.3060374 23.3781844)",,0,0,,
,15,35449797,15,16,1,120.08,,,,runway,31,"LINESTRING (113.3060374 23.3781844, 113.3057534 23.3771319)",,0,0,,
,16,35449797,16,17,1,100.51,,,,runway,31,"LINESTRING (113.3057534 23.3771319, 113.3055157 23.3762509)",,0,0,,
,17,35449797,17,18,1,54.12,,,,runway,31,"LINESTRING (113.3055157 23.3762509, 113.3053877 23.3757765)",,0,0,,
,18,35449797,18,19,1,128.78,,,,runway,31,"LINESTRING (113.3053877 23.3757765, 113.3050831 23.3746477)",,0,0,,
,19,35449798,20,21,1,171.24,,,,runway,31,"LINESTRING (113.2922596 23.4094896, 113.2918617 23.4079870)",,0,0,,
,20,35449798,21,22,1,130.86,,,,runway,31,"LINESTRING (113.2918617 23.4079870, 113.2917801 23.4077101, 113.2915549 23.4068395)",,0,0,,
,21,35449798,22,23,1,86.9,,,,runway,31,"LINESTRING (113.2915549 23.4068395, 113.2913406 23.4060799)",,0,0,,
,22,35449798,23,24,1,737.25,,,,runway,31,"LINESTRING (113.2913406 23.4060799, 113.2896104 23.3996146)",,0,0,,
,23,35449798,24,25,1,365.61,,,,runway,31,"LINESTRING (113.2896104 23.3996146, 113.2895678 23.3994666, 113.2887470 23.3964097)",,0,0,,
,24,35449798,25,26,1,425.42,,,,runway,31,"LINESTRING (113.2887470 23.3964097, 113.2877703 23.3928368, 113.2877247 23.3926846)",,0,0,,
,25,35449798,26,27,1,391.92,,,,runway,31,"LINESTRING (113.2877247 23.3926846, 113.2877002 23.3925932, 113.2868027 23.3892482)",,0,0,,
,26,35449798,27,28,1,404.43,,,,runway,31,"LINESTRING (113.2868027 23.3892482, 113.2858512 23.3857021)",,0,0,,
,27,35449798,28,29,1,711.13,,,,runway,31,"LINESTRING (113.2858512 23.3857021, 113.2841783 23.3794668)",,0,0,,
,28,35449798,29,30,1,107.48,,,,runway,31,"LINESTRING (113.2841783 23.3794668, 113.2839254 23.3785244)",,0,0,,
,29,35449798,30,31,1,107.47,,,,runway,31,"LINESTRING (113.2839254 23.3785244, 113.2836726 23.3775821)",,0,0,,
,30,35449798,31,32,1,192.49,,,,runway,31,"LINESTRING (113.2836726 23.3775821, 113.2832198 23.3758943)",,0,0,,
»ú³¡´óµÀ,31,49214134,33,34,1,32.96,4,,,trunk,2,"LINESTRING (113.2956531 23.3807152, 113.2957258 23.3810053)",auto,0,0,,
»ú³¡´óµÀ,32,49214134,34,35,1,288.86,4,,,trunk,2,"LINESTRING (113.2957258 23.3810053, 113.2959146 23.3816706, 113.2963795 23.3829590, 113.2966260 23.3834746)",auto,0,0,,
,33,53193527,36,37,1,19.07,,,,taxiway,31,"LINESTRING (113.3103208 23.4032597, 113.3101396 23.4033009)",,0,0,,
,34,53193527,37,38,1,35.92,,,,taxiway,31,"LINESTRING (113.3101396 23.4033009, 113.3097983 23.4033786)",,0,0,,
,35,53193527,38,39,1,41.93,,,,taxiway,31,"LINESTRING (113.3097983 23.4033786, 113.3093999 23.4034693)",,0,0,,
,36,53193527,39,40,1,20.04,,,,taxiway,31,"LINESTRING (113.3093999 23.4034693, 113.3092395 23.4035058, 113.3092095 23.4035126)",,0,0,,
,37,53193527,40,41,1,38.8,,,,taxiway,31,"LINESTRING (113.3092095 23.4035126, 113.3088408 23.4035966)",,0,0,,
,38,53193527,41,42,1,42.26,,,,taxiway,31,"LINESTRING (113.3088408 23.4035966, 113.3084392 23.4036880)",,0,0,,
,39,53193527,42,43,1,28,,,,taxiway,31,"LINESTRING (113.3084392 23.4036880, 113.3081731 23.4037485)",,0,0,,
,40,53193527,43,44,1,76.92,,,,taxiway,31,"LINESTRING (113.3081731 23.4037485, 113.3074422 23.4039149)",,0,0,,
,41,53193527,44,45,1,157.6,,,,taxiway,31,"LINESTRING (113.3074422 23.4039149, 113.3066933 23.4040853, 113.3059446 23.4042557)",,0,0,,
,42,53193527,45,46,1,85.98,,,,taxiway,31,"LINESTRING (113.3059446 23.4042557, 113.3051276 23.4044417)",,0,0,,
,43,53193527,46,47,1,25.01,,,,taxiway,31,"LINESTRING (113.3051276 23.4044417, 113.3048899 23.4044958)",,0,0,,
,44,53193527,47,48,1,49.65,,,,taxiway,31,"LINESTRING (113.3048899 23.4044958, 113.3044160 23.4045951)",,0,0,,
,45,53193527,48,49,1,39.93,,,,taxiway,31,"LINESTRING (113.3044160 23.4045951, 113.3040386 23.4046887)",,0,0,,
,46,53193527,49,50,1,439.38,,,,taxiway,31,"LINESTRING (113.3040386 23.4046887, 113.2998619 23.4056336)",,0,0,,
,47,53193527,50,51,1,49.85,,,,taxiway,31,"LINESTRING (113.2998619 23.4056336, 113.2993899 23.4057476)",,0,0,,
,48,53193527,51,52,1,27.02,,,,taxiway,31,"LINESTRING (113.2993899 23.4057476, 113.2991317 23.4058002)",,0,0,,
,49,53193527,52,53,1,10.24,,,,taxiway,31,"LINESTRING (113.2991317 23.4058002, 113.2990347 23.4058233)",,0,0,,
,50,53193527,53,54,1,50.7,,,,taxiway,31,"LINESTRING (113.2990347 23.4058233, 113.2985542 23.4059378)",,0,0,,
,51,53193527,54,55,1,45.41,,,,taxiway,31,"LINESTRING (113.2985542 23.4059378, 113.2981227 23.4060360)",,0,0,,
,52,53193527,55,56,1,261.55,,,,taxiway,31,"LINESTRING (113.2981227 23.4060360, 113.2958530 23.4065526, 113.2956795 23.4065921, 113.2956374 23.4066022)",,0,0,,
