name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,4641730871,,0,,,runway,1,113.3146023,23.4099197,,,
,1,673064625,,,,,runway,0,113.3142848,23.4088129,,,
,2,4641724862,,,,,runway,0,113.3141689,23.408314,,,
,3,4641724876,,,,,runway,0,113.3139175,23.4073827,,,
,4,4641724869,,,,,runway,0,113.3136204,23.4062819,,,
,5,8058978120,,,,,runway,0,113.3128661,23.4035756,,,
,6,1112130373,,,,,runway,0,113.3115662,23.398671,,,
,7,8058978126,,,,,runway,0,113.3112961,23.397764,,,
,8,1112130390,,,,,runway,0,113.3105702,23.3949805,,,
,9,9838070096,,,,,runway,0,113.30963,23.3914968,,,
,10,9838115866,,,,,runway,0,113.3096139,23.3914373,,,
,11,1112130318,,,,,runway,0,113.3095969,23.3913744,,,
,12,4641726274,,,,,runway,0,113.3086297,23.3877903,,,
,13,1112130393,,,,,runway,0,113.3076828,23.3842816,,,
,14,5982906405,,,,,runway,0,113.3065847,23.3803824,,,
,15,4641726060,,,,,runway,0,113.3060374,23.3781844,,,
,16,4641726051,,,,,runway,0,113.3057534,23.3771319,,,
,17,4641724844,,,,,runway,0,113.3055157,23.3762509,,,
,18,415820771,,,,,runway,0,113.3053877,23.3757765,,,
,19,4641730874,,19,,,runway,-1,113.3050831,23.3746477,,,
,20,1112130337,,20,,,runway,1,113.2922596,23.4094896,,,
,21,9838012178,,,,,runway,0,113.2918617,23.407987,,,
,22,9838012179,,,,,runway,0,113.2915549,23.4068395,,,
,23,673064634,,,,,runway,0,113.2913406,23.4060799,,,
,24,9838012173,,,,,runway,0,113.2896104,23.3996146,,,
,25,1112130354,,,,,runway,0,113.288747,23.3964097,,,
,26,1112130320,,,,,runway,0,113.2877247,23.3926846,,,
,27,1112130361,,,,,runway,0,113.2868027,23.3892482,,,
,28,1112130321,,,,,runway,0,113.2858512,23.3857021,,,
,29,4641724431,,,,,runway,0,113.2841783,23.3794668,,,
,30,4641724430,,,,,runway,0,113.2839254,23.3785244,,,
,31,4641725277,,,,,runway,0,113.2836726,23.3775821,,,
,32,4641730869,,32,,,runway,-1,113.2832198,23.3758943,,,
,33,624543347,,,,,trunk,0,113.2956531,23.3807152,,,
,34,2293342848,,,,,trunk,0,113.2957258,23.3810053,,,
,35,4740959341,,,,,trunk,0,113.296626,23.3834746,,,
,36,4641729708,,,,,taxiway,0,113.3103208,23.4032597,,,
,37,4641727322,,,,,taxiway,0,113.3101396,23.4033009,,,
,38,1112130394,,,,,taxiway,0,113.3097983,23.4033786,,,
,39,4641729718,,,,,taxiway,0,113.3093999,23.4034693,,,
,40,4641727311,,,,,taxiway,0,113.3092095,23.4035126,,,
,41,4641730017,,,,,taxiway,0,113.3088408,23.4035966,,,
,42,4641728700,,,,,taxiway,0,113.3084392,23.403688,,,
,43,4641729871,,,,,taxiway,0,113.3081731,23.4037485,,,
,44,4641729735,,,,,taxiway,0,113.3074422,23.4039149,,,
,45,4641724489,,,,,taxiway,0,113.3059446,23.4042557,,,
,46,4641724501,,,,,taxiway,0,113.3051276,23.4044417,,,
,47,4641724511,,,,,taxiway,0,113.3048899,23.4044958,,,
,48,4641729147,,,,,taxiway,0,113.304416,23.4045951,,,
,49,4641724523,,,,,taxiway,0,113.3040386,23.4046887,,,
,50,4641724467,,,,,taxiway,0,113.2998619,23.4056336,,,
,51,4641729880,,,,,taxiway,0,113.2993899,23.4057476,,,
,52,9838010615,,,,,taxiway,0,113.2991317,23.4058002,,,
,53,9838012119,,,,,taxiway,0,113.2990347,23.4058233,,,
,54,4641724479,,,,,taxiway,0,113.2985542,23.4059378,,,
,55,4641727772,,,,,taxiway,0,113.2981227,23.406036,,,
,56,9838069961,,,,,taxiway,0,113.2956374,23.4066022,,,
,57,4641728743,,,,,taxiway,0,113.2949198,23.4067752,,,
,58,4641730780,,,,,taxiway,0,113.2948034,23.4067988,,,
,59,9838069929,,,,,taxiway,0,113.2941018,23.4069512,,,
,60,4641730617,,,,,taxiway,0,113.2939795,23.406979,,,
,61,4641725625,,,,,taxiway,0,113.2883006,23.3888961,,,
,62,8984972323,,,,,taxiway,0,113.2881567,23.3894012,,,
,63,1533348915,,,,,taxiway,0,113.2880196,23.3898812,,,
,64,4641725626,,,,,taxiway,0,113.2878419,23.3905518,,,
,65,4641725608,,,,,taxiway,0,113.2900591,23.3957503,,,
,66,4641725586,,,,,taxiway,0,113.2904687,23.3958315,,,
,67,4641730570,,,,,taxiway,0,113.2908371,23.3957505,,,
,68,4641729781,,,,,taxiway,0,113.2909615,23.395723,,,
,69,1112130295,,,,,taxiway,0,113.2913407,23.3956384,,,
,70,4641727426,,,,,taxiway,0,113.2917108,23.3955562,,,
,71,4641729772,,,,,taxiway,0,113.2918175,23.3955325,,,
,72,1112130396,,,,,taxiway,0,113.2921869,23.3954504,,,
,73,8058978137,,,,,taxiway,0,113.292386,23.3954062,,,
,74,4641727415,,,,,taxiway,0,113.2925771,23.3953716,,,
,75,8049854004,,,,,taxiway,0,113.2931114,23.3952552,,,
,76,8049853997,,,,,taxiway,0,113.2935739,23.3951593,,,
,77,8049854002,,,,,taxiway,0,113.2939439,23.3950714,,,
,78,8049840974,,,,,taxiway,0,113.2941002,23.3950343,,,
,79,8049854016,,,,,taxiway,0,113.2942814,23.3949913,,,
,80,8049854039,,,,,parking_position,0,113.2946894,23.3949021,,,
