name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
白云国际机场T1航站楼A区,0,115124892,,yes,,,,"POLYGON ((113.3011986 23.3832729, 113.3010539 23.383432, 113.2991253 23.385736, 113.2991414 23.3858714, 113.2991179 23.3858844, 113.2990502 23.3859219, 113.298731 23.3854282, 113.29851 23.3855332, 113.2985986 23.3856894, 113.2985301 23.38572, 113.2983141 23.3858609, 113.298727 23.3865735, 113.2989657 23.3869854, 113.2995697 23.388159, 113.2997355 23.3881104, 113.3000225 23.3881991, 113.2996386 23.3882914, 113.2997471 23.3885366, 113.3001606 23.3884969, 113.3000144 23.3886976, 113.2998327 23.3887131, 113.3001359 23.3894625, 113.3001566 23.3895137, 113.3004618 23.3902433, 113.3004758 23.3902768, 113.3005965 23.3905673, 113.3005022 23.3906021, 113.3003867 23.3906448, 113.3003497 23.3906584, 113.3008754 23.3922106, 113.3008959 23.3921978, 113.3009465 23.3921662, 113.3009411 23.3921416, 113.3010165 23.3921198, 113.301098 23.3920961, 113.3011973 23.3924186, 113.3012523 23.3925983, 113.3018343 23.3924457, 113.3017284 23.3920247, 113.3018279 23.392003, 113.3019577 23.3919767, 113.3019805 23.3920185, 113.3038943 23.391589, 113.3038862 23.3913772, 113.3037923 23.3911655, 113.3018638 23.3915865, 113.3018678 23.3916407, 113.3017284 23.3916665, 113.3016734 23.3916764, 113.3013143 23.3906087, 113.3009867 23.3897512, 113.3005965 23.3888761, 113.3006426 23.3888543, 113.3006877 23.388833, 113.3008486 23.3888822, 113.3029327 23.3879123, 113.3027436 23.3875996, 113.3006796 23.3885696, 113.300622 23.3887284, 113.3005892 23.3887398, 113.3005482 23.3887542, 113.2995665 23.3867958, 113.2991306 23.3860425, 113.29919 23.3859937, 113.2992071 23.3859797, 113.2994243 23.3859489, 113.3014937 23.3834858, 113.3011986 23.3832729))",POINT (113.3007321 23.3887392),92335.5,993890.3
白云国际机场T1航站楼B区,1,139632177,,yes,,,,"POLYGON ((113.2953152 23.386493, 113.2953206 23.3864782, 113.2953139 23.3864204, 113.2953005 23.3863539, 113.295279 23.3863071, 113.2954641 23.3863096, 113.2954198 23.3863613, 113.2954124 23.3864401, 113.2954064 23.3864967, 113.295511 23.3865053, 113.2955083 23.3869583, 113.2956229 23.386962, 113.2957206 23.3869651, 113.295815 23.3890513, 113.295709 23.3890706, 113.2954118 23.3891247, 113.2952213 23.3893106, 113.2957154 23.389203, 113.2957955 23.3891856, 113.2958131 23.3894382, 113.2957324 23.3894663, 113.2952468 23.3896355, 113.2954735 23.3897402, 113.2957469 23.389635, 113.2958402 23.3895991, 113.2959281 23.3903778, 113.2958168 23.3903778, 113.2957377 23.3903778, 113.2957806 23.390832, 113.2958478 23.3908254, 113.2959391 23.3908166, 113.2960072 23.3913009, 113.2959186 23.3913129, 113.2958436 23.3913231, 113.2958905 23.3916407, 113.2959764 23.3916292, 113.2960504 23.3916192, 113.2960743 23.391616, 113.2964632 23.3932162, 113.296435 23.3932176, 113.2963178 23.3932235, 113.2962191 23.3932285, 113.2962996 23.3935584, 113.2963452 23.3937282, 113.2957309 23.3938685, 113.2956263 23.3934279, 113.2955189 23.3934539, 113.2954198 23.3934673, 113.2954252 23.3935337, 113.2934993 23.3940015, 113.2934055 23.3937848, 113.2933679 23.3935534, 113.2953179 23.3930906, 113.295334 23.3931399, 113.2954278 23.3931247, 113.295562 23.3931029, 113.2952642 23.3918056, 113.295055 23.3901464, 113.2949782 23.390149, 113.2949337 23.3901514, 113.2948228 23.3902648, 113.2924736 23.3903226, 113.2924661 23.3899718, 113.2948162 23.3899285, 113.2949419 23.3900451, 113.2949681 23.3900407, 113.2950215 23.3900358, 113.2948995 23.3885363, 113.2948807 23.3870248, 113.2948089 23.3870063, 113.2947801 23.3869989, 113.2945776 23.3870802, 113.2914971 23.3857901, 113.2916459 23.3854726, 113.2947466 23.3867663, 113.2948002 23.386882, 113.2948189 23.3868868, 113.294882 23.3869029, 113.2948921 23.3863028, 113.2951955 23.3863065, 113.2951972 23.3864745, 113.2953152 23.386493))",POINT (113.2949075 23.3899516),100335.5,1080001.7
,2,139934491,,,,pitch,,"POLYGON ((113.3062755 23.4178222, 113.3063686 23.4179313, 113.3065885 23.4180347, 113.3069032 23.417965, 113.307048 23.4177976, 113.307066 23.4178427, 113.3071494 23.4178269, 113.3068246 23.4165234, 113.3067103 23.4165424, 113.3065314 23.4164626, 113.3062326 23.4165375, 113.3061253 23.4166605, 113.3060253 23.4167991, 113.3062755 23.4178222))",POINT (113.3065752 23.4172498),13652.4,146953.1
,3,139934493,,,,pitch,,"POLYGON ((113.306104 23.4169114, 113.3067507 23.4167686, 113.3069862 23.417667, 113.3063394 23.4178097, 113.306104 23.4169114))",POINT (113.3065451 23.4172892),6951.4,74824.1
,4,220206402,,yes,,,,"POLYGON ((113.2959468 23.3854147, 113.2959458 23.3853218, 113.2960686 23.3853208, 113.2962414 23.3853193, 113.2962424 23.3854121, 113.2960765 23.3854136, 113.2959468 23.3854147))",POINT (113.2960941 23.385367),310.5,3342.5
,5,220206403,,yes,,,,"POLYGON ((113.2970725 23.3852134, 113.2970254 23.3851282, 113.2971129 23.3850875, 113.2972139 23.3850405, 113.2972487 23.3850243, 113.2972958 23.3851094, 113.2972554 23.3851282, 113.297157 23.385174, 113.2970725 23.3852134))",POINT (113.2971606 23.3851188),270.4,2910.7
白云国际机场T1航站楼,6,220206411,,yes,,,,"POLYGON ((113.2959804 23.3882963, 113.2960474 23.389009, 113.2959458 23.3890275, 113.2958305 23.3890485, 113.295815 23.3890513, 113.295709 23.3890706, 113.2954118 23.3891247, 113.2952213 23.3893106, 113.2957154 23.389203, 113.2957955 23.3891856, 113.2958417 23.3891755, 113.2959538 23.3891511, 113.29625 23.3890866, 113.2962526 23.3891801, 113.2962862 23.3892392, 113.2962124 23.3892675, 113.2962205 23.3892909, 113.2959815 23.3893773, 113.2958592 23.3894215, 113.2958131 23.3894382, 113.2957324 23.3894663, 113.2952468 23.3896355, 113.2954735 23.3897402, 113.2957469 23.389635, 113.2958402 23.3895991, 113.295871 23.3895873, 113.2959926 23.3895405, 113.2960556 23.3895162, 113.2961614 23.3894755, 113.2964592 23.390134, 113.2965088 23.3902141, 113.2965704 23.3902488, 113.2966027 23.390267, 113.2967596 23.3901796, 113.2967596 23.3902769, 113.2971606 23.3901316, 113.297815 23.3899482, 113.2986197 23.3897882, 113.2991334 23.3897315, 113.2990931 23.3896491, 113.2992849 23.3896429, 113.299298 23.3896022, 113.2993278 23.38951, 113.2992661 23.3887616, 113.2993339 23.3887558, 113.2994339 23.3887472, 113.2995532 23.388737, 113.2996802 23.3887262, 113.2998327 23.3887131, 113.3000144 23.3886976, 113.3001606 23.3884969, 113.2997471 23.3885366, 113.2995892 23.3885517, 113.2994711 23.3885631, 113.2993539 23.3885743, 113.2993317 23.3885765, 113.2990958 23.3885991, 113.2990757 23.3885105, 113.2990247 23.3884391, 113.2992635 23.3883817, 113.2993743 23.388355, 113.2994742 23.388331, 113.2996386 23.3882914, 113.3000225 23.3881991, 113.2997355 23.3881104, 113.2995697 23.388159, 113.2994009 23.3882084, 113.2993104 23.3882349, 113.299209 23.3882646, 113.2991132 23.3882926, 113.2988182 23.3876624, 113.2987055 23.3875615, 113.2985982 23.3876181, 113.2985092 23.3876625, 113.2982402 23.3877966, 113.2982254 23.387751, 113.2982328 23.3877064, 113.2982375 23.3876784, 113.2973658 23.3879233, 113.2965007 23.3880624, 113.2965198 23.3880916, 113.296553 23.3881424, 113.2965624 23.3881708, 113.2961523 23.3881793, 113.296034 23.3881818, 113.2959804 23.3882963))",POINT (113.2976667 23.3889265),78158.6,841291.1
,7,220209626,,,parking,,,"POLYGON ((113.2963238 23.3879612, 113.2962342 23.3879193, 113.2961674 23.3878475, 113.2961332 23.3877742, 113.2961218 23.387692, 113.2960973 23.386968, 113.2961071 23.3867841, 113.2961201 23.3866016, 113.2961201 23.3865178, 113.2961087 23.3863787, 113.296081 23.3862262, 113.2960703 23.3860277, 113.2961441 23.3859367, 113.2962368 23.3858742, 113.296415 23.3858711, 113.2966659 23.3858599, 113.2969478 23.3857986, 113.2970951 23.3857443, 113.2974873 23.3864988, 113.2980157 23.3876001, 113.2973585 23.3878059, 113.2966936 23.3879405, 113.2964394 23.3879734, 113.2963238 23.3879612))",POINT (113.2968679 23.3869412),34468.2,371012.7
,8,220211758,,,parking,,,"POLYGON ((113.2981625 23.3852789, 113.2983243 23.3851557, 113.2983565 23.385069, 113.2983596 23.3850329, 113.2983635 23.3849886, 113.2984541 23.3849472, 113.2987311 23.3854123, 113.2984789 23.3855458, 113.2983914 23.3854168, 113.2982854 23.3854792, 113.2981625 23.3852789))",POINT (113.2984478 23.3852796),1936.1,20840.2
,9,220216207,,,parking,,,"POLYGON ((113.2954124 23.3864401, 113.2954855 23.3864418, 113.2955374 23.3864323, 113.2955881 23.3863984, 113.2956423 23.3863413, 113.2955985 23.3851783, 113.2952304 23.3851667, 113.2952336 23.385546, 113.295393 23.385559, 113.295388 23.3862139, 113.2952105 23.3862181, 113.2952001 23.3862848, 113.2952013 23.3863408, 113.2953139 23.3864204, 113.2953005 23.3863539, 113.295279 23.3863071, 113.2954641 23.3863096, 113.2954198 23.3863613, 113.2954124 23.3864401))",POINT (113.29546 23.3857666),4158,44756.6
