name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
停车场,0,37389940,,,parking,,,"POLYGON ((103.956376 30.5799005, 103.9577855 30.5829033, 103.9578509 30.5830266, 103.9579046 30.5830912, 103.9579609 30.5831478, 103.9580172 30.5831813, 103.9580682 30.583194, 103.9581232 30.5831963, 103.9582002 30.5831849, 103.9584303 30.5831135, 103.9586213 30.5830451, 103.958813 30.5829767, 103.9591102 30.5828661, 103.9591867 30.5828234, 103.9592403 30.5827783, 103.9592886 30.5827298, 103.9593141 30.5826756, 103.9593087 30.5826178, 103.9591114 30.582237, 103.9589705 30.5820538, 103.9575847 30.5789949, 103.9573562 30.5790699, 103.9569464 30.5792184, 103.9568617 30.5792465, 103.956667 30.5793111, 103.956472 30.5793823, 103.9562981 30.5796183, 103.956376 30.5799005))",POINT (103.9577681 30.5811355),64288.1,691990.7
,1,37389986,,yes,,,,"POLYGON ((103.9589652 30.5847136, 103.9588724 30.584522, 103.9593455 30.5843543, 103.9594383 30.584546, 103.9589652 30.5847136))",POINT (103.9591554 30.584534),1128.7,12148.8
,2,37389988,,yes,,,,"POLYGON ((103.9587519 30.5848254, 103.9586406 30.5845619, 103.9587333 30.584514, 103.9588539 30.5847935, 103.9587519 30.5848254))",POINT (103.9587456 30.584674),330,3551.8
,3,37389989,,yes,,,,"POLYGON ((103.9589745 30.5853843, 103.9591507 30.5857515, 103.9596052 30.5855998, 103.9594475 30.5852246, 103.9589745 30.5853843))",POINT (103.9592941 30.5854887),2105.2,22660
,4,37389990,,yes,,,,"POLYGON ((103.9596979 30.5855759, 103.9595124 30.5851368, 103.9597072 30.585049, 103.9597999 30.5852965, 103.9597072 30.5853284, 103.9598093 30.585552, 103.9596979 30.5855759))",POINT (103.9596737 30.5852903),837.6,9016.1
,5,37389994,,yes,,,,"POLYGON ((103.9594622 30.5858033, 103.9591762 30.5859114, 103.9593088 30.5862055, 103.9593925 30.5861815, 103.9594134 30.5862295, 103.9594901 30.5861995, 103.9593995 30.5859714, 103.959525 30.5859114, 103.9594622 30.5858033))",POINT (103.9593553 30.586006),843.1,9075.2
,6,37389995,,yes,,,,"POLYGON ((103.9596715 30.5858814, 103.9596226 30.5857612, 103.9598807 30.5856712, 103.9599434 30.5857853, 103.9596715 30.5858814))",POINT (103.9597796 30.5857754),385,4144.2
,7,37389996,,yes,,,,"POLYGON ((103.9595808 30.5862176, 103.959532 30.5861215, 103.9599504 30.5859774, 103.9599922 30.5860974, 103.9595808 30.5862176))",POINT (103.9597698 30.5861012),539.9,5811.6
,8,37389997,,yes,,,,"POLYGON ((103.957971 30.5866628, 103.9577194 30.5861398, 103.9582042 30.5859669, 103.9584558 30.5864899, 103.957971 30.5866628))",POINT (103.9580876 30.5863148),3156.1,33972
,9,37389998,,yes,,,,"POLYGON ((103.9582321 30.5872952, 103.9580086 30.5868209, 103.9589064 30.5865075, 103.9591298 30.5869817, 103.9582321 30.5872952))",POINT (103.9585692 30.5869013),5267.7,56701
,10,37390013,,yes,,,,"POLYGON ((103.9588067 30.5885167, 103.9592182 30.5883667, 103.9588416 30.5875322, 103.9584231 30.5876883, 103.9585068 30.5878744, 103.958723 30.5877843, 103.9587788 30.5879164, 103.9586183 30.5879885, 103.9587021 30.5881685, 103.9588555 30.5881205, 103.9589113 30.5882226, 103.9587021 30.5882946, 103.9588067 30.5885167))",POINT (103.9588481 30.5880219),3555.4,38270.2
,11,37390014,,yes,,,,"POLYGON ((103.9589252 30.5887808, 103.9588555 30.5886368, 103.9592879 30.5884927, 103.9593506 30.5886368, 103.9589252 30.5887808))",POINT (103.9591042 30.5886368),757.7,8156.1
停车场,12,263469696,,,parking,,,"POLYGON ((103.9553243 30.5794127, 103.9550755 30.5788802, 103.9558353 30.5786219, 103.9558071 30.5791333, 103.9556998 30.5791599, 103.9557387 30.5792892, 103.9553243 30.5794127))",POINT (103.9554987 30.5790171),3980,42840
,13,288157483,,yes,,,,"POLYGON ((103.94567 30.5830922, 103.9454685 30.5830872, 103.945457 30.583704, 103.9452615 30.5836983, 103.9452752 30.5831079, 103.9452938 30.5831082, 103.9452908 30.5829449, 103.9456717 30.5829408, 103.94567 30.5830922))",POINT (103.9454033 30.5832753),1849.2,19904.8
,14,297661813,,,,pitch,,"POLYGON ((103.9634566 30.5647292, 103.9641429 30.5648597, 103.9643819 30.5639277, 103.9636957 30.5637972, 103.9634566 30.5647292))",POINT (103.9639193 30.5643285),7128.5,76730.1
,15,297661820,,yes,,,,"POLYGON ((103.9633521 30.5629817, 103.9640879 30.5631197, 103.9641081 30.5630402, 103.9641942 30.5630563, 103.9642856 30.5626952, 103.9642117 30.5626813, 103.964232 30.5626009, 103.9635809 30.5624788, 103.9635643 30.5625446, 103.9634674 30.5625264, 103.9633521 30.5629817))",POINT (103.9638223 30.5628002),4554.3,49022.1
国际货运中心,16,298745893,,yes,,,,"POLYGON ((103.9448995 30.5621237, 103.9453854 30.5631496, 103.9492235 30.5618099, 103.9491315 30.5616145, 103.94923 30.5615801, 103.9488994 30.5608781, 103.9488136 30.560908, 103.948751 30.5607752, 103.9458014 30.5618048, 103.9457883 30.561777, 103.9454756 30.5618861, 103.9454921 30.5619211, 103.9450272 30.5620834, 103.9448995 30.5621237))",POINT (103.9470943 30.5619517),49881,536914.3
机场客运站,17,311874835,,yes,bus_station,,,"POLYGON ((103.9546815 30.577668, 103.9542575 30.5768232, 103.9548482 30.5766307, 103.9552339 30.5774785, 103.9546815 30.577668))",POINT (103.9547528 30.577146),5961.4,64167.4
,18,313944901,,yes,,,,"POLYGON ((103.9599842 30.5689494, 103.9599739 30.5690029, 103.9599407 30.569049, 103.9598894 30.5690805, 103.9598281 30.5690928, 103.9597659 30.569084, 103.9597124 30.5690553, 103.9596758 30.5690112, 103.9596615 30.5689584, 103.9596718 30.5689049, 103.959705 30.5688589, 103.9597563 30.5688273, 103.9598176 30.568815, 103.9598798 30.5688238, 103.9599332 30.5688525, 103.9599699 30.5688966, 103.9599842 30.5689494))",POINT (103.9598229 30.5689539),730,7857.3
,19,313944902,,yes,,,,"POLYGON ((103.9602821 30.5693346, 103.9602718 30.5693881, 103.9602385 30.5694342, 103.9601873 30.5694658, 103.960126 30.5694781, 103.9600638 30.5694692, 103.9600103 30.5694406, 103.9599736 30.5693965, 103.9599593 30.5693437, 103.9599696 30.5692901, 103.9600029 30.5692441, 103.9600541 30.5692125, 103.9601155 30.5692002, 103.9601776 30.5692091, 103.9602311 30.5692377, 103.9602678 30.5692818, 103.9602821 30.5693346))",POINT (103.9601207 30.5693391),730.2,7860.1
,20,313944903,,yes,,,,"POLYGON ((103.9607208 30.5690324, 103.9607323 30.5690796, 103.9607261 30.5691228, 103.9607046 30.5691621, 103.96067 30.5691939, 103.9606258 30.5692149, 103.9605762 30.5692231, 103.9605261 30.5692176, 103.9604804 30.5691992, 103.9604435 30.5691694, 103.9604191 30.5691313, 103.9604096 30.5690886, 103.9604176 30.5690408, 103.960444 30.5689983, 103.9604858 30.568966, 103.9605378 30.5689481, 103.9605938 30.5689465, 103.9606471 30.5689615, 103.9606912 30.5689914, 103.9607208 30.5690324))",POINT (103.960571 30.5690843),735.5,7917
,21,313945000,,yes,,,,"POLYGON ((103.9610256 30.5506405, 103.9614998 30.5517839, 103.9622752 30.5515454, 103.961801 30.550402, 103.9610256 30.5506405))",POINT (103.9616504 30.5510929),10625.2,114368.9
,22,313945022,,yes,,,,"POLYGON ((103.968702 30.5577821, 103.9670601 30.5583308, 103.9675565 30.5594323, 103.9691984 30.5588836, 103.968702 30.5577821))",POINT (103.9681292 30.5586072),22115.5,238049.4
,23,313945070,,yes,,,,"POLYGON ((103.9605573 30.5520774, 103.9613907 30.5518211, 103.9609165 30.5506777, 103.9600832 30.550934, 103.9605573 30.5520774))",POINT (103.9607369 30.5513776),11419,122913.2
,24,313945075,,yes,,,,"POLYGON ((103.9622644 30.5516665, 103.9608656 30.5520927, 103.9610816 30.5526186, 103.9624805 30.5521924, 103.9622644 30.5516665))",POINT (103.961673 30.5521426),8797.5,94695.7
,25,313945129,,yes,,,,"POLYGON ((103.9669042 30.5578404, 103.967049 30.5581634, 103.9678307 30.5579036, 103.9676859 30.5575805, 103.9669042 30.5578404))",POINT (103.9673675 30.557872),3083.7,33192.7
,26,337931316,,yes,,,,"POLYGON ((103.9649261 30.5515917, 103.9653095 30.5514812, 103.9650047 30.550697, 103.9646213 30.5508075, 103.9649261 30.5515917))",POINT (103.9649654 30.5511444),3553.6,38250.3
,27,337931322,,yes,,,,"POLYGON ((103.966304 30.5497428, 103.9654991 30.5499896, 103.9658542 30.5508487, 103.9666591 30.5506019, 103.966304 30.5497428))",POINT (103.9660791 30.5502957),8281.1,89136.5
,28,337931328,,yes,,,,"POLYGON ((103.957779 30.5516997, 103.9588793 30.5541296, 103.9596732 30.553863, 103.9585729 30.5514331, 103.957779 30.5516997))",POINT (103.9587261 30.5527814),23620.9,254252.6
,29,337931334,,roof,fuel,,,"POLYGON ((103.9637274 30.5746599, 103.9639938 30.5748304, 103.9642454 30.5745389, 103.9639791 30.5743685, 103.9637274 30.5746599))",POINT (103.9639864 30.5745994),1280.7,13784.9
,30,337931336,,yes,,,,"POLYGON ((103.9661576 30.5515497, 103.9669557 30.5513041, 103.9667009 30.5506901, 103.9659028 30.5509358, 103.9661576 30.5515497))",POINT (103.9664293 30.5511199),5873.2,63218.2
,31,337931360,,yes,,,,"POLYGON ((103.9632718 30.5582411, 103.9636352 30.5590328, 103.9663515 30.5581084, 103.9659881 30.5573167, 103.9632718 30.5582411))",POINT (103.9648116 30.5581748),26425.1,284437.5
,32,372544411,,yes,,,,"POLYGON ((103.9537446 30.576244, 103.9537726 30.5763144, 103.9538565 30.5762901, 103.9538953 30.5763732, 103.9539718 30.576349, 103.9541924 30.5767803, 103.9544134 30.577234, 103.9545907 30.5776127, 103.954749 30.5779522, 103.954934 30.5783782, 103.9550744 30.5787391, 103.9549964 30.5787616, 103.9549803 30.578709, 103.9548633 30.5787485, 103.9547696 30.5787862, 103.9546768 30.5785848, 103.9545143 30.5782374, 103.9542219 30.5776012, 103.9539718 30.5770816, 103.953852 30.5768144, 103.953767 30.576624, 103.9537089 30.5764974, 103.9536405 30.5763553, 103.9537022 30.5763351, 103.9536767 30.5762693, 103.9537446 30.576244))",POINT (103.9543637 30.5775312),9192.6,98948.3
