name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,2,,,2,,,rail,1,139.7675854,35.68423,,,boundary node created by osm2gmns
,3,7093763089,,,,,rail,0,139.765941,35.6824473,,,
東京,4,1847905894,,,,,rail,0,139.765672,35.6820836,,,
,6,2743158895,crossing,,,,secondary,0,139.7690406,35.6802017,,,
,7,1136641976,,,,,secondary,0,139.7686958,35.6796582,,,
,8,,,8,,,motorway,1,139.7678135,35.6785,,,boundary node created by osm2gmns
八重洲出入口,9,6397091336,motorway_junction,,,,motorway,0,139.768652,35.6798205,,,
,10,4356746286,,,,,motorway,0,139.7690011,35.6804052,,,
東京,11,3589537646,,,,,rail,0,139.7672325,35.6810889,,,
,12,2149761675,,,,,rail,0,139.7680869,35.6839944,,,
,13,393085235,,,,,rail,0,139.7674147,35.6829041,,,
,14,,,14,,,rail,-1,139.7657866,35.6785,,,boundary node created by osm2gmns
,15,2149761671,,,,,rail,0,139.7677266,35.6833031,,,
東京,16,3589537648,,,,,rail,0,139.7670127,35.6811486,,,
,17,,,17,,,rail,1,139.7659963,35.6785,,,boundary node created by osm2gmns
,18,2027328748,,,,,rail,0,139.7660821,35.6786905,,,
,19,2027328803,,19,,,rail,-1,139.7661235,35.6787825,,,
,20,,,20,,,rail,1,139.7659407,35.6785,,,boundary node created by osm2gmns
,21,2027328913,,,,,rail,0,139.7661633,35.6790622,,,
東京,22,3589537644,,,,,rail,0,139.7674402,35.6810367,,,
,23,2025904207,,,,,rail,0,139.7681656,35.6839757,,,
,24,,,24,,,tertiary,1,139.7690143,35.6785,,,boundary node created by osm2gmns
,25,2743158944,crossing,,,,tertiary,0,139.7682753,35.6788013,,,
,26,499185723,,,,,tertiary,0,139.7681897,35.6788362,,,
,27,,,27,,,motorway,1,139.76935,35.6808266,,,boundary node created by osm2gmns
八重洲出入口,28,6538495149,motorway_junction,,,,motorway,0,139.7691588,35.6805111,,,
,29,4356746285,,,,,motorway,0,139.7690731,35.6803697,,,
,30,,,30,,,secondary,2,139.76541,35.6827922,,,boundary node created by osm2gmns
,31,6397221591,crossing,,,,secondary,0,139.7657154,35.6827185,,,
,32,8869066680,,,,,secondary,0,139.7657718,35.6827055,,,
,33,,,33,,,service,1,139.76935,35.6834173,,,boundary node created by osm2gmns
,34,6535339340,,,,,service,0,139.7693029,35.6833838,,,
,35,5799389398,,,,,service,0,139.7692189,35.6837448,,,
,36,5799389423,,,,,service,0,139.7692743,35.6837312,,,
,37,,,37,,,service,-1,139.76935,35.6837402,,,boundary node created by osm2gmns
,38,,,38,,,secondary,1,139.76935,35.6801331,,,boundary node created by osm2gmns
,39,2743158851,crossing,,,,secondary,0,139.7691691,35.6801164,,,
,40,1557453176,,,,,rail,0,139.7665618,35.6785149,,,
,41,1557454024,,41,,,rail,-1,139.768212,35.6834485,,,
,42,,,42,,,rail,1,139.766552,35.6785,,,boundary node created by osm2gmns
,43,,,43,,,rail,1,139.7666474,35.6785,,,boundary node created by osm2gmns
,44,1557454002,,44,,,rail,-1,139.7686221,35.6828817,,,
,45,1557453967,,45,,,rail,1,139.7689753,35.6827893,,,
,46,,,46,,,rail,-1,139.7668127,35.6785,,,boundary node created by osm2gmns
,47,1557453988,,47,,,rail,1,139.7687789,35.6828378,,,
,48,,,48,,,rail,-1,139.7667098,35.6785,,,boundary node created by osm2gmns
,49,1557454036,,49,,,rail,-1,139.768152,35.6834555,,,
,50,1557453974,,50,,,rail,1,139.768824,35.6828247,,,
,51,,,51,,,rail,-1,139.7667676,35.6785,,,boundary node created by osm2gmns
,52,1593263122,,,,,rail,0,139.7669815,35.6825314,,,
,53,2211570949,,,,,rail,0,139.7675067,35.6835496,,,
,54,1593263448,,,,,rail,0,139.7677571,35.6840761,,,
,55,2027328854,,,,,rail,0,139.7672097,35.6826518,,,
,56,2027328874,,,,,rail,0,139.7673354,35.6830376,,,
,57,2027328813,,,,,rail,0,139.7662686,35.6794217,,,
,58,3547330626,,,,,rail,0,139.7663237,35.6796936,,,
,59,2027328937,,,,,rail,0,139.7662367,35.6792328,,,
