name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
丸の内駅前広場,0,23840805,,,,common,,"POLYGON ((139.7656857 35.6812614, 139.7657983 35.6812344, 139.7656452 35.6808513, 139.7655485 35.6808098, 139.7654031 35.6807499, 139.7653701 35.6806578, 139.7652444 35.6806896, 139.7652149 35.6806151, 139.765342 35.6805813, 139.765305 35.680489, 139.7653723 35.6803816, 139.7652067 35.6804075, 139.7649346 35.6804528, 139.7649158 35.6804435, 139.7648977 35.6804411, 139.7648833 35.6804419, 139.7648638 35.6804479, 139.7648498 35.6804397, 139.7647646 35.6804778, 139.7645728 35.6805209, 139.764552 35.6805192, 139.7645306 35.6805149, 139.7645064 35.6805138, 139.7644743 35.6805198, 139.7644494 35.6805279, 139.7644347 35.6805388, 139.764426 35.6805503, 139.7644206 35.6805617, 139.7644131 35.6805825, 139.7646436 35.6812909, 139.7651414 35.6827636, 139.766201 35.6825207, 139.7660563 35.6824558, 139.7659553 35.682198, 139.7660865 35.6819873, 139.7659619 35.681624, 139.7658202 35.6816564, 139.7656857 35.6812614))",POINT (139.7652804 35.6815728),23658.1,254653.7
サピアタワー,1,91264848,,commercial,,,,"POLYGON ((139.7683768 35.6839603, 139.7688853 35.6838362, 139.7689258 35.6838263, 139.7687971 35.6834786, 139.7687542 35.6834891, 139.768695 35.6835035, 139.7686898 35.6834896, 139.7683428 35.6835743, 139.768348 35.6835882, 139.7682482 35.6836125, 139.7683768 35.6839603))",POINT (139.7685853 35.683715),2141.5,23050.8
新幹線総合指令所,2,91264855,,service,,,,"POLYGON ((139.7684062 35.6825511, 139.7686331 35.6831482, 139.7685163 35.6831774, 139.7686265 35.6834673, 139.7683763 35.68353, 139.7682497 35.6831968, 139.7682307 35.6825951, 139.7684062 35.6825511))",POINT (139.7684059 35.6830535),2622.5,28228.8
丸の内中央ビル,3,91264856,,commercial,,,,"POLYGON ((139.7686571 35.6833702, 139.7691038 35.6832614, 139.7692345 35.6832295, 139.7690637 35.682767, 139.7685757 35.6828859, 139.7686836 35.683178, 139.7685942 35.6831998, 139.7686571 35.6833702))",POINT (139.7688903 35.6830714),2635.7,28369.9
グラントウキョウサウスタワー,4,95274405,,office,,,,"POLYGON ((139.7669858 35.6784187, 139.7671219 35.6786339, 139.7670837 35.6786498, 139.7671992 35.6788325, 139.7672358 35.6788172, 139.7673646 35.6790209, 139.7677742 35.67885, 139.7674201 35.6782899, 139.7673939 35.6782485, 139.7673359 35.6782727, 139.7669858 35.6784187))",POINT (139.7673739 35.6786374),3205.8,34507.0
,5,98250981,,yes,,,,"POLYGON ((139.7691804 35.6800113, 139.7692184 35.6799952, 139.7691504 35.6798895, 139.7691124 35.6799056, 139.7691804 35.6800113))",POINT (139.7691654 35.6799504),51.3,552.2
JPタワー,6,145394391,,commercial,,,,"POLYGON ((139.7643394 35.6801418, 139.7642798 35.6801554, 139.7643183 35.6802711, 139.7650268 35.6801172, 139.765066 35.6801061, 139.7651052 35.6800878, 139.7651357 35.6800655, 139.7651623 35.6800377, 139.7655292 35.6794967, 139.7654683 35.6793163, 139.7648444 35.6794536, 139.7648088 35.6793435, 139.7641281 35.6794889, 139.7642279 35.6797973, 139.7643066 35.6800404, 139.7643394 35.6801418))",POINT (139.7647911 35.67975),8661.7,93233.4
,7,145407030,,yes,,,,"POLYGON ((139.7664894 35.6826034, 139.7665971 35.6825769, 139.7665777 35.6825249, 139.76647 35.6825514, 139.7664894 35.6826034))",POINT (139.7665336 35.6825641),61.4,660.5
,8,145407032,,yes,,,,"POLYGON ((139.7668961 35.682814, 139.7669183 35.6828079, 139.7669335 35.6827948, 139.7668397 35.6826212, 139.7667521 35.6825312, 139.7665726 35.6826495, 139.7668961 35.682814))",POINT (139.7667667 35.6826713),442.1,4758.6
ユニゾ八重洲ビル,9,145412743,,yes,,,,"POLYGON ((139.7682577 35.6787102, 139.768952 35.6784204, 139.7687558 35.6781102, 139.7680615 35.6784001, 139.7682577 35.6787102))",POINT (139.7685068 35.6784102),2732.0,29406.5
丸の内トラストタワー本館,10,145412771,,commercial,,,,"POLYGON ((139.7692402 35.6828771, 139.769629 35.6827794, 139.769344 35.6820306, 139.7689551 35.6821282, 139.7692402 35.6828771))",POINT (139.7692921 35.6824538),3201.7,34462.7
グランルーフ,11,145412784,,train_station,,,,"POLYGON ((139.7687117 35.6809855, 139.7679411 35.679386, 139.7677631 35.6790164, 139.7676408 35.6790492, 139.768396 35.6810682, 139.7687117 35.6809855))",POINT (139.7681905 35.6801763),4876.0,52484.9
,12,182169966,,roof,,,,"POLYGON ((139.7689552 35.6827625, 139.768816 35.6827971, 139.7678927 35.6803451, 139.7678112 35.6801348, 139.7677133 35.6799205, 139.7676108 35.6797107, 139.7673967 35.679348, 139.7672592 35.6791374, 139.76736 35.6791139, 139.7677423 35.6796727, 139.7678504 35.6798891, 139.7679458 35.680102, 139.7680368 35.6803155, 139.7689552 35.6827625))",POINT (139.7681932 35.6809896),5497.6,59175.3
,13,182169969,,roof,,,,"POLYGON ((139.7687665 35.6828154, 139.7678412 35.6803568, 139.7677552 35.6801463, 139.7676571 35.6799363, 139.7675518 35.6797262, 139.7673435 35.6793688, 139.7671934 35.6791542, 139.767112 35.6791752, 139.7672423 35.6793932, 139.7674419 35.6797544, 139.767532 35.6799678, 139.7676969 35.6803926, 139.7686191 35.6828526, 139.7687665 35.6828154))",POINT (139.7680266 35.6810943),5525.0,59470.9
