name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,2144984466,,,,,tertiary,0,139.7242753,35.5626582,,,
,1,4426121398,crossing,,,,primary,0,139.7241433,35.562661,,,
,3,,,3,,,primary,-1,139.72233,35.5627242,,,boundary node created by osm2gmns
,4,4426044288,,,,,tertiary,0,139.724274,35.5627438,,,
,5,10004131545,,,,,footway,0,139.7237006,35.5611085,,,
,6,9954223226,,,,,footway,0,139.7235007,35.5611366,,,
,7,6415181899,,,,,footway,0,139.7233039,35.5612081,,,
,8,4426044283,,,,,footway,0,139.7232451,35.5612294,,,
,9,1980679670,,,,,footway,0,139.7231891,35.5612459,,,
,10,302012868,,,,,residential,0,139.7225576,35.5608921,,,
,11,302012879,,,,,residential,0,139.722657,35.5611075,,,
,12,302012873,,,,,residential,0,139.7227931,35.5613796,,,
,13,,,13,,,residential,2,139.72233,35.5612179,,,boundary node created by osm2gmns
,14,302022669,,,,,residential,0,139.7223852,35.561199,,,
,15,,,15,,,residential,2,139.72233,35.5609685,,,boundary node created by osm2gmns
,16,1980720793,,,,,residential,0,139.7230025,35.5607474,,,
,17,302022857,,,,,service,0,139.7224314,35.5612765,,,
,18,302022682,,,,,service,0,139.7224558,35.561323,,,
,19,4426044285,traffic_signals,,signal,,tertiary,0,139.7223489,35.5599957,,,
,20,4426044284,,,,,tertiary,0,139.7225325,35.5599178,,,
,21,4426136052,,,,,tertiary,0,139.7227551,35.5597731,,,
,22,,,22,,,primary,1,139.72233,35.5628032,,,boundary node created by osm2gmns
,24,2144984470,,,,,primary,0,139.7235815,35.562765,,,
,25,10004111405,traffic_signals,,signal,,primary,0,139.7240962,35.5627489,,,
,26,4426121399,crossing,,,,primary,0,139.7241437,35.5627474,,,
,27,4426044287,,,,,primary,0,139.7243262,35.5627422,,,
,28,4426121400,crossing,,,,primary,0,139.724383,35.5627412,,,
,29,302041383,,,,,primary,0,139.7249636,35.562722,,,
,30,2144984467,traffic_signals,,signal,,primary,0,139.7254799,35.5626196,,,
,31,302041385,crossing,,,,primary,0,139.7255362,35.5625992,,,
–|ÆÑÌï¶þ¶¡Ä¿,32,2096210763,,,,,primary,0,139.7256272,35.5625626,,,
,33,,,33,,,trunk,1,139.72622,35.5632116,,,boundary node created by osm2gmns
,34,2294512120,,,,,trunk,0,139.7260622,35.5630069,,,
,35,10004114836,traffic_signals,,signal,,trunk,0,139.7257951,35.5626613,,,
,36,2389099237,crossing,,,,trunk,0,139.7257603,35.5626082,,,
–|ÆÑÌï¶þ¶¡Ä¿,37,1849408369,,,,,trunk,0,139.7256892,35.562511,,,
,38,302165259,,,,,trunk,0,139.7246715,35.5612902,,,
,39,302165258,,,,,trunk,0,139.7248197,35.5614895,,,
,40,,,40,,,residential,2,139.72233,35.5622142,,,boundary node created by osm2gmns
,41,1738659569,,,,,residential,0,139.722829,35.5622023,,,
,42,1980709563,,,,,tertiary,0,139.7243329,35.5619872,,,
,43,1738659568,,,,,residential,0,139.7235093,35.563407,,,
,44,1302117186,,,,,residential,0,139.7235153,35.5638407,,,
,45,2144984473,,,,,residential,0,139.7228357,35.5629956,,,
,46,2072343773,,,,,residential,0,139.7231519,35.5634782,,,
,47,1302117275,,,,,residential,0,139.724352,35.5638212,,,
,48,,,48,,,residential,-1,139.7243538,35.5639,,,boundary node created by osm2gmns
,49,1302117049,,,,,residential,0,139.72287,35.5638652,,,
,50,9515394325,,,,,service,0,139.7224159,35.5638247,,,
,51,1302117195,,,,,service,0,139.7223763,35.5638212,,,
,52,,,52,,,service,2,139.72233,35.5638178,,,boundary node created by osm2gmns
,53,,,53,,,residential,2,139.723514,35.5639,,,boundary node created by osm2gmns
,54,,,54,,,residential,2,139.7228714,35.5639,,,boundary node created by osm2gmns
,55,9515394324,,,,,residential,0,139.7232352,35.5638513,,,
,56,,,56,,,unclassified,2,139.72622,35.5634524,,,boundary node created by osm2gmns
,57,5981039992,,57,,,unclassified,2,139.7257436,35.5637517,,,
,58,3799782336,,,,,residential,0,139.7237825,35.5638346,,,
,59,2333083172,,,,,residential,0,139.724057,35.563829,,,
,60,1980709555,,,,,residential,0,139.7226426,35.5614326,,,
,61,1928531501,,,,,residential,0,139.7227731,35.5616796,,,
,62,1980709509,,,,,residential,0,139.7228348,35.5618155,,,
,63,1980709546,,,,,residential,0,139.7228399,35.5619648,,,
,64,1302167263,,,,,unclassified,0,139.7257921,35.5594429,,,
,65,1302165711,,,,,unclassified,0,139.7252263,35.5599281,,,
,66,5199636855,,,,,unclassified,0,139.7249912,35.5603072,,,
,67,1738814257,,,,,unclassified,0,139.7249575,35.5607973,,,
