name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
京浜蒲田公園,0,27509917,,,,park,,"POLYGON ((139.7220916 35.5612728, 139.7220298 35.5611305, 139.7220469 35.5611058, 139.7225111 35.5609568, 139.7225614 35.5609737, 139.7226148 35.5610944, 139.7220916 35.5612728))",POINT (139.722316 35.5611083),923.7,9942.5
,1,27510869,,,bicycle_parking,,,"POLYGON ((139.7221797 35.5614193, 139.7221334 35.5613174, 139.7226312 35.5611458, 139.7226911 35.5612662, 139.7222587 35.5614187, 139.7222477 35.5613992, 139.7221797 35.5614193))",POINT (139.7224151 35.5612904),701.8,7554.4
大田区産業プラザPiO,2,157394572,,public,,,,"POLYGON ((139.7236692 35.5593141, 139.7235146 35.5591199, 139.7234332 35.5590382, 139.7244658 35.5582335, 139.7247401 35.5586409, 139.7244409 35.5587985, 139.7244831 35.558875, 139.7243334 35.5589405, 139.7243526 35.5589811, 139.7236692 35.5593141))",POINT (139.7241058 35.5588025),5841.9,62881.1
,3,157394576,,yes,,,,"POLYGON ((139.7247114 35.5591278, 139.724838 35.55901, 139.7247699 35.5589639, 139.7246423 35.5590896, 139.7246337 35.5591106, 139.7246404 35.5591231, 139.7246634 35.5591341, 139.7246836 35.559138, 139.7246979 35.559138, 139.7247114 35.5591278))",POINT (139.724732 35.5590556),156.7,1687.1
夫婦橋親水公園,4,161938282,,,,park,,"POLYGON ((139.7256809 35.5603766, 139.7259329 35.5604256, 139.7256165 35.5605981, 139.7254716 35.5606963, 139.725355 35.5607836, 139.7252209 35.5608741, 139.7250343 35.5609787, 139.7250318 35.5608054, 139.7250505 35.5607596, 139.7256098 35.5603919, 139.7256286 35.5603843, 139.7256459 35.5603798, 139.7256594 35.5603777, 139.7256809 35.5603766))",POINT (139.725413 35.560639),1642.3,17677.4
,5,161956765,,public,,,,"POLYGON ((139.7266196 35.5608185, 139.7266142 35.5609625, 139.7261864 35.5609527, 139.7261879 35.5608897, 139.7261718 35.5608886, 139.7261799 35.5608144, 139.7266196 35.5608185))",POINT (139.7264005 35.5608865),618.3,6654.9
,6,174251834,,retail,,,,"POLYGON ((139.7261005 35.5625038, 139.7261397 35.5625894, 139.7260237 35.56265, 139.7259715 35.56258, 139.7259948 35.5625345, 139.7260519 35.5625227, 139.7261005 35.5625038))",POINT (139.7260541 35.5625748),145.2,1563.3
京急蒲田,7,215445892,,train_station,,,,"POLYGON ((139.7229256 35.5597222, 139.7228226 35.5598044, 139.7235257 35.560676, 139.7237979 35.5610312, 139.7240487 35.5613644, 139.7244323 35.5619291, 139.7248386 35.5625488, 139.7249088 35.5626416, 139.7250519 35.5628339, 139.7251551 35.5627958, 139.7250606 35.5626211, 139.724722 35.5620153, 139.7243988 35.5615494, 139.7239012 35.5608894, 139.7236975 35.5606115, 139.7236129 35.5605032, 139.7232923 35.5600842, 139.7230822 35.5598859, 139.7229256 35.5597222))",POINT (139.7240309 35.5612431),6510.7,70080.5
,8,219902032,,apartments,,,,"POLYGON ((139.7234215 35.5626276, 139.7233603 35.5625888, 139.7233556 35.5623859, 139.7233671 35.5623192, 139.7237283 35.5623076, 139.7237504 35.5625756, 139.7236996 35.5626199, 139.7234215 35.5626276))",POINT (139.7235502 35.5624676),1169.2,12585.0
,9,219902034,,yes,,,,"POLYGON ((139.7243858 35.5625662, 139.7243769 35.5623474, 139.7246555 35.5623399, 139.7247412 35.5625566, 139.7243858 35.5625662))",POINT (139.7245408 35.5624569),697.8,7511.4
東蒲田二丁目公園,10,221584266,,,,playground,,"POLYGON ((139.7261227 35.5612162, 139.7261272 35.5609771, 139.72662 35.56098, 139.7266181 35.5612268, 139.7261643 35.5612405, 139.7261227 35.5612162))",POINT (139.72637 35.561106),1265.0,13616.5
,11,224486771,,,,playground,,"POLYGON ((139.7228792 35.5623768, 139.7228781 35.5623019, 139.723011 35.5622981, 139.723011 35.5622382, 139.7233078 35.5622303, 139.7233084 35.5622443, 139.7232739 35.5622579, 139.7232469 35.5622757, 139.723229 35.5622953, 139.7232123 35.5623225, 139.7232003 35.5623538, 139.7231991 35.5623772, 139.7228792 35.5623768))",POINT (139.7230832 35.562309),422.8,4551.3
,12,225252284,,yes,,,,"POLYGON ((139.7224445 35.5597532, 139.7226091 35.5596625, 139.7226763 35.5597433, 139.7226284 35.5597696, 139.7226385 35.5597868, 139.7225248 35.5598498, 139.7224445 35.5597532))",POINT (139.7225622 35.5597557),221.4,2383.2
,13,225252287,,yes,,,,"POLYGON ((139.7223768 35.5589432, 139.7223757 35.5587937, 139.7223514 35.5587918, 139.7223349 35.5588084, 139.7222987 35.5588148, 139.7222303 35.5588434, 139.7222224 35.5588719, 139.7222823 35.5589437, 139.7223768 35.5589432))",POINT (139.7223133 35.5588743),173.3,1865.9
,14,225252292,,yes,,,,"POLYGON ((139.7225135 35.5598564, 139.7223947 35.5597091, 139.7222402 35.55978, 139.7222312 35.5598076, 139.722376 35.5598541, 139.722406 35.5598886, 139.7224292 35.5598785, 139.7224382 35.5598909, 139.7225135 35.5598564))",POINT (139.7223789 35.5598034),256.6,2761.6
京急蒲田 3F,15,234765263,,,,,platform,"POLYGON ((139.7230313 35.5598726, 139.7238081 35.5608883, 139.7237888 35.5608992, 139.7245303 35.5619257, 139.7251965 35.5629338, 139.7252314 35.5629153, 139.7250606 35.5626211, 139.7245896 35.5618099, 139.7233344 35.5601459, 139.7230606 35.559858, 139.7230313 35.5598726))",POINT (139.7241975 35.5613986),3075.8,33107.2
,16,248180296,,yes,,,,"POLYGON ((139.7261023 35.5593904, 139.7262782 35.5593602, 139.7263023 35.5594534, 139.7262833 35.5594566, 139.7262956 35.5595041, 139.7261782 35.5595242, 139.7261706 35.5594948, 139.7261311 35.5595016, 139.7261023 35.5593904))",POINT (139.7262076 35.5594408),238.0,2561.3
,17,363855411,,residential,,,,"POLYGON ((139.7223125 35.563861, 139.7222988 35.5639218, 139.7223682 35.5639322, 139.7223819 35.5638713, 139.7223125 35.563861))",POINT (139.7223404 35.5638966),43.9,472.2
,18,363855763,,residential,,,,"POLYGON ((139.7224165 35.5639842, 139.7224481 35.5638828, 139.7225458 35.563903, 139.7225143 35.5640044, 139.7224165 35.5639842))",POINT (139.7224812 35.5639436),106.0,1141.2
,19,363855764,,residential,,,,"POLYGON ((139.7225804 35.5639106, 139.7225791 35.5638673, 139.722718 35.5638645, 139.7227194 35.5639078, 139.7225804 35.5639106))",POINT (139.7226492 35.5638876),60.5,651.3
,20,363855767,,yes,,,,"POLYGON ((139.7227579 35.5638758, 139.7227604 35.563913, 139.7228048 35.563911, 139.7228022 35.5638737, 139.7227579 35.5638758))",POINT (139.7227813 35.5638934),16.7,179.3
,21,363866812,,yes,,,,"POLYGON ((139.7240855 35.5635173, 139.7241536 35.5635167, 139.7241525 35.5634349, 139.7240844 35.5634355, 139.7240855 35.5635173))",POINT (139.724119 35.5634761),56.0,602.7
,22,363866813,,yes,,,,"POLYGON ((139.7240861 35.5636127, 139.7240825 35.5635407, 139.7241603 35.5635381, 139.7241639 35.5636102, 139.7240861 35.5636127))",POINT (139.7241232 35.5635754),56.4,607.4
,23,363866814,,yes,,,,"POLYGON ((139.7241857 35.5635229, 139.7241861 35.5634341, 139.724256 35.5634343, 139.7242556 35.5635231, 139.7241857 35.5635229))",POINT (139.7242208 35.5634786),62.4,671.5
