name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
犀安路,0,42451205,0,1,1,30.79,,,,secondary,4,"LINESTRING (103.9879655 30.7608698, 103.9882090 30.7610514)",bike;auto;walk,0,0,,
犀安路,1,42451251,1,2,1,252.17,,,,secondary,4,"LINESTRING (103.9882090 30.7610514, 103.9901794 30.7625621)",bike;auto;walk,0,0,,
犀安路,2,42451251,2,3,1,57.49,,,,secondary,4,"LINESTRING (103.9901794 30.7625621, 103.9906456 30.7628893)",bike;auto;walk,0,0,,
犀安路,3,42451251,3,4,1,410.34,,,,secondary,4,"LINESTRING (103.9906456 30.7628893, 103.9912560 30.7633713, 103.9916939 30.7636397, 103.9922649 30.7638829, 103.9928280 30.7640562, 103.9944541 30.7644512)",bike;auto;walk,0,0,,
犀安路,4,42451251,4,5,1,41.88,,,,secondary,4,"LINESTRING (103.9944541 30.7644512, 103.9948597 30.7645931)",bike;auto;walk,0,0,,
犀安路,5,42451251,5,6,1,335.28,,,,secondary,4,"LINESTRING (103.9948597 30.7645931, 103.9982000 30.7655055)",bike;auto;walk,0,0,,
,6,207570491,7,8,1,59.79,,,,footway,10,"LINESTRING (103.9845979 30.7646489, 103.9850753 30.7649969)",walk,0,0,,
,7,207570493,9,10,1,73.37,,,,footway,10,"LINESTRING (103.9862845 30.7643499, 103.9863306 30.7643424, 103.9863789 30.7643424, 103.9865451 30.7643631, 103.9867168 30.7644069, 103.9868402 30.7644668, 103.9869287 30.7645106, 103.9869856 30.7645603)",walk,0,0,,
知行路,8,207570494,11,12,1,21.09,,30,,residential,6,"LINESTRING (103.9867517 30.7703945, 103.9868355 30.7702185)",bike;auto;walk,1,0,,
知行路,9,207570494,12,11,1,21.09,,30,,residential,6,"LINESTRING (103.9868355 30.7702185, 103.9867517 30.7703945)",bike;auto;walk,1,0,,
知行路,10,207570494,12,13,1,11.96,,30,,residential,6,"LINESTRING (103.9868355 30.7702185, 103.9868639 30.7701588, 103.9868839 30.7701190)",bike;auto;walk,1,0,,
知行路,11,207570494,13,12,1,11.96,,30,,residential,6,"LINESTRING (103.9868839 30.7701190, 103.9868639 30.7701588, 103.9868355 30.7702185)",bike;auto;walk,1,0,,
知行路,12,207570494,13,14,1,22.98,,30,,residential,6,"LINESTRING (103.9868839 30.7701190, 103.9869792 30.7699287)",bike;auto;walk,1,0,,
知行路,13,207570494,14,13,1,22.98,,30,,residential,6,"LINESTRING (103.9869792 30.7699287, 103.9868839 30.7701190)",bike;auto;walk,1,0,,
知行路,14,207570494,14,15,1,95.71,,30,,residential,6,"LINESTRING (103.9869792 30.7699287, 103.9873484 30.7691261)",bike;auto;walk,1,0,,
知行路,15,207570494,15,14,1,95.71,,30,,residential,6,"LINESTRING (103.9873484 30.7691261, 103.9869792 30.7699287)",bike;auto;walk,1,0,,
知行路,16,207570494,15,16,1,37.68,,30,,residential,6,"LINESTRING (103.9873484 30.7691261, 103.9874938 30.7688101)",bike;auto;walk,1,0,,
知行路,17,207570494,16,15,1,37.68,,30,,residential,6,"LINESTRING (103.9874938 30.7688101, 103.9873484 30.7691261)",bike;auto;walk,1,0,,
知行路,18,207570494,16,17,1,53.67,,30,,residential,6,"LINESTRING (103.9874938 30.7688101, 103.9877193 30.7683667)",bike;auto;walk,1,0,,
知行路,19,207570494,17,16,1,53.67,,30,,residential,6,"LINESTRING (103.9877193 30.7683667, 103.9874938 30.7688101)",bike;auto;walk,1,0,,
知行路,20,207570494,17,18,1,29.35,,30,,residential,6,"LINESTRING (103.9877193 30.7683667, 103.9878461 30.7681256)",bike;auto;walk,1,0,,
知行路,21,207570494,18,17,1,29.35,,30,,residential,6,"LINESTRING (103.9878461 30.7681256, 103.9877193 30.7683667)",bike;auto;walk,1,0,,
知行路,22,207570494,18,19,1,72.32,,30,,residential,6,"LINESTRING (103.9878461 30.7681256, 103.9881250 30.7675690, 103.9881459 30.7675266)",bike;auto;walk,1,0,,
知行路,23,207570494,19,18,1,72.32,,30,,residential,6,"LINESTRING (103.9881459 30.7675266, 103.9881250 30.7675690, 103.9878461 30.7681256)",bike;auto;walk,1,0,,
知行路,24,207570494,19,20,1,52.62,,30,,residential,6,"LINESTRING (103.9881459 30.7675266, 103.9883622 30.7670901)",bike;auto;walk,1,0,,
知行路,25,207570494,20,19,1,52.62,,30,,residential,6,"LINESTRING (103.9883622 30.7670901, 103.9881459 30.7675266)",bike;auto;walk,1,0,,
知行路,26,207570494,20,21,1,103.85,,30,,residential,6,"LINESTRING (103.9883622 30.7670901, 103.9887890 30.7662285)",bike;auto;walk,1,0,,
知行路,27,207570494,21,20,1,103.85,,30,,residential,6,"LINESTRING (103.9887890 30.7662285, 103.9883622 30.7670901)",bike;auto;walk,1,0,,
知行路,28,207570494,21,22,1,48.89,,30,,residential,6,"LINESTRING (103.9887890 30.7662285, 103.9889904 30.7658231)",bike;auto;walk,1,0,,
知行路,29,207570494,22,21,1,48.89,,30,,residential,6,"LINESTRING (103.9889904 30.7658231, 103.9887890 30.7662285)",bike;auto;walk,1,0,,
