name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,529941753,,,,,secondary,0,103.9879655,30.7608698,,,
,1,529941752,,,,,secondary,0,103.988209,30.7610514,,,
,2,2178309831,,,,,secondary,0,103.9901794,30.7625621,,,
,3,2208327199,,,,,secondary,0,103.9906456,30.7628893,,,
,4,6139931987,,,,,secondary,0,103.9944541,30.7644512,,,
,5,671596023,,,,,secondary,0,103.9948597,30.7645931,,,
,6,,,6,,,secondary,-1,103.9982,30.7655055,,,boundary node created by osm2gmns
,7,2178310236,,,,,footway,0,103.9845979,30.7646489,,,
,8,2178309699,,,,,footway,0,103.9850753,30.7649969,,,
,9,2178435325,,,,,living_street,0,103.9862845,30.7643499,,,
,10,2178310100,,,,,residential,0,103.9869856,30.7645603,,,
,11,2178329877,,,,,residential,0,103.9867517,30.7703945,,,
,12,5166935468,,,,,residential,0,103.9868355,30.7702185,,,
,13,5166935451,,,,,residential,0,103.9868839,30.770119,,,
,14,2178309659,,,,,residential,0,103.9869792,30.7699287,,,
,15,5192904111,,,,,residential,0,103.9873484,30.7691261,,,
,16,2178475736,,,,,residential,0,103.9874938,30.7688101,,,
,17,2178475829,,,,,residential,0,103.9877193,30.7683667,,,
,18,2178329892,,,,,residential,0,103.9878461,30.7681256,,,
,19,2178323744,,,,,residential,0,103.9881459,30.7675266,,,
,20,2178323719,,,,,residential,0,103.9883622,30.7670901,,,
,21,2178323809,,,,,residential,0,103.988789,30.7662285,,,
,22,2178323800,,,,,residential,0,103.9889904,30.7658231,,,
,23,2178323781,,,,,residential,0,103.9887252,30.7645348,,,
,24,5192904117,,,,,residential,0,103.988492,30.7643628,,,
,25,2178323792,,,,,residential,0,103.9883514,30.764263,,,
,26,2178309259,,,,,service,0,103.9881016,30.7645091,,,
,27,2178310086,,,,,residential,0,103.9874587,30.7640614,,,
,28,2178310266,,,,,residential,0,103.9840098,30.7643794,,,
,29,5192820224,,,,,footway,0,103.9842954,30.7645956,,,
,30,2178309899,,,,,footway,0,103.984476,30.7647323,,,
,31,2178323761,,,,,living_street,0,103.9868107,30.764748,,,
,32,2178309734,,,,,residential,0,103.9870888,30.7644486,,,
,33,2178309978,,,,,residential,0,103.9872008,30.7643343,,,
,34,2178309934,,,,,residential,0,103.9873347,30.7641976,,,
,35,2178309301,,,,,residential,0,103.9876456,30.7638697,,,
,36,2178310188,,,,,residential,0,103.9833525,30.7653872,,,
,37,2178329882,,,,,footway,0,103.9837456,30.7656708,,,
,38,2178309771,,38,,,footway,-1,103.9838586,30.7657492,,,
,39,2178309785,,,,,residential,0,103.9840947,30.7642781,,,
,40,2178309450,,,,,footway,0,103.9853408,30.7636417,,,
,41,2178435360,,,,,footway,0,103.9859247,30.7640408,,,
,42,2178435341,,,,,residential,0,103.9864549,30.7634711,,,
,43,2178309735,,,,,footway,0,103.9872023,30.7639967,,,
,44,2178309343,,,,,footway,0,103.9849814,30.7650891,,,
,45,2178435362,,,,,residential,0,103.9867755,30.7635415,,,
,46,2178309636,,,,,footway,0,103.9848232,30.7644507,,,
,47,2178310019,,,,,footway,0,103.9852577,30.7647826,,,
,48,2178310287,,,,,residential,0,103.9852765,30.7630655,,,
,49,2178309316,,,,,residential,0,103.9859642,30.7633748,,,
,50,2178435363,,,,,residential,0,103.9872543,30.7636946,,,
,51,2178435346,,,,,residential,0,103.9879545,30.7640322,,,
,52,2178435344,,,,,footway,0,103.9876739,30.7652068,,,
,53,5194468018,,,,,footway,0,103.9875176,30.7650971,,,
,54,2178309265,,,,,footway,0,103.9859719,30.7635887,,,
,55,2178309693,,,,,residential,0,103.9834177,30.7652691,,,
,56,5192820107,,,,,footway,0,103.9838133,30.7655511,,,
,57,2178310048,,,,,footway,0,103.9839508,30.7656694,,,
,58,2178435348,,,,,residential,0,103.9887995,30.7640348,,,
,59,2178435326,,,,,residential,0,103.9896423,30.7631274,,,
,60,8021419287,,,,,residential,0,103.9901282,30.7626146,,,
,61,2178309851,,,,,service,0,103.9879559,30.7646526,,,
,62,2178309655,,,,,residential,0,103.9813407,30.7721012,,,
,63,2471746705,,,,,residential,0,103.9811478,30.7718339,,,
,64,2178309550,,,,,residential,0,103.9810869,30.7717496,,,
,65,2471746709,,,,,residential,0,103.9809929,30.7716812,,,
,66,5167087244,,,,,residential,0,103.9801386,30.7710737,,,
,67,2202763061,,,,,residential,0,103.9799382,30.7708419,,,
,68,2178310309,,,,,residential,0,103.979807,30.7706774,,,
,69,2178309361,,,,,footway,0,103.9847159,30.7645521,,,
,70,2178310253,,,,,footway,0,103.9851745,30.7648863,,,
,71,2178309744,,,,,living_street,0,103.9847963,30.7655339,,,
,72,2178310277,,,,,living_street,0,103.9857188,30.7645519,,,
,73,2178309293,,,,,service,0,103.987819,30.7647875,,,
,74,2178309747,,,,,footway,0,103.9859661,30.763803,,,
,75,2178309452,,,,,residential,0,103.9842812,30.7640559,,,
,76,2178310184,,,,,residential,0,103.9841902,30.7641643,,,
,77,2178310297,,,,,residential,0,103.9849185,30.7633319,,,
,78,2178323821,,,,,living_street,0,103.9881012,30.7651446,,,
,79,5150117697,,,,,living_street,0,103.9881838,30.7652008,,,
,80,5194469621,,,,,living_street,0,103.9884713,30.7654409,,,
,81,2178475772,,,,,living_street,0,103.9885278,30.7654881,,,
,82,2178323819,,,,,living_street,0,103.9851113,30.7652447,,,
,83,2178323868,,,,,living_street,0,103.9858718,30.765821,,,
,84,2178323859,,,,,living_street,0,103.9865124,30.7663279,,,
