name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
西南交通大学（犀浦校区）,0,207566638,,,university,,,"POLYGON ((103.9841398 30.7580974, 103.9866873 30.7600316, 103.9843945 30.7610242, 103.9845052 30.7611387, 103.9848154 30.7614839, 103.9850157 30.7618868, 103.9851871 30.7626136, 103.9869668 30.7621864, 103.9873325 30.7624437, 103.9887791 30.7616918, 103.9905528 30.7630924, 103.9910797 30.7634751, 103.991682 30.7638496, 103.9924647 30.7641244, 103.9915892 30.7658442, 103.9912811 30.7662756, 103.9907612 30.7665825, 103.9900986 30.7669932, 103.9901382 30.7680399, 103.9902876 30.7681117, 103.9890939 30.7705034, 103.9913672 30.7713237, 103.9916017 30.7712052, 103.9918491 30.7711507, 103.9920749 30.7711452, 103.9920451 30.7712438, 103.991929 30.7715016, 103.9917391 30.7719079, 103.991501 30.7723008, 103.9912443 30.7727338, 103.9910068 30.772134, 103.9887069 30.7713033, 103.988652 30.7714179, 103.9877374 30.7732545, 103.983291 30.7716844, 103.983196 30.7718083, 103.9827974 30.7721887, 103.9826225 30.7726702, 103.982589 30.7731139, 103.9826726 30.7735778, 103.9813385 30.7743197, 103.9808726 30.7739004, 103.9803897 30.7738671, 103.9803942 30.7737702, 103.9797805 30.7737217, 103.9797603 30.7736119, 103.9801671 30.773167, 103.9801381 30.7731062, 103.9801108 30.7730492, 103.9798469 30.7731325, 103.9794689 30.7732268, 103.9790737 30.773233, 103.9786692 30.7732105, 103.9783437 30.7731286, 103.9780201 30.7730166, 103.9777741 30.7728667, 103.9774578 30.7726216, 103.9769368 30.7721763, 103.9759572 30.771318, 103.9755475 30.7709821, 103.9757027 30.7707789, 103.9755061 30.7706837, 103.97582 30.7702403, 103.9753565 30.7699757, 103.9752316 30.7699104, 103.9747841 30.7696761, 103.9751146 30.7692553, 103.9796052 30.7634259, 103.9799557 30.7633144, 103.9823319 30.7601615, 103.9822408 30.7601161, 103.9837865 30.7581744, 103.9841398 30.7580974))",POINT (103.9837437 30.7671822),1634580.9,17594465.1
南区体育场,1,207566639,,,,track,,"POLYGON ((103.9838549 30.7603366, 103.9838549 30.7592994, 103.9839729 30.7591703, 103.9841821 30.7590828, 103.9844182 30.7590689, 103.984622 30.7591058, 103.9847347 30.7592072, 103.9848044 30.7593271, 103.9848205 30.7603136, 103.9847347 30.7604242, 103.9846488 30.7605164, 103.9845201 30.7605717, 103.9843431 30.7606132, 103.9841714 30.7605901, 103.984048 30.7605348, 103.9839515 30.7604426, 103.9838549 30.7603366))",POINT (103.9843338 30.759831),14113.2,151913.4
,2,207570492,,yes,,,,"POLYGON ((103.9814785 30.7622635, 103.9825996 30.7608114, 103.9829 30.7609658, 103.982841 30.7610396, 103.9828115 30.7610258, 103.9825057 30.7613945, 103.9824481 30.7613582, 103.9824226 30.7613968, 103.9825782 30.7614867, 103.9821731 30.7620238, 103.9819559 30.7618901, 103.981921 30.7619385, 103.9820814 30.7620296, 103.9817629 30.7624271, 103.9814785 30.7622635))",POINT (103.9821839 30.7616342),6581.8,70846
图书馆,3,207570498,,yes,library,,,"POLYGON ((103.9824653 30.7691394, 103.9826358 30.7691216, 103.9827632 30.7690751, 103.9828666 30.7690083, 103.9829483 30.7689385, 103.9829718 30.768904, 103.9827805 30.768776, 103.982918 30.768615, 103.9830073 30.7686199, 103.9830931 30.7686476, 103.9830931 30.7685646, 103.9830663 30.7684586, 103.9830341 30.7683618, 103.9829751 30.7682742, 103.9829466 30.7682121, 103.9831174 30.7680942, 103.9830677 30.7680534, 103.9831742 30.7679511, 103.9832309 30.7679918, 103.9834291 30.7678552, 103.9834913 30.7679134, 103.9836475 30.7681199, 103.9836928 30.7682155, 103.9834877 30.7682748, 103.9835386 30.7683855, 103.9835677 30.7685161, 103.9835761 30.7686394, 103.9837252 30.7686402, 103.9836074 30.7688242, 103.9838694 30.7689173, 103.9837449 30.7691837, 103.9834925 30.7690671, 103.9834257 30.7692376, 103.9834096 30.7693021, 103.983297 30.7692099, 103.983179 30.7693159, 103.9829828 30.7694256, 103.9827897 30.7694967, 103.9826109 30.7695308, 103.9823404 30.7695322, 103.9823422 30.7694245, 103.9824063 30.7694237, 103.9824065 30.7693113, 103.9824069 30.7691396, 103.9824653 30.7691394))",POINT (103.983171 30.768802),11807,127089.8
,4,207570515,,yes,restaurant,,,"POLYGON ((103.9799238 30.7642096, 103.9813524 30.7623856, 103.9816984 30.7625562, 103.9816582 30.7626161, 103.9817091 30.7626599, 103.9817333 30.7627083, 103.9817386 30.7627613, 103.9817225 30.7628097, 103.981685 30.7628466, 103.9816233 30.7628788, 103.9815375 30.7628904, 103.981449 30.7628927, 103.9813953 30.7628765, 103.9813148 30.7629779, 103.9813712 30.7630033, 103.980993 30.7633767, 103.9810278 30.763402, 103.9809447 30.7634804, 103.9810225 30.7635334, 103.9810118 30.7636048, 103.9809903 30.7636717, 103.9809635 30.7637339, 103.9809136 30.7637808, 103.9808518 30.7638243, 103.9808009 30.7638608, 103.9807172 30.7638955, 103.9806604 30.7638999, 103.980588 30.7638538, 103.9802151 30.7643585, 103.9801695 30.7643562, 103.9801266 30.7643539, 103.980081 30.7643792, 103.980022 30.764347, 103.980073 30.7643124, 103.9799238 30.7642096))",POINT (103.9808554 30.7633545),9835.3,105865.8
主体育场,5,207570530,,,,stadium,,"POLYGON ((103.9788578 30.7680679, 103.979119 30.7681101, 103.9794132 30.7680806, 103.979617 30.7679423, 103.9798477 30.7677327, 103.9801105 30.7674261, 103.9801642 30.7671956, 103.9802178 30.7668177, 103.9801856 30.7665134, 103.9800676 30.7662645, 103.979896 30.7660248, 103.9797028 30.7658958, 103.9793595 30.7659234, 103.9790806 30.7659787, 103.9788445 30.7661447, 103.97863 30.7663475, 103.9784583 30.7665503, 103.9783725 30.7668177, 103.9782974 30.7671495, 103.9783832 30.7674814, 103.9784583 30.7677395, 103.978616 30.7679113, 103.9788578 30.7680679))",POINT (103.9792739 30.7670032),34163.3,367729.9
北区体育馆,6,207570532,,yes,,stadium,,"POLYGON ((103.9814935 30.7674582, 103.9813526 30.7675603, 103.9811708 30.7676092, 103.9809771 30.7675825, 103.9808172 30.7674959, 103.98073 30.7673803, 103.9806667 30.7672638, 103.9806346 30.7670914, 103.9806661 30.7669343, 103.9807383 30.7667945, 103.980851 30.7666762, 103.9810173 30.7665937, 103.9811984 30.7665787, 103.9813701 30.766634, 103.9815198 30.7667464, 103.9816031 30.7668795, 103.9816335 30.7670201, 103.9816434 30.7671847, 103.9815909 30.7673342, 103.9814935 30.7674582))",POINT (103.9811428 30.767094),8496,91450.5
八号教学楼,7,207573400,,school,,,,"POLYGON ((103.9820622 30.7703993, 103.9816116 30.7708187, 103.9807479 30.7704914, 103.9805601 30.7706574, 103.9808981 30.7708878, 103.9810644 30.7707403, 103.9812629 30.7708971, 103.9809517 30.7711552, 103.9803617 30.7706989, 103.9808176 30.770261, 103.9816652 30.7705698, 103.9818476 30.7703993, 103.9815257 30.7702011, 103.9815633 30.7701504, 103.9814292 30.7700351, 103.9814882 30.7699752, 103.9820622 30.7703993))",POINT (103.9811896 30.7705983),6264.5,67430.7
游泳馆,8,207596095,,yes,,swimming_pool,,"POLYGON ((103.9803748 30.7663728, 103.9809203 30.7663731, 103.98092 30.7657761, 103.9802898 30.7656189, 103.9803683 30.7662591, 103.9803748 30.7663728))",POINT (103.9806168 30.7660262),4150.1,44671.6
武术馆,9,207596096,,yes,,sports_centre,,"POLYGON ((103.9816338 30.7666497, 103.9819394 30.766468, 103.9820152 30.7667349, 103.9817516 30.7668256, 103.9816338 30.7666497))",POINT (103.9818394 30.7666622),808.1,8698
