name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,24447770,0,1,1,14,,,,tertiary,5,"LINESTRING (116.3439109 39.9431121, 116.3438490 39.9429953)",bike;walk;auto,0,0,,
,1,25375826,2,3,1,62.29,,,,footway,10,"LINESTRING (116.3342277 39.9429097, 116.3340827 39.9425813, 116.3339341 39.9424000)",walk,0,0,,
,2,25375840,4,5,1,3.34,,,,footway,10,"LINESTRING (116.3314972 39.9424078, 116.3314595 39.9424000)",walk,0,0,,
,3,25375841,6,7,1,72.74,,,,service,8,"LINESTRING (116.3291822 39.9430457, 116.3293280 39.9424000)",bike;walk,1,0,,
,4,25375841,7,6,1,72.74,,,,service,8,"LINESTRING (116.3293280 39.9424000, 116.3291822 39.9430457)",bike;walk,1,0,,
皂君庙路,5,27572729,8,9,1,137.55,,,,secondary,4,"LINESTRING (116.3286441 39.9597000, 116.3286519 39.9596265, 116.3287753 39.9584648)",bike;walk;auto,0,0,,
皂君庙路,6,27572729,9,401,1,243.89,,,,secondary,4,"LINESTRING (116.3287753 39.9584648, 116.3290079 39.9562747)",bike;walk;auto,0,0,,
高粱桥斜街,7,27572738,402,12,1,254.06,3,,,secondary,4,"LINESTRING (116.3298219 39.9509281, 116.3300501 39.9502510, 116.3303104 39.9497231, 116.3306147 39.9492049, 116.3309330 39.9488200)",bike;walk;auto,0,0,,
高粱桥斜街,8,27572738,12,13,1,33.35,3,,,secondary,4,"LINESTRING (116.3309330 39.9488200, 116.3311680 39.9485801)",bike;walk;auto,0,0,,
高粱桥斜街,9,27572738,13,14,1,229.89,3,,,secondary,4,"LINESTRING (116.3311680 39.9485801, 116.3313792 39.9483461, 116.3317148 39.9480854, 116.3331762 39.9472197)",bike;walk;auto,0,0,,
高粱桥斜街,10,27572738,14,15,1,132.33,3,,,secondary,4,"LINESTRING (116.3331762 39.9472197, 116.3344038 39.9464925)",bike;walk;auto,0,0,,
高粱桥斜街,11,27572738,15,16,1,20.55,3,,,secondary,4,"LINESTRING (116.3344038 39.9464925, 116.3345943 39.9463794)",bike;walk;auto,0,0,,
