name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,9385323980,,,,,tertiary,0,116.3439109,39.9431121,,,
,1,265710690,,,,,tertiary,0,116.343849,39.9429953,,,
,2,276580905,,2,,,footway,1,116.3342277,39.9429097,,,
,3,,,3,,,footway,-1,116.3339341,39.9424,,,boundary node created by osm2gmns
,4,276581024,,,,,footway,0,116.3314972,39.9424078,,,
,5,,,5,,,footway,-1,116.3314595,39.9424,,,boundary node created by osm2gmns
,6,276581277,,,,,service,0,116.3291822,39.9430457,,,
,7,,,7,,,service,2,116.329328,39.9424,,,boundary node created by osm2gmns
,8,,,8,,,secondary,1,116.3286441,39.9597,,,boundary node created by osm2gmns
,9,1790342391,crossing,,,,secondary,0,116.3287753,39.9584648,,,
,12,746856649,,,,,secondary,0,116.330933,39.94882,,,
,13,528909202,,,,,secondary,0,116.331168,39.9485801,,,
,14,5184435994,,,,,secondary,0,116.3331762,39.9472197,,,
慈献寺桥,15,4580060672,traffic_signals,,signal,,secondary,0,116.3344038,39.9464925,,,
慈献寺桥,16,528911157,traffic_signals,,signal,,secondary,0,116.3345943,39.9463794,,,
,17,265710783,traffic_signals,,signal,,tertiary,0,116.3423845,39.9488105,,,
,18,5229699406,,,,,tertiary,0,116.3388723,39.9477243,,,
,19,2108373004,,,,,tertiary,0,116.3359143,39.9467613,,,
,20,528909200,,,,,primary,0,116.3325,39.9477058,,,
,22,529362852,,,,,tertiary,0,116.3258242,39.9506914,,,
,23,529362880,,,,,residential,0,116.3254521,39.9541932,,,
,24,2286379006,,,,,secondary,0,116.3253387,39.9559524,,,
,25,529362893,,,,,secondary,0,116.3292488,39.9543584,,,
,27,,,27,,,tertiary,2,116.3385656,39.9597,,,boundary node created by osm2gmns
,28,529364227,,,,,residential,0,116.3435923,39.9567816,,,
,29,1816181334,,,,,residential,0,116.3435924,39.9568481,,,
,30,,,30,,,residential,2,116.3433717,39.9597,,,boundary node created by osm2gmns
,31,537973122,,,,,tertiary,0,116.3414772,39.9521002,,,
,32,537973150,,,,,residential,0,116.3424232,39.952218,,,
,33,537973161,,33,,,residential,2,116.344032,39.9503744,,,
,36,4419317407,,,,,residential,0,116.3321357,39.9502408,,,
,37,2720470486,,,,,residential,0,116.332451,39.9492127,,,
,38,2720469976,,,,,residential,0,116.3326405,39.9485416,,,
,39,746856346,,,,,residential,0,116.3327234,39.9482074,,,
,40,746856718,,,,,residential,0,116.3366445,39.9522226,,,
,41,746856419,,41,,,residential,2,116.3362398,39.9530502,,,
,42,746856580,,,,,residential,0,116.3381531,39.9503951,,,
,43,2720479577,,,,,residential,0,116.3382813,39.9498566,,,
,44,2720479571,,,,,residential,0,116.3383076,39.9497561,,,
,45,2720479574,,,,,residential,0,116.3383717,39.9495639,,,
,46,746856493,,,,,residential,0,116.3385029,39.9491147,,,
,47,2720479576,,,,,residential,0,116.3393588,39.9492555,,,
,48,746856350,,,,,residential,0,116.3404325,39.949432,,,
,49,746856553,,49,,,residential,2,116.3398317,39.9541517,,,
,50,746856481,,,,,residential,0,116.3401428,39.9528742,,,
,51,2720469572,,,,,residential,0,116.3404496,39.9516991,,,
,52,746856472,,,,,residential,0,116.3406424,39.9510364,,,
,53,746856413,,,,,tertiary,0,116.3417354,39.9511862,,,
