name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
北京海洋馆,0,25375821,,yes,,,,"POLYGON ((116.3342596 39.9429175, 116.3338185 39.9427223, 116.3336558 39.9430007, 116.3336197 39.9432646, 116.3337354 39.9435285, 116.3339812 39.9437455, 116.3342524 39.9438973, 116.3345995 39.9439624, 116.3349755 39.9439262, 116.3352032 39.9438359, 116.3352322 39.9438648, 116.3353117 39.9437997, 116.3355503 39.943637, 116.3357239 39.9437202, 116.3358866 39.9433405, 116.3358722 39.9430968, 116.3357935 39.943034, 116.3358349 39.942825, 116.3357651 39.9426196, 116.3356792 39.9424924, 116.3355073 39.9423861, 116.3352677 39.9423208, 116.3350261 39.9423317, 116.3347513 39.9427946, 116.3345886 39.9427802, 116.33435 39.9428235, 116.3342596 39.9429175))",POINT (116.3348355 39.9432084),24094.9,259354.8
大象馆,1,25375829,,yes,,,,"POLYGON ((116.332277 39.9430087, 116.3331522 39.9430056, 116.3331483 39.9423729, 116.3330016 39.9423735, 116.3330014 39.9423434, 116.3328621 39.9423439, 116.3328619 39.9423197, 116.3324198 39.9423213, 116.3324199 39.9423455, 116.332273 39.9423461, 116.332277 39.9430087))",POINT (116.3327086 39.9426719),5558.9,59835.6
河马与犀牛馆,2,25375838,,yes,,,,"POLYGON ((116.3302443 39.9430279, 116.3313477 39.9431012, 116.3315187 39.9430625, 116.3315187 39.9429669, 116.3314678 39.9428976, 116.3315472 39.9428427, 116.3316531 39.9427348, 116.3316486 39.9426861, 116.3316119 39.9426474, 116.3314691 39.942566, 116.3312563 39.9426334, 116.331175 39.9425587, 116.3312531 39.9424707, 116.3311634 39.9423528, 116.3306305 39.9423113, 116.3305462 39.9423768, 116.330661 39.9425035, 116.3305606 39.9425609, 116.330453 39.9424653, 116.3302857 39.9424892, 116.3302474 39.9425131, 116.3302443 39.9430279))",POINT (116.3308928 39.9427441),7701,82893.1
10站台,3,109369062,,,,,platform,"POLYGON ((116.3466909 39.9424253, 116.3459609 39.9444288, 116.3457848 39.9449339, 116.3456794 39.945298, 116.3456324 39.945526, 116.3455859 39.9458262, 116.3455573 39.9461158, 116.3455548 39.9465931, 116.3466909 39.9424253))",POINT (116.3459577 39.9448028),5239.8,56401.1
11站台,4,109497813,,,,,platform,"POLYGON ((116.3455107 39.9465934, 116.3455 39.9462243, 116.345506 39.9460081, 116.3455226 39.9458136, 116.345552 39.9456525, 116.3455774 39.9454803, 116.3456249 39.9452562, 116.3456799 39.9450703, 116.3459015 39.944418, 116.3465616 39.942564, 116.3455107 39.9465934))",POINT (116.3458735 39.944872),5128.9,55206.7
,5,129597784,,,parking,,,"POLYGON ((116.3414473 39.9594031, 116.3409597 39.9593443, 116.341028 39.9589301, 116.3418362 39.9589814, 116.3417863 39.9594247, 116.3414473 39.9594031))",POINT (116.3414066 39.9591743),3403.7,36637
图书馆,6,188600671,,yes,library,,,"POLYGON ((116.3369697 39.9506909, 116.3369858 39.9505799, 116.3373613 39.9504195, 116.3374472 39.9504319, 116.3374941 39.9504931, 116.3375759 39.9504606, 116.3376872 39.9504808, 116.3377476 39.950547, 116.3377194 39.9506329, 116.3376242 39.9506786, 116.3376872 39.9507275, 116.3376604 39.9508303, 116.337592 39.9508678, 116.3375169 39.9508636, 116.3374136 39.9509085, 116.3373828 39.9509665, 116.337313 39.9510035, 116.3372004 39.950987, 116.3371467 39.9509377, 116.3370877 39.9509706, 116.336959 39.9509541, 116.3369 39.9508801, 116.3369214 39.9507814, 116.3370234 39.9507526, 116.3369697 39.9506909))",POINT (116.3373177 39.9507097),3129.4,33684.7
,7,188747187,,yes,,,,"POLYGON ((116.3322194 39.9454805, 116.3322382 39.9453266, 116.332485 39.9452843, 116.3326598 39.945304, 116.3327693 39.9453308, 116.3328647 39.9453962, 116.3328712 39.9454702, 116.3327935 39.9455638, 116.3326925 39.9455853, 116.3325386 39.9455813, 116.3323964 39.9455623, 116.3322194 39.9454805))",POINT (116.3325453 39.9454359),1469,15811.9
,8,188747189,,yes,,,,"POLYGON ((116.3327693 39.9453308, 116.3328444 39.9452277, 116.333016 39.9452771, 116.3330053 39.9452154, 116.3329999 39.9451578, 116.3330214 39.9451125, 116.333075 39.9450714, 116.3331394 39.9450509, 116.3332145 39.9450509, 116.3332735 39.9450714, 116.3333325 39.9451125, 116.3333384 39.9451806, 116.3333277 39.9452505, 116.3332735 39.9453058, 116.3332579 39.9453411, 116.3333143 39.9453575, 116.3332601 39.9458076, 116.333126 39.9458693, 116.3329275 39.9458508, 116.3328605 39.9457871, 116.3327479 39.9457892, 116.3328712 39.9454702, 116.3328647 39.9453962, 116.3327693 39.9453308))",POINT (116.3330728 39.9454787),3174.3,34168.2
,9,188747190,,yes,,,,"POLYGON ((116.3341452 39.9459783, 116.3337939 39.9459556, 116.333786 39.9459219, 116.3339146 39.9451619, 116.3338556 39.9450385, 116.3339576 39.9450139, 116.3338985 39.9448576, 116.3340595 39.9448329, 116.3342043 39.9448493, 116.3343712 39.9448927, 116.3342746 39.9450408, 116.3343706 39.9451002, 116.334296 39.9452053, 116.3341665 39.9459501, 116.3341452 39.9459783))",POINT (116.3340637 39.945398),4201.1,45219.8
,10,189309763,,yes,,,,"POLYGON ((116.3321852 39.9471252, 116.3322176 39.946894, 116.3325547 39.9469218, 116.3325223 39.9471529, 116.3321852 39.9471252))",POINT (116.3323699 39.9470235),747.3,8044
,11,189309764,,,parking,,,"POLYGON ((116.3334828 39.9459452, 116.3336223 39.9449131, 116.3338985 39.9448576, 116.3339576 39.9450139, 116.3338556 39.9450385, 116.3339146 39.9451619, 116.334296 39.9452053, 116.3341665 39.9459501, 116.333786 39.9459219, 116.3334828 39.9459452))",POINT (116.3338667 39.9454796),5843.9,62903.1
,12,189309767,,,parking,,,"POLYGON ((116.3317555 39.9453491, 116.331793 39.9449255, 116.3328493 39.9449816, 116.3328444 39.9452277, 116.3327693 39.9453308, 116.3326598 39.945304, 116.332485 39.9452843, 116.3322382 39.9453266, 116.3322194 39.9454805, 116.3321948 39.9455553, 116.3320344 39.9455688, 116.3318676 39.9455533, 116.3318789 39.9453573, 116.3317555 39.9453491))",POINT (116.3322413 39.9451888),4451.2,47912.6
,13,189309768,,yes,,,,"POLYGON ((116.3328069 39.9467862, 116.3331492 39.9468126, 116.3331151 39.9470726, 116.3327728 39.9470461, 116.3328069 39.9467862))",POINT (116.332961 39.9469294),852.2,9173.1
,14,189309769,,yes,,,,"POLYGON ((116.3322442 39.9464258, 116.3329248 39.9464832, 116.3329063 39.9466124, 116.3322256 39.946555, 116.3322442 39.9464258))",POINT (116.3325752 39.9465191),843.9,9083.5
,15,189309770,,yes,,,,"POLYGON ((116.3314221 39.9464805, 116.3321565 39.9465447, 116.3321741 39.9464262, 116.3314397 39.946362, 116.3314221 39.9464805))",POINT (116.3317981 39.9464533),835.8,8997
