name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,94550168,,,,,trunk,0,121.4914422,31.287732,,,
,1,,,1,,,trunk,-1,121.4909,31.2877317,,,boundary node created by osm2gmns
,2,,,2,,,trunk,1,121.4909,31.2876575,,,boundary node created by osm2gmns
ËÄÆ½Â·,3,1873553126,motorway_junction,,,,trunk,0,121.4973024,31.2893699,,,
,4,,,4,,,trunk,-1,121.5035,31.2881921,,,boundary node created by osm2gmns
,5,475857489,,,,,primary,0,121.492616,31.2877267,,,
,6,624247983,,,,,tertiary,0,121.4928075,31.2873631,,,
,7,1937554473,,,,,service,0,121.4978714,31.2862857,,,
,8,1937554464,,,,,service,0,121.4978134,31.2861825,,,
,9,,,9,,,primary,1,121.5035,31.2873414,,,boundary node created by osm2gmns
,10,266073692,,,,,primary,0,121.5032206,31.2867881,,,
,12,4756333593,,,,,primary,0,121.5014128,31.2834841,,,
,13,1500354986,,,,,primary,0,121.5003172,31.2813455,,,
,14,265968954,traffic_signals,,signal,,tertiary,0,121.5000793,31.2808762,,,
,15,,,15,,,primary,-1,121.4998826,31.2805,,,boundary node created by osm2gmns
,16,8985114308,,,,,residential,0,121.5018958,31.2872259,,,
,17,2036535381,,,,,residential,0,121.4994669,31.2880853,,,
,18,8985114307,,,,,residential,0,121.4992742,31.2881566,,,
,19,1393503451,,,,,residential,0,121.4976983,31.2886303,,,
,20,3879256568,,,,,residential,0,121.4967763,31.2887924,,,
,21,4330291924,traffic_signals,,signal,,residential,0,121.4966392,31.2893458,,,
,23,624514068,,,,,tertiary,0,121.5029209,31.2840911,,,
,24,,,24,,,tertiary,2,121.5035,31.2838712,,,boundary node created by osm2gmns
,25,,,25,,,tertiary,2,121.4963085,31.2901,,,boundary node created by osm2gmns
,26,1873599338,traffic_signals,,signal,,tertiary,0,121.4960858,31.2899262,,,
,27,2477669569,,,,,tertiary,0,121.4955806,31.2895477,,,
,28,265969439,traffic_signals,,signal,,tertiary,0,121.4916659,31.2840381,,,
,29,,,29,,,tertiary,-1,121.4909,31.284127,,,boundary node created by osm2gmns
,30,1996775050,,,,,service,0,121.5017873,31.2870007,,,
,31,1393527022,,,,,service,0,121.5015494,31.2867246,,,
,32,3907534271,,,,,service,0,121.5013902,31.2864032,,,
,33,1937554451,,,,,service,0,121.5012257,31.2860711,,,
,34,1919676902,,,,,tertiary,0,121.4922581,31.2838502,,,
,35,265972458,traffic_signals,,signal,,tertiary,0,121.4957545,31.2825173,,,
,36,4167694436,,,,,tertiary,0,121.4980098,31.2816591,,,
,37,558631422,traffic_signals,,signal,,tertiary,0,121.5002729,31.2808046,,,
,38,,,38,,,tertiary,2,121.4937848,31.2901,,,boundary node created by osm2gmns
,39,475853982,,,,,tertiary,0,121.4937848,31.2900585,,,
,40,560105176,,,,,tertiary,0,121.4948094,31.2890934,,,
,41,475853985,,,,,tertiary,0,121.4949117,31.288952,,,
,42,,,42,,,residential,2,121.4909,31.2900666,,,boundary node created by osm2gmns
,43,4226218454,,,,,residential,0,121.4909942,31.2900664,,,
,44,4226218451,,,,,residential,0,121.4916228,31.2900656,,,
,45,475855566,,,,,residential,0,121.4917625,31.2900654,,,
,46,475857502,,,,,primary,0,121.4938295,31.2881933,,,
,47,624515305,,,,,service,0,121.5033519,31.2847454,,,
,48,,,48,,,service,2,121.5035,31.284855,,,boundary node created by osm2gmns
,49,,,49,,,service,2,121.5035,31.284694,,,boundary node created by osm2gmns
,50,625187028,,,,,service,0,121.4962609,31.2834187,,,
,51,1937554286,,,,,service,0,121.4952711,31.2837842,,,
,52,625196964,,,,,service,0,121.4944726,31.2840786,,,
,53,1937554314,,,,,service,0,121.4938562,31.2845945,,,
