name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
同济大学,0,24474429,,,university,,,"POLYGON ((121.5031349 31.2867588, 121.5022157 31.2851153, 121.5021173 31.2851534, 121.5019502 31.2848388, 121.5024616 31.2846522, 121.5025877 31.2848847, 121.5031916 31.2846638, 121.5025156 31.2833473, 121.5017742 31.283638, 121.5014996 31.2837457, 121.5014407 31.2836276, 121.5013804 31.2834999, 121.499973 31.2810222, 121.498112 31.281724, 121.4966183 31.2822872, 121.4961215 31.28142, 121.4959406 31.2809787, 121.496137 31.2808881, 121.495855 31.280243, 121.4955972 31.2803365, 121.4954705 31.2800429, 121.4934963 31.2803867, 121.4935136 31.2805915, 121.4935257 31.2806109, 121.4940648 31.2806018, 121.4940933 31.2814025, 121.4938809 31.2814518, 121.4938413 31.281375, 121.4937797 31.2812724, 121.4936737 31.2811739, 121.4935584 31.2811372, 121.4934417 31.2811223, 121.493313 31.2811544, 121.4932271 31.2811956, 121.4931574 31.2812415, 121.4930876 31.281324, 121.4930555 31.2813882, 121.4930286 31.2814799, 121.4930286 31.2815578, 121.493034 31.2816312, 121.4930539 31.2816898, 121.4930823 31.2817733, 121.4933666 31.282406, 121.4933914 31.2824638, 121.4934363 31.282516, 121.49349 31.2825481, 121.4935664 31.2825813, 121.4936563 31.2826077, 121.4937361 31.2826203, 121.4938118 31.2826214, 121.4938923 31.2826214, 121.4939889 31.2825985, 121.4940908 31.2825527, 121.4941927 31.2825527, 121.494241 31.2826214, 121.4944019 31.2829515, 121.4944712 31.283127, 121.4940986 31.2832807, 121.4941465 31.2833723, 121.4940956 31.2834107, 121.494272 31.2837539, 121.494399 31.2840076, 121.4942542 31.284058, 121.4935358 31.2843271, 121.493501 31.2842491, 121.4932962 31.284313, 121.4931763 31.2843739, 121.492767 31.2845279, 121.4927196 31.2845458, 121.4923853 31.2839241, 121.4923134 31.2839525, 121.4917188 31.2841755, 121.4916693 31.2848147, 121.4916796 31.2850891, 121.4917175 31.2853507, 121.4917772 31.2855937, 121.4918669 31.2858488, 121.4919458 31.2860634, 121.4920506 31.286276, 121.4921479 31.2864384, 121.4922478 31.2865936, 121.492352 31.2867371, 121.4924837 31.2869042, 121.4926443 31.2870811, 121.4928076 31.2872406, 121.4929864 31.2873992, 121.4932393 31.2876137, 121.4935172 31.2878444, 121.4940096 31.2882444, 121.4943712 31.288523, 121.494755 31.2888016, 121.4949169 31.2888989, 121.4951174 31.2889915, 121.4953364 31.2890683, 121.4955941 31.2891491, 121.4958729 31.2892123, 121.4962233 31.2892698, 121.4965102 31.289292, 121.4966252 31.2892831, 121.4966118 31.2890642, 121.4966065 31.2889702, 121.4966145 31.2889152, 121.4966574 31.2888212, 121.4967446 31.2887559, 121.4969498 31.2887135, 121.4971731 31.2886791, 121.4976378 31.2885886, 121.4981098 31.2884911, 121.498708 31.2882929, 121.4992598 31.2881155, 121.5018716 31.2871766, 121.5031349 31.2867588))",POINT (121.4972114 31.2849616),678168.4,7299737.1
,1,24474430,,,,pitch,,"POLYGON ((121.4961757 31.2855476, 121.4968704 31.2852874, 121.4964437 31.2844554, 121.495749 31.2847157, 121.4961757 31.2855476))",POINT (121.4963097 31.2850015),7268.2,78234.6
,2,24474436,,,,pitch,,"POLYGON ((121.4970695 31.2847309, 121.4972344 31.2846665, 121.4973725 31.2849247, 121.4972076 31.2849891, 121.4970695 31.2847309))",POINT (121.497221 31.2848278),543,5844.4
同济大学篮球场,3,49263172,,,,pitch,,"POLYGON ((121.4989406 31.283304, 121.4984705 31.2834917, 121.4985977 31.2837245, 121.4990678 31.2835368, 121.4989406 31.283304))",POINT (121.4987692 31.2835142),1406.3,15137.8
同济图书馆,4,49263174,,yes,library,,,"POLYGON ((121.499631 31.2849345, 121.4991625 31.2851115, 121.4992364 31.2852545, 121.4991345 31.285293, 121.498996 31.2853453, 121.4992113 31.2857615, 121.4994231 31.2856815, 121.4994909 31.2858126, 121.4999881 31.2856247, 121.4998275 31.2853143, 121.499631 31.2849345))",POINT (121.4994921 31.2854042),5387.6,57991.6
同济大学建筑设计研究院,5,71365288,,yes,,,,"POLYGON ((121.5018105 31.2824606, 121.5034445 31.2818189, 121.5037811 31.2824512, 121.502117 31.2830767, 121.5018105 31.2824606))",POINT (121.5027937 31.2824505),13007.9,140015.7
生态楼,6,125456038,,college,,,,"POLYGON ((121.4925594 31.286598, 121.4926528 31.2867486, 121.4924662 31.2868331, 121.4925316 31.2869385, 121.4928313 31.2868027, 121.492811 31.2867699, 121.4931679 31.2866083, 121.4930812 31.2864686, 121.4926685 31.2866555, 121.4925962 31.286539, 121.4925389 31.2865649, 121.4925594 31.286598))",POINT (121.4928037 31.2866897),1293.4,13922
工程中心,7,125456039,,college,,,,"POLYGON ((121.4921682 31.286411, 121.4922354 31.2865037, 121.4923124 31.2864628, 121.4924371 31.2866346, 121.4923544 31.2866785, 121.4924275 31.2867791, 121.492553 31.2867125, 121.4925219 31.2866698, 121.4925593 31.28665, 121.4923252 31.2863277, 121.4921682 31.286411))",POINT (121.4923861 31.2865442),629.8,6778.8
明净楼,8,125456040,,college,,,,"POLYGON ((121.4923668 31.2861656, 121.4924666 31.2863318, 121.4925138 31.2863111, 121.4925466 31.2863656, 121.4931904 31.2860834, 121.4930616 31.2858687, 121.4928562 31.2859587, 121.492831 31.2859169, 121.4923454 31.2861298, 121.4923668 31.2861656))",POINT (121.4927627 31.2861139),2213.4,23824.7
西苑饮食广场,9,125461261,,,restaurant,,,"POLYGON ((121.4929901 31.2851158, 121.4930551 31.2850909, 121.4930751 31.285129, 121.4932815 31.2850499, 121.4934096 31.2852943, 121.4940034 31.285067, 121.4938534 31.2847808, 121.4937912 31.284735, 121.4936891 31.2847239, 121.4929951 31.2849827, 121.4930132 31.2850173, 121.4929509 31.2850411, 121.4929901 31.2851158))",POINT (121.4935365 31.2849959),3310.9,35637.7
