name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
北京东路,0,27796679,0,1,1,56.01,,,,primary,3,"LINESTRING (118.7813000 32.0603844, 118.7818881 32.0603171)",auto;walk;bike,1,0,,
北京东路,1,27796679,1,0,1,56.01,,,,primary,3,"LINESTRING (118.7818881 32.0603171, 118.7813000 32.0603844)",auto;walk;bike,1,0,,
北京东路,2,27796679,1,2,1,348.76,,,,primary,3,"LINESTRING (118.7818881 32.0603171, 118.7855717 32.0600725)",auto;walk;bike,1,0,,
北京东路,3,27796679,2,1,1,348.76,,,,primary,3,"LINESTRING (118.7855717 32.0600725, 118.7818881 32.0603171)",auto;walk;bike,1,0,,
北京东路,4,27796679,2,3,1,12.83,,,,primary,3,"LINESTRING (118.7855717 32.0600725, 118.7857072 32.0600635)",auto;walk;bike,1,0,,
北京东路,5,27796679,3,2,1,12.83,,,,primary,3,"LINESTRING (118.7857072 32.0600635, 118.7855717 32.0600725)",auto;walk;bike,1,0,,
北京东路,6,27796679,3,4,1,14.9,,,,primary,3,"LINESTRING (118.7857072 32.0600635, 118.7858649 32.0600586)",auto;walk;bike,1,0,,
北京东路,7,27796679,4,3,1,14.9,,,,primary,3,"LINESTRING (118.7858649 32.0600586, 118.7857072 32.0600635)",auto;walk;bike,1,0,,
北京东路,8,27796679,4,5,1,326.19,,,,primary,3,"LINESTRING (118.7858649 32.0600586, 118.7890291 32.0599607, 118.7893173 32.0599390)",auto;walk;bike,1,0,,
北京东路,9,27796679,5,4,1,326.19,,,,primary,3,"LINESTRING (118.7893173 32.0599390, 118.7890291 32.0599607, 118.7858649 32.0600586)",auto;walk;bike,1,0,,
进香河路,10,27811140,6,7,1,97.78,,,,secondary,4,"LINESTRING (118.7844036 32.0517746, 118.7846008 32.0526406)",auto;walk;bike,1,0,,
进香河路,11,27811140,7,6,1,97.78,,,,secondary,4,"LINESTRING (118.7846008 32.0526406, 118.7844036 32.0517746)",auto;walk;bike,1,0,,
进香河路,12,27811140,7,8,1,64.34,,,,secondary,4,"LINESTRING (118.7846008 32.0526406, 118.7847609 32.0532048)",auto;walk;bike,1,0,,
进香河路,13,27811140,8,7,1,64.34,,,,secondary,4,"LINESTRING (118.7847609 32.0532048, 118.7846008 32.0526406)",auto;walk;bike,1,0,,
进香河路,14,27811140,8,9,1,58.98,,,,secondary,4,"LINESTRING (118.7847609 32.0532048, 118.7848998 32.0537236)",auto;walk;bike,1,0,,
进香河路,15,27811140,9,8,1,58.98,,,,secondary,4,"LINESTRING (118.7848998 32.0537236, 118.7847609 32.0532048)",auto;walk;bike,1,0,,
进香河路,16,27811140,9,10,1,33.42,,,,secondary,4,"LINESTRING (118.7848998 32.0537236, 118.7849809 32.0540171)",auto;walk;bike,1,0,,
进香河路,17,27811140,10,9,1,33.42,,,,secondary,4,"LINESTRING (118.7849809 32.0540171, 118.7848998 32.0537236)",auto;walk;bike,1,0,,
进香河路,18,27811140,10,11,1,206.02,,,,secondary,4,"LINESTRING (118.7849809 32.0540171, 118.7851449 32.0547158, 118.7854278 32.0558363)",auto;walk;bike,1,0,,
进香河路,19,27811140,11,10,1,206.02,,,,secondary,4,"LINESTRING (118.7854278 32.0558363, 118.7851449 32.0547158, 118.7849809 32.0540171)",auto;walk;bike,1,0,,
北门桥,20,27811151,12,13,1,100.44,,,,secondary,4,"LINESTRING (118.7831233 32.0501000, 118.7826507 32.0503815, 118.7823242 32.0506895)",auto;walk;bike,1,0,,
北门桥,21,27811151,13,12,1,100.44,,,,secondary,4,"LINESTRING (118.7823242 32.0506895, 118.7826507 32.0503815, 118.7831233 32.0501000)",auto;walk;bike,1,0,,
北门桥,22,27811151,13,14,1,74.07,,,,secondary,4,"LINESTRING (118.7823242 32.0506895, 118.7822711 32.0507991, 118.7821106 32.0513315)",auto;walk;bike,1,0,,
北门桥,23,27811151,14,13,1,74.07,,,,secondary,4,"LINESTRING (118.7821106 32.0513315, 118.7822711 32.0507991, 118.7823242 32.0506895)",auto;walk;bike,1,0,,
北门桥,24,27811151,14,15,1,68.29,,,,secondary,4,"LINESTRING (118.7821106 32.0513315, 118.7819780 32.0517711, 118.7819673 32.0519331)",auto;walk;bike,1,0,,
北门桥,25,27811151,15,14,1,68.29,,,,secondary,4,"LINESTRING (118.7819673 32.0519331, 118.7819780 32.0517711, 118.7821106 32.0513315)",auto;walk;bike,1,0,,
北门桥,26,27811151,15,16,1,14.62,,,,secondary,4,"LINESTRING (118.7819673 32.0519331, 118.7819586 32.0520648)",auto;walk;bike,1,0,,
北门桥,27,27811151,16,15,1,14.62,,,,secondary,4,"LINESTRING (118.7819586 32.0520648, 118.7819673 32.0519331)",auto;walk;bike,1,0,,
丹凤街,28,27811156,1,17,1,20.21,,,,secondary,4,"LINESTRING (118.7818881 32.0603171, 118.7818988 32.0601350)",auto;walk;bike,1,0,,
丹凤街,29,27811156,17,1,1,20.21,,,,secondary,4,"LINESTRING (118.7818988 32.0601350, 118.7818881 32.0603171)",auto;walk;bike,1,0,,
丹凤街,30,27811156,17,18,1,151.5,,,,secondary,4,"LINESTRING (118.7818988 32.0601350, 118.7819792 32.0587699)",auto;walk;bike,1,0,,
丹凤街,31,27811156,18,17,1,151.5,,,,secondary,4,"LINESTRING (118.7819792 32.0587699, 118.7818988 32.0601350)",auto;walk;bike,1,0,,
丹凤街,32,27811156,18,19,1,288.68,,,,secondary,4,"LINESTRING (118.7819792 32.0587699, 118.7820730 32.0561667)",auto;walk;bike,1,0,,
丹凤街,33,27811156,19,18,1,288.68,,,,secondary,4,"LINESTRING (118.7820730 32.0561667, 118.7819792 32.0587699)",auto;walk;bike,1,0,,
丹凤街,34,27811156,19,20,1,144.3,,,,secondary,4,"LINESTRING (118.7820730 32.0561667, 118.7821041 32.0548651)",auto;walk;bike,1,0,,
丹凤街,35,27811156,20,19,1,144.3,,,,secondary,4,"LINESTRING (118.7821041 32.0548651, 118.7820730 32.0561667)",auto;walk;bike,1,0,,
丹凤街,36,27811156,20,21,1,63.93,,,,secondary,4,"LINESTRING (118.7821041 32.0548651, 118.7820931 32.0542884)",auto;walk;bike,1,0,,
丹凤街,37,27811156,21,20,1,63.93,,,,secondary,4,"LINESTRING (118.7820931 32.0542884, 118.7821041 32.0548651)",auto;walk;bike,1,0,,
丹凤街,38,27811156,21,22,1,117.47,,,,secondary,4,"LINESTRING (118.7820931 32.0542884, 118.7820615 32.0532290)",auto;walk;bike,1,0,,
丹凤街,39,27811156,22,21,1,117.47,,,,secondary,4,"LINESTRING (118.7820615 32.0532290, 118.7820931 32.0542884)",auto;walk;bike,1,0,,
丹凤街,40,27811156,22,16,1,129.53,,,,secondary,4,"LINESTRING (118.7820615 32.0532290, 118.7819953 32.0528035, 118.7819586 32.0520648)",auto;walk;bike,1,0,,
丹凤街,41,27811156,16,22,1,129.53,,,,secondary,4,"LINESTRING (118.7819586 32.0520648, 118.7819953 32.0528035, 118.7820615 32.0532290)",auto;walk;bike,1,0,,
