name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,0,,,primary,2,118.7813,32.0603844,,,boundary node created by osm2gmns
,1,305197310,,,,,primary,0,118.7818881,32.0603171,,,
,2,8516236689,,,,,primary,0,118.7855717,32.0600725,,,
,3,3239093502,,,,,primary,0,118.7857072,32.0600635,,,
,4,8516236686,,,,,primary,0,118.7858649,32.0600586,,,
,5,305379565,,,,,primary,0,118.7893173,32.059939,,,
,6,428787926,,,,,secondary,0,118.7844036,32.0517746,,,
,7,1155842371,,,,,secondary,0,118.7846008,32.0526406,,,
,8,7995299351,,,,,secondary,0,118.7847609,32.0532048,,,
,9,7995299348,,,,,secondary,0,118.7848998,32.0537236,,,
,10,1067108939,,,,,secondary,0,118.7849809,32.0540171,,,
,11,772391248,,,,,secondary,0,118.7854278,32.0558363,,,
,12,,,12,,,secondary,2,118.7831233,32.0501,,,boundary node created by osm2gmns
,13,1038065159,,,,,secondary,0,118.7823242,32.0506895,,,
,14,1155833090,,,,,secondary,0,118.7821106,32.0513315,,,
,15,2026719176,,,,,secondary,0,118.7819673,32.0519331,,,
,16,428787925,,,,,secondary,0,118.7819586,32.0520648,,,
,17,8516236676,,,,,secondary,0,118.7818988,32.060135,,,
,18,1067108901,,,,,secondary,0,118.7819792,32.0587699,,,
,19,772391247,,,,,secondary,0,118.782073,32.0561667,,,
,20,1067116363,,,,,secondary,0,118.7821041,32.0548651,,,
,21,305372994,,,,,secondary,0,118.7820931,32.0542884,,,
,22,2026696512,,,,,secondary,0,118.7820615,32.053229,,,
,23,1166138226,,,,,residential,0,118.7911426,32.0602823,,,
,24,305197314,,,,,primary,0,118.7909656,32.0592455,,,
,25,,,25,,,secondary,2,118.790797,32.0501,,,boundary node created by osm2gmns
,26,4415897109,,,,,secondary,0,118.790895,32.0505453,,,
,27,4415897108,,,,,secondary,0,118.7912597,32.0522267,,,
,28,1155845086,,,,,secondary,0,118.7913875,32.0527149,,,
,29,1155845125,,,,,secondary,0,118.7917389,32.0542242,,,
,30,4415897107,,,,,secondary,0,118.7918443,32.0547696,,,
,31,4415897106,,,,,secondary,0,118.7920377,32.0555592,,,
,32,4415897113,,,,,primary,0,118.7928027,32.0587686,,,
,33,6408780400,,,,,tertiary,0,118.7916383,32.0548096,,,
,34,772391467,,,,,secondary,0,118.7899904,32.0507314,,,
,35,2451230789,,,,,residential,0,118.78993,32.0502251,,,
,36,,,36,,,residential,2,118.7819964,32.0501,,,boundary node created by osm2gmns
,37,,,37,,,tertiary,2,118.7813,32.0561329,,,boundary node created by osm2gmns
,38,1067108841,,,,,living_street,0,118.786363,32.0502942,,,
,39,1155842416,,,,,living_street,0,118.7865837,32.0502535,,,
,40,,,40,,,living_street,-1,118.7874115,32.0501,,,boundary node created by osm2gmns
,41,,,41,,,living_street,2,118.7813,32.0587435,,,boundary node created by osm2gmns
,42,,,42,,,living_street,2,118.7813,32.054281,,,boundary node created by osm2gmns
,43,8632020521,,,,,living_street,0,118.7826654,32.054253,,,
,44,1212800598,,,,,living_street,0,118.7835798,32.0541781,,,
,45,1067108846,,,,,secondary,0,118.7841474,32.0507025,,,
,46,,,46,,,living_street,2,118.7813,32.0556263,,,boundary node created by osm2gmns
,47,,,47,,,living_street,2,118.7813,32.0513374,,,boundary node created by osm2gmns
,48,1155842407,,,,,residential,0,118.7904214,32.0536722,,,
,49,1155842412,,,,,living_street,0,118.7892078,32.053887,,,
,50,1155842426,,,,,living_street,0,118.7881941,32.0541455,,,
,51,1155842372,,,,,living_street,0,118.7878613,32.0531245,,,
,52,1155842363,,,,,living_street,0,118.7888411,32.052867,,,
,53,1155842395,,,,,residential,0,118.7902585,32.0525103,,,
,54,1155842421,,,,,secondary,0,118.7870964,32.0512615,,,
,55,1155842358,,,,,living_street,0,118.7874088,32.0519122,,,
