name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
北极阁公园,0,91828655,,,,park,,"POLYGON ((118.7865291 32.0635551, 118.7858747 32.063546, 118.7854563 32.0633187, 118.7850378 32.0631278, 118.7847482 32.0629641, 118.7842546 32.0626914, 118.7838469 32.0626277, 118.7837182 32.0625732, 118.7835251 32.0624368, 118.7831817 32.0622913, 118.7830876 32.0621464, 118.7836498 32.0619805, 118.78398 32.0616994, 118.7844766 32.0613598, 118.784822 32.0610807, 118.7850378 32.0608547, 118.7854348 32.0606183, 118.7856279 32.060391, 118.7860142 32.0602546, 118.7892006 32.0601091, 118.7892006 32.0603637, 118.7891684 32.0606092, 118.7893937 32.0606547, 118.7898336 32.0609547, 118.7897907 32.0614275, 118.7897571 32.0616736, 118.7897693 32.0620731, 118.7897371 32.0622822, 118.7893937 32.0625004, 118.7891792 32.0626459, 118.7890396 32.0627777, 118.78875 32.0631187, 118.7884711 32.0632733, 118.7881277 32.063246, 118.7876557 32.0632187, 118.7872051 32.0632551, 118.7865291 32.0635551))",POINT (118.786915 32.0618076),163534.6,1760269.6
小营操场,1,99979575,,,,pitch,,"POLYGON ((118.7942229 32.0544634, 118.7940835 32.0544657, 118.7939654 32.0544384, 118.7938608 32.0543907, 118.7937884 32.0543384, 118.7937388 32.0542764, 118.7935082 32.0534126, 118.7935457 32.053258, 118.7936476 32.0531489, 118.7937496 32.0530761, 118.7938193 32.0530534, 118.794003 32.0530289, 118.7941049 32.0530494, 118.7942203 32.0530812, 118.794349 32.0531381, 118.7944134 32.0532722, 118.7946253 32.0540815, 118.7946092 32.0541497, 118.7945797 32.0542179, 118.7945489 32.054281, 118.794463 32.0543674, 118.7943275 32.0544316, 118.7942229 32.0544634))",POINT (118.7940669 32.053747),12441.5,133918.8
和平大厦,2,162311597,,office,,,,"POLYGON ((118.7933552 32.0595656, 118.7931699 32.0588283, 118.7934197 32.0587842, 118.7935805 32.0595352, 118.7934692 32.059547, 118.7933552 32.0595656))",POINT (118.7933798 32.0591706),1913.2,20593.8
交通学院 综合楼,3,189318592,,yes,,,,"POLYGON ((118.7852731 32.0571509, 118.7852839 32.0573009, 118.7849799 32.0573165, 118.7849883 32.0574334, 118.7846925 32.0574486, 118.7846801 32.0572753, 118.7848509 32.0572665, 118.7848442 32.057173, 118.7849094 32.0571696, 118.7852731 32.0571509))",POINT (118.7849651 32.0572888),1139.9,12269.7
华利国际大厦,4,192107510,,office,,,,"POLYGON ((118.7811666 32.0529532, 118.7815595 32.0529239, 118.7815563 32.0528932, 118.7815241 32.0525836, 118.7811313 32.0526129, 118.7811666 32.0529532))",POINT (118.7813454 32.0527684),1409.7,15173.8
赛格数码广场,5,192107516,,yes,,,,"POLYGON ((118.7816039 32.0523632, 118.7816634 32.0523699, 118.7817065 32.0523847, 118.7817459 32.052415, 118.7817663 32.0524473, 118.7818106 32.0528743, 118.7815563 32.0528932, 118.7815241 32.0525836, 118.7811313 32.0526129, 118.7811092 32.0524001, 118.7816039 32.0523632))",POINT (118.7815214 32.0525758),2239.3,24103.4
,6,192108783,,apartments,,,,"POLYGON ((118.7812022 32.0550558, 118.7813179 32.0551187, 118.7813491 32.055119, 118.7814747 32.0550548, 118.7815301 32.0551382, 118.7813904 32.0552077, 118.7813904 32.0553536, 118.7812737 32.0553552, 118.7812886 32.055206, 118.7811442 32.0551381, 118.7812022 32.0550558))",POINT (118.7813378 32.0551836),528.4,5687.2
,7,192108785,,apartments,,,,"POLYGON ((118.7814567 32.054807, 118.7815971 32.0547375, 118.7816051 32.0546075, 118.7817168 32.0546084, 118.7817104 32.0547488, 118.7818533 32.054815, 118.7817949 32.0548988, 118.781655 32.0548188, 118.7815116 32.0548955, 118.7814567 32.054807))",POINT (118.7816535 32.0547712),530.9,5714.3
江苏省电视大厦,8,192493415,,office,,,,"POLYGON ((118.7810127 32.0588787, 118.7811249 32.0588666, 118.7815051 32.05888, 118.781477 32.0591949, 118.7814462 32.0593993, 118.7814293 32.0596862, 118.7809944 32.0597334, 118.7809849 32.0594351, 118.7801466 32.0593627, 118.7801732 32.0592078, 118.7802287 32.0589091, 118.7802536 32.0589091, 118.7802696 32.0587871, 118.7807751 32.0588699, 118.7810127 32.0588787))",POINT (118.78089 32.0591987),8798.3,94704.4
,9,192497013,,apartments,,,,"POLYGON ((118.7807543 32.0576811, 118.7813236 32.0576943, 118.7813256 32.0576326, 118.7815883 32.0576387, 118.7815834 32.0577888, 118.7813184 32.0577826, 118.781317 32.0578262, 118.7808976 32.0578165, 118.7808921 32.0579877, 118.7807445 32.0579843, 118.7807543 32.0576811))",POINT (118.7811154 32.057768),1463,15747.5
