name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
西影路,0,26174007,0,1,1,59.3,,,,primary,3,"LINESTRING (108.9602000 34.2244105, 108.9601382 34.2244019, 108.9595571 34.2243950)",auto;walk;bike,0,0,,
西影路,1,26174007,1,2,1,49.88,,,,primary,3,"LINESTRING (108.9595571 34.2243950, 108.9590156 34.2243886)",auto;walk;bike,0,0,,
雁塔北路,2,26174011,3,4,1,10.93,3,,,secondary,4,"LINESTRING (108.9594006 34.2318260, 108.9593118 34.2318914)",auto;walk;bike,0,0,,
雁塔北路,3,26174011,4,5,1,343.1,3,,,secondary,4,"LINESTRING (108.9593118 34.2318914, 108.9591561 34.2320059, 108.9590529 34.2349262)",auto;walk;bike,0,0,,
长安北路,4,28258922,6,7,1,447.92,2,,,primary,3,"LINESTRING (108.9420741 34.2407000, 108.9420545 34.2395633, 108.9420504 34.2371618, 108.9420502 34.2370348, 108.9420496 34.2366605)",auto;walk;bike,0,0,,
长安北路,5,28258922,7,8,1,287.26,2,,,primary,3,"LINESTRING (108.9420496 34.2366605, 108.9420457 34.2345855, 108.9420447 34.2340698)",auto;walk;bike,0,0,,
长安北路,6,28258922,8,9,1,165.88,2,,,primary,3,"LINESTRING (108.9420447 34.2340698, 108.9420519 34.2336989, 108.9420497 34.2334940, 108.9420396 34.2325739)",auto;walk;bike,0,0,,
长安中路,7,28258924,279,11,1,165.31,4,,,primary,3,"LINESTRING (108.9421806 34.2244952, 108.9421857 34.2259861)",auto;walk;bike,0,0,,
长安中路,8,28258924,11,12,1,134.67,4,,,primary,3,"LINESTRING (108.9421857 34.2259861, 108.9421979 34.2272006)",auto;walk;bike,0,0,,
长安中路,9,28258924,12,13,1,328.87,4,,,primary,3,"LINESTRING (108.9421979 34.2272006, 108.9422113 34.2301665)",auto;walk;bike,0,0,,
长安中路,10,28258924,13,14,1,79.57,4,,,primary,3,"LINESTRING (108.9422113 34.2301665, 108.9422124 34.2306322, 108.9422129 34.2308841)",auto;walk;bike,0,0,,
长安中路,11,28258924,14,15,1,71.06,4,,,primary,3,"LINESTRING (108.9422129 34.2308841, 108.9421923 34.2310640, 108.9421993 34.2315241)",auto;walk;bike,0,0,,
长安中路,12,28258926,16,17,1,65.75,4,,,primary,3,"LINESTRING (108.9420381 34.2315234, 108.9420354 34.2310722, 108.9420239 34.2309308)",auto;walk;bike,0,0,,
长安中路,13,28258926,17,18,1,72.44,4,,,primary,3,"LINESTRING (108.9420239 34.2309308, 108.9420080 34.2306215, 108.9419904 34.2302781)",auto;walk;bike,0,0,,
长安中路,14,28258926,18,19,1,352.62,4,,,primary,3,"LINESTRING (108.9419904 34.2302781, 108.9419810 34.2270980)",auto;walk;bike,0,0,,
小寨西路,15,28258939,280,21,1,132.93,3,,,primary,3,"LINESTRING (108.9419432 34.2245002, 108.9405000 34.2245068)",auto;walk;bike,0,0,,
二环南路东段,16,28340417,22,23,1,127.13,2,,,trunk,2,"LINESTRING (108.9466341 34.2317426, 108.9460465 34.2317525, 108.9455289 34.2317616, 108.9452540 34.2317638)",auto;walk;bike,0,0,,
二环南路东段,17,28340417,23,24,1,437.87,2,,,trunk,2,"LINESTRING (108.9452540 34.2317638, 108.9450094 34.2317657, 108.9440838 34.2317808, 108.9437055 34.2317825, 108.9408329 34.2318096, 108.9405000 34.2318132)",auto;walk;bike,0,0,,
二环南路东段,18,28340418,25,26,1,462.75,2,,,trunk,2,"LINESTRING (108.9466267 34.2316574, 108.9516512 34.2316279)",auto;walk;bike,0,0,,
二环南路东段,19,28340418,26,27,1,125.36,2,,,trunk,2,"LINESTRING (108.9516512 34.2316279, 108.9530124 34.2316287)",auto;walk;bike,0,0,,
二环南路东段,20,28340418,27,28,1,290.21,2,,,trunk,2,"LINESTRING (108.9530124 34.2316287, 108.9561636 34.2316273)",auto;walk;bike,0,0,,
二环南路东段,21,28340418,28,29,1,70.48,2,,,trunk,2,"LINESTRING (108.9561636 34.2316273, 108.9569277 34.2315922)",auto;walk;bike,0,0,,
二环南路东段,22,28340418,29,30,1,62.43,2,,,trunk,2,"LINESTRING (108.9569277 34.2315922, 108.9576055 34.2315870)",auto;walk;bike,0,0,,
慈恩西路,23,55684798,31,32,1,12.22,4,,,secondary,4,"LINESTRING (108.9561078 34.2244407, 108.9561057 34.2243305)",auto;walk;bike,0,0,,
慈恩西路,24,55684798,32,33,1,69.91,4,,,secondary,4,"LINESTRING (108.9561057 34.2243305, 108.9561135 34.2237000)",auto;walk;bike,0,0,,
小寨东路,25,55684808,31,34,1,16.53,,,,primary,3,"LINESTRING (108.9561078 34.2244407, 108.9559286 34.2244493)",auto;walk;bike,0,0,,
兴善寺东街,26,55691954,12,35,1,204.52,,,,tertiary,5,"LINESTRING (108.9421979 34.2272006, 108.9442997 34.2271790, 108.9444183 34.2271778)",auto;walk;bike,1,0,,
兴善寺东街,27,55691954,35,12,1,204.52,,,,tertiary,5,"LINESTRING (108.9444183 34.2271778, 108.9442997 34.2271790, 108.9421979 34.2272006)",auto;walk;bike,1,0,,
兴善寺东街,28,55691954,35,36,1,415.11,,,,tertiary,5,"LINESTRING (108.9444183 34.2271778, 108.9476066 34.2270977, 108.9489239 34.2270881)",auto;walk;bike,1,0,,
兴善寺东街,29,55691954,36,35,1,415.11,,,,tertiary,5,"LINESTRING (108.9489239 34.2270881, 108.9476066 34.2270977, 108.9444183 34.2271778)",auto;walk;bike,1,0,,
兴善寺东街,30,55691954,36,281,1,264.57,,,,tertiary,5,"LINESTRING (108.9489239 34.2270881, 108.9490110 34.2270881, 108.9516719 34.2270872, 108.9517965 34.2270872)",auto;walk;bike,1,0,,
兴善寺东街,31,55691954,281,36,1,264.57,,,,tertiary,5,"LINESTRING (108.9517965 34.2270872, 108.9516719 34.2270872, 108.9490110 34.2270881, 108.9489239 34.2270881)",auto;walk;bike,1,0,,
长安北路,34,89567410,39,40,1,54.72,2,,,primary,3,"LINESTRING (108.9422016 34.2320139, 108.9422081 34.2325074)",auto;walk;bike,0,0,,
长安北路,35,89567410,40,41,1,676.37,2,,,primary,3,"LINESTRING (108.9422081 34.2325074, 108.9422205 34.2340263, 108.9422252 34.2345988, 108.9422587 34.2348359, 108.9423068 34.2371667, 108.9423096 34.2386053)",auto;walk;bike,0,0,,
长安北路,36,89567410,41,42,1,232.28,2,,,primary,3,"LINESTRING (108.9423096 34.2386053, 108.9423156 34.2391458, 108.9423202 34.2395624, 108.9423328 34.2407000)",auto;walk;bike,0,0,,
长安北路,37,89567417,43,16,1,54.44,2,,,primary,3,"LINESTRING (108.9420467 34.2320143, 108.9420381 34.2315234)",auto;walk;bike,0,0,,
文娱巷,38,92223047,36,44,1,234.8,,,,tertiary,5,"LINESTRING (108.9489239 34.2270881, 108.9489227 34.2269915, 108.9488968 34.2249707)",auto;walk;bike,1,0,,
文娱巷,39,92223047,44,36,1,234.8,,,,tertiary,5,"LINESTRING (108.9488968 34.2249707, 108.9489227 34.2269915, 108.9489239 34.2270881)",auto;walk;bike,1,0,,
文娱巷,40,92223047,44,282,1,54.2,,,,tertiary,5,"LINESTRING (108.9488968 34.2249707, 108.9488911 34.2246030, 108.9488893 34.2244819)",auto;walk;bike,1,0,,
