name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,0,,,primary,1,108.9602,34.2244105,,,boundary node created by osm2gmns
,1,9418649481,,,,,primary,0,108.9595571,34.224395,,,
,2,9018944785,,,,,primary,0,108.9590156,34.2243886,,,
,3,286622544,,,,,secondary,0,108.9594006,34.231826,,,
,4,9139508560,,,,,secondary,0,108.9593118,34.2318914,,,
,5,5466315422,,,,,secondary,0,108.9590529,34.2349262,,,
,6,,,6,,,primary,1,108.9420741,34.2407,,,boundary node created by osm2gmns
,7,2631950124,,,,,primary,0,108.9420496,34.2366605,,,
,8,1618985969,,,,,primary,0,108.9420447,34.2340698,,,
南二环（西），朱雀桥,9,2640717362,motorway_junction,,,,primary,0,108.9420396,34.2325739,,,
,11,2559424621,,,,,primary,0,108.9421857,34.2259861,,,
,12,2408850926,traffic_signals,,signal,,primary,0,108.9421979,34.2272006,,,
,13,2433503561,,,,,primary,0,108.9422113,34.2301665,,,
南二环（东），雁塔立交,14,2640717368,motorway_junction,,,,primary,0,108.9422129,34.2308841,,,
,15,477410081,,,,,primary,0,108.9421993,34.2315241,,,
南二环（东），雁塔立交,16,1038250400,motorway_junction,,,,primary,0,108.9420381,34.2315234,,,
,17,2640717399,,,,,primary,0,108.9420239,34.2309308,,,
,18,2433503555,,,,,primary,0,108.9419904,34.2302781,,,
,19,2408850930,traffic_signals,,signal,,primary,0,108.941981,34.227098,,,
,21,,,21,,,primary,-1,108.9405,34.2245068,,,boundary node created by osm2gmns
,22,310338128,,,,,trunk,0,108.9466341,34.2317426,,,
,23,2640717312,motorway_junction,,,,trunk,0,108.945254,34.2317638,,,
,24,,,24,,,trunk,-1,108.9405,34.2318132,,,boundary node created by osm2gmns
,25,310338188,,,,,trunk,0,108.9466267,34.2316574,,,
,26,7140404839,,,,,trunk,0,108.9516512,34.2316279,,,
,27,9017498679,,,,,trunk,0,108.9530124,34.2316287,,,
,28,2691018230,,,,,trunk,0,108.9561636,34.2316273,,,
,29,2693866463,,,,,trunk,0,108.9569277,34.2315922,,,
,30,310338190,,,,,trunk,0,108.9576055,34.231587,,,
,31,2723097412,traffic_signals,,signal,,primary,0,108.9561078,34.2244407,,,
,32,9016907928,,,,,secondary,0,108.9561057,34.2243305,,,
,33,,,33,,,secondary,-1,108.9561135,34.2237,,,boundary node created by osm2gmns
,34,286622513,crossing,,,,primary,0,108.9559286,34.2244493,,,
,35,6817392876,,,,,tertiary,0,108.9444183,34.2271778,,,
,36,477410093,,,,,tertiary,0,108.9489239,34.2270881,,,
南二环（西），朱雀桥,39,477410082,motorway_junction,,,,primary,0,108.9422016,34.2320139,,,
,40,2640717321,,,,,primary,0,108.9422081,34.2325074,,,
,41,2225392549,,,,,primary,0,108.9423096,34.2386053,,,
,42,,,42,,,primary,-1,108.9423328,34.2407,,,boundary node created by osm2gmns
,43,1038250415,,,,,primary,0,108.9420467,34.2320143,,,
,44,2582369192,,,,,tertiary,0,108.9488968,34.2249707,,,
,47,1557695800,,,,,secondary,0,108.9491806,34.2371744,,,
,48,3224433517,,,,,tertiary,0,108.9501673,34.2371756,,,
,49,1557695821,,,,,tertiary,0,108.9523371,34.2371588,,,
,50,2450628370,,,,,tertiary,0,108.9555111,34.2371716,,,
,51,9429886036,,,,,tertiary,0,108.9589387,34.2371337,,,
,52,1511454142,,,,,tertiary,0,108.9590114,34.2371337,,,
,53,,,53,,,tertiary,2,108.9602,34.2371355,,,boundary node created by osm2gmns
,54,2526115619,,,,,residential,0,108.9524246,34.2397433,,,
,55,,,55,,,residential,2,108.9524111,34.2407,,,boundary node created by osm2gmns
,56,9139508563,,56,,,secondary,2,108.9489737,34.2319078,,,
,57,2433504978,,,,,secondary,0,108.9490038,34.2334067,,,
,58,1557695825,,,,,secondary,0,108.9491859,34.2405795,,,
,59,,,59,,,secondary,2,108.9491864,34.2407,,,boundary node created by osm2gmns
,60,,,60,,,residential,2,108.9405,34.2366627,,,boundary node created by osm2gmns
,61,9139508562,,61,,,unclassified,2,108.946048,34.2319269,,,
,62,9429906688,,,,,unclassified,0,108.9460501,34.2326084,,,
,63,9429906698,,,,,unclassified,0,108.9459799,34.233452,,,
,64,9429906697,,,,,unclassified,0,108.9459349,34.2335972,,,
,65,1558680273,,,,,unclassified,0,108.9439818,34.2386073,,,
,66,,,66,,,trunk,1,108.9602,34.2316944,,,boundary node created by osm2gmns
,67,310338125,,,,,trunk,0,108.9576354,34.2317081,,,
,68,2225391375,,,,,secondary,0,108.9592659,34.2269699,,,
,69,2433503582,,,,,tertiary,0,108.9592219,34.2281925,,,
,70,9139508559,,,,,secondary,0,108.959286,34.2311696,,,
,71,9139508571,,,,,secondary,0,108.9593109,34.231207,,,
,72,2691018182,,,,,secondary,0,108.9594005,34.231341,,,
,73,,,73,,,trunk,-1,108.9602,34.2315959,,,boundary node created by osm2gmns
,74,2433504971,,,,,trunk,0,108.9518424,34.2317127,,,
,75,1652452821,,,,,secondary,0,108.9588938,34.2318905,,,
,76,2691018215,,,,,secondary,0,108.9588381,34.2313729,,,
,77,1835040659,,,,,primary,0,108.9471539,34.2244874,,,
,78,7137373468,,,,,residential,0,108.9471528,34.2243691,,,
,79,,,79,,,residential,-1,108.9471507,34.2237,,,boundary node created by osm2gmns
,80,2225186823,,80,,,footway,1,108.9493174,34.2312048,,,
,81,2225186815,,81,,,footway,-1,108.9493223,34.2318942,,,
,82,2225186835,,82,,,footway,1,108.9558279,34.2318917,,,
,83,2225186817,,83,,,footway,-1,108.9558306,34.2312306,,,
,84,2649011264,,,,,service,0,108.9506579,34.2306033,,,
,85,2225186822,,85,,,footway,-1,108.9507499,34.231977,,,
,86,9139508568,,,,,tertiary,0,108.9591346,34.2281779,,,
,87,2433503585,,,,,tertiary,0,108.9548119,34.2281484,,,
,90,,,90,,,residential,2,108.9602,34.2269692,,,boundary node created by osm2gmns
,91,,,91,,,residential,2,108.9439645,34.2407,,,boundary node created by osm2gmns
,92,,,92,,,residential,2,108.9405,34.2302797,,,boundary node created by osm2gmns
,93,2436634237,,,,,service,0,108.9445416,34.2308416,,,
,94,2433503580,,,,,service,0,108.950656,34.2297069,,,
,95,2433503579,,,,,service,0,108.9506553,34.229261,,,
