name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
陕西历史博物馆,0,249318211,,yes,,,,"POLYGON ((108.9490192 34.2270137, 108.9489554 34.2245711, 108.9516621 34.2245778, 108.9516726 34.2269962, 108.9490192 34.2270137))",POINT (108.950325 34.2257857),66525.2,716070.4
,1,252132889,,,parking,,,"POLYGON ((108.9496432 34.2249124, 108.9496549 34.2246099, 108.9489893 34.2246121, 108.9489969 34.2249181, 108.9496432 34.2249124))",POINT (108.9493204 34.2247624),2038.1,21937.8
,2,252867149,,,,common,,"POLYGON ((108.9578998 34.224141, 108.9578678 34.2227906, 108.9578044 34.2200051, 108.9575953 34.2200125, 108.9576525 34.2196451, 108.9583421 34.2196254, 108.9584315 34.218012, 108.9613258 34.2180174, 108.9618987 34.2180523, 108.9625685 34.2180669, 108.9632867 34.218099, 108.9643973 34.218118, 108.9651061 34.218181, 108.9652534 34.2181706, 108.9653948 34.2181793, 108.9654487 34.2182137, 108.9654835 34.2182718, 108.9654502 34.2183687, 108.9652792 34.2189427, 108.9652015 34.2190734, 108.9650985 34.2191265, 108.9627749 34.2200386, 108.9613519 34.2205649, 108.9612904 34.2238411, 108.9611688 34.2241315, 108.9609967 34.2242361, 108.960704 34.2242709, 108.960199 34.224238, 108.9579454 34.2242272, 108.9578998 34.224141))",POINT (108.9604817 34.2206519),282711.6,3043079.4
陕西省图书馆,3,254470911,,yes,library,,,"POLYGON ((108.9403483 34.2334515, 108.9403378 34.2333202, 108.9402129 34.2332601, 108.9401758 34.233147, 108.9402301 34.2330704, 108.9403154 34.233013, 108.9403104 34.2328152, 108.9410942 34.2328232, 108.9410809 34.2330239, 108.9411561 34.2330349, 108.9412214 34.2330544, 108.9412833 34.2330931, 108.9413117 34.2331319, 108.9413469 34.2332216, 108.9415948 34.2332192, 108.9415881 34.2334461, 108.9403483 34.2334515))",POINT (108.9408226 34.2331687),6776,72936.2
西安国际贸易中心,4,254488428,,yes,,,,"POLYGON ((108.943194 34.2240961, 108.9430708 34.2241691, 108.942954 34.2241778, 108.9428407 34.2241603, 108.9427346 34.2241164, 108.9426461 34.2240608, 108.9425824 34.2239701, 108.9425399 34.2238706, 108.9425364 34.2237945, 108.9425611 34.2237008, 108.9426071 34.2236716, 108.943186 34.2236804, 108.943194 34.2240961))",POINT (108.9428876 34.2239035),2904.6,31264.7
,5,258087794,,yes,,,,"POLYGON ((108.9410387 34.2267923, 108.941711 34.2267944, 108.9417117 34.2262611, 108.9410195 34.2262605, 108.9410387 34.2267923))",POINT (108.9413704 34.2265258),3710.4,39938.3
豪邦时尚购物广场,6,258087795,,commercial,,,,"POLYGON ((108.9428224 34.2270361, 108.9428246 34.2267876, 108.942825 34.2267611, 108.9439918 34.2267589, 108.9439864 34.2268587, 108.9435627 34.2268587, 108.9435666 34.2270336, 108.9428224 34.2270361))",POINT (108.9432941 34.2268825),2507.8,26993.2
西安市育才中学,7,258087796,,,school,,,"POLYGON ((108.9449966 34.229172, 108.9449908 34.2287152, 108.9439267 34.2287416, 108.9439215 34.2274056, 108.9461207 34.2273439, 108.9461863 34.2291472, 108.9449966 34.229172))",POINT (108.9451208 34.228183),35941.6,386872.2
,8,259687329,,yes,,,,"POLYGON ((108.9502066 34.226516, 108.9502066 34.2259164, 108.9509018 34.2259213, 108.9509048 34.226516, 108.9502066 34.226516))",POINT (108.9505545 34.2262176),4248.7,45732.7
,9,259687330,,yes,,,,"POLYGON ((108.9501732 34.2258893, 108.9509659 34.2258953, 108.9509691 34.2256103, 108.9501764 34.2256043, 108.9501732 34.2258893))",POINT (108.9505711 34.2257498),2307.4,24836.7
