name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
中心操场,0,98865266,,,,sports_centre,,"POLYGON ((114.4126443 30.5129723, 114.4124527 30.5112752, 114.4132903 30.511205, 114.4132658 30.5109879, 114.4135706 30.5109623, 114.4136453 30.5109434, 114.4136837 30.5109087, 114.4137139 30.5108596, 114.4136998 30.5107346, 114.4144614 30.5106708, 114.4147018 30.5127999, 114.414011 30.5128578, 114.4126443 30.5129723))",POINT (114.4136198 30.5119183),42121.3,453389.1
,1,98867842,,,,track,,"POLYGON ((114.4219527 30.5110718, 114.4219527 30.5107483, 114.4220493 30.5106374, 114.4222292 30.5106293, 114.4223389 30.5107391, 114.4223456 30.5110555, 114.4222185 30.511174, 114.4220863 30.5111758, 114.4219527 30.5110718))",POINT (114.4221471 30.5109014),1969.3,21197.3
,2,98867846,,,,park,,"POLYGON ((114.4210723 30.5177752, 114.4208537 30.5172393, 114.4212494 30.5171718, 114.4213422 30.5174095, 114.4210226 30.5174514, 114.4211297 30.5177333, 114.4210723 30.5177752))",POINT (114.4210881 30.5173749),1275.9,13733.4
集贸市场,3,98867852,,,marketplace,,,"POLYGON ((114.4080155 30.5188398, 114.4079703 30.5184562, 114.4083042 30.5184264, 114.4083297 30.5186431, 114.4088604 30.5185957, 114.4088711 30.5186863, 114.4095322 30.5186273, 114.4095621 30.5188808, 114.4088027 30.5189485, 114.4088245 30.5191337, 114.4082452 30.5191854, 114.4082025 30.518823, 114.4080155 30.5188398))",POINT (114.4086547 30.5188093),6569.9,70718.2
武汉光电国家研究中心,4,98867867,,yes,,,,"POLYGON ((114.4198238 30.5138336, 114.4193345 30.5125512, 114.4197454 30.5125494, 114.4198864 30.5129236, 114.4195333 30.5129251, 114.4195873 30.513074, 114.4199351 30.5130725, 114.4199954 30.5132289, 114.4196359 30.5132304, 114.4196908 30.5133776, 114.4200515 30.5133761, 114.4201116 30.5135331, 114.4197517 30.5135346, 114.419807 30.5136779, 114.4201729 30.5136764, 114.4201728 30.5136923, 114.4203206 30.5136917, 114.4203219 30.5123535, 114.4208346 30.5123428, 114.4208342 30.5126349, 114.4203639 30.5126447, 114.4203643 30.512849, 114.42098 30.5128362, 114.4209798 30.5130328, 114.4203647 30.5130457, 114.4203652 30.5132673, 114.4210665 30.5132526, 114.4210664 30.5134371, 114.4203656 30.5134518, 114.4203658 30.5135204, 114.4208203 30.5135109, 114.4208202 30.5136728, 114.4212513 30.5136638, 114.4212511 30.5138211, 114.4208452 30.5138296, 114.420845 30.5140355, 114.4203202 30.5140465, 114.4203205 30.5137737, 114.4201736 30.5137743, 114.4201735 30.513916, 114.4199319 30.5139191, 114.4199319 30.5138342, 114.4198238 30.5138336))",POINT (114.4203529 30.5132579),12391.2,133377.9
管理学院,5,98868030,,yes,,,,"POLYGON ((114.4097677 30.518155, 114.4097451 30.5179679, 114.4102876 30.5179193, 114.4102521 30.5176258, 114.4112063 30.5175403, 114.411242 30.5178361, 114.4116885 30.517796, 114.4117109 30.5179809, 114.4111678 30.5180296, 114.4111488 30.5178702, 114.410377 30.5179393, 114.4103961 30.5180987, 114.4097677 30.518155))",POINT (114.4107263 30.5178405),5584.7,60112.7
大学生活动中心,6,98868568,,yes,,,,"POLYGON ((114.4080538 30.5167479, 114.4080317 30.5165333, 114.4084227 30.5165077, 114.4085095 30.5165065, 114.4086061 30.5165204, 114.4086831 30.5165542, 114.4087475 30.5165953, 114.4087985 30.5166388, 114.4088396 30.51669, 114.4088706 30.5167543, 114.4088824 30.5168132, 114.4089151 30.5171164, 114.408611 30.5171392, 114.408595 30.5169836, 114.4087204 30.5169742, 114.4087079 30.5168279, 114.4086869 30.5167542, 114.4086217 30.5166883, 114.4085325 30.51665, 114.4084352 30.5166406, 114.4081957 30.516657, 114.4082046 30.5167366, 114.4080538 30.5167479))",POINT (114.4085625 30.5167586),2257.9,24304.1
科技楼,7,98868572,,yes,public_building,,,"POLYGON ((114.4062677 30.5164221, 114.4062495 30.5162574, 114.4068275 30.51621, 114.4067962 30.5159263, 114.4065528 30.5159463, 114.4065647 30.5160542, 114.4062283 30.5160818, 114.4061977 30.5158054, 114.4069051 30.5157474, 114.4069538 30.5161885, 114.4069826 30.5161861, 114.407002 30.5163619, 114.4062677 30.5164221))",POINT (114.4066029 30.5160757),3357.2,36136.1
,8,98868574,,,,garden,,"POLYGON ((114.4067853 30.5152306, 114.4066968 30.515196, 114.4066593 30.5148914, 114.406651 30.5147688, 114.4066915 30.5146997, 114.4067824 30.514644, 114.406918 30.5146364, 114.406985 30.5152147, 114.4067853 30.5152306))",POINT (114.4068156 30.5149432),1679.3,18075.4
,9,98868575,,,,sports_centre,,"POLYGON ((114.3997445 30.5155322, 114.4000327 30.5138962, 114.4022533 30.5142057, 114.4019131 30.5159655, 114.3999865 30.5156956, 114.3998354 30.5156353, 114.3997445 30.5155322))",POINT (114.4009844 30.5149274),42239.4,454660.4
