name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,22799948,0,1,1,15.16,,,,tertiary,5,"LINESTRING (116.3266049 39.9938713, 116.3267292 39.9939689)",bike;walk;auto,1,1,,
,1,22799948,1,0,1,15.16,,,,tertiary,5,"LINESTRING (116.3267292 39.9939689, 116.3266049 39.9938713)",bike;walk;auto,1,1,,
中关村北二街,2,22799950,2,3,1,8.82,,30,,tertiary,5,"LINESTRING (116.3211102 39.9912004, 116.3211102 39.9911209)",bike;walk;auto,1,0,,
中关村北二街,3,22799950,3,2,1,8.82,,30,,tertiary,5,"LINESTRING (116.3211102 39.9911209, 116.3211102 39.9912004)",bike;walk;auto,1,0,,
中关村北二街,4,22799950,3,4,1,7.15,,30,,tertiary,5,"LINESTRING (116.3211102 39.9911209, 116.3211146 39.9910566)",bike;walk;auto,1,0,,
中关村北二街,5,22799950,4,3,1,7.15,,30,,tertiary,5,"LINESTRING (116.3211146 39.9910566, 116.3211102 39.9911209)",bike;walk;auto,1,0,,
中关村北二街,6,22799950,4,5,1,39.6,,30,,tertiary,5,"LINESTRING (116.3211146 39.9910566, 116.3211291 39.9907000)",bike;walk;auto,1,0,,
中关村北二街,7,22799950,5,4,1,39.6,,30,,tertiary,5,"LINESTRING (116.3211291 39.9907000, 116.3211146 39.9910566)",bike;walk;auto,1,0,,
清华路,8,22799951,6,7,1,5.98,,,,unclassified,15,"LINESTRING (116.3199258 39.9997110, 116.3198558 39.9997125)",bike;walk;auto,1,0,,
清华路,9,22799951,7,6,1,5.98,,,,unclassified,15,"LINESTRING (116.3198558 39.9997125, 116.3199258 39.9997110)",bike;walk;auto,1,0,,
清华路,10,22799951,7,8,1,127.2,,,,unclassified,15,"LINESTRING (116.3198558 39.9997125, 116.3183699 39.9996258)",bike;walk;auto,1,0,,
清华路,11,22799951,8,7,1,127.2,,,,unclassified,15,"LINESTRING (116.3183699 39.9996258, 116.3198558 39.9997125)",bike;walk;auto,1,0,,
清华路,12,22799951,8,9,1,7.79,,,,unclassified,15,"LINESTRING (116.3183699 39.9996258, 116.3182788 39.9996222)",bike;walk;auto,1,0,,
清华路,13,22799951,9,8,1,7.79,,,,unclassified,15,"LINESTRING (116.3182788 39.9996222, 116.3183699 39.9996258)",bike;walk;auto,1,0,,
清华路,14,22799951,9,10,1,8.39,,,,unclassified,15,"LINESTRING (116.3182788 39.9996222, 116.3181807 39.9996178)",bike;walk;auto,1,0,,
清华路,15,22799951,10,9,1,8.39,,,,unclassified,15,"LINESTRING (116.3181807 39.9996178, 116.3182788 39.9996222)",bike;walk;auto,1,0,,
