name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,1360099102,,,,,service,0,116.3266049,39.9938713,,,
,1,975801331,,,,,tertiary,0,116.3267292,39.9939689,,,
,2,371157793,,,,,tertiary,0,116.3211102,39.9912004,,,
,3,1360097769,,,,,tertiary,0,116.3211102,39.9911209,,,
,4,1365191826,,,,,tertiary,0,116.3211146,39.9910566,,,
,5,,,5,,,tertiary,2,116.3211291,39.9907,,,boundary node created by osm2gmns
,6,9003302381,,,,,unclassified,0,116.3199258,39.999711,,,
,7,974490968,,,,,unclassified,0,116.3198558,39.9997125,,,
,8,975579498,,,,,unclassified,0,116.3183699,39.9996258,,,
,9,2354067818,,,,,unclassified,0,116.3182788,39.9996222,,,
,10,975579502,,,,,unclassified,0,116.3181807,39.9996178,,,
,11,371156467,,,,,unclassified,0,116.3157282,39.9987496,,,
,12,380418838,,,,,unclassified,0,116.3127872,39.9986084,,,
,13,380419281,,,,,unclassified,0,116.3116547,39.9985484,,,
,14,9331677323,,,,,unclassified,0,116.3115925,39.998552,,,
,15,930076921,,,,,residential,0,116.3218618,40.0108225,,,
,16,930076935,,,,,service,0,116.3223208,40.0101371,,,
,17,,,17,,,secondary,2,116.3082,39.9985884,,,boundary node created by osm2gmns
,18,9331677317,traffic_signals,,signal,,secondary,0,116.3087274,39.9985949,,,
,19,1597419021,,,,,secondary,0,116.3088778,39.9985968,,,
,20,2354014385,,,,,residential,0,116.3200078,40.01026,,,
,21,943386823,,,,,service,0,116.3204229,40.00952,,,
,22,151994531,,,,,residential,0,116.3240773,40.0096237,,,
,23,2354334247,,,,,residential,0,116.323992,40.0108894,,,
,24,,,24,,,rail,1,116.3318507,39.9907,,,boundary node created by osm2gmns
,25,274667756,,,,,rail,0,116.3307903,40.0071611,,,
,26,,,26,,,primary,1,116.3119633,40.0132,,,boundary node created by osm2gmns
,27,494772204,,,,,primary,0,116.3120835,40.0122259,,,
,28,9323184963,traffic_signals,,signal,,primary,0,116.3121494,40.0116399,,,
,29,9807750858,crossing,,,,primary,0,116.3121543,40.011602,,,
,30,1360087482,,,,,primary,0,116.3121742,40.011445,,,
,31,286387088,,,,,primary,0,116.3121842,40.0113558,,,
,32,288642427,,,,,footway,0,116.308473,40.0111078,,,
,33,288644169,,,,,footway,0,116.3091797,40.0095874,,,
,34,494772206,,,,,footway,0,116.308767,40.0118975,,,
,35,288643691,,,,,footway,0,116.3090166,40.0114168,,,
,36,288642440,,,,,footway,0,116.3091554,40.0112955,,,
,37,288642495,,,,,footway,0,116.3094167,40.0095816,,,
,38,288644172,,,,,footway,0,116.309196,40.0093326,,,
,39,288642500,,,,,footway,0,116.3086794,40.0093324,,,
,40,288644177,,,,,footway,0,116.3083941,40.0093751,,,
