name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
圆明园遗址公园,0,24827108,,,,park,,"POLYGON ((116.2816412 40.0119641, 116.2927305 40.0128648, 116.3026697 40.0136207, 116.3029443 40.0123257, 116.305588 40.0125533, 116.3055596 40.0128018, 116.3069396 40.0129242, 116.3069928 40.0126852, 116.3117248 40.0130817, 116.3119459 40.0113507, 116.3126654 40.0057173, 116.3125324 40.0054812, 116.3122727 40.0053566, 116.3119417 40.0052781, 116.3068925 40.005127, 116.3077486 40.0026003, 116.3084997 40.0003834, 116.3087637 39.9996042, 116.3087442 39.9987711, 116.3074173 39.9987075, 116.3072869 39.9992264, 116.3070555 39.9991851, 116.3069887 39.9993967, 116.3068058 39.9993613, 116.3067896 39.9993994, 116.306561 39.999353, 116.3064403 39.9993288, 116.3063207 39.9993029, 116.306091 39.9992529, 116.3061055 39.9992015, 116.305928 39.999164, 116.3059801 39.9989825, 116.3058175 39.9989487, 116.3058422 39.9988827, 116.3057219 39.9988566, 116.3041355 39.99862, 116.3040742 39.9985465, 116.3038605 39.9986275, 116.3034946 39.9985825, 116.3031193 39.9985363, 116.3025893 39.9982956, 116.3018222 39.997746, 116.301051 39.9970006, 116.300757 39.9968245, 116.3003763 39.9966817, 116.2982846 39.9965414, 116.2981573 39.9966778, 116.2980475 39.9968489, 116.297957 39.9969893, 116.2978668 39.9980408, 116.297815 39.9985866, 116.2980001 39.9985902, 116.2979814 39.9991518, 116.2989183 39.999236, 116.2991604 39.9994591, 116.2995328 39.999504, 116.2999689 39.9998477, 116.3000409 39.9998918, 116.3000912 39.9999304, 116.3001243 39.9999862, 116.3001965 40.0001078, 116.3002511 40.00024, 116.3002899 40.0003011, 116.3003375 40.0003454, 116.300406 40.000395, 116.3004667 40.0004238, 116.3005058 40.0004512, 116.3005648 40.0005313, 116.300287 40.002892, 116.3008438 40.0029376, 116.3008159 40.0031381, 116.300805 40.0032561, 116.3006792 40.0037877, 116.3004426 40.0037653, 116.3002895 40.0046954, 116.2994102 40.0046105, 116.2993369 40.0045954, 116.2983991 40.0045143, 116.2979458 40.0044741, 116.2975085 40.0044359, 116.2973126 40.0044206, 116.2952371 40.0042064, 116.2953103 40.0036605, 116.2953259 40.0033649, 116.2954128 40.0028976, 116.2955617 40.0023402, 116.2956225 40.0019471, 116.2954415 40.0019157, 116.2954593 40.0018401, 116.2946789 40.0017447, 116.2946512 40.0018522, 116.2862491 40.0011141, 116.2832936 40.0008545, 116.2816412 40.0119641))",POINT (116.297247 40.0068207),3200853.5,34453666.6
北京大学,1,30663365,,,university,,,"POLYGON ((116.309014 39.9959264, 116.3069369 39.9957638, 116.3067154 39.9970828, 116.3062102 39.9970351, 116.3059979 39.9982402, 116.3058293 39.9982373, 116.3056759 39.9982346, 116.3053797 39.9982026, 116.3050357 39.9981305, 116.3038116 39.9978738, 116.3032563 39.9977573, 116.3028049 39.9975695, 116.3024428 39.9973739, 116.3018948 39.996854, 116.3015876 39.9965626, 116.3014379 39.9964206, 116.3013332 39.9963362, 116.3011623 39.9962501, 116.3008489 39.9961909, 116.3006673 39.9961698, 116.2993804 39.9960206, 116.2987698 39.9959181, 116.2983911 39.9958545, 116.2983977 39.9956608, 116.2984264 39.9948007, 116.2984578 39.9939562, 116.2984734 39.9933893, 116.2985916 39.9933919, 116.2985937 39.9933609, 116.2985947 39.9933065, 116.2985966 39.9932028, 116.298597 39.9931822, 116.2985974 39.9931592, 116.2984634 39.9931543, 116.2984855 39.9928667, 116.298524 39.9925911, 116.2985814 39.9921532, 116.2986337 39.9917341, 116.2986384 39.9916958, 116.2989961 39.989621, 116.2994966 39.98639, 116.2995306 39.9863923, 116.3003665 39.986416, 116.3004617 39.9851791, 116.3054565 39.98527, 116.3091612 39.9853282, 116.3093613 39.9853308, 116.3093521 39.9857161, 116.3095853 39.9861014, 116.3095033 39.9879289, 116.3094367 39.9887974, 116.3094177 39.9891893, 116.3093135 39.9907323, 116.3093099 39.9907852, 116.3092997 39.990936, 116.3092972 39.9909733, 116.3092297 39.991764, 116.3092247 39.9918279, 116.3091399 39.9929106, 116.309014 39.9959264))",POINT (116.3041144 39.9911879),1132452.5,12189605.2
清华附中操场,2,32954637,,,,pitch,,"POLYGON ((116.3153422 40.007923, 116.3152448 40.0088642, 116.3160201 40.0089112, 116.3161175 40.0079701, 116.3153422 40.007923))",POINT (116.3156811 40.0084171),6955.6,74869
东大操场,3,32954674,,,,pitch,,"POLYGON ((116.3254259 40.0036175, 116.3253543 40.0052171, 116.3253515 40.0052785, 116.3268274 40.0053173, 116.3269008 40.003676, 116.3268033 40.0036734, 116.3268083 40.0036096, 116.3256256 40.0035648, 116.3256215 40.0036226, 116.3254259 40.0036175))",POINT (116.3261276 40.0044474),23804.8,256232.3
西大操场,4,32954848,,,,pitch,,"POLYGON ((116.3157109 40.0029502, 116.3155623 40.004543, 116.3167297 40.0046069, 116.3168783 40.003014, 116.3157109 40.0029502))",POINT (116.3162203 40.0037785),17705.9,190584.9
紫荆操场,5,32954864,,,,pitch,,"POLYGON ((116.3227627 40.0078131, 116.322664 40.0094873, 116.323909 40.0095303, 116.3240077 40.0078562, 116.3227627 40.0078131))",POINT (116.3233358 40.0086717),19784.8,212961.5
绿园,6,33431808,,,,park,,"POLYGON ((116.3115357 40.0003534, 116.3118533 40.0004047, 116.3123394 40.0004804, 116.3123211 39.9999323, 116.3123732 39.9995297, 116.3125729 39.9991685, 116.3127283 39.9988179, 116.3127256 39.9986657, 116.3117214 39.9986131, 116.3115357 40.0003534))",POINT (116.3120583 39.9994757),14182.3,152657.1
,7,33431890,,,,park,,"POLYGON ((116.3159442 40.0009234, 116.3176176 40.0010205, 116.3176627 40.0007053, 116.3177209 40.0004212, 116.3175579 40.000053, 116.3169573 39.9999642, 116.3169753 39.9997041, 116.3166072 39.9996996, 116.3165712 40.0000256, 116.3161102 40.0000024, 116.3157194 39.9999075, 116.3155344 40.0008901, 116.3159442 40.0009234))",POINT (116.3166525 40.0004535),19658.8,211605.3
观畴园餐厅,8,33432033,,yes,restaurant,,,"POLYGON ((116.3157727 40.0052903, 116.3157438 40.0057895, 116.3165339 40.0058163, 116.3165628 40.0053171, 116.3157727 40.0052903))",POINT (116.3161533 40.0055533),3743.8,40297.8
搜狐网络大厦,9,33457774,,yes,,,,"POLYGON ((116.3257158 39.9926455, 116.3258825 39.9926491, 116.3258783 39.9927609, 116.3260609 39.9927649, 116.3260634 39.9926967, 116.3261687 39.992699, 116.3261871 39.9922047, 116.3260882 39.9922025, 116.3260938 39.992054, 116.3259229 39.9920503, 116.3259207 39.9921082, 116.325736 39.9921042, 116.3257158 39.9926455))",POINT (116.3259531 39.9924058),2579,27759.7
