name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,277183352,,,,,primary,0,113.9264576,22.5429267,,,
,1,277183286,,,,,primary,0,113.9259609,22.5437818,,,
,2,277664239,,,,,primary,0,113.9269242,22.5432566,,,
,3,1932007679,,,,,primary,0,113.9269377,22.5422528,,,
,4,2407737640,,,,,primary,0,113.9269716,22.541272,,,
,5,277664224,,,,,primary,0,113.9270181,22.5401367,,,
,6,277664226,,,,,primary,0,113.9270441,22.5385593,,,
,7,277673567,,,,,primary,0,113.9271,22.5412586,,,
,8,1932007724,,,,,primary,0,113.9270699,22.5421464,,,
,9,1570631273,,,,,primary,0,113.9270566,22.543697,,,
,10,277673570,,,,,primary,0,113.927061,22.544241,,,
,11,1937713783,,,,,service,0,113.9348232,22.5428887,,,
,12,6647339694,crossing,,,,service,0,113.9348077,22.5429671,,,
,13,2297471823,,,,,service,0,113.9346598,22.5439062,,,
,14,278660583,,,,,service,0,113.9346476,22.543998,,,
,15,2297471728,,,,,service,0,113.9346208,22.5442993,,,
,16,278660584,,,,,service,0,113.9346129,22.5445207,,,
,17,2297471744,,,,,service,0,113.9346127,22.5447206,,,
,18,,,18,,,service,2,113.9346056,22.5453,,,boundary node created by osm2gmns
,19,278221796,,,,,secondary,0,113.9307635,22.5423484,,,
,20,6366992991,crossing,,,,service,0,113.9308608,22.5422461,,,
,21,278221797,,,,,service,0,113.9310215,22.5420773,,,
,22,2401173525,,,,,service,0,113.9310225,22.5419129,,,
,23,278222025,,,,,primary,0,113.9299598,22.5424733,,,
,24,278221808,,,,,secondary,0,113.930366,22.542366,,,
,25,278376579,,,,,primary,0,113.9405565,22.5432341,,,
,26,278376578,,,,,primary,0,113.9405704,22.5425248,,,
,27,8349563435,,,,,primary,0,113.9404482,22.543939,,,
,28,8349563436,,,,,primary,0,113.9401433,22.5433124,,,
,29,2428805605,,,,,service,0,113.9355624,22.5439988,,,
,30,278660497,,,,,service,0,113.9363526,22.544523,,,
,31,,,31,,,primary,1,113.9269164,22.5453,,,boundary node created by osm2gmns
,32,279077761,,,,,primary,0,113.9267655,22.5450018,,,
,33,9105636736,,,,,primary,0,113.9404373,22.5403117,,,
,34,9105636893,,,,,primary,0,113.9404506,22.5395736,,,
,35,9105636899,traffic_signals,,signal,,primary,0,113.9404517,22.5394918,,,
,36,9105636890,,,,,primary,0,113.9404559,22.5392716,,,
,37,6366993022,,,,,primary,0,113.9404572,22.5392106,,,
,38,9105636804,,,,,primary,0,113.9404866,22.5390475,,,
,39,9105636745,,,,,primary,0,113.940934,22.5383921,,,
,40,1932007728,,,,,primary,0,113.9249502,22.54275,,,
,41,2401173547,,,,,primary,0,113.9253864,22.5425109,,,
,42,,,42,,,tertiary,1,113.9423,22.5325529,,,boundary node created by osm2gmns
,43,9105636874,,,,,tertiary,0,113.9410753,22.5325351,,,
,44,9105636873,,,,,tertiary,0,113.9405183,22.532527,,,
,45,9717940329,,,,,tertiary,0,113.9421482,22.5368347,,,
,46,2398034788,,,,,tertiary,0,113.9421486,22.5368555,,,
,47,2408476584,,,,,tertiary,0,113.9421256,22.5380024,,,
,48,2398034802,,,,,tertiary,0,113.9421199,22.5382875,,,
,49,2408476421,,,,,tertiary,0,113.9421188,22.5383416,,,
,50,2408476473,,,,,tertiary,0,113.9421057,22.5389918,,,
,51,2408476446,,,,,tertiary,0,113.9421006,22.539245,,,
,52,5178935345,,,,,tertiary,0,113.9420989,22.5393326,,,
,53,1116415543,,,,,primary,0,113.9405874,22.5357774,,,
,54,2299600521,,,,,tertiary,0,113.9372775,22.5352009,,,
,55,2401261989,,,,,primary,0,113.9357089,22.5342609,,,
,56,9101470277,,,,,primary,0,113.9333376,22.5323144,,,
,57,2394952321,,,,,primary,0,113.9306227,22.5288505,,,
,58,9101470269,traffic_signals,,signal,,primary,0,113.9303848,22.5283741,,,
,59,9128487758,,,,,primary,0,113.9302605,22.5281413,,,
,60,9105636743,traffic_signals,,signal,,primary,0,113.9409142,22.5396605,,,
,61,9105636898,,,,,primary,0,113.9409147,22.5395676,,,
,62,4802241931,,,,,primary,0,113.9409161,22.5392779,,,
,63,9105636906,,,,,primary,0,113.9409163,22.5392199,,,
