name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
荔香公园,0,215912569,,,,park,,"POLYGON ((113.9226994 22.5427124, 113.9237544 22.5426467, 113.923844 22.5426412, 113.9239336 22.5426356, 113.9249556 22.542571, 113.9252654 22.5424028, 113.9254638 22.5421121, 113.9255818 22.5418941, 113.9258437 22.5416049, 113.9260074 22.5415059, 113.9262281 22.5413773, 113.9265245 22.5412099, 113.9266713 22.5409839, 113.9267631 22.5405732, 113.9267934 22.5398364, 113.9267944 22.5389502, 113.926806 22.5377392, 113.9268261 22.5370552, 113.9268275 22.5368176, 113.9259161 22.5368089, 113.9259068 22.5373592, 113.9252505 22.5373514, 113.9252591 22.5367757, 113.9242467 22.5367672, 113.923844 22.537351, 113.9227554 22.5373424, 113.9226986 22.537638, 113.9226417 22.5379931, 113.9225688 22.5386588, 113.9225231 22.5391745, 113.9224413 22.5401828, 113.9223642 22.5415641, 113.9224481 22.5425087, 113.9226994 22.5427124))",POINT (113.9245598 22.539713),252679,2719811.9
联想研发中心,1,215916353,,commercial,,,,"POLYGON ((113.9422428 22.5422305, 113.9422591 22.5418839, 113.942346 22.5418874, 113.9424333 22.5418909, 113.9425193 22.5418943, 113.9426051 22.5418978, 113.9426905 22.5419012, 113.9427757 22.5419046, 113.9433062 22.5419259, 113.9433933 22.5419294, 113.9434804 22.5419329, 113.9435664 22.5419363, 113.9436519 22.5419397, 113.9437374 22.5419432, 113.9438228 22.5419466, 113.9438065 22.5422932, 113.9437211 22.5422898, 113.9436356 22.5422863, 113.9435501 22.5422829, 113.9434641 22.5422795, 113.943377 22.542276, 113.94329 22.5422725, 113.9427594 22.5422512, 113.9426742 22.5422478, 113.9425888 22.5422444, 113.942503 22.542241, 113.942417 22.5422375, 113.9423298 22.542234, 113.9422428 22.5422305))",POINT (113.9430328 22.5420886),6180.5,66526
香港理工大学产学研大楼,2,215919467,,commercial,,,,"POLYGON ((113.9383694 22.5349323, 113.9383801 22.5349917, 113.9383291 22.5350983, 113.9382675 22.5351156, 113.9376571 22.5348907, 113.9376518 22.534799, 113.9378034 22.534474, 113.9378812 22.5344517, 113.9383131 22.5345953, 113.9382687 22.5347519, 113.9382138 22.5348703, 113.9383694 22.5349323))",POINT (113.9380147 22.5347796),3455.5,37195
香港科技大学产学研大楼,3,215919957,,commercial,,,,"POLYGON ((113.9379161 22.5340949, 113.9381319 22.533595, 113.9382272 22.5335994, 113.9388012 22.5337927, 113.93882 22.5338521, 113.9386376 22.5343377, 113.9379161 22.5340949))",POINT (113.9383824 22.533955),4815.1,51829.2
香港城市大学产学研大楼,4,215920326,,commercial,,,,"POLYGON ((113.938474 22.5351206, 113.9386951 22.5347321, 113.9391445 22.5348357, 113.939225 22.5349744, 113.9391645 22.5352474, 113.9390304 22.5352846, 113.938474 22.5351206))",POINT (113.9388825 22.5350154),3143.3,33833.9
万利达科技大厦,5,220653226,,commercial,,,,"POLYGON ((113.9292369 22.5437461, 113.9292417 22.5433587, 113.9285749 22.5433516, 113.9285701 22.5437391, 113.9285675 22.5439477, 113.9288146 22.5439503, 113.9288172 22.5437416, 113.9292369 22.5437461))",POINT (113.9288704 22.5435981),3527.4,37968.9
长城科技大厦2号楼,6,220654595,,commercial,,,,"POLYGON ((113.9415752 22.5441841, 113.9415765 22.5441214, 113.9415804 22.5439433, 113.9415802 22.5439146, 113.9415439 22.5438819, 113.9411448 22.5438759, 113.9411399 22.544152, 113.9411672 22.5441781, 113.9415752 22.5441841))",POINT (113.9413598 22.5440302),1487.5,16011.1
长城科技大厦1号楼,7,220654602,,industrial,,,,"POLYGON ((113.9417022 22.5438355, 113.9418064 22.5438371, 113.9418071 22.5437979, 113.9432028 22.5438194, 113.943202 22.5438674, 113.943454 22.5438712, 113.943444 22.5444304, 113.9432009 22.5444266, 113.9431979 22.5445911, 113.9418406 22.5445702, 113.9418423 22.544477, 113.9416906 22.5444747, 113.9416971 22.5441237, 113.941701 22.5439456, 113.9417022 22.5438355))",POINT (113.942553 22.5441867),14588.3,157027.5
中电长城大厦南塔,8,220656015,,commercial,,,,"POLYGON ((113.9409044 22.5448793, 113.9414598 22.5448932, 113.9414485 22.5452791, 113.9408931 22.5452654, 113.9409044 22.5448793))",POINT (113.9411764 22.5450792),2441.8,26283.6
,9,220656022,,,parking,,,"POLYGON ((113.9360144 22.5439548, 113.9359983 22.5432859, 113.9363117 22.5433036, 113.9363196 22.5439551, 113.9360144 22.5439548))",POINT (113.9361603 22.5436234),2322.9,25003.8
