name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,6365430942,,,,,secondary,0,121.5216764,38.8774133,,,
,1,346739926,,,,,living_street,0,121.5196025,38.8829911,,,
,2,10087321554,,,,,secondary,0,121.5192865,38.8853181,,,
,3,348334775,,,,,secondary,0,121.5192286,38.8855665,,,
,4,10087321537,,,,,secondary,0,121.519204,38.8856697,,,
,5,1866153799,,,,,secondary,0,121.5190728,38.886278,,,
,6,8589164454,,,,,secondary,0,121.5189167,38.8870259,,,
,7,8589164453,,,,,secondary,0,121.5189414,38.8886329,,,
,8,9724241233,,,,,secondary,0,121.5189582,38.8886996,,,
,9,,,9,,,secondary,-1,121.5192436,38.8897,,,boundary node created by osm2gmns
,10,8310006738,,,,,residential,0,121.5220617,38.8774818,,,
,11,346738591,,,,,residential,0,121.5227336,38.8775277,,,
,12,346738661,,,,,residential,0,121.5236225,38.8775262,,,
,13,374106446,,,,,residential,0,121.5245798,38.8775335,,,
,14,346738678,,,,,residential,0,121.52778,38.87755,,,
,15,375732465,,,,,residential,0,121.5279217,38.8775604,,,
,16,348327953,,,,,secondary,0,121.5282324,38.8775662,,,
,17,,,17,,,secondary,2,121.5292399,38.8726,,,boundary node created by osm2gmns
,18,348327880,,,,,secondary,0,121.5287713,38.8730817,,,
,19,348327949,,,,,secondary,0,121.5284908,38.8736642,,,
,20,8292743684,,,,,secondary,0,121.5289624,38.8783528,,,
,21,348327967,,,,,secondary,0,121.5292632,38.8784939,,,
,22,10087321549,,,,,secondary,0,121.5198808,38.8856579,,,
,23,8589164442,,,,,secondary,0,121.520018,38.8856774,,,
,24,2820704850,,,,,secondary,0,121.5212305,38.8858385,,,
,25,7097337828,,25,,,footway,1,121.5238233,38.8863832,,,
,26,348334834,,,,,living_street,0,121.5235864,38.8857193,,,
,27,8292743689,,,,,living_street,0,121.5285099,38.8775674,,,
,28,375773304,,,,,living_street,0,121.5288706,38.8775689,,,
,29,375773110,,,,,living_street,0,121.5293846,38.8775457,,,
,30,375773250,,,,,living_street,0,121.529835,38.8775602,,,
,31,375773216,,,,,living_street,0,121.5307431,38.8775602,,,
,32,378046832,,,,,living_street,0,121.5311326,38.8775461,,,
,33,378046857,,,,,living_street,0,121.5315909,38.8775527,,,
,34,346738988,,,,,living_street,0,121.53192,38.87755,,,
,35,346739002,,,,,living_street,0,121.5324671,38.8775239,,,
,36,,,36,,,living_street,2,121.5326,38.8774908,,,boundary node created by osm2gmns
,37,373203721,,,,,residential,0,121.5282717,38.8735771,,,
,38,8657970613,,,,,tertiary,0,121.5286616,38.8737596,,,
,39,375773321,,,,,tertiary,0,121.5302376,38.8753402,,,
,40,8790758807,,,,,tertiary,0,121.5304872,38.8756118,,,
,41,375773336,,,,,tertiary,0,121.5305745,38.8757068,,,
,42,373168329,,,,,tertiary,0,121.5308641,38.8760117,,,
,43,,,43,,,tertiary,2,121.5326,38.8777876,,,boundary node created by osm2gmns
,44,346739191,,,,,tertiary,0,121.5156515,38.8760507,,,
,45,8310006646,,,,,residential,0,121.5156082,38.8740113,,,
,46,2272910674,,,,,residential,0,121.5156082,38.8739767,,,
,47,346739220,,,,,tertiary,0,121.5198192,38.8764602,,,
,48,373198655,,,,,tertiary,0,121.5195402,38.8755636,,,
,49,8619319638,,,,,tertiary,0,121.519365,38.8754009,,,
,50,4390133484,,,,,tertiary,0,121.5193839,38.8753252,,,
,51,373198687,,,,,tertiary,0,121.5198387,38.8740248,,,
,52,373198721,,,,,tertiary,0,121.5204158,38.8728248,,,
,53,2272910672,,,,,tertiary,0,121.5204192,38.8727596,,,
,54,373198756,,,,,tertiary,0,121.5192937,38.8752735,,,
,55,373198787,,,,,tertiary,0,121.5191924,38.8753592,,,
,56,373198744,,,,,tertiary,0,121.5192149,38.8753009,,,
,57,346738920,,,,,secondary,0,121.5265655,38.8738242,,,
,58,373203681,,,,,residential,0,121.5268615,38.8739417,,,
,59,373203686,,,,,residential,0,121.5273505,38.8739452,,,
,60,346739486,,,,,secondary,0,121.5285347,38.8728825,,,
,61,9331436933,,,,,residential,0,121.5188887,38.8744476,,,
,62,374100830,,,,,residential,0,121.5188171,38.8733583,,,
,63,9331437025,,,,,residential,0,121.5191235,38.8753648,,,
,64,9331437021,,,,,residential,0,121.5184222,38.8754215,,,
,65,374100844,,,,,unclassified,0,121.517533,38.8754934,,,
,66,374101066,,,,,living_street,0,121.5234527,38.8875642,,,
,67,8589164466,,,,,living_street,0,121.5235589,38.8872723,,,
,68,7097337830,,,,,living_street,0,121.5238464,38.8864829,,,
,69,10087321532,,,,,living_street,0,121.5239148,38.8863056,,,
,70,374101094,,,,,living_street,0,121.5239486,38.886218,,,
,71,374101113,,,,,living_street,0,121.5223463,38.8800055,,,
,72,5262329557,,,,,living_street,0,121.5223189,38.8808215,,,
,73,5262329548,,,,,living_street,0,121.5222948,38.8815695,,,
,74,374101145,,,,,living_street,0,121.5222723,38.8822782,,,
,75,5262329545,,,,,living_street,0,121.5222477,38.8830635,,,
,76,374101161,,,,,living_street,0,121.5222864,38.8845017,,,
,77,374101193,,,,,living_street,0,121.5235516,38.8855927,,,
,78,8310006768,,,,,living_street,0,121.5207467,38.8830512,,,
,79,5262329542,,,,,living_street,0,121.5204933,38.8830294,,,
,80,5262329570,,,,,living_street,0,121.5205072,38.8827128,,,
,81,5262329547,,,,,living_street,0,121.5205348,38.8815335,,,
,82,5262329558,,,,,living_street,0,121.5205549,38.8807782,,,
,83,374101218,,,,,living_street,0,121.5214848,38.8799978,,,
,84,374101224,,,,,living_street,0,121.5232096,38.8800205,,,
,85,374101230,,,,,living_street,0,121.5248114,38.8800703,,,
,86,374101235,,,,,living_street,0,121.5259643,38.880072,,,
,87,8657970603,,,,,living_street,0,121.5288799,38.8800086,,,
,88,374101251,,88,,,living_street,2,121.5214833,38.8801593,,,
,89,374101267,,,,,living_street,0,121.5215071,38.8791645,,,
,90,374101286,,,,,living_street,0,121.5220832,38.877641,,,
,91,5719628839,,,,,living_street,0,121.520508,38.8791612,,,
,92,5262329571,,,,,living_street,0,121.5198887,38.8791609,,,
,93,5262329578,,,,,living_street,0,121.5194489,38.8791518,,,
,94,5262329572,,,,,living_street,0,121.5189737,38.8791419,,,
,95,5262329597,,,,,living_street,0,121.5183731,38.8791197,,,
,96,5262329616,,,,,living_street,0,121.5177601,38.879097,,,
,97,5262329613,,,,,living_street,0,121.5171389,38.8790741,,,
,98,5262329620,,,,,living_street,0,121.5165919,38.8790539,,,
,99,5262330221,,,,,living_street,0,121.5165216,38.8790513,,,
,100,5262329574,,100,,,living_street,2,121.5164584,38.879049,,,
,101,374101299,,,,,living_street,0,121.5232458,38.8791951,,,
,102,374101318,,,,,living_street,0,121.523579,38.884559,,,
,103,374101345,,,,,living_street,0,121.524778,38.8831785,,,
,104,374101356,,,,,living_street,0,121.5248151,38.8817478,,,
,105,374101365,,,,,living_street,0,121.5248333,38.8807375,,,
,106,374101292,,,,,living_street,0,121.5248208,38.8792192,,,
,107,374101371,,,,,living_street,0,121.5248717,38.8788221,,,
,108,374106330,,,,,living_street,0,121.5236639,38.8759657,,,
,109,374106354,,,,,living_street,0,121.5253993,38.8751456,,,
,110,374106368,,,,,living_street,0,121.5259763,38.8749733,,,
,111,374106461,,,,,living_street,0,121.5260102,38.8790202,,,
,112,374106541,,,,,residential,0,121.5259146,38.8807411,,,
,113,8657970608,,,,,residential,0,121.5259146,38.8808618,,,
,114,8657970610,,,,,residential,0,121.5259146,38.8811129,,,
,115,374106588,,,,,residential,0,121.5259146,38.8817676,,,
,116,374106612,,,,,residential,0,121.5258735,38.8831739,,,
,117,374106635,,,,,residential,0,121.5258633,38.8849291,,,
,118,5262330243,,,,,residential,0,121.5258602,38.8850823,,,
,119,348334777,,,,,residential,0,121.5258007,38.8865055,,,
,120,374106647,,,,,residential,0,121.5257361,38.8876946,,,
,121,8589164467,,,,,living_street,0,121.5216372,38.8872337,,,
,122,8589164441,,,,,living_street,0,121.5212323,38.8862861,,,
,123,10087321534,,,,,living_street,0,121.5212824,38.8859393,,,
,124,1116406985,,,,,living_street,0,121.5213016,38.8858482,,,
,125,375727026,,,,,living_street,0,121.5204715,38.8742675,,,
,126,375727031,,,,,living_street,0,121.5213501,38.8727401,,,
