name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
大连理工大学体育场,0,31305649,,,,stadium,,"POLYGON ((121.5248248 38.8771639, 121.525036 38.8772843, 121.5253055 38.877337, 121.5255996 38.8772992, 121.5258495 38.8771718, 121.5259301 38.8770648, 121.5260108 38.8770625, 121.5260256 38.876897, 121.5260201 38.8759576, 121.5260071 38.8758383, 121.5259382 38.8758312, 121.5258417 38.8756539, 121.5256152 38.8755307, 121.5253259 38.8754746, 121.5250634 38.8755054, 121.5248036 38.8756388, 121.5246853 38.875802, 121.5246068 38.8760759, 121.52454 38.8760735, 121.5245317 38.8767923, 121.5246056 38.8767917, 121.5246813 38.8770385, 121.5248248 38.8771639))",POINT (121.5253049 38.8764109),22429.9,241432.8
管理楼,1,161140955,,yes,university,,,"POLYGON ((121.5276288 38.8725127, 121.5276798 38.8725106, 121.5276798 38.8725566, 121.527747 38.8725715, 121.5277656 38.8725148, 121.5278221 38.8725193, 121.527865 38.8725339, 121.5279428 38.8725632, 121.5280152 38.8726008, 121.5280285 38.8726109, 121.5279963 38.8726506, 121.5280848 38.8727341, 121.5281386 38.8727156, 121.5281223 38.8726965, 121.5281814 38.872661, 121.5281976 38.8726759, 121.5283827 38.8725882, 121.5284041 38.8725987, 121.5284551 38.8725799, 121.5284415 38.8725608, 121.5284819 38.8725423, 121.5284442 38.8725044, 121.5285461 38.8724584, 121.5285811 38.8724922, 121.5287634 38.8724083, 121.5287741 38.8724229, 121.5288225 38.8723982, 121.5288144 38.872377, 121.5291471 38.8722228, 121.5291659 38.8722374, 121.5292167 38.872212, 121.5292033 38.8721974, 121.5292355 38.8721786, 121.5292678 38.8721622, 121.5292864 38.8721348, 121.5292972 38.8720888, 121.5292703 38.8720554, 121.5291818 38.8721014, 121.529155 38.8720638, 121.5287836 38.8722357, 121.528758 38.8722475, 121.5284685 38.8723815, 121.528506 38.8724274, 121.5284202 38.8724713, 121.5283825 38.8724229, 121.5281277 38.872542, 121.5280794 38.8725127, 121.5280258 38.8724898, 121.5279562 38.8724629, 121.5278917 38.8724396, 121.5278139 38.872425, 121.5277926 38.8724358, 121.5276959 38.8724334, 121.5276315 38.8724292, 121.5276288 38.8725127))",POINT (121.5284901 38.8724066),2256.2,24285.4
,2,219032047,,yes,,,,"POLYGON ((121.5265363 38.8757961, 121.5269027 38.8757951, 121.526901 38.8753875, 121.5264764 38.8753886, 121.526477 38.8755458, 121.5260191 38.875547, 121.5260197 38.8757026, 121.5261479 38.8757022, 121.5261477 38.875662, 121.5265357 38.875661, 121.5265363 38.8757961))",POINT (121.5265776 38.875592),2148.5,23126.5
,3,219032064,,yes,,,,"POLYGON ((121.5266817 38.873334, 121.5268588 38.8733265, 121.5268393 38.8731704, 121.5268452 38.873075, 121.5268627 38.8729523, 121.5268938 38.8728599, 121.5269444 38.8727538, 121.5267771 38.8726978, 121.5267226 38.8727947, 121.5266817 38.872928, 121.5266642 38.8730356, 121.5266545 38.8731628, 121.5266584 38.8732416, 121.5266817 38.873334))",POINT (121.5267753 38.8730236),1098.7,11826.2
,4,219032067,,yes,,,,"POLYGON ((121.5262696 38.8750215, 121.526574 38.8750253, 121.5265763 38.8749125, 121.5270023 38.8749179, 121.5269964 38.875202, 121.5272532 38.8752053, 121.5272573 38.8750084, 121.5278213 38.8750156, 121.5278255 38.8748171, 121.5275174 38.8748132, 121.5275185 38.8747626, 121.5264894 38.8747495, 121.5262638 38.8749772, 121.5262696 38.8750215))",POINT (121.527091 38.8749146),3545.4,38162
,5,219032108,,apartments,,,,"POLYGON ((121.5324254 38.8728085, 121.5332252 38.8729448, 121.5332623 38.8728129, 121.5324626 38.8726765, 121.5324254 38.8728085))",POINT (121.5328438 38.8728107),1064.6,11459
,6,219032167,,yes,,,,"POLYGON ((121.5322904 38.8730884, 121.5331427 38.8732384, 121.5331721 38.8731371, 121.5323198 38.8729872, 121.5322904 38.8730884))",POINT (121.5327313 38.8731128),873.1,9398.2
,7,219032177,,apartments,,,,"POLYGON ((121.5303329 38.8729415, 121.5309712 38.8729612, 121.5309771 38.8728453, 121.5303388 38.8728256, 121.5303329 38.8729415))",POINT (121.530655 38.8728934),713.3,7677.4
,8,219032221,,apartments,,,,"POLYGON ((121.5288323 38.8736793, 121.5292526 38.8737748, 121.5292957 38.8736598, 121.5288754 38.8735643, 121.5288323 38.8736793))",POINT (121.529064 38.8736695),504.9,5434.6
,9,219032379,,apartments,,,,"POLYGON ((121.5320453 38.8733641, 121.5328878 38.8735171, 121.5329268 38.8733869, 121.5320843 38.8732339, 121.5320453 38.8733641))",POINT (121.532486 38.8733755),1113.4,11984.1
