name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Diamondback Drive,0,6084577,0,1,1,21.02,,32,,residential,6,"LINESTRING (-76.9339843 38.9875604, -76.9340720 38.9874450, -76.9341052 38.9873962)",auto;bike;walk,1,0,,
Diamondback Drive,1,6084577,1,0,1,21.02,,32,,residential,6,"LINESTRING (-76.9341052 38.9873962, -76.9340720 38.9874450, -76.9339843 38.9875604)",auto;bike;walk,1,0,,
Diamondback Drive,2,6084577,1,2,1,27.0,,32,,residential,6,"LINESTRING (-76.9341052 38.9873962, -76.9341524 38.9873267, -76.9341917 38.9872846, -76.9342090 38.9872540, -76.9342556 38.9871837)",auto;bike;walk,1,0,,
Diamondback Drive,3,6084577,2,1,1,27.0,,32,,residential,6,"LINESTRING (-76.9342556 38.9871837, -76.9342090 38.9872540, -76.9341917 38.9872846, -76.9341524 38.9873267, -76.9341052 38.9873962)",auto;bike;walk,1,0,,
Diamondback Drive,4,6084577,2,3,1,8.87,,32,,residential,6,"LINESTRING (-76.9342556 38.9871837, -76.9343027 38.9871127)",auto;bike;walk,1,0,,
Diamondback Drive,5,6084577,3,2,1,8.87,,32,,residential,6,"LINESTRING (-76.9343027 38.9871127, -76.9342556 38.9871837)",auto;bike;walk,1,0,,
Diamondback Drive,6,6084577,3,4,1,8.08,,32,,residential,6,"LINESTRING (-76.9343027 38.9871127, -76.9343455 38.9870480)",auto;bike;walk,1,0,,
Diamondback Drive,7,6084577,4,3,1,8.08,,32,,residential,6,"LINESTRING (-76.9343455 38.9870480, -76.9343027 38.9871127)",auto;bike;walk,1,0,,
Diamondback Drive,8,6084577,4,5,1,91.11,,32,,residential,6,"LINESTRING (-76.9343455 38.9870480, -76.9343860 38.9869870, -76.9345850 38.9866860, -76.9347890 38.9863043)",auto;bike;walk,1,0,,
Diamondback Drive,9,6084577,5,4,1,91.11,,32,,residential,6,"LINESTRING (-76.9347890 38.9863043, -76.9345850 38.9866860, -76.9343860 38.9869870, -76.9343455 38.9870480)",auto;bike;walk,1,0,,
Diamondback Drive,10,6084577,5,6,1,11.71,,32,,residential,6,"LINESTRING (-76.9347890 38.9863043, -76.9348411 38.9862069)",auto;bike;walk,1,0,,
Diamondback Drive,11,6084577,6,5,1,11.71,,32,,residential,6,"LINESTRING (-76.9348411 38.9862069, -76.9347890 38.9863043)",auto;bike;walk,1,0,,
