name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,50162138,,,,,residential,0,-76.9339843,38.9875604,,,
,1,6549790472,,,,,residential,0,-76.9341052,38.9873962,,,
,2,6549793391,,,,,residential,0,-76.9342556,38.9871837,,,
,3,6549793398,,,,,residential,0,-76.9343027,38.9871127,,,
,4,6914241742,,,,,residential,0,-76.9343455,38.987048,,,
,5,6549793401,,,,,residential,0,-76.934789,38.9863043,,,
,6,50162152,,,,,residential,0,-76.9348411,38.9862069,,,
,7,5689571434,,,,,residential,0,-76.9348833,38.9861275,,,
,8,5521008082,crossing,,,,residential,0,-76.9350602,38.9858597,,,
,9,3732371599,,,,,residential,0,-76.9350789,38.9858268,,,
,10,3732371592,,,,,residential,0,-76.9351782,38.985671,,,
,11,5521008080,,,,,residential,0,-76.9352427,38.9855691,,,
,12,50489769,,,,,residential,0,-76.9352992,38.9854797,,,
,13,5689619222,,,,,residential,0,-76.9353741,38.9853947,,,
,14,50489768,,,,,residential,0,-76.9354132,38.9853504,,,
,15,50162268,,,,,service,0,-76.941777,38.984318,,,
,16,251690474,,,,,service,0,-76.9417768,38.9844018,,,
,17,50162267,,,,,residential,0,-76.941771,38.984458,,,
,18,50162303,,,,,service,0,-76.942245,38.98445,,,
,19,50162301,,,,,service,0,-76.942302,38.984391,,,
,20,50162298,,,,,service,0,-76.942343,38.984311,,,
,21,6744499633,,,,,service,0,-76.9423354,38.9840862,,,
,22,1678306441,,,,,service,0,-76.9423322,38.9840413,,,
,23,1678306434,,,,,service,0,-76.9421312,38.9838742,,,
,24,1678306432,,,,,service,0,-76.9418706,38.9837949,,,
,25,1678306421,,,,,service,0,-76.9416925,38.983742,,,
,26,6744499638,,,,,service,0,-76.9416625,38.9839726,,,
,27,1678306445,,,,,service,0,-76.9416614,38.984177,,,
,28,3617838182,,,,,service,0,-76.9513001,38.9860956,,,
,29,3732371511,,,,,service,0,-76.9515533,38.9861021,,,
,30,3732371519,,,,,service,0,-76.9517488,38.9861063,,,
,31,1350985369,,,,,residential,0,-76.952068,38.9861096,,,
,32,50162543,,,,,trunk,0,-76.9547609,38.9877993,,,
,33,50162466,,,,,unclassified,0,-76.954332,38.987601,,,
,34,50178235,,,,,service,0,-76.943981,39.002475,,,
,35,50178240,,,,,service,0,-76.944133,39.002682,,,
,36,6535495591,,,,,service,0,-76.9440898,39.0030614,,,
,37,2140956999,,37,,,service,2,-76.9440652,39.0032141,,,
,38,50178257,,,,,residential,0,-76.9434804,39.0021029,,,
,39,50178270,,,,,service,0,-76.9437612,39.0033673,,,
,40,50178293,,,,,residential,0,-76.9433061,39.0026074,,,
,41,50178365,,,,,service,0,-76.9444265,39.0020552,,,
,42,2438359518,,,,,service,0,-76.9444089,39.0022098,,,
,43,50178366,,,,,service,0,-76.944371,39.002542,,,
,44,50181285,,,,,residential,0,-76.944961,38.9887122,,,
,45,6503110521,crossing,,,,service,0,-76.9449414,38.9887626,,,
,46,2501306001,,,,,service,0,-76.9452665,38.9891251,,,
