name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Theodore R. McKeldin Library,0,23408799,,yes,library,,,"POLYGON ((-76.9451674 38.9863008, -76.94474390000001 38.9863042, -76.9447426 38.9862103, -76.9447571 38.9862102, -76.9447547 38.9860333, -76.9447267 38.9860336, -76.9446665 38.986034, -76.94466559999999 38.9859641, -76.9446648 38.9859008, -76.9447174 38.9859003, -76.94475060000001 38.9859001, -76.94474820000001 38.9857215, -76.94473429999999 38.9857216, -76.944733 38.985625, -76.9451598 38.9856216, -76.945161 38.985713, -76.9451438 38.9857132, -76.945144 38.9857289, -76.9452075 38.9857284, -76.9452071 38.9857011, -76.9455169 38.9856986, -76.9455172 38.985717, -76.94554960000001 38.9857168, -76.9455502 38.9857641, -76.9455612 38.985764, -76.9455634 38.9859261, -76.9455529 38.9859262, -76.9455537 38.9859885, -76.9455643 38.9859884, -76.9455664 38.9861471, -76.94555630000001 38.9861472, -76.9455569 38.9861955, -76.9455234 38.9861958, -76.9455237 38.9862145, -76.94521690000001 38.9862169, -76.94521659999999 38.9861912, -76.94515029999999 38.9861918, -76.9451505 38.9862064, -76.94516609999999 38.9862063, -76.9451674 38.9863008))",POINT (-76.94511540000001 38.9859606),4744.1,51065.2
Lot 1B,1,23408806,,,parking,,,"POLYGON ((-76.94916480000001 38.9851748, -76.94952960000001 38.9851748, -76.94972319999999 38.9851747, -76.9497234 38.9860904, -76.9497236 38.9868337, -76.9497283 38.9871345, -76.9491658 38.9871196, -76.94916480000001 38.9851748))",POINT (-76.9494449 38.9861513),10478.6,112790.8
Hagerstown Hall,2,23502732,,apartments,,,,"POLYGON ((-76.9473644 38.9920364, -76.9473641 38.9922992, -76.9473295 38.9922992, -76.94732930000001 38.992389, -76.9473292 38.9924708, -76.9473292 38.9925162, -76.9473648 38.9925162, -76.94736450000001 38.9928225, -76.94743080000001 38.9928226, -76.9474982 38.9928226, -76.94749849999999 38.9925512, -76.9475261 38.9925513, -76.9475262 38.992476, -76.94752630000001 38.9924067, -76.9475264 38.9922825, -76.94749729999999 38.9922825, -76.94749760000001 38.9920365, -76.94743149999999 38.9920364, -76.9473644 38.9920364))",POINT (-76.94743099999999 38.9924276),1154.8,12430.3
A V Williams Building,3,23502735,,university,,,,"POLYGON ((-76.93710419999999 38.9904862, -76.93710470000001 38.9902655, -76.9368968 38.9902669, -76.9367587 38.9902679, -76.936421 38.9902702, -76.93624079999999 38.9902716, -76.9362246 38.9902716, -76.9362074 38.9902716, -76.93619990000001 38.9902717, -76.9361669 38.990272, -76.9361743 38.9908638, -76.9361801 38.9913263, -76.93647799999999 38.9913256, -76.9370639 38.9913243, -76.9371214 38.9913241, -76.9371206 38.9911119, -76.9370639 38.9911121, -76.9365068 38.9911133, -76.9365067 38.9910762, -76.9365056 38.9907996, -76.9365045 38.9905049, -76.9365044 38.9904876, -76.9370294 38.9904864, -76.93710419999999 38.9904862))",POINT (-76.9365406 38.9907958),5885.2,63347.8
Elkton Hall,4,23502736,,apartments,,,,"POLYGON ((-76.94872839999999 38.9928077, -76.9488841 38.9925862, -76.9488388 38.992567, -76.9488447 38.9925586, -76.9488964 38.9924851, -76.9489389 38.9924248, -76.94900269999999 38.992334, -76.949045 38.9923516, -76.9492071 38.9921212, -76.94925360000001 38.9921409, -76.9493286 38.9921728, -76.94911089999999 38.9924822, -76.9491591 38.9925027, -76.9491407 38.9925287, -76.9490931 38.9925964, -76.9490802 38.9926149, -76.9490334 38.992595, -76.948848 38.9928585, -76.9487905 38.9928341, -76.94872839999999 38.9928077))",POINT (-76.9490234 38.9924892),1224.5,13180.3
Woods Hall,5,23502752,,university,,,,"POLYGON ((-76.9417758 38.9851104, -76.9416389 38.9851116, -76.9416378 38.9850343, -76.9415333 38.9850352, -76.9415355 38.9851793, -76.941536 38.9852127, -76.9417038 38.9852106, -76.94170440000001 38.9852497, -76.94179099999999 38.9852489, -76.9417911 38.9852569, -76.94179130000001 38.9852714, -76.9418886 38.9852705, -76.94195120000001 38.9852699, -76.941951 38.9852548, -76.94195089999999 38.9852455, -76.9420283 38.9852448, -76.9420277 38.9852066, -76.9422031 38.9852044, -76.9422005 38.9850265, -76.9420944 38.9850275, -76.94209549999999 38.9851023, -76.94203760000001 38.9851028, -76.94197389999999 38.9851034, -76.9419719 38.9849705, -76.9419707 38.9848936, -76.94177259999999 38.9848953, -76.94177310000001 38.9849337, -76.9417758 38.9851104))",POINT (-76.9418706 38.9851101),1366.4,14707.6
Cole Student Activities Building,6,23502754,,university,,,,"POLYGON ((-76.94730970000001 38.9887015, -76.9473089 38.9885034, -76.9472099 38.9885036, -76.9472086 38.9881881, -76.94731040000001 38.9881878, -76.9473071 38.9874074, -76.9472049 38.9874077, -76.946934 38.9874084, -76.9467514 38.9874088, -76.9465905 38.9874092, -76.94632319999999 38.9874099, -76.94622649999999 38.9874101, -76.9462269 38.9875091, -76.9462269 38.9875203, -76.94622769999999 38.9877082, -76.9461403 38.9877084, -76.94559390000001 38.9877097, -76.9455947 38.9879105, -76.9458947 38.9879097, -76.9458948 38.9879301, -76.9458949 38.9879713, -76.9458958 38.9881857, -76.9461922 38.9881849, -76.94622440000001 38.9881849, -76.94622409999999 38.9881132, -76.9463015 38.988113, -76.94630239999999 38.9883283, -76.9461931 38.9883286, -76.9461938 38.9885071, -76.9463046 38.9885068, -76.9463047 38.9885225, -76.9462352 38.9885227, -76.9462359 38.9887016, -76.9463531 38.9887013, -76.9464772 38.988701, -76.94647740000001 38.9887363, -76.94709020000001 38.9887347, -76.9470901 38.988702, -76.94730970000001 38.9887015))",POINT (-76.9466536 38.988037),15313.8,164835.7
Union Lane Parking Garage (ULG),7,23502756,,yes,parking,,,"POLYGON ((-76.9460732 38.9888478, -76.94607360000001 38.9887932, -76.9461477 38.9887934, -76.9461472 38.9887491, -76.9461458 38.9886155, -76.946189 38.9886156, -76.9461938 38.9885071, -76.9461931 38.9883286, -76.9461922 38.9881849, -76.9458958 38.9881857, -76.9458949 38.9879713, -76.9455119 38.9879715, -76.9455117 38.988034, -76.9455052 38.9882563, -76.94549929999999 38.9886945, -76.9455665 38.988694, -76.9455667 38.9887542, -76.9460732 38.9888478))",POINT (-76.945826 38.9884167),4721.3,50819.3
Stadium Drive Garage,8,23502759,,yes,parking,,,"POLYGON ((-76.9481538 38.9917448, -76.9483366 38.9916795, -76.9484203 38.9916479, -76.94858549999999 38.9915697, -76.9487403 38.9914759, -76.9488686 38.9913744, -76.948898 38.9913967, -76.9489483 38.9913524, -76.9489155 38.9913311, -76.9489775 38.9912678, -76.94903480000001 38.9911992, -76.9490723 38.9912184, -76.949111 38.9911701, -76.9490744 38.9911546, -76.949124 38.9910908, -76.9491901 38.990981, -76.94924349999999 38.9908597, -76.94929279999999 38.9907133, -76.94931939999999 38.9905377, -76.94932110000001 38.9903839, -76.94925929999999 38.9903839, -76.9492353 38.9903839, -76.9492353 38.9903105, -76.9491543 38.9903095, -76.9491136 38.9903098, -76.9490121 38.9903105, -76.9490121 38.9903905, -76.94882389999999 38.9903904, -76.9488173 38.9905535, -76.9487744 38.990767, -76.94867139999999 38.9909804, -76.9488259 38.9910538, -76.9487546 38.991131, -76.94866279999999 38.9912206, -76.9484971 38.9911177, -76.94830829999999 38.9912378, -76.9481195 38.9913312, -76.94787909999999 38.9914112, -76.9479284 38.9915859, -76.9478275 38.9915995, -76.9478191 38.9915783, -76.94780160000001 38.9915812, -76.9478355 38.9916629, -76.9478532 38.9917245, -76.9478775 38.9917849, -76.9478855 38.9918121, -76.9479013 38.9918088, -76.9479582 38.9917956, -76.94795449999999 38.991786, -76.9481538 38.9917448))",POINT (-76.9486831 38.9911066),7772.7,83664.1
Lot N9,9,23502760,,,parking,,,"POLYGON ((-76.94766730000001 38.9930231, -76.94625189999999 38.993026, -76.9462533 38.9931061, -76.9464373 38.9930879, -76.9476683 38.9930873, -76.94766730000001 38.9930231))",POINT (-76.94695230000001 38.9930568),874.3,9410.4
