name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Farmer Avenue,0,5590090,0,1,1,32.91,,,,residential,6,"LINESTRING (-111.9442627 33.4302000, -111.9442601 33.4299032)",walk;bike;auto,1,0,,
South Farmer Avenue,1,5590090,1,0,1,32.91,,,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442627 33.4302000)",walk;bike;auto,1,0,,
South Farmer Avenue,2,5590090,1,2,1,41.61,,,,residential,6,"LINESTRING (-111.9442601 33.4299032, -111.9442568 33.4295279)",walk;bike;auto,1,0,,
South Farmer Avenue,3,5590090,2,1,1,41.61,,,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442601 33.4299032)",walk;bike;auto,1,0,,
South Farmer Avenue,4,5590090,2,3,1,1.37,,,,residential,6,"LINESTRING (-111.9442568 33.4295279, -111.9442567 33.4295155)",walk;bike;auto,1,0,,
South Farmer Avenue,5,5590090,3,2,1,1.37,,,,residential,6,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279)",walk;bike;auto,1,0,,
East 6th Street,6,5591077,4,5,1,6.47,,,,residential,6,"LINESTRING (-111.9304264 33.4231268, -111.9304120 33.4231839)",walk;bike;auto,1,0,,
East 6th Street,7,5591077,5,4,1,6.47,,,,residential,6,"LINESTRING (-111.9304120 33.4231839, -111.9304264 33.4231268)",walk;bike;auto,1,0,,
East 6th Street,8,5591077,5,6,1,4.97,,,,residential,6,"LINESTRING (-111.9304120 33.4231839, -111.9304005 33.4232277)",walk;bike;auto,1,0,,
East 6th Street,9,5591077,6,5,1,4.97,,,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9304120 33.4231839)",walk;bike;auto,1,0,,
East 6th Street,10,5591077,6,7,1,7.55,,,,residential,6,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.4232950)",walk;bike;auto,1,0,,
East 6th Street,11,5591077,7,6,1,7.55,,,,residential,6,"LINESTRING (-111.9303882 33.4232950, -111.9304005 33.4232277)",walk;bike;auto,1,0,,
East 6th Street,12,5591077,7,8,1,184.18,,,,residential,6,"LINESTRING (-111.9303882 33.4232950, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.9302430 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.9296860 33.4241011, -111.9296630 33.4241090, -111.9292198 33.4242567, -111.9290798 33.4242989)",walk;bike;auto,1,0,,
East 6th Street,13,5591077,8,7,1,184.18,,,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.9296630 33.4241090, -111.9296860 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.9302430 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.4232950)",walk;bike;auto,1,0,,
West 6th Street,14,5591085,9,10,1,51.89,1,40,,residential,6,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409)",walk;bike;auto,1,0,,
West 6th Street,15,5591085,10,9,1,51.89,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9412665 33.4243385)",walk;bike;auto,1,0,,
West 6th Street,16,5591085,10,2605,1,58.54,1,40,,residential,6,"LINESTRING (-111.9407083 33.4243409, -111.9400786 33.4243437)",walk;bike;auto,1,0,,
West 6th Street,17,5591085,2605,10,1,58.54,1,40,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409)",walk;bike;auto,1,0,,
East 6th Street,18,5591100,12,13,1,7.67,1,40,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",walk;bike;auto,1,0,,
East 6th Street,19,5591100,13,12,1,7.67,1,40,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",walk;bike;auto,1,0,,
East 6th Street,20,5591100,13,14,1,17.92,1,40,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",walk;bike;auto,1,0,,
East 6th Street,21,5591100,14,13,1,17.92,1,40,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",walk;bike;auto,1,0,,
